	Industry-wide Uses of Chlorine by Industry................................................................. 2-7 2-2. Use of Caustic Soda by Industry................................................................................... 2-7 2-3. Use of Caustic Potash by Industry ................................................................................ 2-8 2-4. Income (or Loss) as Net a Percentage of Sales, Basic Chemicals, Resins, and Synthetics (NAICS 3251 and 3252): 2000–2005 ....................................................... 2-14 3-1. Capital Cost Factor ($/ton Cl2 produced) vs. Capacity ................................................ 3-5 4-1. Price Trends: Alkalis and Chlorine Manufacturing:	Oxychem Completes Taft,	Chlorine: Ensuring Rail Transportation Safety.”	Potassium Carbonate Handbook.” http://www.armandproducts.com/pdfs/k2so3P1_12.pdf. Accessed	ASHTA Chemicals Inc. 2009a. About ASHTA. http://www.ashtachemicals.com/aboutfs.htm.	Inc. 2009b. Potassium Hydroxide,	Investment under Uncertainty.	Energy Information Administration.	Potassium Hydroxide.” http://www.ercoworldwide.com/ products_potassiumhydroxide.asp. Accessed	Distributional Effects of Environmental and Energy Policy: An Introduction.	Potassium Carbonate Faces Pressures from the Video Glass.” Chemical Market Reporter,	Site Fact Sheet Ashtabula Complex.” http://www.millenniumchem.com/NR/rdonlyres/6AE8BF59-D7CD-4768-951F37AE6F1C7321/0/SiteFactSheetAshtabula.pdf. Accessed	Occidental Chemical Corporation. 2008a. “OxyChem Caustic Potash Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Pages/chem_products_basic_alkali.aspx #alk_koh. Accessed	Occidental Chemical Corporation. 2008b. “OxyChem Caustic Soda Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Documents/caustic_soda/caustic.pdf.	Form 10-K405. Filed	Form 10-K. Filed	BB&T Capital Markets Presentation Manufacturing and Materials Conference.” http://www.olin.com/. Accessed	Bill Would End Mercury Use at Chlorine Plants.” http://chronicle.augusta.com/stories/031308/met_190792.shtml. Accessed	Form 10-K. Filed	Accessed	Form 10-K. Filed	Chlorine Product Bulletin.” http://corporateportal.ppg.com/NA/Chemicals/CAD/ProductInformation/Bull /English/EN. Accessed	PPG Reaches Agreement with State of Maryland.” PPG News Release. http://corporateportal.ppg.com/PPG/Newsroom/News/20090811.htm.	The Effects of Environmental Regulation on Technology Diffusion: The Case of	Special Focus on Chlorine.”	The Innovation Group (TIG).	of Labor Statistics.	of Labor Statistics. 2009b. LAU Local Area Unemployment Statistics Series Id:	of Labor Statistics.	4-13 U.S. Bureau of Labor Statistics.	of Labor Statistics.	Quarterly Financial Report for Manufacturing, Mining, and Trade Corporations, 1st Quarter reports. http://www.census.gov/prod/www/abs/qfrmm.html. Accessed	Economic Census.	http://factfinder.census.gov/servlet/DatasetMainPageServlet?_program=ECN&_tabId=E CN1&_submenuId=datasets_4&_lang=en&_ts=24636668839. Accessed	Bureau; generated by RTI International; using American FactFinder; “Sector 31: Manufacturing: Industry Series: Industry Statistics by Employment Size:	Department of Transportation.	Department of Transportation.	Environmental Protection Agency (EPA).	Federal Trade Commission (FTC).	Soda Ash. http://minerals.usgs.gov/minerals/pubs/ commodity/soda_ash/mcs-2009-sodaa.pdf. Accessed August 4,	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Environmental Protection Agency—Science Advisory Board (U.S.	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Environmental Protection Agency. RE: Docket No. EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants:	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act.	EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants: Mercury Emissions from Mercury Cell Chlor-Alkali Plants—Memo: “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell Chlor-Alkali Technology to Membrane Cell Technology,” from	B-4 Table B-3. Power Company Emission Factors: Fuel=Coal (Short tons per kWh)	Available on the internet at http://www.epa.gov/CAIR/pdfs/finaltech01.pdf U.S. Environmental Protection Agency	Available on the internet at http://www.epa.gov/cleanenergy/documents/egridzips/eGRID2007TechnicalSupportDoc ument.pdf U.S. Environmental Protection Agency
The Emissions and Generation Resource Integrated Database for 2007 (eGRID2007) Technical Support Document	0.6799999999999999	0.7	0.5800000000000001	0.74	0.72	0.72	0.56	0.5900000000000001	0.75	0.6599999999999999	0.63	0.77	0.7	0.6799999999999999	0.64	0.75	0.65	0.6799999999999999	0.75	0.75	0.75	0.7	0.6699999999999999	0.62	0.6	0.56	0.65	0.6699999999999999	0.65	0.6799999999999999	0.65	0.65	0.63	0.71	0.64	0.5900000000000001	0.5900000000000001	0.61	0.6799999999999999	0.73	0.63	0.65	0.62	0.6699999999999999	0.6599999999999999	0.62	0.62	0.65	0.69	0.47
User's Manual for the Co-Benefits Risk Assessment (COBRA) Screening Model	0.65	0.61	0.69	0.74	0.79	0.75	0.5900000000000001	0.65	0.74	0.6599999999999999	0.6599999999999999	0.72	0.72	0.72	0.74	0.69	0.6599999999999999	0.7	0.69	0.38	0.69	0.73	0.69	0.7	0.63	0.75	0.7	0.69	0.7	0.65	0.7	0.65	0.69	0.73	0.65	0.63	0.63	0.64	0.62	0.72	0.69	0.61	0.69	0.6799999999999999	0.7	0.62	0.62	0.6799999999999999	0.72	0.6799999999999999
Guidelines for Preparing Economic Analyses	0.5800000000000001	0.74	0.62	0.74	0.72	0.72	0.6599999999999999	0.5900000000000001	0.7	0.6	0.62	0.72	0.65	0.65	0.74	0.69	0.62	0.6	0.69	0.63	0.69	0.62	0.6699999999999999	0.6	0.63	0.71	0.65	0.65	0.65	0.6699999999999999	0.65	0.5800000000000001	0.31999999999999995	0.7	0.65	0.63	0.63	0.64	0.65	0.6699999999999999	0.65	0.65	0.65	0.65	0.65	0.62	0.6	0.62	0.65	0.65
"""Electric Power Annual 2007: State Data Tables"""	0.62	0.7	0.64	0.73	0.6599999999999999	0.6799999999999999	0.73	0.65	0.75	0.6599999999999999	0.71	0.71	0.64	0.64	0.69	0.75	0.64	0.71	0.75	0.75	0.75	0.6599999999999999	0.64	0.62	0.71	0.71	0.65	0.69	0.65	0.71	0.65	0.64	0.63	0.6599999999999999	0.62	0.69	0.69	0.69	0.6799999999999999	0.75	0.69	0.64	0.71	0.64	0.6599999999999999	0.6599999999999999	0.64	0.6599999999999999	0.7	0.6599999999999999
"""Summary of 2005 Cell Room Mercury Emissions Data for Occidental Chemical Company Mercury Cell Chlor-Alkali Plants"""	0.62	0.61	0.64	0.75	0.6799999999999999	0.69	0.6599999999999999	0.62	0.73	0.62	0.6	0.75	0.6799999999999999	0.6699999999999999	0.64	0.69	0.64	0.6799999999999999	0.69	0.63	0.69	0.6699999999999999	0.74	0.64	0.56	0.63	0.65	0.6699999999999999	0.65	0.6799999999999999	0.65	0.65	0.63	0.74	0.6699999999999999	0.6599999999999999	0.6599999999999999	0.5800000000000001	0.5900000000000001	0.73	0.64	0.6699999999999999	0.65	0.65	0.65	0.63	0.43999999999999995	0.5800000000000001	0.71	0.7
"""The Travancore-Cochin Chemicals Limited"""	0.5900000000000001	0.61	0.69	0.71	0.6599999999999999	0.72	0.69	0.65	0.69	0.74	0.5900000000000001	0.69	0.64	0.64	0.74	0.69	0.64	0.6599999999999999	0.69	0.75	0.69	0.64	0.71	0.6599999999999999	0.63	0.63	0.7	0.64	0.7	0.73	0.7	0.6599999999999999	0.5700000000000001	0.74	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.69	0.62	0.69	0.6599999999999999	0.5700000000000001	0.6599999999999999	0.5900000000000001	0.69	0.64	0.64	0.6599999999999999	0.71	0.6599999999999999
"""With Conditions, FTC Clears Occidental Chemical's Purchase of Vulcan's Chemical Assets"""	0.55	0.61	0.6599999999999999	0.72	0.6599999999999999	0.72	0.6599999999999999	0.6799999999999999	0.7	0.64	0.56	0.71	0.62	0.63	0.74	0.69	0.63	0.65	0.69	0.5	0.69	0.64	0.7	0.65	0.6	0.63	0.65	0.6799999999999999	0.65	0.63	0.65	0.65	0.63	0.73	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.64	0.65	0.69	0.6599999999999999	0.65	0.6699999999999999	0.7	0.7	0.6	0.61	0.65	0.7	0.7
Advisory on Plans for Health Effects Analysis in the Analytical Plan for EPA's Second Prospective Analysis-Benefits and Costs of the Clean Air Act, 1990-2020	0.6699999999999999	0.61	0.64	0.7	0.69	0.6599999999999999	0.6599999999999999	0.62	0.69	0.55	0.61	0.74	0.71	0.69	0.69	0.63	0.63	0.69	0.63	0.63	0.63	0.69	0.7	0.56	0.6	0.6	0.6	0.65	0.6	0.65	0.6	0.69	0.63	0.74	0.65	0.63	0.63	0.5800000000000001	0.62	0.7	0.62	0.63	0.5700000000000001	0.61	0.65	0.51	0.5900000000000001	0.65	0.63	0.6799999999999999
Average Retail Price of Electricity to Ultimate Customers by End-Use Sector, by State for 2006	0.62	0.61	0.6599999999999999	0.76	0.74	0.72	0.63	0.65	0.73	0.64	0.6599999999999999	0.74	0.6799999999999999	0.7	0.74	0.69	0.6799999999999999	0.7	0.69	0.63	0.69	0.69	0.65	0.64	0.6	0.71	0.6	0.64	0.6	0.6799999999999999	0.6	0.62	0.63	0.69	0.6	0.6599999999999999	0.6599999999999999	0.56	0.62	0.73	0.63	0.6	0.6	0.6	0.63	0.55	0.63	0.64	0.6799999999999999	0.6599999999999999
Clean Air Interstate Rule Emissions Inventory Technical Suport Document 	0.62	0.7	0.6	0.74	0.7	0.72	0.5900000000000001	0.56	0.74	0.64	0.63	0.7	0.7	0.6599999999999999	0.74	0.69	0.62	0.63	0.69	0.63	0.69	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.6	0.63	0.65	0.6699999999999999	0.65	0.6799999999999999	0.65	0.62	0.63	0.7	0.6	0.5900000000000001	0.5900000000000001	0.61	0.55	0.7	0.63	0.6	0.62	0.64	0.63	0.55	0.55	0.55	0.6599999999999999	0.49
Early MACT Compliance: Consent Agreement: Exhibits B and C	0.64	0.61	0.64	0.75	0.6799999999999999	0.72	0.63	0.62	0.76	0.6599999999999999	0.6599999999999999	0.73	0.6599999999999999	0.6599999999999999	0.79	0.75	0.64	0.6799999999999999	0.75	0.75	0.75	0.71	0.61	0.6799999999999999	0.63	0.71	0.75	0.64	0.75	0.76	0.75	0.5900000000000001	0.5	0.71	0.64	0.6599999999999999	0.6599999999999999	0.64	0.65	0.73	0.5900000000000001	0.5700000000000001	0.61	0.63	0.6799999999999999	0.6599999999999999	0.61	0.64	0.69	0.6799999999999999
Guidelines for Preparing Economic Analyses: External Review Draft	0.62	0.6	0.6	0.77	0.74	0.69	0.63	0.5900000000000001	0.71	0.62	0.62	0.74	0.65	0.6799999999999999	0.74	0.69	0.62	0.6699999999999999	0.69	0.75	0.69	0.6699999999999999	0.6699999999999999	0.65	0.63	0.71	0.7	0.65	0.7	0.6799999999999999	0.7	0.6	0.31999999999999995	0.6799999999999999	0.62	0.63	0.63	0.61	0.65	0.73	0.62	0.62	0.65	0.5700000000000001	0.7	0.62	0.64	0.64	0.6799999999999999	0.6799999999999999
Homeland Security Information Plan	0.5900000000000001	0.7	0.56	0.71	0.71	0.79	0.5900000000000001	0.44999999999999996	0.71	0.5	0.5900000000000001	0.71	0.56	0.5900000000000001	0.74	0.69	0.5900000000000001	0.5	0.69	0.75	0.69	0.5	0.5900000000000001	0.5900000000000001	0.6	0.6	0.7	0.65	0.7	0.6799999999999999	0.7	0.56	0.63	0.65	0.5900000000000001	0.56	0.56	0.62	0.62	0.6799999999999999	0.56	0.53	0.62	0.65	0.56	0.56	0.53	0.62	0.62	0.5900000000000001
Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document	0.7	0.61	0.64	0.78	0.7	0.69	0.5900000000000001	0.6799999999999999	0.71	0.6699999999999999	0.64	0.75	0.73	0.7	0.74	0.69	0.7	0.72	0.69	0.38	0.69	0.72	0.6799999999999999	0.65	0.6	0.71	0.7	0.69	0.7	0.71	0.7	0.7	0.63	0.75	0.69	0.63	0.63	0.6599999999999999	0.6799999999999999	0.72	0.6599999999999999	0.5900000000000001	0.6	0.6599999999999999	0.71	0.65	0.62	0.6699999999999999	0.69	0.64
Mercury from the HoltraChem Manufacturing Co.	0.47	0.53	0.69	0.65	0.72	0.72	0.6599999999999999	0.62	0.6699999999999999	0.63	0.47	0.69	0.6	0.63	0.69	0.69	0.52	0.56	0.69	0.88	0.69	0.69	0.6	0.6	0.63	0.6	0.7	0.69	0.7	0.71	0.7	0.47	0.69	0.6699999999999999	0.49	0.63	0.63	0.61	0.65	0.72	0.65	0.5800000000000001	0.6699999999999999	0.65	0.69	0.6	0.54	0.6699999999999999	0.65	0.65
Mercury in fish, bed sediment, and water from streams across the United States, 1998-2005	0.62	0.61	0.6599999999999999	0.71	0.74	0.69	0.56	0.5900000000000001	0.71	0.6	0.62	0.72	0.71	0.71	0.69	0.63	0.6699999999999999	0.61	0.63	0.5	0.63	0.74	0.6599999999999999	0.64	0.6699999999999999	0.6699999999999999	0.6	0.65	0.6	0.6799999999999999	0.6	0.6	0.69	0.7	0.63	0.63	0.63	0.6599999999999999	0.65	0.72	0.62	0.5800000000000001	0.64	0.6599999999999999	0.65	0.6	0.5900000000000001	0.65	0.6699999999999999	0.6699999999999999
Mercury Storage Cost Estimates-Final Report 	0.55	0.61	0.64	0.71	0.71	0.72	0.6599999999999999	0.56	0.6599999999999999	0.5700000000000001	0.6	0.69	0.6599999999999999	0.6599999999999999	0.69	0.63	0.62	0.5700000000000001	0.63	0.75	0.63	0.64	0.64	0.6	0.6699999999999999	0.6699999999999999	0.55	0.62	0.55	0.6799999999999999	0.55	0.53	0.69	0.62	0.5700000000000001	0.63	0.63	0.72	0.5900000000000001	0.71	0.62	0.6	0.6599999999999999	0.55	0.6599999999999999	0.53	0.55	0.6	0.64	0.64
Mercury Study Report to Congress Volume VIII: An Evaluation of Mercury Control Technologies and Costs 	0.65	0.61	0.62	0.74	0.73	0.75	0.63	0.62	0.73	0.62	0.6599999999999999	0.74	0.7	0.69	0.74	0.69	0.63	0.65	0.69	0.75	0.69	0.69	0.7	0.53	0.56	0.52	0.65	0.6799999999999999	0.65	0.71	0.65	0.62	0.63	0.72	0.6	0.63	0.63	0.64	0.62	0.73	0.65	0.5900000000000001	0.65	0.6699999999999999	0.6799999999999999	0.62	0.51	0.65	0.69	0.6599999999999999
Notice of Availability	0.55	0.69	0.64	0.69	0.69	0.73	0.69	0.6	0.73	0.6	0.64	0.69	0.6	0.64	0.74	0.69	0.64	0.69	0.69	0.75	0.69	0.6	0.55	0.6	0.69	0.73	0.65	0.69	0.65	0.6	0.65	0.64	0.8200000000000001	0.73	0.69	0.6	0.6	0.69	0.78	0.69	0.55	0.55	0.64	0.55	0.64	0.64	0.6	0.69	0.69	0.69
Notice of Availability	0.55	0.69	0.64	0.69	0.69	0.73	0.69	0.6	0.73	0.6	0.64	0.69	0.6	0.64	0.74	0.69	0.64	0.69	0.69	0.75	0.69	0.6	0.55	0.6	0.69	0.73	0.65	0.69	0.65	0.6	0.65	0.64	0.8200000000000001	0.73	0.69	0.6	0.6	0.69	0.78	0.69	0.55	0.55	0.64	0.55	0.64	0.64	0.6	0.69	0.69	0.69
Pipeline and Hazardous Materials Safety Administration	0.6	0.6599999999999999	0.5800000000000001	0.69	0.71	0.72	0.63	0.41000000000000003	0.71	0.62	0.65	0.69	0.6699999999999999	0.69	0.74	0.69	0.54	0.62	0.69	0.75	0.69	0.65	0.6699999999999999	0.6699999999999999	0.63	0.6699999999999999	0.6	0.69	0.6	0.65	0.6	0.62	0.75	0.69	0.6	0.55	0.55	0.61	0.55	0.69	0.6	0.56	0.63	0.6	0.56	0.5800000000000001	0.52	0.65	0.69	0.6699999999999999
Quarterly Census of Employment and Wages	0.55	0.5700000000000001	0.6	0.6799999999999999	0.75	0.75	0.63	0.62	0.73	0.44999999999999996	0.55	0.6799999999999999	0.65	0.65	0.74	0.69	0.6	0.63	0.69	0.63	0.69	0.7	0.65	0.55	0.6	0.75	0.7	0.53	0.7	0.71	0.7	0.53	0.5700000000000001	0.6	0.48	0.56	0.56	0.71	0.65	0.65	0.6	0.6	0.6799999999999999	0.63	0.65	0.6	0.63	0.65	0.65	0.6
Reference Document on Best Available Techniques in the Chlor-Alkali Manufacturing Industry	0.5900000000000001	0.5700000000000001	0.62	0.77	0.74	0.69	0.56	0.62	0.74	0.62	0.61	0.72	0.72	0.73	0.74	0.69	0.6599999999999999	0.6699999999999999	0.69	0.75	0.69	0.6799999999999999	0.6599999999999999	0.5700000000000001	0.52	0.71	0.7	0.6799999999999999	0.7	0.73	0.7	0.63	0.63	0.72	0.5	0.5900000000000001	0.5900000000000001	0.64	0.65	0.74	0.65	0.5800000000000001	0.64	0.65	0.62	0.54	0.55	0.6699999999999999	0.6699999999999999	0.65
Soda Ash	0.38	0.88	0.75	0.63	0.63	0.63	0.75	0.63	0.63	0.63	0.63	0.63	0.63	0.38	0.75	0.75	0.63	0.63	0.75	0.75	0.75	0.63	0.63	0.63	0.63	0.75	0.63	0.5	0.63	0.75	0.63	0.63	0.75	0.63	0.63	0.75	0.75	0.75	0.63	0.0	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.5	0.63	0.63
Status Report: Mercury Cell Chlor-Alkali Plants in Europe	0.62	0.6599999999999999	0.64	0.74	0.78	0.69	0.69	0.62	0.69	0.64	0.65	0.6699999999999999	0.64	0.6699999999999999	0.74	0.69	0.64	0.48	0.69	0.75	0.69	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6	0.6699999999999999	0.7	0.69	0.7	0.6799999999999999	0.7	0.62	0.69	0.71	0.64	0.69	0.69	0.72	0.6799999999999999	0.72	0.5800000000000001	0.64	0.72	0.62	0.65	0.64	0.31999999999999995	0.64	0.72	0.65
Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-Related Mortality: Technical suport Document	0.7	0.61	0.5800000000000001	0.6799999999999999	0.69	0.69	0.56	0.5900000000000001	0.6799999999999999	0.5800000000000001	0.62	0.74	0.6599999999999999	0.6799999999999999	0.64	0.5700000000000001	0.61	0.6699999999999999	0.5700000000000001	0.5	0.5700000000000001	0.6599999999999999	0.65	0.5800000000000001	0.6	0.6	0.6	0.62	0.6	0.65	0.6	0.63	0.5700000000000001	0.74	0.65	0.52	0.52	0.61	0.65	0.7	0.62	0.5900000000000001	0.62	0.62	0.65	0.5700000000000001	0.5800000000000001	0.63	0.62	0.63
Technical Support Document: Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order 12866	0.65	0.7	0.62	0.7	0.7	0.63	0.63	0.5900000000000001	0.69	0.6	0.62	0.74	0.65	0.6599999999999999	0.74	0.69	0.65	0.71	0.69	0.63	0.69	0.6799999999999999	0.6599999999999999	0.5800000000000001	0.49	0.63	0.55	0.63	0.55	0.63	0.55	0.63	0.63	0.71	0.64	0.5900000000000001	0.5900000000000001	0.61	0.6799999999999999	0.75	0.63	0.5900000000000001	0.64	0.64	0.6599999999999999	0.61	0.62	0.64	0.7	0.62
"""Part 172-Hazardous Materials Table, special Provisions, Hazardous Materials Communications, Emergency Response Information, Training Requirements, and Security Plans"""	0.69	0.6599999999999999	0.54	0.6699999999999999	0.6799999999999999	0.69	0.52	0.42000000000000004	0.6799999999999999	0.5800000000000001	0.5800000000000001	0.76	0.71	0.7	0.74	0.69	0.5700000000000001	0.6799999999999999	0.69	0.5	0.69	0.64	0.69	0.62	0.52	0.52	0.65	0.65	0.65	0.71	0.65	0.64	0.63	0.74	0.62	0.49	0.49	0.56	0.55	0.6699999999999999	0.62	0.64	0.6	0.65	0.61	0.5900000000000001	0.62	0.56	0.6699999999999999	0.6599999999999999
Economic Impact Analysis of Final Iron and Steel Foundries NESHAP	0.5700000000000001	0.6599999999999999	0.64	0.7	0.73	0.69	0.6599999999999999	0.5900000000000001	0.6799999999999999	0.62	0.6699999999999999	0.73	0.65	0.6699999999999999	0.74	0.69	0.5900000000000001	0.6799999999999999	0.69	0.75	0.69	0.6799999999999999	0.65	0.64	0.56	0.63	0.6	0.65	0.6	0.6799999999999999	0.6	0.64	0.43999999999999995	0.74	0.62	0.5900000000000001	0.5900000000000001	0.61	0.62	0.7	0.6	0.5900000000000001	0.64	0.65	0.65	0.64	0.5900000000000001	0.64	0.6799999999999999	0.65
Integrated Science Assessment for Oxides of Nitrogen and Sulfur-Ecological Criteria National	0.6599999999999999	0.61	0.62	0.76	0.78	0.63	0.5900000000000001	0.5900000000000001	0.71	0.5800000000000001	0.61	0.71	0.7	0.71	0.74	0.69	0.65	0.6799999999999999	0.69	0.38	0.69	0.6599999999999999	0.64	0.62	0.63	0.71	0.65	0.71	0.65	0.71	0.65	0.6	0.43999999999999995	0.69	0.6	0.63	0.63	0.6599999999999999	0.65	0.74	0.64	0.5700000000000001	0.6	0.64	0.6599999999999999	0.61	0.61	0.6699999999999999	0.6699999999999999	0.65
Form 10-K	0.6699999999999999	0.78	0.6699999999999999	0.78	0.78	0.78	0.78	0.6699999999999999	0.6699999999999999	0.78	0.6699999999999999	0.78	0.78	0.78	0.0	0.0	0.6699999999999999	0.78	0.0	1.0	0.0	0.6699999999999999	0.78	0.78	0.6699999999999999	0.78	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.78	0.56	0.6699999999999999	0.6699999999999999	0.78	0.6699999999999999	0.78	0.6699999999999999	0.78	0.78	0.78	0.78	0.6699999999999999	0.6699999999999999	0.56	0.78	0.78
Review of EPA's Integrated Science Assessment for Particulate Matter	0.65	0.6599999999999999	0.64	0.77	0.73	0.72	0.52	0.5900000000000001	0.73	0.6699999999999999	0.5900000000000001	0.6799999999999999	0.7	0.6799999999999999	0.74	0.69	0.65	0.62	0.69	0.38	0.69	0.73	0.64	0.64	0.6699999999999999	0.71	0.6	0.6799999999999999	0.6	0.65	0.6	0.65	0.5700000000000001	0.7	0.5900000000000001	0.56	0.56	0.61	0.6799999999999999	0.71	0.5900000000000001	0.44999999999999996	0.5900000000000001	0.5800000000000001	0.65	0.61	0.61	0.65	0.65	0.65
SAB Advisory on EPA's Issues in Valuing Mortality Risk Reduction	0.6599999999999999	0.7	0.5800000000000001	0.75	0.74	0.69	0.52	0.5900000000000001	0.74	0.5800000000000001	0.6599999999999999	0.74	0.6799999999999999	0.6599999999999999	0.69	0.69	0.61	0.6799999999999999	0.69	0.63	0.69	0.72	0.69	0.65	0.63	0.6699999999999999	0.55	0.6599999999999999	0.55	0.63	0.55	0.6599999999999999	0.63	0.74	0.63	0.65	0.65	0.6599999999999999	0.65	0.6799999999999999	0.5800000000000001	0.6	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.55	0.61	0.63	0.69	0.6799999999999999
Quarterly Financial Report for Manufacturing, Mining, and Trade Corporations, 1st Qyarter Reports	0.65	0.61	0.47	0.72	0.75	0.69	0.63	0.56	0.74	0.6	0.62	0.75	0.65	0.6599999999999999	0.79	0.75	0.5800000000000001	0.71	0.75	0.75	0.75	0.71	0.6799999999999999	0.62	0.63	0.6	0.6	0.65	0.6	0.65	0.6	0.030000000000000027	0.63	0.7	0.54	0.52	0.52	0.64	0.55	0.76	0.61	0.62	0.64	0.64	0.63	0.62	0.61	0.63	0.7	0.6799999999999999
"""PPG Reaches Agreement with State of Maryland"""	0.61	0.61	0.6799999999999999	0.6799999999999999	0.74	0.75	0.63	0.65	0.72	0.6599999999999999	0.5900000000000001	0.7	0.7	0.7	0.74	0.75	0.5700000000000001	0.6799999999999999	0.75	0.63	0.75	0.7	0.050000000000000044	0.6599999999999999	0.6699999999999999	0.71	0.7	0.5900000000000001	0.7	0.71	0.7	0.6799999999999999	0.75	0.6799999999999999	0.6599999999999999	0.56	0.56	0.72	0.71	0.77	0.6599999999999999	0.55	0.6599999999999999	0.61	0.7	0.61	0.5900000000000001	0.7	0.6799999999999999	0.64
2009a About ASHTA	0.71	0.71	0.77	0.65	0.06000000000000005	0.53	0.83	0.71	0.77	0.71	0.71	0.71	0.65	0.65	0.83	0.88	0.77	0.71	0.88	0.88	0.88	0.77	0.71	0.71	0.71	0.65	0.71	0.53	0.71	0.65	0.71	0.71	0.88	0.83	0.71	0.83	0.83	0.65	0.77	0.5900000000000001	0.71	0.71	0.65	0.71	0.71	0.71	0.65	0.71	0.71	0.65
"""BB&T Capital Markets Presentation Manufacturing Materials Conference"""	0.63	0.6599999999999999	0.6	0.75	0.69	0.72	0.56	0.5900000000000001	0.73	0.63	0.5900000000000001	0.72	0.6599999999999999	0.69	0.79	0.75	0.06000000000000005	0.6599999999999999	0.75	0.75	0.75	0.69	0.65	0.63	0.6	0.63	0.6	0.65	0.6	0.6799999999999999	0.6	0.52	0.69	0.72	0.55	0.52	0.52	0.61	0.65	0.73	0.62	0.6	0.62	0.6	0.69	0.5900000000000001	0.6	0.65	0.69	0.6599999999999999
"""Chlor-Alkali Industry 2008. Mercury Use and Emissions in the United States (Twelfth Annual Report)"""	0.65	0.5700000000000001	0.64	0.76	0.69	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.71	0.64	0.6	0.76	0.6599999999999999	0.6699999999999999	0.64	0.63	0.6799999999999999	0.61	0.63	0.63	0.63	0.7	0.72	0.6599999999999999	0.63	0.6699999999999999	0.65	0.62	0.65	0.65	0.65	0.64	0.63	0.7	0.65	0.63	0.63	0.6599999999999999	0.55	0.73	0.6599999999999999	0.6	0.7	0.6599999999999999	0.6699999999999999	0.61	0.5700000000000001	0.6	0.6699999999999999	0.6799999999999999
"""Chlor-Alkali Manufacturing Processes"""	0.48	0.74	0.5800000000000001	0.74	0.77	0.75	0.76	0.6799999999999999	0.69	0.6599999999999999	0.64	0.69	0.6599999999999999	0.6599999999999999	0.79	0.75	0.48	0.61	0.75	0.38	0.75	0.61	0.69	0.6599999999999999	0.6699999999999999	0.6599999999999999	0.7	0.69	0.7	0.73	0.7	0.53	0.5700000000000001	0.6599999999999999	0.44999999999999996	0.73	0.73	0.71	0.71	0.69	0.64	0.64	0.69	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.5	0.72	0.72	0.69
"""Chlorine Product Bulletin"""	0.44999999999999996	0.7	0.56	0.71	0.75	0.75	0.6699999999999999	0.63	0.56	0.56	0.6699999999999999	0.71	0.6699999999999999	0.6699999999999999	0.74	0.69	0.63	0.52	0.69	0.88	0.69	0.07999999999999996	0.75	0.63	0.71	0.6699999999999999	0.75	0.6699999999999999	0.75	0.75	0.75	0.63	0.63	0.71	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.56	0.75	0.71	0.56	0.52	0.56	0.6699999999999999	0.6	0.56	0.30000000000000004	0.6699999999999999	0.56	0.56
"""Chlorine: Ensuring Rail Transportation Safety"""	0.5800000000000001	0.7	0.050000000000000044	0.69	0.73	0.72	0.63	0.5	0.71	0.64	0.6599999999999999	0.75	0.5800000000000001	0.6	0.79	0.75	0.6	0.5800000000000001	0.75	0.88	0.75	0.5800000000000001	0.6599999999999999	0.64	0.6699999999999999	0.6699999999999999	0.6	0.64	0.6	0.65	0.6	0.49	0.63	0.6599999999999999	0.5800000000000001	0.38	0.38	0.55	0.62	0.69	0.6	0.6	0.62	0.6	0.6599999999999999	0.6	0.6	0.64	0.6	0.6
