	Simplified Flow Sheet of Clinker and Cement Manufacture........................................ 2-2 2-2. Labor Costs per Metric Ton of Cement	Current Employment Statistics (National): Customizable Data Tables” Available at As obtained on	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Cement Association.	Cement Association. 2008b. “Market Research: Producer Price Indices—Competitive Building Materials.” Available at	Cement Association (PCA).	Department of Commerce, Bureau of the Census.	DC: Government Printing Office. Available at As obtained on	the Census.	DC: Government Printing Office. Available at As obtained on	Optimal Tariffs and Market Power: The Evidence.” American Economic Review 98(5):2032-2065.	Estimating Particulate MatterMortality Dose-Response Curves and Threshold Levels: An Analysis of Daily TimeSeries for the 20 Largest	A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the U.S.	D&B Million Dollar Directory.	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Multimarket Contact and Pricing: Evidence from the U.S.	Historical Statistics for Mineral and Material Commodities in the United States: Cement End Use Statistics.” U.S. Geological Survey Data Series 140, Version 1.2. Available at	Historical Statistics for Mineral and Material Commodities in the United States: Cement Supply and	Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality. Special Report to the Health Effects Institute.	Reduction in Fine Particulate Air Pollution and Mortality.”	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Price and Seller Concentration in Cement: Effective Oligopoly or	Circular A-4: Regulatory Analysis.	Invited Commentary: Particulate Matter-Mortality Exposure-Response Relations and Thresholds.”	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	U.S. and Canadian Portland Cement Industry: Plant Information Summary.	U.S. and Canadian Labor-Energy Input Survey	Flash Report: Capacity Expansion Update.” Available at < http://www.cement.org/econ/pdf/NONMEMBERCapacity Expansion.pdf>. As obtained on	Association (PCA). 2008a. “Cement and Concrete Basics: History & Manufacture of Portland Cement.” Available at concretebasics_history.asp>.	Association (PCA). 2008b. “Market Research: Producer Price Indices— Competitive Building Materials.” Available at	Association (PCA).	Cement Plant Operating Cost Study.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci.	Air Pollution and Cause-Specific Mortality in Milan, Italy, 1980–1989.” Arch Environ Health	The Cost of Environmental Regulation in a Concentrated Industry.” Available at	The Concentration-Response Relation between PM(2.5) and Daily Deaths.” Environ Health Perspectives	The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival.” Environmental Health Perspectives	Using Meta-Smoothing to Estimate Dose-Response Trends Across Multiple Studies, with Application to Air Pollution and Daily Death.”	Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix,	of the Census.	of the Census.	of the Census; generated by RTI International; using American FactFinder; “Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Department of Commerce, Bureau of Economic Analysis.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey. 2008b. Minerals Commodity Summaries, Cement	Current Employment Statistics (National): Customizable Data Tables.” Available at As obtained on	Statistics (BLS). 2007b. “State and Area Employment, Hours and Earnings	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Regulatory Impact Analysis of Cement Kiln Dust Rulemaking. Appendix C,	Environmental Protection Agency (EPA).	Environmental Protection Agency (EPA).	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency Science Advisory	Environmental Protection Agency Science Advisory	Advisory on Plans for Health Effects Analysis for EPA’s Second Prospective Analysis— Benefits and Costs of the Clean Air Act,	Environmental Protection Agency Science Advisory	Environmental Protection Agency Science Advisory	International Trade Commission (USITC). 2006. Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review). Publication 3856. Available at	Trade Commission.	Cement Manufacture and the Environment Part I: Chemistry and	Microeconomic Analysis. 3rd Ed.
The Concentration-Response Relation between PM(2.5) and Daily Deaths	0.38888888888888884	0.4871794871794872	0.5476190476190477	0.6451612903225806	0.5116279069767442	0.5483870967741935	0.5882352941176471	0.5405405405405406	0.7333333333333334	0.5405405405405406	0.41860465116279066	0.42500000000000004	0.45945945945945943	0.5483870967741935	0.5526315789473684	0.5897435897435898	0.574468085106383	0.5277777777777778	0.4871794871794872	0.5151515151515151	0.5135135135135135	0.5945945945945945	0.5294117647058824	0.4054054054054054	0.5128205128205128	0.5833333333333333	0.5945945945945945	0.5434782608695652	0.4772727272727273	0.4651162790697675	0.5666666666666667	0.5428571428571429	0.5238095238095238	0.5454545454545454	0.5	0.12121212121212122	0.4871794871794872	0.39473684210526316	0.4117647058823529	0.7096774193548387	0.7096774193548387	0.5454545454545454	0.5555555555555556	0.6111111111111112	0.6111111111111112	0.6111111111111112	0.6111111111111112	0.6153846153846154	0.6153846153846154	0.6153846153846154	0.6153846153846154	0.6153846153846154	0.6153846153846154	0.6153846153846154	0.6153846153846154	0.6153846153846154	0.4878048780487805	0.46153846153846156	0.5476190476190477	0.5476190476190477	0.5384615384615384	0.5588235294117647	0.5588235294117647	0.6176470588235294	0.6176470588235294	0.625	0.6	0.6	0.5641025641025641	0.6	0.6	0.4693877551020408	0.6	0.5555555555555556	0.5757575757575757
The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival	0.4285714285714286	0.4	0.38888888888888884	0.6071428571428572	0.5121951219512195	0.6	0.5483870967741935	0.3548387096774194	0.75	0.3548387096774194	0.5227272727272727	0.33333333333333337	0.4571428571428572	0.6451612903225806	0.375	0.375	0.4390243902439024	0.48484848484848486	0.4	0.5625	0.32258064516129037	0.4193548387096774	0.5757575757575757	0.4864864864864865	0.5135135135135135	0.5	0.5588235294117647	0.5116279069767442	0.5454545454545454	0.5348837209302326	0.6666666666666667	0.5	0.36111111111111116	0.5121951219512195	0.3125	0.4871794871794872	0.1333333333333333	0.34285714285714286	0.4545454545454546	0.6785714285714286	0.6785714285714286	0.4358974358974359	0.46875	0.4838709677419355	0.4838709677419355	0.4838709677419355	0.4838709677419355	0.4545454545454546	0.4545454545454546	0.4545454545454546	0.4545454545454546	0.4545454545454546	0.4545454545454546	0.4545454545454546	0.4545454545454546	0.4545454545454546	0.4473684210526315	0.41666666666666663	0.5128205128205128	0.38888888888888884	0.5	0.4666666666666667	0.4666666666666667	0.4285714285714286	0.4285714285714286	0.32258064516129037	0.2962962962962963	0.2962962962962963	0.4411764705882353	0.2962962962962963	0.2962962962962963	0.5306122448979591	0.6071428571428572	0.4193548387096774	0.5333333333333333
Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix, Arizona	0.4864864864864865	0.45945945945945943	0.4871794871794872	0.6206896551724138	0.5909090909090908	0.6129032258064516	0.5161290322580645	0.5142857142857142	0.7586206896551724	0.5142857142857142	0.5652173913043479	0.39473684210526316	0.38235294117647056	0.5666666666666667	0.4411764705882353	0.5277777777777778	0.5227272727272727	0.4545454545454546	0.37142857142857144	0.4838709677419355	0.48571428571428577	0.48484848484848486	0.5882352941176471	0.41666666666666663	0.3529411764705882	0.5588235294117647	0.6486486486486487	0.4883720930232558	0.5555555555555556	0.6086956521739131	0.6333333333333333	0.5588235294117647	0.3783783783783784	0.44999999999999996	0.4722222222222222	0.46153846153846156	0.45945945945945943	0.4054054054054054	0.07407407407407407	0.6896551724137931	0.6896551724137931	0.4878048780487805	0.3870967741935484	0.4516129032258065	0.4516129032258065	0.4516129032258065	0.4516129032258065	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5	0.4736842105263158	0.5952380952380952	0.4871794871794872	0.4285714285714286	0.5757575757575757	0.5757575757575757	0.5483870967741935	0.5483870967741935	0.48571428571428577	0.4838709677419355	0.4838709677419355	0.36363636363636365	0.4838709677419355	0.4838709677419355	0.6481481481481481	0.6206896551724138	0.4375	0.5
Cement Plant Operating Cost Study	0.5151515151515151	0.48484848484848486	0.47058823529411764	0.5652173913043479	0.5526315789473684	0.56	0.5555555555555556	0.4482758620689655	0.6818181818181819	0.4482758620689655	0.6590909090909092	0.4571428571428572	0.5454545454545454	0.6153846153846154	0.4666666666666667	0.4666666666666667	0.5853658536585367	0.37037037037037035	0.4375	0.5185185185185186	0.4666666666666667	0.28	0.4814814814814815	0.48484848484848486	0.4193548387096774	0.31999999999999995	0.4642857142857143	0.5853658536585367	0.5853658536585367	0.575	0.64	0.09090909090909094	0.4411764705882353	0.5526315789473684	0.5	0.6052631578947368	0.48484848484848486	0.47058823529411764	0.5	0.6521739130434783	0.6521739130434783	0.5135135135135135	0.4642857142857143	0.4814814814814815	0.4814814814814815	0.4814814814814815	0.4814814814814815	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.48571428571428577	0.5	0.5142857142857142	0.47058823529411764	0.4516129032258065	0.5185185185185186	0.5185185185185186	0.48	0.48	0.3571428571428571	0.33333333333333337	0.33333333333333337	0.4838709677419355	0.33333333333333337	0.33333333333333337	0.5957446808510638	0.5	0.4642857142857143	0.5384615384615384
Microeconomic Analysis. 3rd Ed	0.5757575757575757	0.5454545454545454	0.5714285714285714	0.44999999999999996	0.6052631578947368	0.5217391304347826	0.6296296296296297	0.5172413793103448	0.7727272727272727	0.5172413793103448	0.575	0.5555555555555556	0.4666666666666667	0.4545454545454546	0.5333333333333333	0.5333333333333333	0.5641025641025641	0.5	0.4516129032258065	0.41666666666666663	0.48275862068965514	0.5357142857142857	0.5	0.5	0.43333333333333335	0.5185185185185186	0.6333333333333333	0.5641025641025641	0.6	0.625	0.6086956521739131	0.5185185185185186	0.5	0.5675675675675675	0.4666666666666667	0.5833333333333333	0.5454545454545454	0.48484848484848486	0.5172413793103448	0.7391304347826086	0.7391304347826086	0.5675675675675675	0.42307692307692313	0.43999999999999995	0.43999999999999995	0.43999999999999995	0.43999999999999995	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.5833333333333333	0.5151515151515151	0.5294117647058824	0.5714285714285714	0.5161290322580645	0.41666666666666663	0.41666666666666663	0.36363636363636365	0.36363636363636365	0.4285714285714286	0.34782608695652173	0.34782608695652173	0.5483870967741935	0.34782608695652173	0.34782608695652173	0.6666666666666667	0.44999999999999996	0.4814814814814815	0.0
USITC Interactive Tariff and Trade DataWeb	0.5882352941176471	0.5588235294117647	0.5	0.6666666666666667	0.6829268292682926	0.7037037037037037	0.6428571428571428	0.5333333333333333	0.782608695652174	0.5333333333333333	0.7391304347826086	0.6052631578947368	0.5757575757575757	0.6538461538461539	0.6764705882352942	0.5483870967741935	0.6097560975609756	0.5666666666666667	0.6	0.7	0.6764705882352942	0.5517241379310345	0.7096774193548387	0.6388888888888888	0.736842105263158	0.5357142857142857	0.5	0.6744186046511628	0.7045454545454546	0.6976744186046512	0.7307692307692308	0.6774193548387097	0.5555555555555556	0.65	0.53125	0.631578947368421	0.5588235294117647	0.6578947368421053	0.5806451612903225	0.75	0.75	0.5789473684210527	0.6451612903225806	0.6206896551724138	0.6206896551724138	0.6206896551724138	0.6206896551724138	0.5333333333333333	0.5333333333333333	0.5333333333333333	0.5333333333333333	0.5333333333333333	0.5333333333333333	0.5333333333333333	0.5333333333333333	0.5333333333333333	0.5142857142857142	0.5714285714285714	0.725	0.5	0.6176470588235294	0.7	0.7	0.6785714285714286	0.6785714285714286	0.6363636363636364	0.6071428571428572	0.6071428571428572	0.6060606060606061	0.6071428571428572	0.6071428571428572	0.6458333333333333	0.6086956521739131	0.5517241379310345	0.7241379310344828
nan	0.9310344827586207	0.9333333333333333	0.9375	0.8461538461538461	0.9428571428571428	0.875	0.8947368421052632	0.92	0.9	0.92	0.9487179487179487	0.9411764705882353	0.9285714285714286	0.875	0.9230769230769231	0.9230769230769231	0.9473684210526316	0.9166666666666666	0.9333333333333333	0.9	0.9230769230769231	0.9130434782608696	0.9047619047619048	0.9333333333333333	0.9310344827586207	0.9090909090909091	0.9130434782608696	0.9473684210526316	0.9473684210526316	0.9459459459459459	0.8571428571428572	0.9090909090909091	0.9393939393939394	0.9428571428571428	0.9285714285714286	0.9393939393939394	0.9333333333333333	0.9375	0.92	0.9166666666666666	0.9166666666666666	0.9428571428571428	0.9130434782608696	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.9393939393939394	0.935483870967742	0.9375	0.9375	0.9285714285714286	0.9	0.9	0.8888888888888888	0.8888888888888888	0.9230769230769231	0.9	0.9	0.9259259259259259	0.9	0.9	0.9565217391304348	0.8461538461538461	0.9130434782608696	0.8888888888888888
 Electric Power Annual 2005	0.6176470588235294	0.6285714285714286	0.6486486486486487	0.5909090909090908	0.6052631578947368	0.5833333333333333	0.6785714285714286	0.6129032258064516	0.7727272727272727	0.6129032258064516	0.575	0.5555555555555556	0.6470588235294117	0.5833333333333333	0.5333333333333333	0.5806451612903225	0.6341463414634146	0.6451612903225806	0.5882352941176471	0.48	0.5333333333333333	0.5862068965517242	0.5555555555555556	0.6285714285714286	0.5757575757575757	0.6206896551724138	0.6774193548387097	0.6976744186046512	0.6341463414634146	0.625	0.6086956521739131	0.6206896551724138	0.6216216216216216	0.6052631578947368	0.6060606060606061	0.5833333333333333	0.5454545454545454	0.5714285714285714	0.6129032258064516	0.7391304347826086	0.7391304347826086	0.7073170731707317	0.5357142857142857	0.6551724137931034	0.6551724137931034	0.6551724137931034	0.6551724137931034	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.6578947368421053	0.6388888888888888	0.5714285714285714	0.6486486486486487	0.6470588235294117	0.48	0.48	0.4347826086956522	0.4347826086956522	0.5333333333333333	0.48	0.48	0.59375	0.48	0.48	0.6382978723404256	0.7083333333333333	0.5862068965517242	0.56
 Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.5	0.5135135135135135	0.5384615384615384	0.5925925925925926	0.42105263157894735	0.5862068965517242	0.48275862068965514	0.4375	0.7407407407407407	0.4375	0.5454545454545454	0.4054054054054054	0.4411764705882353	0.6333333333333333	0.24137931034482762	0.4545454545454546	0.5	0.4193548387096774	0.33333333333333337	0.5	0.038461538461538436	0.4516129032258065	0.5161290322580645	0.4722222222222222	0.4571428571428572	0.53125	0.5882352941176471	0.46341463414634143	0.46341463414634143	0.44999999999999996	0.6551724137931034	0.4838709677419355	0.38888888888888884	0.5	0.34375	0.5128205128205128	0.28125	0.41666666666666663	0.48484848484848486	0.6666666666666667	0.6666666666666667	0.46153846153846156	0.4	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.5294117647058824	0.5294117647058824	0.5294117647058824	0.5294117647058824	0.5294117647058824	0.5294117647058824	0.5294117647058824	0.5294117647058824	0.5294117647058824	0.5128205128205128	0.5263157894736843	0.41666666666666663	0.5384615384615384	0.4411764705882353	0.5	0.5	0.4642857142857143	0.4642857142857143	0.40625	0.3928571428571429	0.3928571428571429	0.375	0.3928571428571429	0.3928571428571429	0.5800000000000001	0.6428571428571428	0.4516129032258065	0.5172413793103448
2000 Minerals Yearbook, Cement	0.5	0.6388888888888888	0.6578947368421053	0.5454545454545454	0.5405405405405406	0.6	0.5925925925925926	0.5806451612903225	0.7272727272727273	0.5806451612903225	0.6511627906976745	0.6052631578947368	0.6176470588235294	0.6	0.6363636363636364	0.59375	0.575	0.5666666666666667	0.6388888888888888	0.6551724137931034	0.6363636363636364	0.6451612903225806	0.6206896551724138	0.6388888888888888	0.5882352941176471	0.5862068965517242	0.6875	0.6744186046511628	0.6097560975609756	0.5641025641025641	0.6799999999999999	0.5862068965517242	0.631578947368421	0.65	0.6176470588235294	0.631578947368421	0.6756756756756757	0.6578947368421053	0.5806451612903225	0.6956521739130435	0.6956521739130435	0.65	0.5517241379310345	0.6206896551724138	0.6206896551724138	0.6206896551724138	0.6206896551724138	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.5142857142857142	0.6486486486486487	0.5833333333333333	0.6578947368421053	0.5757575757575757	0.6551724137931034	0.6551724137931034	0.6296296296296297	0.6296296296296297	0.6363636363636364	0.6071428571428572	0.6071428571428572	0.6470588235294117	0.6071428571428572	0.6071428571428572	0.6734693877551021	0.5454545454545454	0.6	0.5769230769230769
2001 Annual Survey of Manufactures	0.5588235294117647	0.5714285714285714	0.5945945945945945	0.625	0.5897435897435898	0.6666666666666667	0.6071428571428572	0.59375	0.7391304347826086	0.59375	0.627906976744186	0.4571428571428572	0.5882352941176471	0.56	0.6060606060606061	0.5625	0.4736842105263158	0.48275862068965514	0.48484848484848486	0.5185185185185186	0.6060606060606061	0.5666666666666667	0.5357142857142857	0.6111111111111112	0.6	0.5517241379310345	0.65625	0.6511627906976745	0.55	0.6097560975609756	0.6923076923076923	0.6	0.5277777777777778	0.4722222222222222	0.5454545454545454	0.641025641025641	0.5714285714285714	0.5945945945945945	0.59375	0.6521739130434783	0.6521739130434783	0.5135135135135135	0.5172413793103448	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.48571428571428577	0.5833333333333333	0.5555555555555556	0.5945945945945945	0.5882352941176471	0.5714285714285714	0.5714285714285714	0.5384615384615384	0.5384615384615384	0.4666666666666667	0.46153846153846156	0.46153846153846156	0.53125	0.46153846153846156	0.46153846153846156	0.5957446808510638	0.7307692307692308	0.5172413793103448	0.5384615384615384
2001 Minerals Yearbook, Cement	0.5151515151515151	0.6486486486486487	0.6666666666666667	0.5652173913043479	0.5526315789473684	0.6153846153846154	0.6071428571428572	0.59375	0.7391304347826086	0.59375	0.6590909090909092	0.6153846153846154	0.6285714285714286	0.6153846153846154	0.6470588235294117	0.6060606060606061	0.55	0.5806451612903225	0.6486486486486487	0.6666666666666667	0.6470588235294117	0.65625	0.6333333333333333	0.6486486486486487	0.6	0.6	0.696969696969697	0.6818181818181819	0.6190476190476191	0.575	0.6923076923076923	0.6	0.641025641025641	0.625	0.6285714285714286	0.641025641025641	0.6842105263157895	0.6666666666666667	0.59375	0.7083333333333333	0.7083333333333333	0.625	0.5666666666666667	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.5277777777777778	0.6578947368421053	0.5945945945945945	0.6666666666666667	0.5882352941176471	0.6666666666666667	0.6666666666666667	0.6428571428571428	0.6428571428571428	0.6470588235294117	0.6206896551724138	0.6206896551724138	0.6571428571428571	0.6206896551724138	0.6206896551724138	0.653061224489796	0.5652173913043479	0.6129032258064516	0.5925925925925926
2002 Minerals Yearbook, Cement	0.5	0.6388888888888888	0.6578947368421053	0.5454545454545454	0.5405405405405406	0.6	0.5925925925925926	0.5806451612903225	0.7272727272727273	0.5806451612903225	0.6511627906976745	0.6052631578947368	0.6176470588235294	0.6	0.6363636363636364	0.59375	0.575	0.5666666666666667	0.6388888888888888	0.6551724137931034	0.6363636363636364	0.6451612903225806	0.6206896551724138	0.6388888888888888	0.5882352941176471	0.5862068965517242	0.6875	0.6744186046511628	0.6097560975609756	0.5641025641025641	0.6799999999999999	0.5862068965517242	0.631578947368421	0.65	0.6176470588235294	0.631578947368421	0.6756756756756757	0.6578947368421053	0.5806451612903225	0.6956521739130435	0.6956521739130435	0.65	0.5517241379310345	0.6206896551724138	0.6206896551724138	0.6206896551724138	0.6206896551724138	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.5142857142857142	0.6486486486486487	0.5833333333333333	0.6578947368421053	0.5757575757575757	0.6551724137931034	0.6551724137931034	0.6296296296296297	0.6296296296296297	0.6363636363636364	0.6071428571428572	0.6071428571428572	0.6470588235294117	0.6071428571428572	0.6071428571428572	0.6734693877551021	0.5454545454545454	0.6	0.5769230769230769
2003 Minerals Yearbook, Cement	0.5151515151515151	0.6486486486486487	0.6666666666666667	0.5652173913043479	0.5526315789473684	0.6153846153846154	0.6071428571428572	0.59375	0.7391304347826086	0.59375	0.627906976744186	0.6153846153846154	0.6285714285714286	0.6153846153846154	0.6470588235294117	0.6060606060606061	0.5853658536585367	0.5806451612903225	0.6486486486486487	0.6666666666666667	0.6470588235294117	0.65625	0.6333333333333333	0.6486486486486487	0.6	0.6	0.696969696969697	0.6818181818181819	0.6190476190476191	0.575	0.6923076923076923	0.6	0.641025641025641	0.6585365853658536	0.6285714285714286	0.641025641025641	0.6842105263157895	0.6666666666666667	0.59375	0.7083333333333333	0.7083333333333333	0.625	0.5666666666666667	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.5277777777777778	0.6578947368421053	0.5945945945945945	0.6666666666666667	0.5882352941176471	0.6666666666666667	0.6666666666666667	0.6428571428571428	0.6428571428571428	0.6470588235294117	0.6206896551724138	0.6206896551724138	0.6571428571428571	0.6206896551724138	0.6206896551724138	0.653061224489796	0.5652173913043479	0.6129032258064516	0.5384615384615384
