	Asian Clam, Corbicula fluminea.	Economic Sectors at Risk from Invasive Aquatic Weeds at Lake Istokpog.	Harmful Non-Native Species. Issues for Congress VII RL30123: Final Report from CRS to the U.S.	Present and Expected Economic Costs of Zebra Mussel Damages to Water Users with Great Lakes Intakes.	The Pacific Coast Dungeness Crab Fishery. Oregon: Pacific States Marine Fisheries Commission.	Microbial Ecology of Ballast Water during a Transoceanic Voyage and the Effects of Open-Ocean Exchange. Marine Ecology Progress Series 233:	The Effect of Aquatic Plants on Residential Shoreline Property Values at Gunterville Reservoir: Tennessee Valley Authority and U.S. Army Corps of Engineers.	Infrastructure and Rural Development Policy. U.S. Department of Agriculture. http://www.ers.usda.gov/Briefing/Infrastructure/InfrastructureWater.htm.	Report on the California Marine Invasive Species Program. California State Lands Commission. California: Marine Facilities Division. http://www.slc.ca.gov (accessed	Dietary shifts in a stressed fish assemblage: Consequences of a bivalve invasion in the San Francisco estuary.	In Ships or On Ships? Mechanisms of Transfer and Invasion for Nonnative Species to the Coasts or North America. Invasive Species: Vectors and Management Strategies:	Testimony Before Water Resources and Environment Subcommittee of the House Transportation and Infrastructure Committee. Washington, D.C.: Environmental Protection Agency. http://www.epa.gov/ow/speeches/	Aquatic Nuisance Species in the New York River Systems and the Great Lakes Basin: An Economic and Environmental Assessment.	Update on the environmental and economic costs associated with alien-invasive species in the United States.	Sound Regional Citizen’s Advisory Council.	Port State Information eX change. United States Coast Guard. http://cgmix.uscg.mil/psix	Info USA. www.referenceusa.com (accessed	Facilitative interactions among aquatic invaders: is an ‘invasional meltdown’ occurring in the Great Lakes?	Ballast Water Heating Offers a Superior Treatment Option.	Summary of a Survey of the Literature on the Economic Impacts of Aquatic Weeds. Aquatic Ecosystem Restoration Foundation.	Feasibility of Onshore Ballast Water Treatment at California Ports. California: URS Corporation/Dames & Moore, and San Francisco for the California Association of Port Authorities (CAPA).	Evaluation and Analysis Division.	Draft Programmatic Environmental Impact Statement for Standards for Living Organisms in Ship’s Ballast Water Discharged in U.S.	Agricultural Container Indicators. http://www.ams.usda.gov (accessed October 31,	Ballast Water Discharge Standard, Draft Programmatic Environmental Impact Statement.	The OTA Report on Harmful Nonindigenous Species. Exotic Pests of Eastern Forests Conference.	Full-Scale Shipboard Trials of Ballast Water Treatment Systems	Shipboard and Dockside Trials of Ballast Water Treatment Technology. Marine Environmental Engineering Technology Symposium.	Detection and Enumeration of Pathogenic Bacteria in Ballast Water of Transoceanic Vessels Entering the Great Lakes and Resistance to Common Antibiotics. Abstract Q-317. Chicago: General Meeting of the	economic impact of sea lamprey on Great Lakes, updated from 2001$ [2] From Leigh 1998, commercial and recreational fishing benefits lost due to ruffe invasion of Great Lakes, updated from 1998$ [3] From Connelly et al. 2007, cost of Zebra Mussel control at WTP and electric generation facilities, updated from 2004$ [4] From Piementel et al. 2005, cost of Zebra Mussel or Asian Clam, updated from 2005$ [5] From Rockwell	"All damages and control costs $ 1,000,000,000 2005 Pimentel, ""Aquatic Nuisance Species in the New York State Canal and Hudson River Systems and the Great Lake Basin: An Economic and Environmental Assessment,"""	Damages to tourism, electric industry, fishing, boating, other recreation for limited geographic area $ 12,500,000 2005 Ben Grumbles, AA Office of Water, USEPA, Testimony Before WATER RESOURCES AND INFRASTRUCTURE COMMITTEE,	Impacts on industry, recreation and fisheries of $3.1 billion over next ten years $ 310,000,000	Nonindigenous species in the United States-economic consequences,	Economic impact over next 10 years of $3.1 billion ($1991) $ 310,000,000	Survey to infrastructure owners and operators $17751000 annually in 1995 for respondents only (no scaling for non-response or universe of facilities), average $11,500,000 annually for 1989-1995 $ 17,751,000	"Historical Review of Asiatic Clam Invasions and Biofouling of Waters and Industries in the Americas All damages and control Pimentel et al., ""Update on the environmental and economic costs associated with alien-invasive species in the United States""."	"Update on the environmental and economic costs associated with alien-invasive species in the United States""."	"Original analysis Economic value of existing fishery harvest at risk from introduction of green crab Leigh, ""Benefits and Costs of the Ruffe Control Program for the Great Lakes Fishery,"""	Estimation of annual commercial and recreational fishing benefits lost due to ruffe invasion using a value per angler/day approach Recreational, commercial and sport fishing (assumes 10%, 35% and 60% reduction in the population of yellow perch and 1%, 12.5% and 25% reduction in the population of wall-eye)	Commission estimates Economic losses due to ruffe $ 90,000,000	Federal Policy on Non- Indigenous Species: An Overview of the U.S. Department of Agriculture, ” contractor report prepared for the Office of Technology Assessment,	Value of lost fishing opportunities and indirect impacts if sea lamprey is not controlled in the Great Lakes $ 500,000,000	As reported in Lovell et al	Pathways and Consequences of the Introduction of NonIndigenous Fishes in the United States, ” contractor report prepared for the Office of Technology Assessment,	Amount invested annually in alien species aquatic weed control (assume for 5 species: hydrilla, European loosestrife, erasion water milfoil, melaluca, salt cedar)	Available at http://www.aquatics.org/pubs/economics.htm Original analysis Economic value at risk from invasive aquatic weeds (primarily hydrilla) in a FL lake includes recreation, agriculture support, flood control and property values $ 40,103,000	Damage Caused by Aquatic Weeds,	Damage Caused by Aquatic Weeds,	"Spending by Florida for hydrilla control $ 7,000,000 1989 Carlton, ""Introduced Species in US Coastal Waters"","
Grain News 2	0.9032258064516129	0.8857142857142857	0.9148936170212766	0.92	0.9139784946236559	0.935251798561151	0.9487179487179487	0.9463087248322147	0.9451219512195121	0.9272727272727272	0.9451219512195121	0.9603960396039604	0.926829268292683	0.9252336448598131	0.8571428571428571	0.9080459770114943	0.875	0.9252336448598131	0.8596491228070176	0.9338842975206612	0.9572192513368984	0.8181818181818182	0.937007874015748	0.9	0.9285714285714286	0.9130434782608695	0.9193548387096774	0.943089430894309	0.96	0.9761904761904762	0.9519230769230769	0.9641255605381166	0.9157894736842105	0.9076923076923077	0.9166666666666666	0.9611650485436893	0.964	0.9259259259259259	0.956989247311828	0.9705882352941176	0.9032258064516129	0.9447852760736196	0.9344262295081968	0.7777777777777778	0.9503105590062112	0.9444444444444444	0.9635627530364372	0.8709677419354839	0.8709677419354839	0.926605504587156
Indigenous Peoples Update	0.9032258064516129	0.8142857142857143	0.8617021276595744	0.84	0.8709677419354839	0.8992805755395683	0.8910256410256411	0.8859060402684564	0.8963414634146342	0.8636363636363636	0.8902439024390244	0.9158415841584159	0.8943089430894309	0.8411214953271028	0.8095238095238095	0.8620689655172413	0.825	0.8691588785046729	0.8421052631578947	0.8842975206611571	0.9197860962566845	0.8787878787878788	0.889763779527559	0.8375	0.8452380952380952	0.8043478260869565	0.8387096774193549	0.8943089430894309	0.91	0.9452380952380952	0.9134615384615384	0.9192825112107623	0.8631578947368421	0.7230769230769231	0.875	0.9223300970873787	0.912	0.8425925925925926	0.9139784946236559	0.9313725490196079	0.8225806451612904	0.8711656441717791	0.8688524590163934	0.8518518518518519	0.8819875776397516	0.8888888888888888	0.9230769230769231	0.8064516129032258	0.8064516129032258	0.8532110091743119
The Economics of Controlling a Biological Invasion	0.76	0.7571428571428571	0.8085106382978723	0.74	0.7526881720430108	0.8201438848920863	0.7948717948717948	0.8456375838926175	0.8170731707317073	0.7909090909090909	0.8048780487804879	0.8415841584158416	0.7967479674796748	0.7850467289719626	0.82	0.8160919540229885	0.88	0.8037383177570093	0.7894736842105263	0.768595041322314	0.8449197860962567	0.74	0.8110236220472441	0.8625	0.7976190476190477	0.7717391304347826	0.8387096774193549	0.7886178861788617	0.835	0.9142857142857143	0.8365384615384616	0.8654708520179372	0.8210526315789474	0.8	0.8055555555555556	0.8543689320388349	0.852	0.7870370370370371	0.8172043010752689	0.8856209150326797	0.8387096774193549	0.8282208588957055	0.8114754098360656	0.78	0.8260869565217391	0.8333333333333334	0.8582995951417004	0.84	0.84	0.7981651376146789
Asian Clam, Corbicula fluminea	0.03225806451612903	0.8714285714285714	0.8723404255319149	0.84	0.8494623655913979	0.8920863309352518	0.8846153846153846	0.87248322147651	0.8841463414634146	0.8454545454545455	0.8902439024390244	0.900990099009901	0.8699186991869918	0.8504672897196262	0.8333333333333334	0.8505747126436781	0.825	0.8504672897196262	0.8245614035087719	0.8760330578512396	0.8877005347593583	0.8787878787878788	0.8740157480314961	0.8375	0.8095238095238095	0.8695652173913043	0.8225806451612904	0.8699186991869918	0.905	0.9404761904761905	0.8990384615384616	0.9147982062780269	0.8526315789473684	0.8461538461538461	0.875	0.9223300970873787	0.908	0.8518518518518519	0.9032258064516129	0.9215686274509803	0.8064516129032258	0.8957055214723927	0.860655737704918	0.8333333333333334	0.9006211180124224	0.8641975308641975	0.9149797570850202	0.8709677419354839	0.8709677419354839	0.8623853211009175
Invasion Vectors: a conceptual framework for management	0.7454545454545455	0.7714285714285715	0.7659574468085106	0.77	0.8064516129032258	0.8273381294964028	0.8269230769230769	0.8120805369127517	0.8109756097560976	0.7727272727272727	0.774390243902439	0.8366336633663366	0.7723577235772358	0.7663551401869159	0.8	0.8045977011494253	0.7818181818181819	0.7663551401869159	0.8245614035087719	0.7851239669421488	0.8288770053475936	0.8181818181818182	0.8110236220472441	0.825	0.7261904761904762	0.782608695652174	0.8387096774193549	0.7967479674796748	0.83	0.9023809523809524	0.8365384615384616	0.8609865470852018	0.7894736842105263	0.7692307692307693	0.8611111111111112	0.8398058252427184	0.848	0.7685185185185185	0.8118279569892473	0.8790849673202614	0.7580645161290323	0.7914110429447853	0.8114754098360656	0.7818181818181819	0.782608695652174	0.8024691358024691	0.8663967611336032	0.8545454545454545	0.8545454545454545	0.8165137614678899
Invasive Species in a Changing World	0.8611111111111112	0.8142857142857143	0.7553191489361702	0.85	0.8172043010752689	0.8345323741007195	0.8589743589743589	0.8590604026845637	0.8109756097560976	0.8	0.8292682926829268	0.8712871287128713	0.7967479674796748	0.8130841121495327	0.8333333333333334	0.8045977011494253	0.85	0.794392523364486	0.7894736842105263	0.8512396694214877	0.8770053475935828	0.8333333333333334	0.8346456692913385	0.8375	0.8214285714285714	0.7717391304347826	0.7903225806451613	0.8373983739837398	0.88	0.9333333333333333	0.8701923076923077	0.8923766816143498	0.8210526315789474	0.7076923076923077	0.8333333333333334	0.8932038834951457	0.896	0.8148148148148148	0.8655913978494624	0.9084967320261438	0.8225806451612904	0.8466257668711656	0.8278688524590164	0.7222222222222222	0.8757763975155279	0.8333333333333334	0.8906882591093117	0.75	0.75	0.8073394495412844
Marine Engineering Economics and Cost Analysis	0.8043478260869565	0.8	0.8085106382978723	0.76	0.7526881720430108	0.7841726618705036	0.8269230769230769	0.8590604026845637	0.8109756097560976	0.7909090909090909	0.823170731707317	0.8465346534653465	0.7560975609756098	0.7383177570093458	0.8043478260869565	0.7586206896551724	0.8695652173913043	0.7850467289719626	0.8070175438596491	0.768595041322314	0.8449197860962567	0.8260869565217391	0.8031496062992126	0.8125	0.7976190476190477	0.782608695652174	0.7741935483870968	0.7967479674796748	0.835	0.919047619047619	0.8461538461538461	0.874439461883408	0.8105263157894737	0.7846153846153846	0.8611111111111112	0.8640776699029126	0.864	0.7407407407407407	0.8172043010752689	0.8856209150326797	0.7419354838709677	0.8159509202453987	0.8114754098360656	0.7608695652173914	0.8260869565217391	0.8148148148148148	0.8744939271255061	0.8043478260869565	0.8043478260869565	0.7981651376146789
Shipping and Ports	0.8709677419354839	0.8857142857142857	0.8829787234042553	0.91	0.8817204301075269	0.9064748201438849	0.9102564102564102	0.9328859060402684	0.9146341463414634	0.9	0.9024390243902439	0.9356435643564357	0.8943089430894309	0.897196261682243	0.8095238095238095	0.8620689655172413	0.875	0.8785046728971962	0.8596491228070176	0.9090909090909091	0.9197860962566845	0.7878787878787878	0.905511811023622	0.875	0.8690476190476191	0.8695652173913043	0.8225806451612904	0.8861788617886179	0.935	0.9619047619047619	0.9375	0.9372197309417041	0.8842105263157894	0.8461538461538461	0.9027777777777778	0.9368932038834952	0.944	0.8981481481481481	0.9193548387096774	0.9509803921568627	0.8548387096774194	0.9202453987730062	0.8852459016393442	0.8148148148148148	0.9192546583850931	0.9259259259259259	0.9352226720647774	0.8709677419354839	0.8709677419354839	0.8899082568807339
Agricultural Container Indicators	0.8181818181818182	0.7714285714285715	0.8297872340425532	0.85	0.8064516129032258	0.8489208633093526	0.8589743589743589	0.8590604026845637	0.8719512195121951	0.8272727272727273	0.8719512195121951	0.8960396039603961	0.8455284552845529	0.8411214953271028	0.8095238095238095	0.8275862068965517	0.9	0.8130841121495327	0.8070175438596491	0.8512396694214877	0.8609625668449198	0.8484848484848485	0.8346456692913385	0.5875	0.7976190476190477	0.8043478260869565	0.7903225806451613	0.8455284552845529	0.88	0.9357142857142857	0.8846153846153846	0.8923766816143498	0.8421052631578947	0.8153846153846154	0.8611111111111112	0.8883495145631068	0.896	0.8425925925925926	0.8763440860215054	0.9183006535947712	0.8225806451612904	0.8588957055214724	0.8524590163934426	0.8181818181818182	0.8881987577639752	0.8580246913580247	0.8987854251012146	0.9393939393939394	0.9393939393939394	0.8256880733944955
California State Lands Commission Ballast Water Management Database	0.7910447761194029	0.7857142857142857	0.7659574468085106	0.72	0.7311827956989247	0.7985611510791367	0.8012820512820513	0.825503355704698	0.7073170731707317	0.7454545454545455	0.75	0.806930693069307	0.7642276422764228	0.7383177570093458	0.8208955223880597	0.8045977011494253	0.835820895522388	0.7383177570093458	0.7313432835820896	0.7520661157024794	0.7914438502673797	0.7910447761194029	0.7007874015748031	0.7875	0.7380952380952381	0.7934782608695652	0.5522388059701493	0.7560975609756098	0.8	0.8809523809523809	0.8317307692307693	0.8565022421524664	0.7789473684210526	0.835820895522388	0.8888888888888888	0.8446601941747572	0.82	0.7407407407407407	0.7956989247311828	0.8562091503267973	0.8208955223880597	0.8282208588957055	0.7622950819672131	0.7910447761194029	0.8136645962732919	0.7901234567901234	0.8421052631578947	0.8059701492537313	0.8059701492537313	0.7706422018348624
