	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Email from Khan, Sikander to Sorrels, Larry	0.8064516129032258	0.8125	0.8256880733944955	0.8135593220338984	0.8181818181818182	0.8547486033519553	0.8654970760233918	0.8157894736842105	0.8076923076923077	0.7922077922077922	0.782608695652174	0.8103448275862069	0.8165137614678899	0.7910447761194029	0.82	0.7938144329896907	0.7789473684210526	0.8333333333333334	0.8313953488372093	0.8023255813953488	0.8863636363636364	0.8133333333333334	0.8035714285714286	0.7906976744186046	0.8348623853211009	0.7906976744186046	0.7906976744186046	0.7638888888888888	0.8433734939759037	0.7866666666666666	0.7906976744186046	0.7906976744186046	0.8114754098360656	0.8222222222222222	0.8285714285714286	0.8174603174603174	0.8966666666666666	0.8064516129032258	0.7906976744186046	0.8372093023255814
Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study	0.7610619469026548	0.7256637168141593	0.831858407079646	0.7522123893805309	0.8230088495575221	0.7150837988826816	0.7076023391812866	0.008771929824561403	0.7345132743362832	0.8141592920353983	0.7433628318584071	0.7787610619469026	0.8230088495575221	0.7964601769911505	0.8053097345132744	0.7876106194690266	0.7168141592920354	0.7608695652173914	0.7616279069767442	0.7610619469026548	0.8053097345132744	0.7345132743362832	0.7522123893805309	0.831858407079646	0.8141592920353983	0.831858407079646	0.831858407079646	0.7787610619469026	0.7891566265060241	0.8141592920353983	0.831858407079646	0.831858407079646	0.8360655737704918	0.7777777777777778	0.8142857142857143	0.8253968253968254	0.8	0.8145161290322581	0.8230088495575221	0.8584070796460177
Letter from CASAC Chairman Rogene Henderson to EPA Administrator Stephen Johnson	0.8279569892473119	0.8625	0.7522935779816514	0.775	0.8125	0.7877094972067039	0.783625730994152	0.7894736842105263	0.7980769230769231	0.8625	0.7625	0.8125	0.7614678899082569	0.8	0.81	0.7525773195876289	0.7789473684210526	0.782608695652174	0.7965116279069767	0.8372093023255814	0.8	0.7875	0.7678571428571429	0.825	0.8256880733944955	0.825	0.825	0.8375	0.7951807228915663	0.85	0.825	0.825	0.7786885245901639	0.7185185185185186	0.8	0.8095238095238095	0.84	0.7983870967741935	0.8	0.8375
Personal communication of Skiander Khan with Larry Sorrels	0.8064516129032258	0.775	0.7798165137614679	0.7966101694915254	0.7931034482758621	0.8379888268156425	0.8128654970760234	0.7719298245614035	0.8076923076923077	0.8181818181818182	0.782608695652174	0.8275862068965517	0.7981651376146789	0.7761194029850746	0.79	0.7835051546391752	0.8	0.8115942028985508	0.8197674418604651	0.7674418604651163	0.7413793103448276	0.7466666666666667	0.7857142857142857	0.8103448275862069	0.8532110091743119	0.8103448275862069	0.8103448275862069	0.7361111111111112	0.8132530120481928	0.7733333333333333	0.8103448275862069	0.8103448275862069	0.7622950819672131	0.7777777777777778	0.7928571428571428	0.7857142857142857	0.87	0.7661290322580645	0.6896551724137931	0.8275862068965517
Revised Methodology for Estimating Lead Emissions from Piston-Engine Aircraft Operating on Leaded Aviation Gasoline	0.8347826086956521	0.7739130434782608	0.8347826086956521	0.7304347826086957	0.7652173913043478	0.7597765363128491	0.7543859649122807	0.8521739130434782	0.8260869565217391	0.7739130434782608	0.7304347826086957	0.7304347826086957	0.8	0.7478260869565218	0.808695652173913	0.7913043478260869	0.7478260869565218	0.7898550724637681	0.7558139534883721	0.782608695652174	0.782608695652174	0.7652173913043478	0.8	0.8347826086956521	0.8608695652173913	0.8347826086956521	0.8347826086956521	0.782608695652174	0.7409638554216867	0.7913043478260869	0.8347826086956521	0.8347826086956521	0.7622950819672131	0.8074074074074075	0.7642857142857142	0.7698412698412699	0.7833333333333333	0.7903225806451613	0.8173913043478261	0.8608695652173913
Supplemental IQ Gain Calculations Using Two Additional Concentration-Response Functions	0.8064516129032258	0.8505747126436781	0.7339449541284404	0.7586206896551724	0.7701149425287356	0.7541899441340782	0.7777777777777778	0.7982456140350878	0.7980769230769231	0.7471264367816092	0.7701149425287356	0.7471264367816092	0.7339449541284404	0.8275862068965517	0.77	0.7938144329896907	0.8210526315789474	0.7898550724637681	0.7965116279069767	0.8275862068965517	0.7586206896551724	0.8160919540229885	0.7946428571428571	0.8045977011494253	0.8440366972477065	0.8045977011494253	0.8045977011494253	0.7931034482758621	0.7590361445783133	0.735632183908046	0.8045977011494253	0.8045977011494253	0.7213114754098361	0.7777777777777778	0.7357142857142858	0.7222222222222222	0.8133333333333334	0.7903225806451613	0.7931034482758621	0.8390804597701149
Memo to the Docket from Marion Hoyer 	0.8279569892473119	0.7875	0.8165137614678899	0.8135593220338984	0.8181818181818182	0.8435754189944135	0.8654970760233918	0.7894736842105263	0.8076923076923077	0.7922077922077922	0.7971014492753623	0.7413793103448276	0.8073394495412844	0.7611940298507462	0.84	0.8144329896907216	0.8	0.8260869565217391	0.8430232558139535	0.8255813953488372	0.8181818181818182	0.7733333333333333	0.8035714285714286	0.7837837837837838	0.8348623853211009	0.7837837837837838	0.7837837837837838	0.8055555555555556	0.8614457831325302	0.8266666666666667	0.7837837837837838	0.7837837837837838	0.819672131147541	0.8222222222222222	0.8428571428571429	0.8333333333333334	0.9033333333333333	0.8387096774193549	0.8648648648648649	0.7837837837837838
BenMAP User Manual	0.9032258064516129	0.875	0.9174311926605505	0.8813559322033898	0.8409090909090909	0.9329608938547486	0.9239766081871345	0.9122807017543859	0.9038461538461539	0.8571428571428571	0.8840579710144928	0.8275862068965517	0.8990825688073395	0.8656716417910447	0.91	0.8865979381443299	0.8842105263157894	0.9202898550724637	0.9244186046511628	0.872093023255814	0.8181818181818182	0.88	0.9196428571428571	0.8125	0.926605504587156	0.8125	0.8125	0.8611111111111112	0.927710843373494	0.8666666666666667	0.8125	0.8125	0.9098360655737705	0.9259259259259259	0.9142857142857143	0.9047619047619048	0.9566666666666667	0.9112903225806451	0.8611111111111112	0.8461538461538461
Air Quality Criteria for Lead and Related Photochemical Oxidants	0.7956989247311828	0.7	0.7339449541284404	0.796875	0.796875	0.8156424581005587	0.7953216374269005	0.7719298245614035	0.7596153846153846	0.7922077922077922	0.8695652173913043	0.8125	0.7614678899082569	0.8507462686567164	0.73	0.7422680412371134	0.7789473684210526	0.782608695652174	0.813953488372093	0.8255813953488372	0.765625	0.7066666666666667	0.7589285714285714	0.796875	0.8348623853211009	0.796875	0.796875	0.8055555555555556	0.7891566265060241	0.7866666666666666	0.796875	0.796875	0.8032786885245902	0.7925925925925926	0.8	0.7857142857142857	0.8466666666666667	0.75	0.796875	0.8125
Clean Air Act	0.8817204301075269	0.875	0.908256880733945	0.8813559322033898	0.8863636363636364	0.9385474860335196	0.9298245614035088	0.9122807017543859	0.9038461538461539	0.8831168831168831	0.8985507246376812	0.8620689655172413	0.908256880733945	0.9104477611940298	0.89	0.8969072164948454	0.9052631578947369	0.927536231884058	0.936046511627907	0.8837209302325582	0.8636363636363636	0.8933333333333333	0.9107142857142857	0.78125	0.908256880733945	0.78125	0.78125	0.875	0.9397590361445783	0.8666666666666667	0.78125	0.78125	0.9098360655737705	0.9111111111111111	0.9214285714285714	0.9126984126984127	0.96	0.9274193548387096	0.8055555555555556	0.8076923076923077
Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities	0.8088235294117647	0.75	0.7867647058823529	0.8014705882352942	0.7720588235294118	0.7932960893854749	0.783625730994152	0.7867647058823529	0.7867647058823529	0.7647058823529411	0.7867647058823529	0.7573529411764706	0.7573529411764706	0.7941176470588235	0.7720588235294118	0.7573529411764706	0.8014705882352942	0.8188405797101449	0.7732558139534884	0.7794117647058824	0.8235294117647058	0.75	0.8014705882352942	0.8529411764705882	0.8235294117647058	0.8529411764705882	0.8529411764705882	0.7941176470588235	0.6144578313253012	0.7720588235294118	0.8529411764705882	0.8529411764705882	0.8014705882352942	0.8602941176470589	0.8285714285714286	0.7941176470588235	0.5466666666666666	0.7867647058823529	0.8382352941176471	0.8823529411764706
National Primary and Secondary Ambient Air Quality Standards for Lead	0.7849462365591398	0.7875	0.7798165137614679	0.8115942028985508	0.782608695652174	0.7988826815642458	0.8070175438596491	0.7894736842105263	0.7884615384615384	0.8051948051948052	0.855072463768116	0.7391304347826086	0.7798165137614679	0.855072463768116	0.77	0.7628865979381443	0.7684210526315789	0.782608695652174	0.7906976744186046	0.7441860465116279	0.782608695652174	0.8266666666666667	0.75	0.8115942028985508	0.8256880733944955	0.8115942028985508	0.8115942028985508	0.5694444444444444	0.7771084337349398	0.8	0.8115942028985508	0.8115942028985508	0.5573770491803278	0.7703703703703704	0.75	0.5714285714285714	0.84	0.7661290322580645	0.7971014492753623	0.8260869565217391
Proposed National Ambient Air Quality Standards for Lead	0.7741935483870968	0.75	0.7981651376146789	0.847457627118644	0.7678571428571429	0.8268156424581006	0.8245614035087719	0.7807017543859649	0.8076923076923077	0.7922077922077922	0.8115942028985508	0.7758620689655172	0.7706422018348624	0.8208955223880597	0.79	0.7835051546391752	0.7684210526315789	0.8115942028985508	0.8197674418604651	0.7209302325581395	0.7678571428571429	0.7733333333333333	0.75	0.8214285714285714	0.8532110091743119	0.8214285714285714	0.8214285714285714	0.5833333333333334	0.8132530120481928	0.8133333333333334	0.8214285714285714	0.8214285714285714	0.5655737704918032	0.8148148148148148	0.7928571428571428	0.5555555555555556	0.86	0.7903225806451613	0.6964285714285714	0.8035714285714286
Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule	0.8064516129032258	0.8375	0.7889908256880734	0.725	0.775	0.770949720670391	0.7777777777777778	0.7368421052631579	0.7403846153846154	0.8375	0.7875	0.7875	0.7798165137614679	0.85	0.8	0.8144329896907216	0.8105263157894737	0.782608695652174	0.8081395348837209	0.8255813953488372	0.725	0.8	0.7857142857142857	0.8125	0.8348623853211009	0.8125	0.8125	0.8	0.5180722891566265	0.85	0.8125	0.8125	0.7540983606557377	0.7555555555555555	0.7285714285714285	0.7619047619047619	0.74	0.7419354838709677	0.8	0.825
Final Ozone NAAQS Regulatory Impact Analysis 	0.8387096774193549	0.8125	0.8532110091743119	0.8305084745762712	0.9111111111111111	0.8547486033519553	0.8538011695906432	0.8157894736842105	0.8269230769230769	0.6103896103896104	0.8260869565217391	0.8103448275862069	0.7614678899082569	0.8507462686567164	0.81	0.8144329896907216	0.8210526315789474	0.855072463768116	0.872093023255814	0.8023255813953488	0.8	0.8133333333333334	0.8392857142857143	0.8222222222222222	0.8440366972477065	0.8222222222222222	0.8222222222222222	0.7916666666666666	0.8373493975903614	0.52	0.8222222222222222	0.8222222222222222	0.7868852459016393	0.8296296296296296	0.6785714285714286	0.8015873015873016	0.8833333333333333	0.8548387096774194	0.8	0.8222222222222222
Final Regulatory Impact Analysis: PM 2.5 NAAQS	0.8279569892473119	0.85	0.8440366972477065	0.8135593220338984	0.9347826086956522	0.888268156424581	0.8654970760233918	0.8508771929824561	0.8076923076923077	0.7792207792207793	0.8405797101449275	0.8275862068965517	0.8073394495412844	0.8507462686567164	0.82	0.8144329896907216	0.8526315789473684	0.8768115942028986	0.872093023255814	0.7674418604651163	0.8695652173913043	0.8266666666666667	0.8125	0.8695652173913043	0.8532110091743119	0.8695652173913043	0.8695652173913043	0.75	0.8554216867469879	0.7333333333333333	0.8695652173913043	0.8695652173913043	0.8114754098360656	0.8444444444444444	0.7428571428571429	0.8174603174603174	0.8966666666666666	0.8629032258064516	0.8043478260869565	0.8043478260869565
PM (2.5) NAAQS	0.946236559139785	0.95	0.963302752293578	0.9491525423728814	0.9318181818181818	0.9720670391061452	0.9707602339181286	0.9649122807017544	0.9615384615384616	0.948051948051948	0.9710144927536232	0.9482758620689655	0.963302752293578	0.9701492537313433	0.96	0.9587628865979382	0.9789473684210527	0.9710144927536232	0.9709302325581395	0.9418604651162791	0.9545454545454546	0.96	0.9642857142857143	0.9375	0.963302752293578	0.9375	0.9375	0.9027777777777778	0.9578313253012049	0.9066666666666666	0.9375	0.9375	0.9098360655737705	0.9333333333333333	0.9214285714285714	0.9126984126984127	0.9733333333333334	0.9758064516129032	0.8888888888888888	0.9230769230769231
Regulatory Impact Analysis of the Clean Air Mercury Rule	0.7849462365591398	0.7375	0.7431192660550459	0.847457627118644	0.8214285714285714	0.8212290502793296	0.8362573099415205	0.7719298245614035	0.7692307692307693	0.7792207792207793	0.8115942028985508	0.8103448275862069	0.7981651376146789	0.7761194029850746	0.79	0.7628865979381443	0.8	0.7898550724637681	0.8313953488372093	0.7674418604651163	0.7857142857142857	0.7333333333333333	0.7946428571428571	0.75	0.8256880733944955	0.75	0.75	0.8194444444444444	0.7831325301204819	0.84	0.75	0.75	0.7786885245901639	0.7407407407407407	0.7071428571428572	0.8015873015873016	0.8666666666666667	0.7661290322580645	0.75	0.8035714285714286
The Relationship Between Air Lead and Blood Lead in Children: A Critical Review	0.7849462365591398	0.025	0.7064220183486238	0.7721518987341772	0.7215189873417721	0.7653631284916201	0.7543859649122807	0.7280701754385965	0.7115384615384616	0.8354430379746836	0.7088607594936709	0.7468354430379747	0.7431192660550459	0.7341772151898734	0.78	0.7938144329896907	0.6947368421052632	0.7028985507246377	0.7848837209302325	0.8372093023255814	0.7848101265822784	0.3670886075949367	0.75	0.8354430379746836	0.8165137614678899	0.8354430379746836	0.8354430379746836	0.8354430379746836	0.7891566265060241	0.8481012658227848	0.8354430379746836	0.8354430379746836	0.7950819672131147	0.762962962962963	0.7785714285714286	0.7698412698412699	0.8366666666666667	0.7096774193548387	0.759493670886076	0.8607594936708861
The Relationship between Gasoline Lead and Blood Lead in the United States	0.7849462365591398	0.35	0.7247706422018348	0.7702702702702703	0.7432432432432432	0.7597765363128491	0.7368421052631579	0.7192982456140351	0.75	0.8051948051948052	0.8108108108108109	0.7432432432432432	0.7706422018348624	0.7162162162162162	0.77	0.7938144329896907	0.7473684210526316	0.7681159420289855	0.7790697674418605	0.8372093023255814	0.7837837837837838	0.013333333333333334	0.7321428571428571	0.8243243243243243	0.8256880733944955	0.8243243243243243	0.8243243243243243	0.8513513513513513	0.7710843373493976	0.88	0.8243243243243243	0.8243243243243243	0.7704918032786885	0.762962962962963	0.7857142857142857	0.7222222222222222	0.8466666666666667	0.7096774193548387	0.7432432432432432	0.8513513513513513
Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution	0.8229166666666666	0.7916666666666666	0.7798165137614679	0.78125	0.8229166666666666	0.8156424581005587	0.7017543859649122	0.7807017543859649	0.7692307692307693	0.8125	0.84375	0.75	0.7889908256880734	0.7395833333333334	0.84	0.020618556701030927	0.8020833333333334	0.7608695652173914	0.7790697674418605	0.8333333333333334	0.8125	0.7916666666666666	0.7767857142857143	0.8229166666666666	0.8165137614678899	0.8229166666666666	0.8229166666666666	0.78125	0.7530120481927711	0.7916666666666666	0.8229166666666666	0.8229166666666666	0.8114754098360656	0.7851851851851852	0.7785714285714286	0.7698412698412699	0.8066666666666666	0.782258064516129	0.8020833333333334	0.8541666666666666
Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry	0.5922330097087378	0.7281553398058253	0.7889908256880734	0.7669902912621359	0.7864077669902912	0.7597765363128491	0.6374269005847953	0.7280701754385965	0.009615384615384616	0.7961165048543689	0.7864077669902912	0.7378640776699029	0.6788990825688074	0.7766990291262136	0.8252427184466019	0.7766990291262136	0.8252427184466019	0.7463768115942029	0.7674418604651163	0.5922330097087378	0.8252427184466019	0.7572815533980582	0.6964285714285714	0.8155339805825242	0.8348623853211009	0.8155339805825242	0.8155339805825242	0.7961165048543689	0.7590361445783133	0.8252427184466019	0.8155339805825242	0.8155339805825242	0.8278688524590164	0.8	0.7928571428571428	0.8015873015873016	0.8066666666666666	0.7661290322580645	0.8252427184466019	0.8446601941747572
Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study	0.7258064516129032	0.7741935483870968	0.8064516129032258	0.8225806451612904	0.8387096774193549	0.7430167597765364	0.7660818713450293	0.7419354838709677	0.7741935483870968	0.7580645161290323	0.7983870967741935	0.7419354838709677	0.8064516129032258	0.782258064516129	0.782258064516129	0.7903225806451613	0.782258064516129	0.8115942028985508	0.27906976744186046	0.7661290322580645	0.8306451612903226	0.7419354838709677	0.75	0.8709677419354839	0.8467741935483871	0.8709677419354839	0.8709677419354839	0.7903225806451613	0.7710843373493976	0.8145161290322581	0.8709677419354839	0.8709677419354839	0.8709677419354839	0.8296296296296296	0.8214285714285714	0.8333333333333334	0.8	0.8387096774193549	0.8548387096774194	0.8790322580645161
Low-Level Lead Exposure, intelligence and academic achievement: a long-term follow-up study	0.11827956989247312	0.8021978021978022	0.7798165137614679	0.7802197802197802	0.8021978021978022	0.7821229050279329	0.7426900584795322	0.7543859649122807	0.5673076923076923	0.8131868131868132	0.8021978021978022	0.7912087912087912	0.6605504587155964	0.8351648351648352	0.68	0.8144329896907216	0.8526315789473684	0.7536231884057971	0.7790697674418605	0.6043956043956044	0.7912087912087912	0.7802197802197802	0.6964285714285714	0.8461538461538461	0.8532110091743119	0.8461538461538461	0.8461538461538461	0.7802197802197802	0.8132530120481928	0.7912087912087912	0.8461538461538461	0.8461538461538461	0.8032786885245902	0.8074074074074075	0.8071428571428572	0.8174603174603174	0.83	0.8064516129032258	0.8241758241758241	0.8461538461538461
Low-Level Environmental Lead Exposure and ChildrenÕs Intellectual Function: An International Pooled Analysis	0.6666666666666666	0.75	1.0	0.8055555555555556	0.7592592592592593	0.7262569832402235	0.695906432748538	0.8245614035087719	0.6851851851851852	0.6944444444444444	1.0	0.7592592592592593	1.0	0.75	1.0	0.7962962962962963	0.8055555555555556	0.717391304347826	0.7732558139534884	1.0	0.8055555555555556	0.7685185185185185	1.0	0.75	0.8715596330275229	0.75	0.75	0.7037037037037037	0.7831325301204819	0.6574074074074074	0.75	0.75	0.7704918032786885	0.8	0.7785714285714286	0.7936507936507936	0.8	0.75	0.8240740740740741	0.8425925925925926
The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	0.8211382113821138	0.7073170731707317	0.8048780487804879	0.7479674796747967	0.7886178861788617	0.7541899441340782	0.7076023391812866	0.8211382113821138	0.7642276422764228	0.7560975609756098	0.7967479674796748	0.7723577235772358	0.7479674796747967	0.7479674796747967	0.7398373983739838	0.7804878048780488	0.7642276422764228	0.7971014492753623	0.7848837209302325	0.7479674796747967	0.7479674796747967	0.7154471544715447	0.8048780487804879	0.8455284552845529	0.8536585365853658	0.8455284552845529	0.8455284552845529	0.7886178861788617	0.7409638554216867	0.7642276422764228	0.8455284552845529	0.8455284552845529	0.7723577235772358	0.8	0.8	0.7619047619047619	0.7833333333333333	0.008064516129032258	0.8373983739837398	0.8861788617886179
Lead Exposure and Intelligence in 7-Year-Old Children: the Yugoslavia Prospective Study	0.6129032258064516	0.7816091954022989	0.7981651376146789	0.7586206896551724	0.7701149425287356	0.7262569832402235	0.7894736842105263	0.42105263157894735	0.7115384615384616	0.8045977011494253	0.7586206896551724	0.7586206896551724	0.7064220183486238	0.8505747126436781	0.75	0.8247422680412371	0.7578947368421053	0.7681159420289855	0.7674418604651163	0.735632183908046	0.7931034482758621	0.8045977011494253	0.6428571428571429	0.8160919540229885	0.7981651376146789	0.8160919540229885	0.8160919540229885	0.8045977011494253	0.8012048192771084	0.8275862068965517	0.8160919540229885	0.8160919540229885	0.8032786885245902	0.7925925925925926	0.8071428571428572	0.8015873015873016	0.83	0.7741935483870968	0.7931034482758621	0.8275862068965517
Lifetime Exposure to Environmental Lead and ChildrenÕs Intelligence at 11-13 years: the Port Pirie Cohort Study	0.7027027027027027	0.7567567567567568	1.0	0.7837837837837838	0.8018018018018018	0.7374301675977654	0.7192982456140351	0.7456140350877193	0.7027027027027027	0.7837837837837838	1.0	0.7837837837837838	1.0	0.7927927927927928	1.0	0.7747747747747747	0.7837837837837838	0.7681159420289855	0.7790697674418605	1.0	0.8198198198198198	0.7387387387387387	1.0	0.8018018018018018	0.9009009009009009	0.8018018018018018	0.8018018018018018	0.7297297297297297	0.7891566265060241	0.7657657657657657	0.8018018018018018	0.8018018018018018	0.8278688524590164	0.7925925925925926	0.8071428571428572	0.8174603174603174	0.7966666666666666	0.7983870967741935	0.8018018018018018	0.8738738738738738
Intellectual Impairment in Children with Blood Lead Concentrations below 10 micrograms per Deciliter	0.82	0.7	0.23853211009174313	0.77	0.78	0.6424581005586593	0.7660818713450293	0.8070175438596491	0.7884615384615384	0.77	0.75	0.73	0.7889908256880734	0.77	0.76	0.83	0.8	0.7318840579710145	0.7906976744186046	0.73	0.75	0.74	0.7767857142857143	0.81	0.8807339449541285	0.81	0.81	0.79	0.7650602409638554	0.8	0.81	0.81	0.7868852459016393	0.7851851851851852	0.7714285714285715	0.7619047619047619	0.81	0.7983870967741935	0.81	0.86
Beyond LOELÕs, p Values, and Vote Counting: Methods for Looking at the Shapes and Strengths of Associations	0.822429906542056	0.794392523364486	1.0	0.7757009345794392	0.7757009345794392	0.7653631284916201	0.7660818713450293	0.7982456140350878	0.8504672897196262	0.7757009345794392	1.0	0.7757009345794392	1.0	0.7757009345794392	1.0	0.794392523364486	0.794392523364486	0.7898550724637681	0.7616279069767442	1.0	0.8130841121495327	0.7476635514018691	1.0	0.8504672897196262	0.8990825688073395	0.8504672897196262	0.8504672897196262	0.822429906542056	0.7771084337349398	0.8130841121495327	0.8504672897196262	0.8504672897196262	0.8114754098360656	0.7925925925925926	0.8071428571428572	0.7857142857142857	0.8033333333333333	0.7983870967741935	0.794392523364486	0.8411214953271028
Low-level Lead Exposure and ChildrenÕs IQ: A Meta-Analysis and Search for a Threshold	0.6344086021505376	0.8352941176470589	1.0	0.8	0.788235294117647	0.7541899441340782	0.7777777777777778	0.7631578947368421	0.5961538461538461	0.8235294117647058	1.0	0.8	1.0	0.8	1.0	0.8247422680412371	0.8315789473684211	0.782608695652174	0.7674418604651163	1.0	0.7764705882352941	0.8352941176470589	1.0	0.8352941176470589	0.8715596330275229	0.8352941176470589	0.8352941176470589	0.8	0.8072289156626506	0.8470588235294118	0.8352941176470589	0.8352941176470589	0.7622950819672131	0.8148148148148148	0.7571428571428571	0.7698412698412699	0.8133333333333334	0.75	0.788235294117647	0.8470588235294118
Reduction in Fine Particulate Air Pollution and Mortality	0.7956989247311828	0.7375	0.7614678899082569	0.7796610169491526	0.7543859649122807	0.8212290502793296	0.8011695906432749	0.7719298245614035	0.7307692307692307	0.7142857142857143	0.7971014492753623	0.017241379310344827	0.7522935779816514	0.8059701492537313	0.8	0.7319587628865979	0.7473684210526316	0.7681159420289855	0.813953488372093	0.8023255813953488	0.7719298245614035	0.7466666666666667	0.7767857142857143	0.7719298245614035	0.8532110091743119	0.7719298245614035	0.7719298245614035	0.7777777777777778	0.7831325301204819	0.8	0.7719298245614035	0.7719298245614035	0.7295081967213115	0.7925925925925926	0.7642857142857142	0.753968253968254	0.8533333333333334	0.7741935483870968	0.7368421052631579	0.7894736842105263
Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	0.8829787234042553	0.723404255319149	0.7522935779816514	0.7446808510638298	0.776595744680851	0.7206703910614525	0.7660818713450293	0.7192982456140351	0.8269230769230769	0.7659574468085106	0.6914893617021277	0.7446808510638298	0.7889908256880734	0.723404255319149	0.82	0.8041237113402062	0.010526315789473684	0.7246376811594203	0.7558139534883721	0.8404255319148937	0.723404255319149	0.7446808510638298	0.7857142857142857	0.8297872340425532	0.7798165137614679	0.8297872340425532	0.8297872340425532	0.7872340425531915	0.7710843373493976	0.8404255319148937	0.8297872340425532	0.8297872340425532	0.8032786885245902	0.7481481481481481	0.7857142857142857	0.8174603174603174	0.8166666666666667	0.7661290322580645	0.8191489361702128	0.8723404255319149
Environmental Lead and ChildrenÕs Intelligence: A Systematic Review of the Epidemiological Evidence	0.6666666666666666	0.7777777777777778	1.0	0.7676767676767676	0.7676767676767676	0.7653631284916201	0.7485380116959064	0.7982456140350878	0.8173076923076923	0.8181818181818182	1.0	0.797979797979798	1.0	0.7676767676767676	1.0	0.8484848484848485	0.8181818181818182	0.7536231884057971	0.7906976744186046	1.0	0.7878787878787878	0.7676767676767676	1.0	0.7474747474747475	0.8623853211009175	0.7474747474747475	0.7474747474747475	0.6868686868686869	0.7289156626506024	0.696969696969697	0.7474747474747475	0.7474747474747475	0.7213114754098361	0.7111111111111111	0.7071428571428572	0.7063492063492064	0.7966666666666666	0.7338709677419355	0.8282828282828283	0.8686868686868687
