	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Expanded Expert Judgment Assessment of the Concentration-Response Relationship between PM(2.5) Exposure and Mortality	0.8290598290598291	0.8034188034188035	0.7606837606837606	0.7948717948717948	0.8205128205128205	0.7653631284916201	0.7719298245614035	0.7863247863247863	0.7948717948717948	0.7948717948717948	0.7521367521367521	0.7264957264957265	0.7863247863247863	0.7948717948717948	0.7948717948717948	0.8034188034188035	0.7948717948717948	0.7681159420289855	0.813953488372093	0.7948717948717948	0.7863247863247863	0.7777777777777778	0.8034188034188035	0.8290598290598291	0.8888888888888888	0.8290598290598291	0.8290598290598291	0.7948717948717948	0.7530120481927711	0.7863247863247863	0.8290598290598291	0.8290598290598291	0.8360655737704918	0.8074074074074075	0.8142857142857143	0.8015873015873016	0.7833333333333333	0.782258064516129	0.8547008547008547	0.8717948717948718
Integrated Risk Information System (IRIS) Profile for Lead and Compounds (inorganic)	0.8709677419354839	0.8214285714285714	0.7981651376146789	0.6904761904761905	0.75	0.7988826815642458	0.7953216374269005	0.8070175438596491	0.7980769230769231	0.7976190476190477	0.8095238095238095	0.7380952380952381	0.8165137614678899	0.75	0.8	0.8144329896907216	0.8	0.7898550724637681	0.8313953488372093	0.8488372093023255	0.7857142857142857	0.7738095238095238	0.8125	0.8095238095238095	0.8440366972477065	0.8095238095238095	0.8095238095238095	0.7738095238095238	0.7710843373493976	0.7738095238095238	0.8095238095238095	0.8095238095238095	0.7704918032786885	0.7851851851851852	0.7857142857142857	0.7301587301587301	0.82	0.7741935483870968	0.7857142857142857	0.8571428571428571
Lead: Human Exposure and Health Risk Assessments for Selected Case Studies. Volume I: Human Exposure and Health Risk Assessments Ð Full-scale	0.7659574468085106	0.7872340425531915	1.0	0.8156028368794326	0.8297872340425532	0.776536312849162	0.8011695906432749	0.6879432624113475	0.7588652482269503	0.7730496453900709	1.0	0.7943262411347518	1.0	0.7943262411347518	1.0	0.7375886524822695	0.7304964539007093	0.851063829787234	0.7558139534883721	1.0	0.8085106382978723	0.7730496453900709	1.0	0.8652482269503546	0.8439716312056738	0.8652482269503546	0.8652482269503546	0.8297872340425532	0.8132530120481928	0.8014184397163121	0.8652482269503546	0.8652482269503546	0.7801418439716312	0.8368794326241135	0.8581560283687943	0.8297872340425532	0.7766666666666666	0.7872340425531915	0.8581560283687943	0.8723404255319149
Preventing Lead Poisoning in Young Children	0.8064516129032258	0.725	0.7706422018348624	0.7288135593220338	0.022727272727272728	0.8491620111731844	0.8304093567251462	0.8245614035087719	0.7788461538461539	0.7922077922077922	0.7246376811594203	0.7413793103448276	0.7614678899082569	0.7313432835820896	0.77	0.8144329896907216	0.7789473684210526	0.782608695652174	0.8662790697674418	0.7906976744186046	0.8181818181818182	0.7333333333333333	0.8035714285714286	0.7674418604651163	0.8623853211009175	0.7674418604651163	0.7674418604651163	0.7916666666666666	0.8313253012048193	0.8133333333333334	0.7674418604651163	0.7674418604651163	0.8114754098360656	0.8148148148148148	0.8285714285714286	0.8015873015873016	0.88	0.7903225806451613	0.7906976744186046	0.8372093023255814
Review of the National Ambient Air Quality Standards for Lead: Policy Assessment of Scientific and Technical Information	0.7916666666666666	0.675	0.7833333333333333	0.7666666666666667	0.7833333333333333	0.7821229050279329	0.7426900584795322	0.825	0.7833333333333333	0.7916666666666666	0.7916666666666666	0.7416666666666667	0.8166666666666667	0.75	0.775	0.7333333333333333	0.7583333333333333	0.7463768115942029	0.7848837209302325	0.7833333333333333	0.8	0.725	0.825	0.8166666666666667	0.825	0.8166666666666667	0.8166666666666667	0.75	0.7771084337349398	0.7916666666666666	0.8166666666666667	0.8166666666666667	0.6721311475409836	0.7481481481481481	0.7785714285714286	0.6428571428571429	0.77	0.8467741935483871	0.825	0.8583333333333333
Strategic Plan for Elimination of Childhood Lead Poisoning	0.7741935483870968	0.7625	0.7798165137614679	0.01694915254237288	0.7241379310344828	0.8100558659217877	0.8070175438596491	0.7543859649122807	0.7692307692307693	0.7532467532467533	0.6811594202898551	0.7931034482758621	0.7981651376146789	0.7611940298507462	0.75	0.7628865979381443	0.7473684210526316	0.7536231884057971	0.8430232558139535	0.7906976744186046	0.7068965517241379	0.7733333333333333	0.7857142857142857	0.8275862068965517	0.8256880733944955	0.8275862068965517	0.8275862068965517	0.8333333333333334	0.7891566265060241	0.8133333333333334	0.8275862068965517	0.8275862068965517	0.7459016393442623	0.8	0.8	0.7619047619047619	0.85	0.75	0.7586206896551724	0.8103448275862069
The Benefits and Costs of the Clean Air Act, 1970 to 1990	0.7849462365591398	0.7375	0.7889908256880734	0.864406779661017	0.7719298245614035	0.8100558659217877	0.7953216374269005	0.7631578947368421	0.7596153846153846	0.8181818181818182	0.7971014492753623	0.8275862068965517	0.7706422018348624	0.746268656716418	0.79	0.7835051546391752	0.7473684210526316	0.8115942028985508	0.7965116279069767	0.7674418604651163	0.7543859649122807	0.7466666666666667	0.7946428571428571	0.8070175438596491	0.8165137614678899	0.8070175438596491	0.8070175438596491	0.7638888888888888	0.8192771084337349	0.84	0.8070175438596491	0.8070175438596491	0.7786885245901639	0.7407407407407407	0.8214285714285714	0.8174603174603174	0.8766666666666667	0.7580645161290323	0.7894736842105263	0.8245614035087719
Air Quality Guidelines for Europe, Second Edition	0.8279569892473119	0.7875	0.7889908256880734	0.7966101694915254	0.8163265306122449	0.8491620111731844	0.8362573099415205	0.7982456140350878	0.7884615384615384	0.7792207792207793	0.8115942028985508	0.7758620689655172	0.8073394495412844	0.7910447761194029	0.78	0.7731958762886598	0.7894736842105263	0.8188405797101449	0.8488372093023255	0.813953488372093	0.7755102040816326	0.7466666666666667	0.8125	0.7959183673469388	0.8348623853211009	0.7959183673469388	0.7959183673469388	0.8055555555555556	0.8313253012048193	0.8133333333333334	0.7959183673469388	0.7959183673469388	0.8114754098360656	0.8148148148148148	0.8071428571428572	0.7619047619047619	0.88	0.8064516129032258	0.7959183673469388	0.7959183673469388
Calculating Benefit Per-Ton Estimates	0.8494623655913979	0.775	0.8073394495412844	0.8135593220338984	0.7727272727272727	0.8603351955307262	0.8713450292397661	0.8333333333333334	0.8461538461538461	0.7922077922077922	0.8260869565217391	0.7586206896551724	0.8348623853211009	0.8507462686567164	0.82	0.7835051546391752	0.7368421052631579	0.855072463768116	0.872093023255814	0.8255813953488372	0.7045454545454546	0.7466666666666667	0.8482142857142857	0.8378378378378378	0.8532110091743119	0.8378378378378378	0.8378378378378378	0.8194444444444444	0.8614457831325302	0.8	0.8378378378378378	0.8378378378378378	0.8360655737704918	0.8444444444444444	0.8642857142857143	0.8492063492063492	0.9066666666666666	0.8225806451612904	0.7567567567567568	0.7837837837837838
Circular A-4	0.9354838709677419	0.9125	0.9357798165137615	0.8983050847457628	0.9318181818181818	0.9497206703910615	0.9532163742690059	0.9385964912280702	0.9423076923076923	0.8831168831168831	0.927536231884058	0.8620689655172413	0.9174311926605505	0.9253731343283582	0.93	0.9072164948453608	0.9263157894736842	0.9492753623188406	0.9534883720930233	0.9186046511627907	0.9090909090909091	0.9466666666666667	0.9375	0.8125	0.9357798165137615	0.8125	0.8125	0.8888888888888888	0.9578313253012049	0.88	0.8125	0.8125	0.9262295081967213	0.9407407407407408	0.9357142857142857	0.9285714285714286	0.97	0.9354838709677419	0.8333333333333334	0.8846153846153846
