	Pacific South (naut mi) Longitude Latitude Philadelphia,	vessels only) Chapter 3: Emission Inventory the U.S. Environmental Protection Agency,	Commercial Marine Port Inventory Development, prepared for the U.S. Environmental Protection Agency,	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Tasks 1 and 2: Baseline Inventory and Ports Comparison, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation in North America, Contract Number 113.111,	Global Trade and Fuels Assessment â€“ Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector: Task Order No. 1, Draft Report, prepared for the U.S. Environmental Protection Agency,	RTI Estimates of Growth in Bunker Fuel Consumption, Memorandum with spreadsheet from Michael Gallaher and	National Oceanic and Atmospheric Administration, Exclusive Economic Zone, Available online at http://nauticalcharts.noaa.gov/csdl/eez.htm.	ICF International, 2/16/2009 Email to Penny Carey, EPA, Docket ID	U.S. Water Transportation Statistical Snapshot, available from www.marad.dot.gov, Docket ID	Corps of Engineers Navigation Data Center	Port-Wide Baseline Air Emissions Inventory, prepared for the Port of Los Angeles, Docket ID EPA-HQ-OAR-2007-0121-0171. Deleted: Deleted: www.marad.dot.gov Deleted: http://www.iwr.usace.army.mi l/ndc/db/pport/dbf/pport02.dbf. Regulatory Impact Analysis	Corps of Engineers Navigation Data Center	Commercial Marine Port Inventory Development, prepared for the U.S. Environmental Protection Agency,	The Motor Shipâ€™s Guide to Marine Diesel Engines	available at http://www.motorship.com/,	Corps of Engineers	Commercial Marine Activity for Deep Sea Ports in the United States, prepared for the U.S. Environmental Protection Agency, EPA Report Number: EPA420-R-99-020, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r99020.pdf, Docket ID EPA-HQ-OAR-	Commercial Marine Activity for Great Lake and Inland River Ports in the United States, prepared for the U.S. Environmental Protection Agency, EPA Report Number: EPA420-R-99-019, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r99019.pdf, Docket ID EPA-HQ-OAR-	Commercial Marine Emission Inventory Development, prepared for the U.S. Environmental Protection Agency,	Oceangoing Ship Survey,	Quantification of Emissions from Ships Associated with Ship Movements between Ports in the European Community, prepared for the European Commission,	Environmental Protection Agency	Environmental Protection Agency	Environmental Protection Agency	Chris Lindhjem of ENVIRON	Environmental Protection Agency, Exhaust and Crankcase Emission Factors for Nonroad Engine Modeling â€“ Compression Ignition	153 available online at http://www.epa.gov/otaq/models/nonrdmdl/nonrdmdl2004/420p04009.pdf, Docket ID	Analysis of Commercial Marine Vessels Emissions and Fuel Consumption Data, EPA420-R-00-002, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r00002.pdf, Docket ID EPA-HQ-OAR-	Draft Port of Los Angeles Air Emissions Inventory for Calendar Year	Puget Sound Maritime Air Forum Maritime Air Emissions Inventory, Docket ID	for the Port Authority of	Houston-Galveston Area Vessel Emissions Inventory, Prepared for the Port of Houston Authority and the Texas Natural Resource Conservation Commission,	Update To The Commercial Marine Inventory For Texas To Review Emissions Factors, Consider A Ton-Mile EI Method, And Revise Emissions For The Beaumont-Port Arthur Non-Attainment Area Final Report, Submitted to the Houston Advanced Research Center, Docket ID EPA-HQ-OAR-2007-	Refinement of the Marine Emissions Inventory for the Corpus Christi Urban Airshed,	Commercial Marine Port Inventory Development, prepared for the U.S. Environmental Protection Agency,	LADCO 2005 Commercial Marine Emissions, Docket ID	Emissions Estimation Methodology for Ocean-Going Vessels, Docket ID	Commercial Marine Inventories for Select Alaskan Ports, Final Report, Prepared for the Alaska Department of Conservation,	Inventory Contribution of U.S. Flagged Vessels, prepared for the U.S. Environmental Protection Agency,	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Tasks 1 and 2: Baseline Inventory and Ports Comparison, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation in North America, Contract Number 113.111,	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Tasks 1 and 2: Baseline Inventory and Ports Comparison, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation in North America, Contract Number 113.111,	Lloydâ€™s Register and International Maritime Organization, Marine Exhaust Emission Quantification Study â€“ Baltic Sea, in MEPC 45/INF.7.	Current Methodologies and Best Practices in Preparing Port Emission Inventories, Final Report, prepared for the U.S. Environmental Protection Agency, available online at http://www.epa.gov/sectors/ports/bp_portemissionsfinal.pdf,	Updated Emissions from Ocean Shipping,	Considering Alternative Input Parameters in an Activity-Based Ship Fuel Consumption and Emissions Model: Reply to Comment by Oyvind Endresen et al.	Marine Emission Inventory Study Eastern Canada and Great Lakes â€“ Interim Report 4: Gridding Results, prepared for Transportation Development Centre, Transport Canada,	Revision of MARPOL Annex VI and the NOx technical code. Input from the four subgroups and individual experts to the final report of the Informal Cross Government/Industry Scientific Group of Experts.	Transportation in Canada Annual Report	http://www.tc.gc.ca/pol/en/report/anre2004/8F_e.htm, Docket ID EPA-HQ-OAR-2007-	Global Trade and Fuels Assessment â€“ Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector: Task Order No. 1, Draft Report, prepared for the U.S. Environmental Protection Agency,	Global Trade and Fuels Assessment â€“ Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector: Task Order No. 1, Draft Report, prepared for the U.S. Environmental Protection Agency,	Emission Inventory Review SECA Inventory Progress Discussion, p 11, memorandum to California Air Resources Board, Docket ID	Global Trade and Fuels Assessment â€“ Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector: Task Order No. 1, Draft Report, prepared for the U.S. Environmental Protection Agency,	Oceangoing Ship Survey, Summary of Results, Docket ID	Administration, Office of Statistical and Economic Analysis	County Air Quality News, Issue 62,
Marine Exhaust Emission Quantification Study Ð Baltic Sea	0.5161290322580645	0.5675675675675675	0.48571428571428577	0.5454545454545454	0.607843137254902	1.0	0.4411764705882353	0.5405405405405406	0.6578947368421053	0.5675675675675675	0.6333333333333333	0.5833333333333333	0.6333333333333333	0.48571428571428577	1.0	0.625	0.6666666666666667	0.5800000000000001	0.6037735849056604	0.4571428571428572	0.5862068965517242	0.375	0.5357142857142857	0.5357142857142857	0.5357142857142857	0.625	1.0	0.6590909090909092	0.5918367346938775	0.5454545454545454	0.48484848484848486	0.6153846153846154	0.5	0.5217391304347826	0.48484848484848486	0.48571428571428577	0.6	0.4545454545454546	0.5142857142857142	0.4864864864864865	0.607843137254902	0.607843137254902	1.0	0.4878048780487805	0.4482758620689655	0.4736842105263158	1.0	0.475	0.5862068965517242	0.7234042553191489	1.0	1.0	0.4864864864864865	1.0	0.48484848484848486	0.37037037037037035	0.59375
Exclusive Economic Zone	0.6666666666666667	0.65625	0.696969696969697	0.7142857142857143	0.7551020408163265	0.7272727272727273	0.65625	0.5333333333333333	0.71875	0.696969696969697	0.6521739130434783	0.7391304347826086	0.6521739130434783	0.696969696969697	0.6666666666666667	0.64	0.631578947368421	0.7551020408163265	0.7692307692307692	0.6666666666666667	0.6521739130434783	0.6451612903225806	0.5238095238095238	0.5238095238095238	0.5238095238095238	0.6923076923076923	0.6060606060606061	0.7435897435897436	0.7446808510638299	0.6428571428571428	0.6206896551724138	0.7619047619047619	0.6176470588235294	0.7111111111111111	0.6666666666666667	0.696969696969697	0.6551724137931034	0.6774193548387097	0.6875	0.6470588235294117	0.7551020408163265	0.7551020408163265	0.7209302325581395	0.7	0.6538461538461539	0.6666666666666667	0.6944444444444444	0.6578947368421053	0.6521739130434783	0.8095238095238095	0.7272727272727273	0.7272727272727273	0.6470588235294117	0.7272727272727273	0.6206896551724138	0.5833333333333333	0.7037037037037037
National Waterway Network	0.7142857142857143	0.696969696969697	0.696969696969697	0.7142857142857143	0.7291666666666667	0.7272727272727273	0.65625	0.7058823529411764	0.6333333333333333	0.6129032258064516	0.5909090909090908	0.7111111111111111	0.5909090909090908	0.696969696969697	0.6666666666666667	0.64	0.7	0.7291666666666667	0.7450980392156863	0.7058823529411764	0.6521739130434783	0.6875	0.5238095238095238	0.5238095238095238	0.5238095238095238	0.7407407407407407	0.6470588235294117	0.7105263157894737	0.7446808510638299	0.6428571428571428	0.6666666666666667	0.631578947368421	0.6944444444444444	0.7111111111111111	0.7096774193548387	0.696969696969697	0.6551724137931034	0.6333333333333333	0.6875	0.7222222222222222	0.7291666666666667	0.7291666666666667	0.75	0.7317073170731707	0.7037037037037037	0.736842105263158	0.6944444444444444	0.725	0.5909090909090908	0.75	0.7272727272727273	0.7272727272727273	0.6470588235294117	0.7272727272727273	0.6206896551724138	0.5833333333333333	0.4782608695652174
North American Atlas Ð Political Boundaries	0.5	0.5588235294117647	0.5588235294117647	0.5714285714285714	0.6041666666666667	1.0	0.5151515151515151	0.48484848484848486	0.6176470588235294	0.6	0.6296296296296297	0.6086956521739131	0.6296296296296297	0.5588235294117647	1.0	0.5714285714285714	0.72	0.6326530612244898	0.6538461538461539	0.5294117647058824	0.6296296296296297	0.5	0.45833333333333337	0.45833333333333337	0.45833333333333337	0.6206896551724138	1.0	0.6585365853658536	0.6458333333333333	0.5333333333333333	0.5161290322580645	0.5454545454545454	0.48571428571428577	0.5777777777777777	0.5625	0.5588235294117647	0.59375	0.5757575757575757	0.5	0.5142857142857142	0.6041666666666667	0.6041666666666667	1.0	0.55	0.5357142857142857	0.5	1.0	0.5384615384615384	0.45833333333333337	0.6976744186046512	1.0	1.0	0.5142857142857142	1.0	0.5625	0.46153846153846156	0.5357142857142857
Principal Ports of the United States	0.4	0.4838709677419355	0.43333333333333335	0.6190476190476191	0.6458333333333333	0.5714285714285714	0.53125	0.5882352941176471	0.6764705882352942	0.43333333333333335	0.5416666666666667	0.6521739130434783	0.5416666666666667	0.43333333333333335	0.46153846153846156	0.5384615384615384	0.5714285714285714	0.6170212765957447	0.64	0.4	0.5416666666666667	0.4666666666666667	0.5416666666666667	0.5416666666666667	0.5416666666666667	0.6428571428571428	0.5294117647058824	0.6052631578947368	0.6595744680851063	0.5517241379310345	0.5806451612903225	0.5714285714285714	0.5428571428571429	0.6222222222222222	0.5333333333333333	0.43333333333333335	0.65625	0.5483870967741935	0.4137931034482759	0.4375	0.6458333333333333	0.6458333333333333	0.627906976744186	0.5263157894736843	0.30434782608695654	0.5555555555555556	0.6216216216216216	0.5526315789473684	0.4782608695652174	0.7142857142857143	0.5714285714285714	0.5714285714285714	0.5294117647058824	0.5714285714285714	0.48275862068965514	0.41666666666666663	0.6551724137931034
Vessel Entrances and Clearances	0.7037037037037037	0.6451612903225806	0.6451612903225806	0.675	0.7234042553191489	0.7209302325581395	0.6	0.65625	0.6666666666666667	0.6875	0.5714285714285714	0.7608695652173914	0.5714285714285714	0.6451612903225806	0.6	0.6799999999999999	0.6111111111111112	0.75	0.7647058823529411	0.6129032258064516	0.75	0.6333333333333333	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.625	0.6363636363636364	0.736842105263158	0.7111111111111111	0.5769230769230769	0.6551724137931034	0.8095238095238095	0.6060606060606061	0.7333333333333334	0.6551724137931034	0.6451612903225806	0.5925925925925926	0.5714285714285714	0.6333333333333333	0.59375	0.7234042553191489	0.7234042553191489	0.7142857142857143	0.6923076923076923	0.5833333333333333	0.6571428571428571	0.6857142857142857	0.6486486486486487	0.5	0.775	0.7209302325581395	0.7209302325581395	0.6363636363636364	0.7209302325581395	0.7	0.5	0.64
 Commercial Marine Port Inventory Development	0.5862068965517242	0.4516129032258065	0.3448275862068966	0.5609756097560976	0.5957446808510638	0.5813953488372092	0.5454545454545454	0.6388888888888888	0.4666666666666667	0.5454545454545454	0.5	0.6304347826086957	0.5	0.3448275862068966	0.5862068965517242	0.5555555555555556	0.6521739130434783	0.5957446808510638	0.62	0.3666666666666667	0.56	0.4838709677419355	0.36363636363636365	0.36363636363636365	0.36363636363636365	0.7	0.4545454545454546	0.6153846153846154	0.5777777777777777	0.40740740740740744	0.4482758620689655	0.6521739130434783	0.5142857142857142	0.5681818181818181	0.5	0.3448275862068966	0.48275862068965514	0.5161290322580645	0.3793103448275862	0.5	0.5957446808510638	0.5957446808510638	0.6363636363636364	0.5384615384615384	0.6206896551724138	0.48571428571428577	0.5142857142857142	0.5263157894736843	0.56	0.6585365853658536	0.5813953488372092	0.5813953488372092	0.4545454545454546	0.5813953488372092	0.4482758620689655	0.5555555555555556	0.5714285714285714
 Inventory Contribution of U.S. Flagged Vessels	0.6060606060606061	0.48571428571428577	0.4411764705882353	0.47619047619047616	0.5208333333333333	0.5	0.5675675675675675	0.5789473684210527	0.6578947368421053	0.4411764705882353	0.5357142857142857	0.6122448979591837	0.5357142857142857	0.4411764705882353	0.5625	0.625	0.6153846153846154	0.5510204081632653	0.5769230769230769	0.4117647058823529	0.5862068965517242	0.5142857142857142	0.5862068965517242	0.5862068965517242	0.5862068965517242	0.625	0.4864864864864865	0.5952380952380952	0.5319148936170213	0.4516129032258065	0.48484848484848486	0.6666666666666667	0.5384615384615384	0.5833333333333333	0.4375	0.4411764705882353	0.6756756756756757	0.5428571428571429	0.5142857142857142	0.25	0.5208333333333333	0.5208333333333333	0.5555555555555556	0.41025641025641024	0.5483870967741935	0.43243243243243246	0.5	0.4358974358974359	0.5357142857142857	0.75	0.5	0.5	0.4864864864864865	0.5	0.48484848484848486	0.5333333333333333	0.5483870967741935
 LADCO 2005 Commercial Marine Emissions	0.696969696969697	0.6111111111111112	0.5714285714285714	0.6136363636363636	0.64	0.6304347826086957	0.6111111111111112	0.6216216216216216	0.5	0.6842105263157895	0.5925925925925926	0.6170212765957447	0.5925925925925926	0.5714285714285714	0.6129032258064516	0.6774193548387097	0.625	0.6122448979591837	0.607843137254902	0.5428571428571429	0.6896551724137931	0.6	0.5384615384615384	0.5384615384615384	0.5384615384615384	0.5862068965517242	0.6052631578947368	0.6341463414634146	0.5957446808510638	0.5	0.5757575757575757	0.7777777777777778	0.65	0.5869565217391304	0.6176470588235294	0.5714285714285714	0.16000000000000003	0.5454545454545454	0.5588235294117647	0.641025641025641	0.64	0.64	0.6222222222222222	0.6590909090909092	0.6	0.5897435897435898	0.6153846153846154	0.5853658536585367	0.5925925925925926	0.6428571428571428	0.6304347826086957	0.6304347826086957	0.6052631578947368	0.6304347826086957	0.6176470588235294	0.4814814814814815	0.6
 U.S. Water Transportation Statistical Snapshot	0.5714285714285714	0.4838709677419355	0.53125	0.6818181818181819	0.6734693877551021	0.6046511627906976	0.5757575757575757	0.5882352941176471	0.7142857142857143	0.3793103448275862	0.6	0.6808510638297872	0.6	0.53125	0.46153846153846156	0.48	0.6363636363636364	0.6734693877551021	0.6923076923076923	0.5	0.5416666666666667	0.6060606060606061	0.6	0.6	0.6	0.7333333333333334	0.6486486486486487	0.641025641025641	0.7142857142857143	0.6875	0.6666666666666667	0.6956521739130435	0.6216216216216216	0.6521739130434783	0.625	0.53125	0.65625	0.6363636363636364	0.5625	0.5294117647058824	0.6734693877551021	0.6734693877551021	0.6888888888888889	0.6	0.43999999999999995	0.5945945945945945	0.6578947368421053	0.625	0.4782608695652174	0.7142857142857143	0.6046511627906976	0.6046511627906976	0.6486486486486487	0.6046511627906976	0.5333333333333333	0.5384615384615384	0.6551724137931034
