	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
US Census Bureau ZIP Code Tabulation Area (ZCTA) Frequently Asked Questions	0.46153846153846156	0.4117647058823529	0.4117647058823529	0.3866666666666667	0.475	0.5094339622641509	0.4246575342465754	0.5	0.5294117647058824	0.5254237288135593	0.48	0.4571428571428572
User’s Manual for the Subtitle D Municipal Landfill Cost Model	1.0	0.34782608695652173	0.30434782608695654	0.4285714285714286	1.0	0.41666666666666663	1.0	0.39534883720930236	0.3913043478260869	0.37037037037037035	0.28888888888888886	1.0
Waste and Materials-Flow Benchmark Sector Report: Beneficial Use of Secondary Materials – Coal Combustion Products	1.0	0.23636363636363633	0.23636363636363633	0.2911392405063291	1.0	0.4385964912280702	1.0	0.42307692307692313	0.4545454545454546	0.39682539682539686	0.37037037037037035	1.0
Wastes from the Combustion of Coal by Electric Utility Power Plants	0.3913043478260869	0.24444444444444446	0.28888888888888886	0.3913043478260869	0.43243243243243246	0.44680851063829785	0.4328358208955224	0.33333333333333337	0.4222222222222223	0.4339622641509434	0.31818181818181823	0.34375
1992 OMB Circular A-94	0.6	0.641025641025641	0.641025641025641	0.6190476190476191	0.5588235294117647	0.5609756097560976	0.639344262295082	0.6111111111111112	0.641025641025641	0.574468085106383	0.631578947368421	0.5517241379310345
Corrective Measures Study Scope of Work	0.5348837209302326	0.38095238095238093	0.33333333333333337	0.4545454545454546	0.5211267605633803	0.40909090909090906	0.5	0.4358974358974359	0.4285714285714286	0.48	0.2682926829268293	0.47540983606557374
Economic Analysis of Wet Versus Dry Ash Disposal Systems: Interagency Energy/Environment R&D Program Report	0.5185185185185186	0.3584905660377359	0.3584905660377359	0.2727272727272727	0.3414634146341463	0.3090909090909091	0.33333333333333337	0.4	0.3584905660377359	0.3770491803278688	0.23076923076923073	0.36111111111111116
Engineering aspects of karst	0.5263157894736843	0.29729729729729726	0.29729729729729726	0.5081967213114754	0.5757575757575757	0.3846153846153846	0.4915254237288136	0.4117647058823529	0.4054054054054054	0.5111111111111111	0.2777777777777778	0.5
EPA’s Action Development Process -- Guidance on Executive Order 13132: Federalism	1.0	0.3846153846153846	0.42307692307692313	0.3157894736842105	1.0	0.2592592592592593	1.0	0.34693877551020413	0.42307692307692313	0.4	0.4117647058823529	1.0
Memoranda 01-27 (Guidance for Implementing E.O. 13211)	0.6226415094339622	0.42307692307692313	0.42307692307692313	0.39473684210526316	0.308641975308642	0.40740740740740744	0.43243243243243246	0.4285714285714286	0.42307692307692313	0.4	0.4117647058823529	0.295774647887324
Proposed Rulemaking to Establish Light-Duty Vehicle Greenhouse Gas Emission Standards and Corporate Average Fuel Economy Standards	0.4285714285714286	0.23636363636363633	0.23636363636363633	0.21518987341772156	0.33333333333333337	0.368421052631579	0.3246753246753247	0.3846153846153846	0.38181818181818183	0.33333333333333337	0.2962962962962963	0.29729729729729726
The PUC Ratemaking Process and the Role of Consumers	0.3913043478260869	0.24444444444444446	0.28888888888888886	0.3623188405797102	0.45945945945945943	0.36170212765957444	0.4029850746268657	0.2857142857142857	0.33333333333333337	0.39622641509433965	0.31818181818181823	0.34375
Lisa Jackson’s 14 January 2009 Senate confirmation hearing testimony	1.0	0.375	0.33333333333333337	0.4444444444444444	1.0	0.43999999999999995	1.0	0.37777777777777777	0.33333333333333337	0.3571428571428571	0.276595744680851	1.0
Power Price Volatility and Risk Management: An Introduction	0.45833333333333337	0.23404255319148937	0.276595744680851	0.323943661971831	0.42105263157894735	0.30612244897959184	0.3913043478260869	0.36363636363636365	0.4042553191489362	0.4181818181818182	0.34782608695652173	0.3939393939393939
TVA Estimates clean-up cost at between $525m-$825m	0.44680851063829785	0.34782608695652173	0.34782608695652173	0.4285714285714286	0.4666666666666667	0.33333333333333337	0.47058823529411764	0.4418604651162791	0.4782608695652174	0.37037037037037035	0.4222222222222223	0.3538461538461538
Wastes from TVA Spill Begins to Arrive at Alabama Landfill amid Controversy	0.3877551020408163	0.33333333333333337	0.29166666666666663	0.36111111111111116	0.4285714285714286	0.36	0.4285714285714286	0.4222222222222223	0.375	0.3928571428571429	0.23404255319148937	0.3731343283582089
Clash in Alabama Over Tennessee Coal Ash	0.15000000000000002	0.3846153846153846	0.3846153846153846	0.46031746031746035	0.5294117647058824	0.41463414634146345	0.5081967213114754	0.33333333333333337	0.3846153846153846	0.44680851063829785	0.42105263157894735	0.4482758620689655
“EPA Vows to Act on Coal Waste	1.0	0.4358974358974359	0.4871794871794872	0.5238095238095238	1.0	0.5121951219512195	1.0	0.4444444444444444	0.5384615384615384	0.6170212765957447	0.5263157894736843	1.0
2007 Coal Combustion Product (CCP) Production & Use Survey Results (Revised)	0.4901960784313726	0.36	0.36	0.4054054054054054	0.3417721518987342	0.3846153846153846	0.4722222222222222	0.3191489361702128	0.36	0.3448275862068966	0.34693877551020413	0.33333333333333337
A Novel Approach to the handling and disposal of coal combustion products	0.33333333333333337	0.2272727272727273	0.2272727272727273	0.3529411764705882	0.4246575342465754	0.21739130434782605	0.33333333333333337	0.2682926829268293	0.2727272727272727	0.3076923076923077	0.2093023255813954	0.3650793650793651
