	NO PARSCIT CITATIONS
AHAM 2003 Fact Book	0.9090909090909091
EPA Refrigerator Analysis (ERA) Program: User’s Manual, Version 1.0	0.8888888888888888
EPA Refrigerator Analysis (ERA) Program: User's Manual Version 1.0,	0.8888888888888888
The ORNL Modulating Heat Pump Design Tool – Mark IV User’s Guide	0.8
Energy Conservation Program for Consumer Products: Amendment to the Definition of “Electric Refrigerator	0.84375
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to Liebherr Hausgeräte From the Department of Energy Electric Refrigerator and Electric Refrigerator-Freezer Test Procedures	0.8536585365853658
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to the General Electric Company From the Department of Energy Residential Refrigerator and Refrigerator-Freezer Test Procedure	0.8378378378378378
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to the General Electric Company From the Department of Energy Residential Refrigerator and Refrigerator-Freezer Test Procedure, Notice of decision and order	0.8157894736842105
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to Whirlpool Corporation From the Department of Energy Residential Refrigerator and Refrigerator-Freezer Test Procedure	0.8378378378378378
Energy Conservation Standards for Refrigerators, Refrigerator-Freezers, and Freezers; Final Rule. Finding of No Significant Impact; Notice	0.8285714285714285
Proposed Rulemaking Regarding Energy Conservation Standards for Refrigerators, Refrigerator-Freezers, and Freezers	0.8484848484848485
Rule To Reduce Interstate Transport of Fine Particulate Matter and Ozone (Clean Air Interstate Rule); Revisions to Acid Rain Program; Revisions to the NOX SIP Call, Final Rule	0.7222222222222222
Standards of Performance for New and Existing Stationary Sources: Electric Utility Steam Generating Units, Final Rule	0.8529411764705882
Title 10—Energy, Chapter II—Department of Energy, Part 430—Energy Conservation Program for Consumer Products, Subpart A—General Provisions, Section 430.2— Definitions	0.8292682926829268
Title 10—Energy, Chapter II—Department of Energy, Part 430—Energy Conservation Program for Consumer Products, Subpart A—General Provisions, Section 430.32—Energy and Water Conservation Standards and Effective Dates	0.8333333333333334
Title 10—Energy, Chapter II—Department of Energy, Part 430—Energy Conservation Program for Consumer Products, Subpart B—Test Procedures	0.8461538461538461
Analysis of Refrigerator/Freezer Appliances Having Dual Refrigeration Cycles	0.8709677419354839
Performance of Carbon Black-Containing Polyurethane Foam in Domestic Refrigerators	0.875
Performance of Carbon Black-Containing Polyurethane Foam in Domestic Refrigerators	0.875
