	NO PARSCIT CITATIONS
California Energy Commission Appliances Database, Appliances Database – Refrigeration	0.8666666666666667
Canada Gazette, Part II, Statutory Instruments 2006	0.8148148148148149
Canada’s Energy Efficiency Regulations, Residential Wine Chillers (or Wine Coolers), Final Bulletin	0.9117647058823529
Clean Air Act	0.8333333333333334
Clean Air Interstate Rule	0.736842105263158
Clean Air Mercury Rule	0.8
Cold II, The revision of energy labeling and minimum energy efficiency standards for domestic refrigeration appliances, Final Report	0.84375
Commercial Building Energy Consumption Survey	0.896551724137931
Commercial Building Energy Consumption Survey, 2003 Public Use Data Files	0.8918918918918919
Consumer Products Efficiency Standards: Engineering Analysis	0.8214285714285714
Consumer Products Efficiency Standards: Engineering Analysis Document	0.8275862068965517
Department of Justice Antitrust Division Statement on the Closing of its Investigation of Whirlpool’s Acquisition of Maytag	0.8529411764705882
DOE/ORNL Heat Pump Design Model	0.8275862068965517
Energy Efficiency Improvements for Refrigerator/Freezers Using Prototype Doors Containing Gas-Filled Panel Insulating Systems	0.8333333333333334
Energy Efficient Refrigerator Prototype Development	0.8888888888888888
ENERGY STAR Criteria for Refrigerators: Overview of ENERGY STAR Criteria Setting Process and History of Refrigerator Criteria	0.7
Energy Star Program Requirements for Residential Refrigerators and/or Freezers	0.8666666666666667
Engineering Computer Models for Refrigerators, Freezers, Furnaces, Water Heaters, Room and Central Air Conditioners	0.8787878787878788
ERA 1.2E, EPA Refrigerator Analysis Program, User’s Manual, Report to the Environmental Protection Agency Atmospheric Pollution Prevention Division	0.8918918918918919
Federal Reserve Statistical Release, Selected Interest Rates, Historical Data, Instrument: Corporate bonds/Moody's Seasoned AAA, Frequency: Annual, Description: Moody's yield on seasoned corporate bonds - all industries, AAA	0.8378378378378378
FEMP Designated Product: Residential Refrigerators	0.896551724137931
Field Performance of Residential Refrigerators: A Comparison with the Laboratory Test.	0.8181818181818181
Final ENERGY STAR Program Requirements and Criteria for Residential Refrigerators and Freezers,	0.7419354838709677
Final Rule Technical Support Document (TSD): Energy Efficiency Standards for Consumer Products: Clothes Washers	0.8285714285714285
Finite Element Analysis of Heat Transfer Through the Gasket Region of Refrigerators/Freezers	0.875
Implementation Report: Energy Conservation Standards Activities. Submitted Pursuant to Section 141 of the Energy Policy Act of 2005	0.8157894736842105
ImSET: Impact of Sector Energy Technologies	0.8571428571428572
Market Analysis of Potential Changes to the ENERGY STAR Criteria for Refrigerators	0.7142857142857143
Maximum Allowable Values of Energy Consumption and Evaluating Values of Energy Consumption for Household Refrigerators	0.8857142857142857
Multiple Pathways to Super Efficient Refrigerators	0.8620689655172413
NOM-015-ENER-2002: Energy Efficiency of Household Refrigerators and Freezers. Limits, Test Methods and Labeling	0.8809523809523809
OMB Circular A-4, “Regulatory Analysis,” 	0.8333333333333334
OMB Circular A-4, Regulatory Analysis	0.8214285714285714
Opportunities for Energy Savings in the Residential and Commercial Sectors with High-Efficiency Electric Motors, Final Report	0.8611111111111112
Report to Congress on the Costs and Benefits of Federal Regulations and Unfunded Mandates on State, Local, and Tribal Entities	0.8529411764705882
Residential Energy Tax Credits	0.8260869565217391
Resources for Appliance Manufacturers and Retailers, Appliance Sales Data 1998–2006	0.8823529411764706
Revision of the ENERGY STAR Criteria for Residential Refrigerators and Freezers	0.7586206896551724
SEC 10-K Reports	0.8095238095238095
Six Common Air Pollutants	0.7619047619047619
State of the art survey of hermetic compressor technology applicable to domestic refrigerator/freezers	0.9375
Statistics of U.S. Businesses	0.9130434782608696
Survey of Consumer Finances 1989, 1992, 1995, 1998, 2001, 2004, 2007	0.9090909090909091
Survey of Consumer Finances. 1989, 1992, 1995, 1998, 2001, and 2004	0.9117647058823529
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.8181818181818181
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.8181818181818181
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.8181818181818181
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators and Furnaces	0.8125
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, & Freezers	0.8333333333333334
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.8285714285714285
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.8285714285714285
The Effect of Income on Appliances in U.S. Households	0.8275862068965517
The New York State Residential Refrigerator Electrical Energy Monitoring Project: Final Report	0.8235294117647058
Allowance Prices (1995-2004), SO2 Allowance Price Index	0.8125
Energy Efficiency, Domestic refrigerators and freezers	0.9642857142857143
ENERGY STAR, Refrigerators & Freezers Key Product Criteria	0.7419354838709677
ENERGY STAR–Refrigerators & Freezers Key Product Criteria	0.7419354838709677
Estimates of Refrigerator Loads in Public Housing Based on Metered Consumption Data.	0.8823529411764706
Gas-Filled Panels – How effectively do GFPs insulate?	0.935483870967742
Maintaining the Value of ENERGY STAR: 2006 Report	0.8125
Residential Energy Consumption Survey, 2005 Public Use Data Files	0.8611111111111112
Technical Support Document: Energy Conservation Standards for Consumer Products: Dishwashers, Clothes Washers, and Clothes Dryers	0.8571428571428572
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.8285714285714285
Tracking Study: Awareness of ENERGY STAR/EnerGuide Symbols Final Repor	0.8333333333333334
2008 Lodging Survey: Lodging Services, Facilities, and Trends	0.90625
Aggregated Refrigerator_Freezer Incremental Cost Data for DOE Refrigerator_Freezer Energy Efficiency Standards Rulemaking	0.78125
Aging of Polyurethane Foam Insulation in Simulated Refrigerator Panels – Four-Year Results with Third-Generation Blowing Agents	0.7878787878787878
AHAM 2003 Fact Book	0.9090909090909091
AHAM 2005 Fact Book	0.9090909090909091
AHAM Fact Books 2000	0.9090909090909091
AHAM Fact Books, 1987, 1988, 1993, 1995	0.9259259259259259
An Investigation of Household Refrigerator Cabinet Thermal Loads	0.7931034482758621
Benchmark Input-Output Accounts of the U. S. Economy, 1997	0.8529411764705882
Cost of Savings Index (COSI) Index History	0.8148148148148149
Cost of Savings Index (COSI), Index History. 2009	0.84375
Design Guide, Built-In, Integrated, Wine Storage, Undercounter	0.9
Development and Testing of a Linear Compressor Sized for the European Market	0.8787878787878788
Developments in domestic refrigeration and consumer attitudes	0.9642857142857143
Draft Standard: Household Refrigerators	0.8888888888888888
Electrolux's New Vacuum Insulated Freezer Technology	0.875
Matsushita’s Vacuum Insulation Wins 2006 Energy Conservation Award	0.8888888888888888
Measured Electricity Savings of Refrigerator Replacement: Case Study and Analysis	0.8387096774193549
Novel Fan Design Offers Energy Savings to Refrigeration Market	0.8214285714285714
One kWh/day Refrigerator	0.88
Savings Estimation for Appliance Recycling Programs: the Lab Versus in situ Measurement Imbroglio and Related Issues	0.8285714285714285
SBBI Valuation Edition 2009 Yearbook	0.896551724137931
State sales tax rates along with combined average city and county rates	0.9333333333333333
Statistical Review	0.8421052631578947
Statistical Review	0.8421052631578947
Statistical Review	0.8421052631578947
Statistical Review	0.8421052631578947
The Data Page: Historical Returns on Stocks, Bonds and Bills—United States	0.84375
The Data Page: Historical Returns on Stocks, Bonds, and Bills—United States	0.84375
The NPD Group/NPD Houseworld – POS, Refrigerators, Freezers January – December 2007	0.8333333333333334
The NPD Group/NPD Houseworld – POS, Refrigerators, January – December 2007	0.825
Transition of Blowing Agents Used in Refrigerator-Freezer Foam Insulation	0.8333333333333334
What should you charge? Try these Tested Formulas	0.9259259259259259
2003 EM&V RARP Study:Degradation and Market Potential Analysis	0.8484848484848485
2005 Major Appliance Saturation & Marketing Factors Study, 2005	0.9117647058823529
2006 ASHRAE Handbook, Refrigeration	0.8571428571428572
A Small Review of Research Activities	0.8333333333333334
CEE Super-Efficient Home Appliances Initiative, High-Efficiency Specifications for Refrigerators, Effective January 1, 2007	0.8378378378378378
Consumer Home Refrigeration Practices: Findings from a Consumer Survey	0.8275862068965517
Convertible Bottom Drawer Refrigerator, Model PRCS25EDAS	0.8125
Embraco’s path in China	0.9166666666666666
Energy Efficiency Standards Regime Study: Refrigerator Manufacturer Workshop	0.90625
Energy, Performance and Capacity of Household Refrigerators, Refrigerator-Freezers and Freezers	0.8823529411764706
ERA Training Workshop Module, The Use of Computer Modeling and Design Tools for Energy-Efficient Refrigerators	0.8611111111111112
Fact Book 2005—A Statistical Overview of the Home Appliance Industry, 2005	0.868421052631579
Final Report: Home Appliance Saturation and Length of First Ownership Study	0.8484848484848485
Find Energy Star Qualified Refrigerator & Freezers	0.896551724137931
National Residential Home Appliance Market Transformation Strategic Plan	0.75
O Processo de Terceirizacao e de Qualificacao de Fornecedoresnorberto	0.8518518518518519
Repeatability of Energy Consumption Test Results for Compact Refrigerators	0.8571428571428572
S&L Worldwide Summary, Minimum Energy Performance Standard - Mandatory for Refrigerator-freezers Worldwide	0.8857142857142857
Statistical Review	0.8421052631578947
The Data Page: Cost of Capital by Industry Sector	0.8
The NPD Group/NPD Houseworld – POS, Refrigerators	0.7741935483870968
The NPD Group/NPD Houseworld – POS, Refrigerators, January – December 2007	0.825
Typical Bills and Average Rates Report – Summer 2008	0.84375
Typical Bills and Average Rates Report – Winter 2008	0.8709677419354839
Va-q-plus data sheet	0.9545454545454546
Advances in VIP Design for Super Insulation of Domestic Appliances	0.8275862068965517
Aggregated Refrigerator_Freezer Shipments and Efficiency Data for DOE Refrigerator_Freezer Energy Efficiency Standards Rulemaking	0.8529411764705882
Energy Conservation Standards for General Service Fluorescent Lamps and Incandescent Reflector Lamps; Proposed Rule	0.8181818181818181
GE Consumer & Industrial, Press Room, Refrigerators, GE Profile Refrigerators with ClimateKeeper2™ Technology Offer Fresh Solutions in a Variety of Sizes.	0.8
GE Opening a Door to a Future of Cleaner Home Refrigeration	0.8571428571428572
Green Technology Linear DIOS	0.7916666666666666
HomeTips	0.9411764705882353
Jenn-Air 27” Built In Under Counter Drawer Refrigerator Stainless Steel	0.8125
KitchenAid 27” Double Drawer Refrigerator with 5.3 cu.ft. Capacity, Dual Evaporator, Independent Temperatures & Extend Fresh Pantry	0.8409090909090909
LG Linear Compressor Models	0.9166666666666666
Liebherr Dual Refrigeration System, 	0.896551724137931
On application of non-azeotropic two component refrigerants in domestic refrigerator and home freezers	0.9310344827586207
Product Life of Refrigerators	0.8695652173913043
The R-134a energy efficiency problem, fact or fiction	0.9032258064516129
The Sun Frost RF19	0.8095238095238095
Theoretical Vapor Compression Cycle, CYCLE7	0.9
U-Vacua Technical Information	0.8846153846153846
Va-Q-plus Product Data Sheet	0.8846153846153846
VCC® 3rd Generation, The Intelligent Compressor, Version 00	0.8666666666666667
Whirlpool Corporation and Maytag Corporation Sign Definitive Merger Agreement	0.8620689655172413
nan	1.0
Avanti Products	0.8571428571428572
Measurement and Application of Performance Characteristics of a Free Piston Stirling Cooler	0.8275862068965517
Personal communication with Embraco	0.9230769230769231
Refrigeration, Integra Bottom-Freezers. 	0.8888888888888888
Side-by-Side Refrigerator/Freezer Models, 48” 2 Door Side-by-Side with Stainless Steel Interior/Exterior with Full Length Glass Door	0.9047619047619048
