	NO PARSCIT CITATIONS
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators and Furnaces	0.9619047619047619
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, & Freezers	0.968503937007874
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.9689922480620154
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.9689922480620154
The Effect of Income on Appliances in U.S. Households	0.9056603773584906
The New York State Residential Refrigerator Electrical Energy Monitoring Project: Final Report	0.9574468085106383
Allowance Prices (1995-2004), SO2 Allowance Price Index	0.9090909090909091
Energy Efficiency, Domestic refrigerators and freezers	0.9629629629629629
ENERGY STAR, Refrigerators & Freezers Key Product Criteria	0.9137931034482759
ENERGY STAR–Refrigerators & Freezers Key Product Criteria	0.9122807017543859
Estimates of Refrigerator Loads in Public Housing Based on Metered Consumption Data.	0.9523809523809523
Gas-Filled Panels – How effectively do GFPs insulate?	0.9433962264150944
Maintaining the Value of ENERGY STAR: 2006 Report	0.9183673469387755
Residential Energy Consumption Survey, 2005 Public Use Data Files	0.9538461538461539
Technical Support Document: Energy Conservation Standards for Consumer Products: Dishwashers, Clothes Washers, and Clothes Dryers	0.9612403100775194
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.9689922480620154
Tracking Study: Awareness of ENERGY STAR/EnerGuide Symbols Final Repor	0.9142857142857143
2008 Lodging Survey: Lodging Services, Facilities, and Trends	0.9344262295081968
Aggregated Refrigerator_Freezer Incremental Cost Data for DOE Refrigerator_Freezer Energy Efficiency Standards Rulemaking	0.9504132231404959
Aging of Polyurethane Foam Insulation in Simulated Refrigerator Panels – Four-Year Results with Third-Generation Blowing Agents	0.952755905511811
AHAM 2003 Fact Book	0.95
AHAM 2005 Fact Book	0.95
AHAM Fact Books 2000	1.0
AHAM Fact Books, 1987, 1988, 1993, 1995	0.9487179487179487
An Investigation of Household Refrigerator Cabinet Thermal Loads	0.921875
Benchmark Input-Output Accounts of the U. S. Economy, 1997	0.9310344827586207
Cost of Savings Index (COSI) Index History	0.8571428571428571
Cost of Savings Index (COSI), Index History. 2009	0.8571428571428571
Design Guide, Built-In, Integrated, Wine Storage, Undercounter	0.9354838709677419
Development and Testing of a Linear Compressor Sized for the European Market	0.9473684210526315
Developments in domestic refrigeration and consumer attitudes	0.9672131147540983
Draft Standard: Household Refrigerators	0.9487179487179487
Electrolux's New Vacuum Insulated Freezer Technology	0.9038461538461539
Matsushita’s Vacuum Insulation Wins 2006 Energy Conservation Award	0.9393939393939394
Measured Electricity Savings of Refrigerator Replacement: Case Study and Analysis	0.9382716049382716
Novel Fan Design Offers Energy Savings to Refrigeration Market	0.9193548387096774
One kWh/day Refrigerator	0.9166666666666666
Savings Estimation for Appliance Recycling Programs: the Lab Versus in situ Measurement Imbroglio and Related Issues	0.9482758620689655
SBBI Valuation Edition 2009 Yearbook	0.9444444444444444
State sales tax rates along with combined average city and county rates	0.971830985915493
Statistical Review	1.0
Statistical Review	1.0
Statistical Review	1.0
Statistical Review	1.0
The Data Page: Historical Returns on Stocks, Bonds and Bills—United States	0.918918918918919
The Data Page: Historical Returns on Stocks, Bonds, and Bills—United States	0.92
The NPD Group/NPD Houseworld – POS, Refrigerators, Freezers January – December 2007	0.9397590361445783
The NPD Group/NPD Houseworld – POS, Refrigerators, January – December 2007	0.9324324324324325
Transition of Blowing Agents Used in Refrigerator-Freezer Foam Insulation	0.9315068493150684
What should you charge? Try these Tested Formulas	0.9183673469387755
2003 EM&V RARP Study:Degradation and Market Potential Analysis	0.9032258064516129
2005 Major Appliance Saturation & Marketing Factors Study, 2005	0.9206349206349206
2006 ASHRAE Handbook, Refrigeration	0.9142857142857143
A Small Review of Research Activities	0.918918918918919
CEE Super-Efficient Home Appliances Initiative, High-Efficiency Specifications for Refrigerators, Effective January 1, 2007	0.959349593495935
Consumer Home Refrigeration Practices: Findings from a Consumer Survey	0.9285714285714286
Convertible Bottom Drawer Refrigerator, Model PRCS25EDAS	0.9285714285714286
Embraco’s path in China	1.0
Energy Efficiency Standards Regime Study: Refrigerator Manufacturer Workshop	0.9473684210526315
Energy, Performance and Capacity of Household Refrigerators, Refrigerator-Freezers and Freezers	0.9578947368421052
ERA Training Workshop Module, The Use of Computer Modeling and Design Tools for Energy-Efficient Refrigerators	0.9545454545454546
Fact Book 2005—A Statistical Overview of the Home Appliance Industry, 2005	0.918918918918919
Final Report: Home Appliance Saturation and Length of First Ownership Study	0.92
Find Energy Star Qualified Refrigerator & Freezers	0.94
National Residential Home Appliance Market Transformation Strategic Plan	0.9166666666666666
O Processo de Terceirizacao e de Qualificacao de Fornecedoresnorberto	0.9420289855072463
Repeatability of Energy Consumption Test Results for Compact Refrigerators	0.9324324324324325
S&L Worldwide Summary, Minimum Energy Performance Standard - Mandatory for Refrigerator-freezers Worldwide	0.9622641509433962
Statistical Review	1.0
The Data Page: Cost of Capital by Industry Sector	0.8571428571428571
The NPD Group/NPD Houseworld – POS, Refrigerators	0.9183673469387755
The NPD Group/NPD Houseworld – POS, Refrigerators, January – December 2007	0.9324324324324325
Typical Bills and Average Rates Report – Summer 2008	0.9038461538461539
Typical Bills and Average Rates Report – Winter 2008	0.9230769230769231
Va-q-plus data sheet	1.0
Advances in VIP Design for Super Insulation of Domestic Appliances	0.9090909090909091
Aggregated Refrigerator_Freezer Shipments and Efficiency Data for DOE Refrigerator_Freezer Energy Efficiency Standards Rulemaking	0.9612403100775194
Energy Conservation Standards for General Service Fluorescent Lamps and Incandescent Reflector Lamps; Proposed Rule	0.9652173913043478
GE Consumer & Industrial, Press Room, Refrigerators, GE Profile Refrigerators with ClimateKeeper2™ Technology Offer Fresh Solutions in a Variety of Sizes.	0.948051948051948
GE Opening a Door to a Future of Cleaner Home Refrigeration	0.9322033898305084
Green Technology Linear DIOS	0.8571428571428571
HomeTips	0.95
Jenn-Air 27” Built In Under Counter Drawer Refrigerator Stainless Steel	0.9295774647887324
KitchenAid 27” Double Drawer Refrigerator with 5.3 cu.ft. Capacity, Dual Evaporator, Independent Temperatures & Extend Fresh Pantry	0.9541984732824428
LG Linear Compressor Models	0.9259259259259259
Liebherr Dual Refrigeration System, 	0.9166666666666666
On application of non-azeotropic two component refrigerants in domestic refrigerator and home freezers	0.9803921568627451
Product Life of Refrigerators	0.9310344827586207
The R-134a energy efficiency problem, fact or fiction	0.9622641509433962
The Sun Frost RF19	0.95
Theoretical Vapor Compression Cycle, CYCLE7	0.9069767441860465
U-Vacua Technical Information	0.9310344827586207
Va-Q-plus Product Data Sheet	0.8928571428571429
VCC® 3rd Generation, The Intelligent Compressor, Version 00	0.9322033898305084
Whirlpool Corporation and Maytag Corporation Sign Definitive Merger Agreement	0.948051948051948
nan	1.0
Avanti Products	0.9
Measurement and Application of Performance Characteristics of a Free Piston Stirling Cooler	0.945054945054945
Personal communication with Embraco	0.9428571428571428
Refrigeration, Integra Bottom-Freezers. 	0.95
Side-by-Side Refrigerator/Freezer Models, 48” 2 Door Side-by-Side with Stainless Steel Interior/Exterior with Full Length Glass Door	0.9696969696969697
AHAM 2003 Fact Book	0.95
EPA Refrigerator Analysis (ERA) Program: User’s Manual, Version 1.0	0.9402985074626866
EPA Refrigerator Analysis (ERA) Program: User's Manual Version 1.0,	0.9402985074626866
The ORNL Modulating Heat Pump Design Tool – Mark IV User’s Guide	0.90625
Energy Conservation Program for Consumer Products: Amendment to the Definition of “Electric Refrigerator	0.9519230769230769
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to Liebherr Hausgeräte From the Department of Energy Electric Refrigerator and Electric Refrigerator-Freezer Test Procedures	0.9764150943396226
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to the General Electric Company From the Department of Energy Residential Refrigerator and Refrigerator-Freezer Test Procedure	0.9719626168224299
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to the General Electric Company From the Department of Energy Residential Refrigerator and Refrigerator-Freezer Test Procedure, Notice of decision and order	0.9713114754098361
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to Whirlpool Corporation From the Department of Energy Residential Refrigerator and Refrigerator-Freezer Test Procedure	0.9710144927536232
Energy Conservation Standards for Refrigerators, Refrigerator-Freezers, and Freezers; Final Rule. Finding of No Significant Impact; Notice	0.9637681159420289
Proposed Rulemaking Regarding Energy Conservation Standards for Refrigerators, Refrigerator-Freezers, and Freezers	0.956140350877193
Rule To Reduce Interstate Transport of Fine Particulate Matter and Ozone (Clean Air Interstate Rule); Revisions to Acid Rain Program; Revisions to the NOX SIP Call, Final Rule	0.9428571428571428
Standards of Performance for New and Existing Stationary Sources: Electric Utility Steam Generating Units, Final Rule	0.9572649572649573
Title 10—Energy, Chapter II—Department of Energy, Part 430—Energy Conservation Program for Consumer Products, Subpart A—General Provisions, Section 430.2— Definitions	0.9578313253012049
Title 10—Energy, Chapter II—Department of Energy, Part 430—Energy Conservation Program for Consumer Products, Subpart A—General Provisions, Section 430.32—Energy and Water Conservation Standards and Effective Dates	0.9672897196261683
Title 10—Energy, Chapter II—Department of Energy, Part 430—Energy Conservation Program for Consumer Products, Subpart B—Test Procedures	0.9555555555555556
Analysis of Refrigerator/Freezer Appliances Having Dual Refrigeration Cycles	0.9605263157894737
Performance of Carbon Black-Containing Polyurethane Foam in Domestic Refrigerators	0.9634146341463414
Performance of Carbon Black-Containing Polyurethane Foam in Domestic Refrigerators	0.9634146341463414
Discount rates in consumer' energy related decisions: a review of the literature	0.975
Potential for Using Enhanced Aluminum Extrusions for Refrigerator Heat Exchangers	0.9506172839506173
An Experimental Analysis of Cycling Losses in Domestic Refrigerator-Freezers	0.9473684210526315
Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions	0.95
Determination of Airside Heat Transfer Coefficient on Wire-on-Tube Type Heat Exchanger	0.9186046511627907
Recent Progress on the Air-side Performance of Fin-and-Tube Heat Exchangers	0.9333333333333333
Testing of propane/isobutane mixture in domestic refrigerators	0.967741935483871
Simulating Effects of Multispeed Compressors on Refrigerator/Freezer Performance	0.9625
Refrigerator Energy Use in the Laboratory and in the Field	0.9655172413793104
Energy Use of Icemaking in Domestic Refrigerators	0.9387755102040817
Individual discount rates and the purchase and utilization of energy using durables	0.9759036144578314
Applying Cost Analyses to Drive Policy that Protects Children	0.9508196721311475
A general correlation for heat transfer during film condensation inside pipes	0.974025974025974
Heat Transfer in Automobile Radiators of the Tubular type	0.9122807017543859
Pseudo-Pure Fluid Equations of State for the Refrigerant Blends R-410A, R-404A, R-507A, and R-407C	0.9489795918367347
Beyond Diffusion: An Affordability Model of the Growth of New Consumer Durables	0.9493670886075949
Superinsulation in Refrigerators and Freezers	0.9333333333333333
Correlations for Predicting the Air-Side Nusselt Numbers and Friction Factors in Chilled-Water Cooling Coils	0.9351851851851852
Higher Efficiencies by Means of Variable-Speed Technology in a Domestic Refrigeration Application	0.9484536082474226
A Comprehensive Evaluation of Temperatures within Home Refrigerators	0.9558823529411765
Heat Transfer and Pressure Drop of Spined Pipe in Cross-Flow – Part I: Pressure Drop Studies	0.9239130434782609
Heat Transfer and Pressure Drop of Spined Pipe in Cross-Flow – Part II: Heat Transfer Studies	0.9139784946236559
Design and modeling of hot-wall condensers in domestic refrigerators	0.9705882352941176
Assessment of Condensation Heat Transfer Correlations in the Modeling of Fin and Tube Heat Exchangers	0.9504950495049505
Radiation and Natural Convection Heat Transfer from Wire¬and-Tube Heat Exchangers in Refrigeration Appliances	0.944954128440367
Thermal performance analysis for hot-wall condenser and evaporator configurations in refrigeration appliances	0.981651376146789
An empirical model for sizing capillary tubes	0.9555555555555556
An Homogeneous Model for Adiabatic Capillary Tubes	0.9
Modeling and optimisation of wire-and-tube condenser	0.9615384615384616
Modeling and Optimization of Wire-and-Tube Condenser	0.9038461538461539
An Experimental Study on New Egg-Crate Type Evaporators in Domestic Refrigerators	0.9382716049382716
Design and Modeling of New Egg Crate-Type Forced Flow Evaporators in Domestic Refrigerators	0.945054945054945
Mixed Logit with Repeated Choices: Household's Choice of Appliance Efficiency Level	0.927710843373494
Proposed Correlation of Data for Isothermal Two-Phase, Two-Component Flow in Pipes	0.9390243902439024
Rebates, loans, and customers’ choice of appliance efficiency level: combining stated- and revealed-preference data	0.9826086956521739
The Price Elasticity of Selective Demand: A Meta-Analysis of Econometric Models of Sales	0.9318181818181818
The application of propane/butane mixture for domestic refrigerators	0.9705882352941176
Analysis of a Domestic Refrigerator Cycle with an Ejector	0.9298245614035088
Domestic Refrigerators: recent developments	0.9534883720930233
Experimental Investigation of an Alternating Evaporator Duty Refrigerator/Freezer	0.9629629629629629
Simulation and Test Results of Hydrocarbon Mixtures in a Modified-Lorenz-Meutzner Cycle Domestic Refrigerator	0.963302752293578
Application of Tandem System to High-Efficiency Refrigerator/Freezer	0.9558823529411765
Consumer Durable Spending: Explanation and Prediction	0.9433962264150944
Experimental and Analytical Evaluation of a Ground-Coupled Refrigerator-Freezer	0.9493670886075949
