	Industry-wide Uses of Chlorine by Industry................................................................. 2-7 2-2. Use of Caustic Soda by Industry................................................................................... 2-7 2-3. Use of Caustic Potash by Industry ................................................................................ 2-8 2-4. Income (or Loss) as Net a Percentage of Sales, Basic Chemicals, Resins, and Synthetics (NAICS 3251 and 3252): 2000–2005 ....................................................... 2-14 3-1. Capital Cost Factor ($/ton Cl2 produced) vs. Capacity ................................................ 3-5 4-1. Price Trends: Alkalis and Chlorine Manufacturing:	Oxychem Completes Taft,	Chlorine: Ensuring Rail Transportation Safety.”	Potassium Carbonate Handbook.” http://www.armandproducts.com/pdfs/k2so3P1_12.pdf. Accessed	ASHTA Chemicals Inc. 2009a. About ASHTA. http://www.ashtachemicals.com/aboutfs.htm.	Inc. 2009b. Potassium Hydroxide,	Investment under Uncertainty.	Energy Information Administration.	Potassium Hydroxide.” http://www.ercoworldwide.com/ products_potassiumhydroxide.asp. Accessed	Distributional Effects of Environmental and Energy Policy: An Introduction.	Potassium Carbonate Faces Pressures from the Video Glass.” Chemical Market Reporter,	Site Fact Sheet Ashtabula Complex.” http://www.millenniumchem.com/NR/rdonlyres/6AE8BF59-D7CD-4768-951F37AE6F1C7321/0/SiteFactSheetAshtabula.pdf. Accessed	Occidental Chemical Corporation. 2008a. “OxyChem Caustic Potash Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Pages/chem_products_basic_alkali.aspx #alk_koh. Accessed	Occidental Chemical Corporation. 2008b. “OxyChem Caustic Soda Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Documents/caustic_soda/caustic.pdf.	Form 10-K405. Filed	Form 10-K. Filed	BB&T Capital Markets Presentation Manufacturing and Materials Conference.” http://www.olin.com/. Accessed	Bill Would End Mercury Use at Chlorine Plants.” http://chronicle.augusta.com/stories/031308/met_190792.shtml. Accessed	Form 10-K. Filed	Accessed	Form 10-K. Filed	Chlorine Product Bulletin.” http://corporateportal.ppg.com/NA/Chemicals/CAD/ProductInformation/Bull /English/EN. Accessed	PPG Reaches Agreement with State of Maryland.” PPG News Release. http://corporateportal.ppg.com/PPG/Newsroom/News/20090811.htm.	The Effects of Environmental Regulation on Technology Diffusion: The Case of	Special Focus on Chlorine.”	The Innovation Group (TIG).	of Labor Statistics.	of Labor Statistics. 2009b. LAU Local Area Unemployment Statistics Series Id:	of Labor Statistics.	4-13 U.S. Bureau of Labor Statistics.	of Labor Statistics.	Quarterly Financial Report for Manufacturing, Mining, and Trade Corporations, 1st Quarter reports. http://www.census.gov/prod/www/abs/qfrmm.html. Accessed	Economic Census.	http://factfinder.census.gov/servlet/DatasetMainPageServlet?_program=ECN&_tabId=E CN1&_submenuId=datasets_4&_lang=en&_ts=24636668839. Accessed	Bureau; generated by RTI International; using American FactFinder; “Sector 31: Manufacturing: Industry Series: Industry Statistics by Employment Size:	Department of Transportation.	Department of Transportation.	Environmental Protection Agency (EPA).	Federal Trade Commission (FTC).	Soda Ash. http://minerals.usgs.gov/minerals/pubs/ commodity/soda_ash/mcs-2009-sodaa.pdf. Accessed August 4,	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Environmental Protection Agency—Science Advisory Board (U.S.	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Environmental Protection Agency. RE: Docket No. EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants:	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act.	EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants: Mercury Emissions from Mercury Cell Chlor-Alkali Plants—Memo: “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell Chlor-Alkali Technology to Membrane Cell Technology,” from	B-4 Table B-3. Power Company Emission Factors: Fuel=Coal (Short tons per kWh)	Available on the internet at http://www.epa.gov/CAIR/pdfs/finaltech01.pdf U.S. Environmental Protection Agency	Available on the internet at http://www.epa.gov/cleanenergy/documents/egridzips/eGRID2007TechnicalSupportDoc ument.pdf U.S. Environmental Protection Agency
Tessenderlo Upgrades Chlorine; Expands VCM, PVC	0.6666666666666667	0.5862068965517242	0.53125	0.6829268292682926	0.7	0.6571428571428571	0.7096774193548387	0.6333333333333333	0.6388888888888888	0.6388888888888888	0.5142857142857142	0.7169811320754718	0.6444444444444444	0.6956521739130435	0.78125	0.7666666666666666	0.5405405405405406	0.5813953488372092	0.7666666666666666	0.88	0.7666666666666666	0.5675675675675675	0.6511627906976745	0.5757575757575757	0.5862068965517242	0.6774193548387097	0.8	0.6842105263157895	0.8	0.7777777777777778	0.8	0.5853658536585367	0.7037037037037037	0.653061224489796	0.6097560975609756	0.6428571428571428	0.6428571428571428	0.65625	0.5714285714285714	0.6666666666666667	0.47058823529411764	0.4736842105263158	0.5882352941176471	0.5897435897435898	0.7291666666666667	0.5588235294117647	0.607843137254902	0.6511627906976745	0.575	0.6222222222222222
Uhde Opens New Electrolysis Plant	0.6545454545454545	0.5555555555555556	0.5483870967741935	0.5945945945945945	0.6486486486486487	0.59375	0.5384615384615384	0.5555555555555556	0.4838709677419355	0.53125	0.5714285714285714	0.625	0.5609756097560976	0.5853658536585367	0.7666666666666666	0.75	0.5555555555555556	0.5609756097560976	0.75	0.8181818181818181	0.75	0.5	0.5263157894736843	0.5483870967741935	0.5555555555555556	0.6551724137931034	0.6923076923076923	0.5454545454545454	0.6923076923076923	0.6875	0.6923076923076923	0.6	0.6799999999999999	0.6382978723404256	0.625	0.6153846153846154	0.6153846153846154	0.5357142857142857	0.6428571428571428	0.6153846153846154	0.5294117647058824	0.5263157894736843	0.4666666666666667	0.641025641025641	0.5952380952380952	0.4838709677419355	0.5625	0.5641025641025641	0.4722222222222222	0.5365853658536586
"""Oxychem Completes Taft, LA KOH Conversion"	0.6206896551724138	0.33333333333333337	0.5428571428571429	0.5853658536585367	0.5263157894736843	0.5833333333333333	0.625	0.59375	0.5277777777777778	0.5675675675675675	0.5641025641025641	0.6415094339622642	0.5555555555555556	0.5454545454545454	0.7714285714285715	0.7575757575757576	0.55	0.6458333333333333	0.7575757575757576	0.8571428571428572	0.7575757575757576	0.575	0.6222222222222222	0.4545454545454546	0.59375	0.6363636363636364	0.6666666666666667	0.5405405405405406	0.6666666666666667	0.7027027027027026	0.6666666666666667	0.4878048780487805	0.7	0.6538461538461539	0.6136363636363636	0.5517241379310345	0.5517241379310345	0.5757575757575757	0.625	0.5365853658536586	0.4864864864864865	0.4878048780487805	0.5945945945945945	0.5609756097560976	0.6170212765957447	0.5277777777777778	0.5576923076923077	0.6222222222222222	0.5476190476190477	0.5957446808510638
"""Potassium Carbonate Faces Pressures from the Video Glass"""	0.6428571428571428	0.5862068965517242	0.5757575757575757	0.5	0.5555555555555556	0.53125	0.5714285714285714	0.5862068965517242	0.5588235294117647	0.46875	0.2666666666666667	0.6122448979591837	0.5813953488372092	0.5714285714285714	0.7	0.6785714285714286	0.5	0.6136363636363636	0.6785714285714286	0.8333333333333334	0.6785714285714286	0.48571428571428577	0.5853658536585367	0.4838709677419355	0.4814814814814815	0.6333333333333333	0.6153846153846154	0.5714285714285714	0.6153846153846154	0.625	0.6153846153846154	0.5128205128205128	0.6	0.5957446808510638	0.575	0.5925925925925926	0.5925925925925926	0.6129032258064516	0.5185185185185186	0.5641025641025641	0.5142857142857142	0.4736842105263158	0.5882352941176471	0.5526315789473684	0.6444444444444444	0.4193548387096774	0.6346153846153846	0.55	0.5384615384615384	0.5581395348837209
Distributional Effects of Environmental Energy Policy: An Introduction	0.5818181818181818	0.65625	0.5151515151515151	0.5263157894736843	0.5405405405405406	0.46875	0.4444444444444444	0.34615384615384615	0.5	0.038461538461538436	0.5405405405405406	0.5714285714285714	0.5348837209302326	0.5581395348837209	0.7575757575757576	0.7419354838709677	0.4864864864864865	0.5348837209302326	0.7419354838709677	0.8	0.7419354838709677	0.33333333333333337	0.5365853658536586	0.31034482758620685	0.65625	0.65625	0.6428571428571428	0.4242424242424242	0.6428571428571428	0.6470588235294117	0.6428571428571428	0.46153846153846156	0.6296296296296297	0.4545454545454546	0.4054054054054054	0.5714285714285714	0.5714285714285714	0.3928571428571429	0.6451612903225806	0.43243243243243246	0.4571428571428572	0.3783783783783784	0.3870967741935484	0.5	0.42500000000000004	0.3548387096774194	0.5102040816326531	0.5714285714285714	0.36111111111111116	0.3589743589743589
Chlor-alkali Market Wire	0.7592592592592593	0.6666666666666667	0.6428571428571428	0.7142857142857143	0.7352941176470589	0.7741935483870968	0.76	0.72	0.7096774193548387	0.75	0.6129032258064516	0.7708333333333334	0.7317073170731707	0.725	0.6956521739130435	0.6666666666666667	0.6363636363636364	0.7	0.6666666666666667	0.9444444444444444	0.6666666666666667	0.7058823529411764	0.7435897435897436	0.6428571428571428	0.6086956521739131	0.6666666666666667	0.7142857142857143	0.7575757575757576	0.7142857142857143	0.7037037037037037	0.7142857142857143	0.7105263157894737	0.7619047619047619	0.7608695652173914	0.7692307692307692	0.6818181818181819	0.6818181818181819	0.6923076923076923	0.6521739130434783	0.7297297297297297	0.65625	0.7105263157894737	0.7419354838709677	0.6060606060606061	0.7619047619047619	0.6666666666666667	0.7346938775510203	0.6388888888888888	0.736842105263158	0.7954545454545454
Estimating the Mortality Risk Reduction and Economic Co-benefits from Controlling Ozone Air Pollution	0.5357142857142857	0.5757575757575757	0.48571428571428577	0.5	0.5853658536585367	0.5675675675675675	0.6060606060606061	0.4838709677419355	0.5526315789473684	0.38235294117647056	0.38888888888888884	0.5490196078431373	0.4772727272727273	0.5333333333333333	0.75	0.7352941176470589	0.42105263157894735	0.5111111111111111	0.7352941176470589	0.8275862068965517	0.7352941176470589	0.4473684210526315	0.5116279069767442	0.3939393939393939	0.6176470588235294	0.7297297297297297	0.6875	0.5641025641025641	0.6875	0.6486486486486487	0.6875	0.4390243902439024	0.6333333333333333	0.5306122448979591	0.42500000000000004	0.6666666666666667	0.6666666666666667	0.5151515151515151	0.6470588235294117	0.4878048780487805	0.38888888888888884	0.4	0.5	0.4358974358974359	0.40476190476190477	0.33333333333333337	0.39583333333333337	0.5116279069767442	0.42500000000000004	0.4545454545454546
Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.5818181818181818	0.6129032258064516	0.46875	0.4444444444444444	0.5	0.5151515151515151	0.6	0.4642857142857143	0.4545454545454546	0.3548387096774194	0.4117647058823529	0.5416666666666667	0.46341463414634143	0.5238095238095238	0.7575757575757576	0.7419354838709677	0.4	0.5	0.7419354838709677	0.8	0.7419354838709677	0.33333333333333337	0.5	0.4193548387096774	0.5666666666666667	0.65625	0.6428571428571428	0.5142857142857142	0.6428571428571428	0.6060606060606061	0.6428571428571428	0.46153846153846156	0.6296296296296297	0.5217391304347826	0.4054054054054054	0.5714285714285714	0.5714285714285714	0.5	0.6451612903225806	0.4736842105263158	0.4571428571428572	0.42105263157894735	0.4375	0.5	0.5	0.3548387096774194	0.5102040816326531	0.5365853658536586	0.4054054054054054	0.4390243902439024
Hidden Costs of Energy:Unpriced Consequences of Energy Production and Use	0.6428571428571428	0.6333333333333333	0.43333333333333335	0.5	0.5945945945945945	0.53125	0.5185185185185186	0.4814814814814815	0.5151515151515151	0.4193548387096774	0.5555555555555556	0.64	0.5476190476190477	0.5714285714285714	0.8181818181818181	0.8064516129032258	0.5	0.5121951219512195	0.8064516129032258	0.8333333333333334	0.8064516129032258	0.4411764705882353	0.5853658536585367	0.43333333333333335	0.5862068965517242	0.6774193548387097	0.6666666666666667	0.5294117647058824	0.6666666666666667	0.625	0.6666666666666667	0.5128205128205128	0.6	0.5957446808510638	0.5384615384615384	0.5925925925925926	0.5925925925925926	0.5666666666666667	0.6666666666666667	0.5641025641025641	0.47058823529411764	0.4736842105263158	0.5	0.5897435897435898	0.5476190476190477	0.3666666666666667	0.5510204081632653	0.5853658536585367	0.45945945945945943	0.5238095238095238
Investment under Uncertainty	0.6981132075471699	0.6923076923076923	0.6666666666666667	0.6571428571428571	0.6764705882352942	0.46153846153846156	0.05882352941176472	0.4545454545454546	0.6	0.4444444444444444	0.6363636363636364	0.7291666666666667	0.6829268292682926	0.675	0.7692307692307692	0.75	0.6571428571428571	0.65	0.75	0.7647058823529411	0.75	0.6060606060606061	0.6923076923076923	0.5185185185185186	0.64	0.5833333333333333	0.6818181818181819	0.5172413793103448	0.6818181818181819	0.6296296296296297	0.6818181818181819	0.6216216216216216	0.6	0.6888888888888889	0.6111111111111112	0.5909090909090908	0.5909090909090908	0.56	0.625	0.6	0.59375	0.5428571428571429	0.4814814814814815	0.6666666666666667	0.65	0.5517241379310345	0.6666666666666667	0.6923076923076923	0.5714285714285714	0.5897435897435898
