	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Approaches to Assessing the Benefits, Costs, and Impacts of the RCRA Subtitle C Program	0.5714285714285714	0.4193548387096774	0.4193548387096774	0.44680851063829785	0.5	0.5	0.5510204081632653	0.5161290322580645	0.5151515151515151	0.5384615384615384	0.4516129032258065	0.4545454545454546
Arsenic in Drinking Water: 2001 Update	0.7428571428571429	0.5666666666666667	0.5666666666666667	0.6862745098039216	0.6909090909090909	0.5	0.6458333333333333	0.5714285714285714	0.5666666666666667	0.6578947368421053	0.6451612903225806	0.6521739130434783
azardous Waste: Progress Under the Corrective Action Program is Limited, But New Initiatives May Accelerate Cleanups	0.5641025641025641	0.4722222222222222	0.5135135135135135	0.4807692307692307	0.5	0.45945945945945943	0.5192307692307692	0.5555555555555556	0.5897435897435898	0.5681818181818181	0.5	0.5490196078431373
Characterization of Coal Combustion Residues from Electric Utilities – Leaching and Characterization Data	1.0	0.5	0.5	0.56	1.0	0.5294117647058824	1.0	0.5483870967741935	0.5454545454545454	0.5263157894736843	0.4838709677419355	1.0
Characterization of Coal Combustion Residues from Electric Utilities Using Wet Scrubbers for Multi-pollutant Control	0.6578947368421053	0.4375	0.3870967741935484	0.52	0.537037037037037	0.5142857142857142	0.5882352941176471	0.5757575757575757	0.5294117647058824	0.5128205128205128	0.46875	0.43181818181818177
Characterization of Mercury-Enriched Coal Combustion Residues from Electric Utilities Using Enhanced Sorbents for Mercury Control	0.6486486486486487	0.4193548387096774	0.3666666666666667	0.5102040816326531	0.5283018867924528	0.5428571428571429	0.5800000000000001	0.5625	0.5151515151515151	0.5	0.4516129032258065	0.41860465116279066
Coal Combustion Residuals 	0.5925925925925926	0.52	0.52	0.6739130434782609	0.7058823529411764	0.5555555555555556	0.7173913043478262	0.5217391304347826	0.5769230769230769	0.59375	0.56	0.6341463414634146
Coal Combustion Waste Management at Landfills and Surface Impoundments 1994-2004	0.7073170731707317	0.5142857142857142	0.47058823529411764	0.5660377358490566	0.4716981132075472	0.5405405405405406	0.5769230769230769	0.5588235294117647	0.5142857142857142	0.46153846153846156	0.4545454545454546	0.4893617021276596
Cost Analyses for Selected Groundwater Cleanup Projects: Pump and Treat Systems and Permeable Reactive Barriers	0.5675675675675675	0.47058823529411764	0.47058823529411764	0.44897959183673475	0.5272727272727273	0.5	0.52	0.5588235294117647	0.5945945945945945	0.5714285714285714	0.4545454545454546	0.4565217391304348
Current Population Survey (CPS) - Definitions and Explanations	0.7027027027027026	0.53125	0.53125	0.5208333333333333	0.5384615384615384	0.5588235294117647	0.62	0.5806451612903225	0.6176470588235294	0.625	0.4666666666666667	0.5652173913043479
