	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Section 4.B(3) of OMB’s 31 March 1995 guidance for implementing the UMRA	1.0	0.875	0.8611111111111112	0.907563025210084	1.0	0.8	1.0	0.8194444444444444	0.8194444444444444	0.8472222222222222	0.7978723404255319	1.0
Shaping Our Environmental Future: Foresight in the Office of Research & Development	0.7951807228915663	0.8313253012048193	0.8313253012048193	0.8802521008403361	0.9017595307917888	0.7555555555555555	0.8060344827586207	0.7951807228915663	0.7349397590361446	0.8192771084337349	0.776595744680851	0.8249027237354085
special wastes	0.8709677419354839	0.8676470588235294	0.8591549295774648	0.9705882352941176	0.9794721407624634	0.8888888888888888	0.9439655172413793	0.8333333333333334	0.8571428571428571	0.875	0.8936170212765957	0.9455252918287937
Status of State Electric Industry Restructuring Activity as of February 2003	0.8289473684210527	0.8421052631578947	0.7631578947368421	0.8865546218487395	0.9134897360703812	0.8111111111111111	0.8275862068965517	0.7894736842105263	0.7894736842105263	0.8421052631578947	0.7659574468085106	0.8482490272373541
Supporting Statement” for Information Collection Request (ICR) 1219-0015 “Refuse Piles and impoundment Structures, Recordkeeping and Reporting Requirements	1.0	0.8258064516129032	0.8064516129032258	0.8235294117647058	1.0	0.7548387096774194	1.0	0.7870967741935484	0.7677419354838709	0.8258064516129032	0.7483870967741936	1.0
Table 2.3. Existing Capacity by Producer Type, 2007	0.8709677419354839	0.8088235294117647	0.8169014084507042	0.9264705882352942	0.9457478005865103	0.8222222222222222	0.896551724137931	0.8888888888888888	0.8253968253968254	0.84375	0.8297872340425532	0.8871595330739299
TVA Coal Combustion Products Remediation Plan Proposed	0.8709677419354839	0.8382352941176471	0.8450704225352113	0.9138655462184874	0.9325513196480938	0.8	0.8663793103448276	0.9074074074074074	0.8095238095238095	0.859375	0.7659574468085106	0.8599221789883269
Unit Cost Compendium	0.8709677419354839	0.8235294117647058	0.8591549295774648	0.9642857142857143	0.9721407624633431	0.8444444444444444	0.9310344827586207	0.8333333333333334	0.8571428571428571	0.875	0.8829787234042553	0.9299610894941635
US Census Bureau ZIP Code Tabulation Area (ZCTA) Frequently Asked Questions	0.8133333333333334	0.8666666666666667	0.8533333333333334	0.8970588235294118	0.9222873900293255	0.8	0.8318965517241379	0.76	0.7733333333333333	0.84	0.8191489361702128	0.8443579766536965
User’s Manual for the Subtitle D Municipal Landfill Cost Model	1.0	0.8676470588235294	0.8309859154929577	0.8970588235294118	1.0	0.7777777777777778	1.0	0.8387096774193549	0.873015873015873	0.78125	0.8085106382978723	1.0
Waste and Materials-Flow Benchmark Sector Report: Beneficial Use of Secondary Materials – Coal Combustion Products	1.0	0.7982456140350878	0.7807017543859649	0.8298319327731093	1.0	0.7807017543859649	1.0	0.7894736842105263	0.7719298245614035	0.7631578947368421	0.7982456140350878	1.0
Wastes from the Combustion of Coal by Electric Utility Power Plants	0.8208955223880597	0.8529411764705882	0.8169014084507042	0.8928571428571429	0.9149560117302052	0.7555555555555555	0.8318965517241379	0.7761194029850746	0.7761194029850746	0.7910447761194029	0.6382978723404256	0.8249027237354085
1992 OMB Circular A-94	0.9032258064516129	0.8970588235294118	0.9154929577464789	0.9726890756302521	0.9780058651026393	0.9	0.9482758620689655	0.8703703703703703	0.8888888888888888	0.890625	0.9148936170212766	0.953307392996109
Corrective Measures Study Scope of Work	0.7903225806451613	0.8088235294117647	0.7746478873239436	0.9369747899159664	0.9501466275659824	0.8	0.8922413793103449	0.8148148148148148	0.8095238095238095	0.765625	0.8191489361702128	0.8988326848249028
Economic Analysis of Wet Versus Dry Ash Disposal Systems: Interagency Energy/Environment R&D Program Report	0.7850467289719626	0.822429906542056	0.8411214953271028	0.8634453781512605	0.8885630498533724	0.8130841121495327	0.7931034482758621	0.8037383177570093	0.8130841121495327	0.7757009345794392	0.8317757009345794	0.8093385214007782
Engineering aspects of karst	0.7903225806451613	0.8088235294117647	0.8169014084507042	0.9453781512605042	0.9633431085043989	0.8	0.9094827586206896	0.7592592592592593	0.7936507936507936	0.828125	0.8404255319148937	0.9066147859922179
EPA’s Action Development Process -- Guidance on Executive Order 13132: Federalism	1.0	0.8395061728395061	0.8271604938271605	0.8907563025210085	1.0	0.7777777777777778	1.0	0.7901234567901234	0.7777777777777778	0.8148148148148148	0.8085106382978723	1.0
Memoranda 01-27 (Guidance for Implementing E.O. 13211)	0.8548387096774194	0.8676470588235294	0.8450704225352113	0.930672268907563	0.9428152492668622	0.8111111111111111	0.8362068965517241	0.9259259259259259	0.873015873015873	0.875	0.8191489361702128	0.8793774319066148
Proposed Rulemaking to Establish Light-Duty Vehicle Greenhouse Gas Emission Standards and Corporate Average Fuel Economy Standards	0.8076923076923077	0.7538461538461538	0.7692307692307693	0.8340336134453782	0.8695014662756598	0.7769230769230769	0.7801724137931034	0.7923076923076923	0.7846153846153846	0.7923076923076923	0.7923076923076923	0.7937743190661478
The PUC Ratemaking Process and the Role of Consumers	0.7258064516129032	0.7941176470588235	0.7605633802816901	0.9138655462184874	0.9369501466275659	0.7333333333333333	0.8577586206896551	0.8518518518518519	0.8095238095238095	0.828125	0.8085106382978723	0.8560311284046692
Lisa Jackson’s 14 January 2009 Senate confirmation hearing testimony	1.0	0.8235294117647058	0.8028169014084507	0.9012605042016807	1.0	0.7777777777777778	1.0	0.7647058823529411	0.7647058823529411	0.8676470588235294	0.7872340425531915	1.0
Power Price Volatility and Risk Management: An Introduction	0.8709677419354839	0.8529411764705882	0.8169014084507042	0.9054621848739496	0.9281524926686217	0.7888888888888889	0.8318965517241379	0.8135593220338984	0.8253968253968254	0.875	0.8085106382978723	0.8521400778210116
TVA Estimates clean-up cost at between $525m-$825m	0.8064516129032258	0.8088235294117647	0.7746478873239436	0.9285714285714286	0.9442815249266863	0.7777777777777778	0.8793103448275862	0.8888888888888888	0.873015873015873	0.796875	0.8297872340425532	0.8871595330739299
Wastes from TVA Spill Begins to Arrive at Alabama Landfill amid Controversy	0.8133333333333334	0.84	0.8266666666666667	0.8865546218487395	0.9178885630498533	0.8222222222222222	0.8232758620689655	0.76	0.8266666666666667	0.7733333333333333	0.7872340425531915	0.8404669260700389
Clash in Alabama Over Tennessee Coal Ash	0.3548387096774194	0.7941176470588235	0.7887323943661971	0.9285714285714286	0.9501466275659824	0.7888888888888889	0.8793103448275862	0.7962962962962963	0.8095238095238095	0.828125	0.7978723404255319	0.8832684824902723
“EPA Vows to Act on Coal Waste	1.0	0.8235294117647058	0.8169014084507042	0.9453781512605042	1.0	0.8333333333333334	1.0	0.7592592592592593	0.7777777777777778	0.78125	0.8297872340425532	1.0
2007 Coal Combustion Product (CCP) Production & Use Survey Results (Revised)	0.8289473684210527	0.8552631578947368	0.881578947368421	0.9012605042016807	0.9208211143695014	0.8	0.8491379310344828	0.7894736842105263	0.7894736842105263	0.8289473684210527	0.7872340425531915	0.8404669260700389
