	NO PARSCIT CITATIONS
Technical Report: Analysis of Amended Energy Conservation Standards for Residential Refrigerator-Freezers	0.6923076923076923
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators and Furnaces	0.6842105263157895
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, & Freezers	0.7142857142857143
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.7073170731707317
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.7073170731707317
The Effect of Income on Appliances in U.S. Households	0.7058823529411764
The New York State Residential Refrigerator Electrical Energy Monitoring Project: Final Report	0.7
Allowance Prices (1995-2004), SO2 Allowance Price Index	0.6842105263157895
Energy Efficiency, Domestic refrigerators and freezers	0.9310344827586207
ENERGY STAR, Refrigerators & Freezers Key Product Criteria	0.5897435897435898
ENERGY STAR–Refrigerators & Freezers Key Product Criteria	0.5897435897435898
Estimates of Refrigerator Loads in Public Housing Based on Metered Consumption Data.	0.7894736842105263
Gas-Filled Panels – How effectively do GFPs insulate?	0.8787878787878788
Maintaining the Value of ENERGY STAR: 2006 Report	0.6842105263157895
Residential Energy Consumption Survey, 2005 Public Use Data Files	0.7560975609756098
Technical Support Document: Energy Conservation Standards for Consumer Products: Dishwashers, Clothes Washers, and Clothes Dryers	0.75
Technical Support Document: Energy Efficiency Standards for Consumer Products: Refrigerators, Refrigerator-Freezers, and Freezers	0.7073170731707317
Tracking Study: Awareness of ENERGY STAR/EnerGuide Symbols Final Repor	0.7142857142857143
2008 Lodging Survey: Lodging Services, Facilities, and Trends	0.8285714285714285
Aggregated Refrigerator_Freezer Incremental Cost Data for DOE Refrigerator_Freezer Energy Efficiency Standards Rulemaking	0.641025641025641
Aging of Polyurethane Foam Insulation in Simulated Refrigerator Panels – Four-Year Results with Third-Generation Blowing Agents	0.65
AHAM 2003 Fact Book	0.8333333333333334
AHAM 2005 Fact Book	0.8333333333333334
AHAM Fact Books 2000	0.8333333333333334
AHAM Fact Books, 1987, 1988, 1993, 1995	0.8620689655172413
An Investigation of Household Refrigerator Cabinet Thermal Loads	0.6571428571428571
Benchmark Input-Output Accounts of the U. S. Economy, 1997	0.7435897435897436
Cost of Savings Index (COSI) Index History	0.6875
Cost of Savings Index (COSI), Index History. 2009	0.7297297297297297
Design Guide, Built-In, Integrated, Wine Storage, Undercounter	0.8181818181818181
Development and Testing of a Linear Compressor Sized for the European Market	0.7837837837837838
Developments in domestic refrigeration and consumer attitudes	0.9310344827586207
Draft Standard: Household Refrigerators	0.8
Electrolux's New Vacuum Insulated Freezer Technology	0.7777777777777778
Matsushita’s Vacuum Insulation Wins 2006 Energy Conservation Award	0.8
Measured Electricity Savings of Refrigerator Replacement: Case Study and Analysis	0.7222222222222222
Novel Fan Design Offers Energy Savings to Refrigeration Market	0.696969696969697
One kWh/day Refrigerator	0.7857142857142857
Savings Estimation for Appliance Recycling Programs: the Lab Versus in situ Measurement Imbroglio and Related Issues	0.7073170731707317
SBBI Valuation Edition 2009 Yearbook	0.8125
State sales tax rates along with combined average city and county rates	0.875
Statistical Review	0.7272727272727273
Statistical Review	0.7272727272727273
Statistical Review	0.7272727272727273
Statistical Review	0.7272727272727273
The Data Page: Historical Returns on Stocks, Bonds and Bills—United States	0.7297297297297297
The Data Page: Historical Returns on Stocks, Bonds, and Bills—United States	0.7297297297297297
The NPD Group/NPD Houseworld – POS, Refrigerators, Freezers January – December 2007	0.7142857142857143
The NPD Group/NPD Houseworld – POS, Refrigerators, January – December 2007	0.7021276595744681
Transition of Blowing Agents Used in Refrigerator-Freezer Foam Insulation	0.7142857142857143
What should you charge? Try these Tested Formulas	0.8620689655172413
2003 EM&V RARP Study:Degradation and Market Potential Analysis	0.736842105263158
2005 Major Appliance Saturation & Marketing Factors Study, 2005	0.8378378378378378
2006 ASHRAE Handbook, Refrigeration	0.75
A Small Review of Research Activities	0.7142857142857143
CEE Super-Efficient Home Appliances Initiative, High-Efficiency Specifications for Refrigerators, Effective January 1, 2007	0.7209302325581395
Consumer Home Refrigeration Practices: Findings from a Consumer Survey	0.7058823529411764
Convertible Bottom Drawer Refrigerator, Model PRCS25EDAS	0.6842105263157895
Embraco’s path in China	0.8461538461538461
Energy Efficiency Standards Regime Study: Refrigerator Manufacturer Workshop	0.8285714285714285
Energy, Performance and Capacity of Household Refrigerators, Refrigerator-Freezers and Freezers	0.7894736842105263
ERA Training Workshop Module, The Use of Computer Modeling and Design Tools for Energy-Efficient Refrigerators	0.7560975609756098
Fact Book 2005—A Statistical Overview of the Home Appliance Industry, 2005	0.7674418604651163
Final Report: Home Appliance Saturation and Length of First Ownership Study	0.736842105263158
Find Energy Star Qualified Refrigerator & Freezers	0.8125
National Residential Home Appliance Market Transformation Strategic Plan	0.6
O Processo de Terceirizacao e de Qualificacao de Fornecedoresnorberto	0.7419354838709677
Repeatability of Energy Consumption Test Results for Compact Refrigerators	0.75
S&L Worldwide Summary, Minimum Energy Performance Standard - Mandatory for Refrigerator-freezers Worldwide	0.7948717948717949
Statistical Review	0.7272727272727273
The Data Page: Cost of Capital by Industry Sector	0.6666666666666667
The NPD Group/NPD Houseworld – POS, Refrigerators	0.631578947368421
The NPD Group/NPD Houseworld – POS, Refrigerators, January – December 2007	0.7021276595744681
Typical Bills and Average Rates Report – Summer 2008	0.7297297297297297
Typical Bills and Average Rates Report – Winter 2008	0.7714285714285715
Va-q-plus data sheet	0.9130434782608696
Advances in VIP Design for Super Insulation of Domestic Appliances	0.7058823529411764
Aggregated Refrigerator_Freezer Shipments and Efficiency Data for DOE Refrigerator_Freezer Energy Efficiency Standards Rulemaking	0.7435897435897436
Energy Conservation Standards for General Service Fluorescent Lamps and Incandescent Reflector Lamps; Proposed Rule	0.6923076923076923
GE Consumer & Industrial, Press Room, Refrigerators, GE Profile Refrigerators with ClimateKeeper2™ Technology Offer Fresh Solutions in a Variety of Sizes.	0.6666666666666667
GE Opening a Door to a Future of Cleaner Home Refrigeration	0.75
Green Technology Linear DIOS	0.6551724137931034
HomeTips	0.8888888888888888
Jenn-Air 27” Built In Under Counter Drawer Refrigerator Stainless Steel	0.6842105263157895
KitchenAid 27” Double Drawer Refrigerator with 5.3 cu.ft. Capacity, Dual Evaporator, Independent Temperatures & Extend Fresh Pantry	0.7254901960784313
LG Linear Compressor Models	0.8461538461538461
Liebherr Dual Refrigeration System, 	0.8125
On application of non-azeotropic two component refrigerants in domestic refrigerator and home freezers	0.8709677419354839
Product Life of Refrigerators	0.7692307692307692
The R-134a energy efficiency problem, fact or fiction	0.8235294117647058
The Sun Frost RF19	0.6799999999999999
Theoretical Vapor Compression Cycle, CYCLE7	0.8181818181818181
U-Vacua Technical Information	0.7931034482758621
Va-Q-plus Product Data Sheet	0.7931034482758621
VCC® 3rd Generation, The Intelligent Compressor, Version 00	0.7647058823529411
Whirlpool Corporation and Maytag Corporation Sign Definitive Merger Agreement	0.7575757575757576
nan	1.0
Avanti Products	0.75
Measurement and Application of Performance Characteristics of a Free Piston Stirling Cooler	0.7058823529411764
Personal communication with Embraco	0.8571428571428572
Refrigeration, Integra Bottom-Freezers. 	0.8
Side-by-Side Refrigerator/Freezer Models, 48” 2 Door Side-by-Side with Stainless Steel Interior/Exterior with Full Length Glass Door	0.8260869565217391
AHAM 2003 Fact Book	0.8333333333333334
EPA Refrigerator Analysis (ERA) Program: User’s Manual, Version 1.0	0.8
EPA Refrigerator Analysis (ERA) Program: User's Manual Version 1.0,	0.8
The ORNL Modulating Heat Pump Design Tool – Mark IV User’s Guide	0.6666666666666667
Energy Conservation Program for Consumer Products: Amendment to the Definition of “Electric Refrigerator	0.7297297297297297
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to Liebherr Hausgeräte From the Department of Energy Electric Refrigerator and Electric Refrigerator-Freezer Test Procedures	0.7446808510638299
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to the General Electric Company From the Department of Energy Residential Refrigerator and Refrigerator-Freezer Test Procedure	0.7209302325581395
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to the General Electric Company From the Department of Energy Residential Refrigerator and Refrigerator-Freezer Test Procedure, Notice of decision and order	0.6888888888888889
Energy Conservation Program for Consumer Products: Decision and Order Granting a Waiver to Whirlpool Corporation From the Department of Energy Residential Refrigerator and Refrigerator-Freezer Test Procedure	0.7209302325581395
Energy Conservation Standards for Refrigerators, Refrigerator-Freezers, and Freezers; Final Rule. Finding of No Significant Impact; Notice	0.7073170731707317
Proposed Rulemaking Regarding Energy Conservation Standards for Refrigerators, Refrigerator-Freezers, and Freezers	0.736842105263158
Rule To Reduce Interstate Transport of Fine Particulate Matter and Ozone (Clean Air Interstate Rule); Revisions to Acid Rain Program; Revisions to the NOX SIP Call, Final Rule	0.5652173913043479
Standards of Performance for New and Existing Stationary Sources: Electric Utility Steam Generating Units, Final Rule	0.7435897435897436
Title 10—Energy, Chapter II—Department of Energy, Part 430—Energy Conservation Program for Consumer Products, Subpart A—General Provisions, Section 430.2— Definitions	0.7083333333333333
Title 10—Energy, Chapter II—Department of Energy, Part 430—Energy Conservation Program for Consumer Products, Subpart A—General Provisions, Section 430.32—Energy and Water Conservation Standards and Effective Dates	0.7142857142857143
Title 10—Energy, Chapter II—Department of Energy, Part 430—Energy Conservation Program for Consumer Products, Subpart B—Test Procedures	0.7333333333333334
Analysis of Refrigerator/Freezer Appliances Having Dual Refrigeration Cycles	0.7714285714285715
Performance of Carbon Black-Containing Polyurethane Foam in Domestic Refrigerators	0.7777777777777778
Performance of Carbon Black-Containing Polyurethane Foam in Domestic Refrigerators	0.7777777777777778
Discount rates in consumer' energy related decisions: a review of the literature	0.9393939393939394
Potential for Using Enhanced Aluminum Extrusions for Refrigerator Heat Exchangers	0.7647058823529411
An Experimental Analysis of Cycling Losses in Domestic Refrigerator-Freezers	0.7777777777777778
