	Industry-wide Uses of Chlorine by Industry................................................................. 2-7 2-2. Use of Caustic Soda by Industry................................................................................... 2-7 2-3. Use of Caustic Potash by Industry ................................................................................ 2-8 2-4. Income (or Loss) as Net a Percentage of Sales, Basic Chemicals, Resins, and Synthetics (NAICS 3251 and 3252): 2000–2005 ....................................................... 2-14 3-1. Capital Cost Factor ($/ton Cl2 produced) vs. Capacity ................................................ 3-5 4-1. Price Trends: Alkalis and Chlorine Manufacturing:	Oxychem Completes Taft,	Chlorine: Ensuring Rail Transportation Safety.”	Potassium Carbonate Handbook.” http://www.armandproducts.com/pdfs/k2so3P1_12.pdf. Accessed	ASHTA Chemicals Inc. 2009a. About ASHTA. http://www.ashtachemicals.com/aboutfs.htm.	Inc. 2009b. Potassium Hydroxide,	Investment under Uncertainty.	Energy Information Administration.	Potassium Hydroxide.” http://www.ercoworldwide.com/ products_potassiumhydroxide.asp. Accessed	Distributional Effects of Environmental and Energy Policy: An Introduction.	Potassium Carbonate Faces Pressures from the Video Glass.” Chemical Market Reporter,	Site Fact Sheet Ashtabula Complex.” http://www.millenniumchem.com/NR/rdonlyres/6AE8BF59-D7CD-4768-951F37AE6F1C7321/0/SiteFactSheetAshtabula.pdf. Accessed	Occidental Chemical Corporation. 2008a. “OxyChem Caustic Potash Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Pages/chem_products_basic_alkali.aspx #alk_koh. Accessed	Occidental Chemical Corporation. 2008b. “OxyChem Caustic Soda Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Documents/caustic_soda/caustic.pdf.	Form 10-K405. Filed	Form 10-K. Filed	BB&T Capital Markets Presentation Manufacturing and Materials Conference.” http://www.olin.com/. Accessed	Bill Would End Mercury Use at Chlorine Plants.” http://chronicle.augusta.com/stories/031308/met_190792.shtml. Accessed	Form 10-K. Filed	Accessed	Form 10-K. Filed	Chlorine Product Bulletin.” http://corporateportal.ppg.com/NA/Chemicals/CAD/ProductInformation/Bull /English/EN. Accessed	PPG Reaches Agreement with State of Maryland.” PPG News Release. http://corporateportal.ppg.com/PPG/Newsroom/News/20090811.htm.	The Effects of Environmental Regulation on Technology Diffusion: The Case of	Special Focus on Chlorine.”	The Innovation Group (TIG).	of Labor Statistics.	of Labor Statistics. 2009b. LAU Local Area Unemployment Statistics Series Id:	of Labor Statistics.	4-13 U.S. Bureau of Labor Statistics.	of Labor Statistics.	Quarterly Financial Report for Manufacturing, Mining, and Trade Corporations, 1st Quarter reports. http://www.census.gov/prod/www/abs/qfrmm.html. Accessed	Economic Census.	http://factfinder.census.gov/servlet/DatasetMainPageServlet?_program=ECN&_tabId=E CN1&_submenuId=datasets_4&_lang=en&_ts=24636668839. Accessed	Bureau; generated by RTI International; using American FactFinder; “Sector 31: Manufacturing: Industry Series: Industry Statistics by Employment Size:	Department of Transportation.	Department of Transportation.	Environmental Protection Agency (EPA).	Federal Trade Commission (FTC).	Soda Ash. http://minerals.usgs.gov/minerals/pubs/ commodity/soda_ash/mcs-2009-sodaa.pdf. Accessed August 4,	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Environmental Protection Agency—Science Advisory Board (U.S.	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Environmental Protection Agency. RE: Docket No. EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants:	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act.	EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants: Mercury Emissions from Mercury Cell Chlor-Alkali Plants—Memo: “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell Chlor-Alkali Technology to Membrane Cell Technology,” from	B-4 Table B-3. Power Company Emission Factors: Fuel=Coal (Short tons per kWh)	Available on the internet at http://www.epa.gov/CAIR/pdfs/finaltech01.pdf U.S. Environmental Protection Agency	Available on the internet at http://www.epa.gov/cleanenergy/documents/egridzips/eGRID2007TechnicalSupportDoc ument.pdf U.S. Environmental Protection Agency
Tessenderlo Upgrades Chlorine; Expands VCM, PVC	0.9564606741573034	0.851063829787234	0.8936170212765957	0.8555555555555555	0.891566265060241	0.8723404255319149	0.851063829787234	0.8085106382978723	0.8387096774193549	0.8266666666666667	0.8095238095238095	0.8954248366013072	0.88	0.875	0.8723404255319149	0.8723404255319149	0.7904761904761904	0.8389830508474576	0.8723404255319149	0.9148936170212766	0.8723404255319149	0.8512396694214877	0.8661417322834646	0.8026315789473685	0.7446808510638298	0.8297872340425532	0.851063829787234	0.8311688311688312	0.851063829787234	0.851063829787234	0.851063829787234	0.8506493506493507	0.851063829787234	0.852112676056338	0.84	0.8297872340425532	0.8297872340425532	0.8297872340425532	0.7021276595744681	0.8598130841121495	0.826530612244898	0.8257575757575758	0.85	0.8172043010752689	0.8571428571428571	0.811965811965812	0.8966666666666666	0.8311688311688312	0.8454545454545455	0.8580645161290322
Uhde Opens New Electrolysis Plant	0.9606741573033708	0.7575757575757576	0.7872340425531915	0.8777777777777778	0.8674698795180723	0.9393939393939394	0.7878787878787878	0.9117647058823529	0.8387096774193549	0.8266666666666667	0.8333333333333334	0.8758169934640523	0.8971428571428571	0.881578947368421	0.8787878787878788	0.8787878787878788	0.8571428571428571	0.8728813559322034	0.8787878787878788	0.9090909090909091	0.8787878787878788	0.859504132231405	0.8503937007874016	0.7763157894736842	0.8787878787878788	0.8181818181818182	0.8484848484848485	0.8441558441558441	0.8484848484848485	0.8648648648648649	0.8484848484848485	0.8961038961038961	0.8484848484848485	0.8873239436619719	0.8666666666666667	0.8181818181818182	0.8181818181818182	0.8157894736842105	0.8484848484848485	0.8785046728971962	0.826530612244898	0.8560606060606061	0.8166666666666667	0.8387096774193549	0.8412698412698413	0.8376068376068376	0.9266666666666666	0.8441558441558441	0.8545454545454545	0.8838709677419355
"""Oxychem Completes Taft, LA KOH Conversion"	0.9606741573033708	0.4523809523809524	0.8936170212765957	0.8777777777777778	0.8674698795180723	0.8809523809523809	0.8333333333333334	0.8571428571428571	0.8817204301075269	0.8	0.8095238095238095	0.8888888888888888	0.8742857142857143	0.8618421052631579	0.9047619047619048	0.8809523809523809	0.8285714285714286	0.8898305084745762	0.8809523809523809	0.9047619047619048	0.8809523809523809	0.8677685950413223	0.8661417322834646	0.8026315789473685	0.8095238095238095	0.8571428571428571	0.8809523809523809	0.8181818181818182	0.8809523809523809	0.8571428571428571	0.8809523809523809	0.8766233766233766	0.8333333333333334	0.8943661971830986	0.8733333333333333	0.7857142857142857	0.7857142857142857	0.9047619047619048	0.8333333333333334	0.8878504672897196	0.7959183673469388	0.8484848484848485	0.8833333333333333	0.8494623655913979	0.8650793650793651	0.8290598290598291	0.9066666666666666	0.7792207792207793	0.8454545454545455	0.8580645161290322
"""Potassium Carbonate Faces Pressures from the Video Glass"""	0.9466292134831461	0.8275862068965517	0.8275862068965517	0.6666666666666666	0.8674698795180723	0.8103448275862069	0.8103448275862069	0.8448275862068966	0.7204301075268817	0.8533333333333334	0.34523809523809523	0.869281045751634	0.8342857142857143	0.8289473684210527	0.8793103448275862	0.8793103448275862	0.780952380952381	0.8135593220338984	0.8793103448275862	0.896551724137931	0.8793103448275862	0.8016528925619835	0.8110236220472441	0.8289473684210527	0.7758620689655172	0.8448275862068966	0.8275862068965517	0.7662337662337663	0.8275862068965517	0.8275862068965517	0.8275862068965517	0.8246753246753247	0.8620689655172413	0.8591549295774648	0.82	0.7931034482758621	0.7931034482758621	0.7586206896551724	0.8275862068965517	0.8411214953271028	0.7653061224489796	0.803030303030303	0.9	0.7849462365591398	0.8174603174603174	0.7606837606837606	0.87	0.8051948051948052	0.8363636363636363	0.8387096774193549
Distributional Effects of Environmental Energy Policy: An Introduction	0.9353932584269663	0.8857142857142857	0.7714285714285715	0.8555555555555555	0.891566265060241	0.8571428571428571	0.8	0.7714285714285715	0.8709677419354839	0.06666666666666667	0.8095238095238095	0.869281045751634	0.8285714285714286	0.8223684210526315	0.9	0.9	0.7904761904761904	0.847457627118644	0.9	0.9428571428571428	0.9	0.8099173553719008	0.8503937007874016	0.7105263157894737	0.8142857142857143	0.8428571428571429	0.8714285714285714	0.8571428571428571	0.8714285714285714	0.8285714285714286	0.8714285714285714	0.8246753246753247	0.8428571428571429	0.8591549295774648	0.7866666666666666	0.7571428571428571	0.7571428571428571	0.7285714285714285	0.8428571428571429	0.8598130841121495	0.7551020408163265	0.7803030303030303	0.7714285714285715	0.8172043010752689	0.7857142857142857	0.7692307692307693	0.8466666666666667	0.8441558441558441	0.8090909090909091	0.8064516129032258
Chlor-alkali Market Wire	0.9719101123595506	0.9583333333333334	0.7446808510638298	0.9	0.891566265060241	0.875	0.896551724137931	0.8529411764705882	0.8924731182795699	0.8533333333333334	0.8214285714285714	0.9215686274509803	0.9085714285714286	0.9078947368421053	0.8333333333333334	0.7916666666666666	0.8666666666666667	0.8813559322033898	0.7916666666666666	0.9583333333333334	0.7916666666666666	0.8760330578512396	0.905511811023622	0.8421052631578947	0.8518518518518519	0.8148148148148148	0.875	0.8311688311688312	0.875	0.8378378378378378	0.875	0.9025974025974026	0.875	0.9225352112676056	0.9066666666666666	0.8275862068965517	0.8275862068965517	0.8421052631578947	0.8387096774193549	0.9158878504672897	0.8469387755102041	0.8787878787878788	0.85	0.7956989247311828	0.8968253968253969	0.8974358974358975	0.93	0.8441558441558441	0.8818181818181818	0.9032258064516129
Estimating the Mortality Risk Reduction and Economic Co-benefits from Controlling Ozone Air Pollution	0.9199438202247191	0.8910891089108911	0.801980198019802	0.8712871287128713	0.8712871287128713	0.8811881188118812	0.8415841584158416	0.7821782178217822	0.8613861386138614	0.7326732673267327	0.801980198019802	0.8562091503267973	0.8	0.7763157894736842	0.9207920792079208	0.9207920792079208	0.8	0.847457627118644	0.9207920792079208	0.9504950495049505	0.9207920792079208	0.8347107438016529	0.84251968503937	0.7821782178217822	0.8415841584158416	0.8712871287128713	0.8910891089108911	0.8217821782178217	0.8910891089108911	0.8712871287128713	0.8910891089108911	0.8181818181818182	0.8613861386138614	0.8380281690140845	0.7933333333333333	0.8316831683168316	0.8316831683168316	0.8118811881188119	0.8415841584158416	0.8785046728971962	0.7326732673267327	0.7348484848484849	0.7524752475247525	0.801980198019802	0.7380952380952381	0.7863247863247863	0.8033333333333333	0.7821782178217822	0.8181818181818182	0.7677419354838709
Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.9325842696629213	0.88	0.7866666666666666	0.8555555555555555	0.8795180722891566	0.8533333333333334	0.8266666666666667	0.7733333333333333	0.8494623655913979	0.7866666666666666	0.8214285714285714	0.8627450980392157	0.8228571428571428	0.8157894736842105	0.92	0.92	0.8	0.8305084745762712	0.92	0.92	0.92	0.8264462809917356	0.8346456692913385	0.8289473684210527	0.8133333333333334	0.84	0.8666666666666667	0.8831168831168831	0.8666666666666667	0.8	0.8666666666666667	0.8311688311688312	0.88	0.8380281690140845	0.8133333333333334	0.7466666666666667	0.7466666666666667	0.8	0.84	0.8598130841121495	0.7653061224489796	0.7651515151515151	0.8266666666666667	0.7956989247311828	0.8015873015873016	0.7435897435897436	0.8466666666666667	0.8571428571428571	0.8	0.8064516129032258
Hidden Costs of Energy:Unpriced Consequences of Energy Production and Use	0.9311797752808989	0.863013698630137	0.7671232876712328	0.8444444444444444	0.9036144578313253	0.8493150684931506	0.8082191780821918	0.7808219178082192	0.8064516129032258	0.7733333333333333	0.8690476190476191	0.8562091503267973	0.8171428571428572	0.8355263157894737	0.9178082191780822	0.9178082191780822	0.7619047619047619	0.8135593220338984	0.9178082191780822	0.9178082191780822	0.9178082191780822	0.7851239669421488	0.8346456692913385	0.7368421052631579	0.8356164383561644	0.8356164383561644	0.8767123287671232	0.8701298701298701	0.8767123287671232	0.821917808219178	0.8767123287671232	0.7987012987012987	0.8493150684931506	0.8169014084507042	0.7933333333333333	0.8082191780821918	0.8082191780821918	0.821917808219178	0.821917808219178	0.8411214953271028	0.7959183673469388	0.7651515151515151	0.7945205479452054	0.7956989247311828	0.7936507936507936	0.7606837606837606	0.8366666666666667	0.8441558441558441	0.7636363636363637	0.7806451612903226
Investment under Uncertainty	0.9662921348314607	0.8571428571428571	0.7446808510638298	0.8777777777777778	0.891566265060241	0.84375	0.034482758620689655	0.7941176470588235	0.8709677419354839	0.7866666666666666	0.8452380952380952	0.9019607843137255	0.9085714285714286	0.8947368421052632	0.8928571428571429	0.8571428571428571	0.8285714285714286	0.8728813559322034	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8842975206611571	0.8661417322834646	0.8157894736842105	0.8571428571428571	0.9285714285714286	0.8571428571428571	0.8441558441558441	0.8571428571428571	0.8108108108108109	0.8571428571428571	0.8961038961038961	0.8571428571428571	0.8943661971830986	0.8533333333333334	0.6206896551724138	0.6206896551724138	0.7105263157894737	0.9032258064516129	0.897196261682243	0.826530612244898	0.8560606060606061	0.7666666666666667	0.8709677419354839	0.8650793650793651	0.8290598290598291	0.9266666666666666	0.8571428571428571	0.8454545454545455	0.8709677419354839
