	Comments submitted to OSHA docket S029 Exhibit 3-14 by	Institute of Electrical and Electronics Engineers. IEEE Standard for Fall Protection for Utility Work. IEEE Standard 1307-2004. http://standards.ieee.org/reading/ieee/std/numerical.html, accessed	Occupational Safety and Health Administration. 29 CFR Part	Occupational Safety and Health Administration. Fixed Ladders Used on Outdoor Advertising Structures/Billboards in the Outdoor Advertising Industry.	Occupational Safety and Health Administration. Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0.030% Machine Shops; Turned Product; and Screw, Nut,	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing $279,213 163 $1,712,962 3.71% $63,608 $2,015 $12.36 0.001% 0.019% Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories,	0.024% Lawn and Garden Equipment and Supplies Stores	0.039% Sporting Goods, Hobby, and Musical Instrument Stores	0.050% Electronic Shopping and Mail-Order Houses $12,662,263 13,335 $949,551 3.96% *	0.095% Deep Sea, Coastal, and Great Lakes Water Transportation $1,019,668 645 $1,580,880 4.17% *	Rural Bus Transportation	Employee Bus Transportation	0.102% Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0.263% Data Processing, Hosting, and Related Services	Monetary Authorities - Central Bank	0.005% Securities and Commodity Contracts Intermediation and Brokerage	0.000% Agencies, Brokerages, and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0.040% Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services $73,138,890 164,606 $444,327 8.52% ** $37,841 $657,652 $4.00 0.001% 0.011% Accounting, Tax Preparation, Bookkeeping, and Payroll Services	Specialized Design Services $12,493,910 29,234 $427,376 6.23% ** $26,635 $138,628 $4.74 0.001% 0.018% Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals $103,678 48 $2,159,950 5.08% ** $109,669 $210 $4.37 0.000% 0.004% Specialty (except Psychiatric and Substance Abuse) Hospitals $140,371 130 $1,079,779 5.08% **	0.013% Residential Mental Retardation, Mental Health and Substance Abuse Facilities $1,155,914 4,046 $285,693 5.08% **	Facilities for the Elderly	Care Facilities	Individual and Family Services $8,057,734 27,310 $295,047 5.08% ** $14,981 $86,180 $3.16 0.001% 0.021% Community Food and Housing, and Emergency and Other Relief Services $3,126,011 6,774 $461,472 5.08% **	Vocational Rehabilitation Services	Care Services	0.006% Promoters of Performing Arts, Sports, and Similar Events $2,931,291	Boarding Houses	0.091% Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau, Statistics of U.S. Businesses,	(1) Discussions with Outdoor Amusement Business Association (OABA) staff indicate that very few office and multi-family residential buildings use fixed ladders greater than 20 feet in height. A-5 Based on this data, ERG estimated that all 28,906 estimated fixed ladders on lift towers are infrequently climbed. A.4 Communications Towers (Radio, Television, Cellular, and Microwave) Virtually all communication towers have fixed ladders. The Federal Communications Commission (FCC) Antenna Structure Registration Database lists 93,000 registered Albee.	Economic Census: Manufacturing. As downloaded from http://factfinder.census.gov/servlet/IQRTable?_bm=y&-ds_name=EC0200A1&-NAICS2002=31-33&-_lang=en on	As downloaded from ftp://ftp.eia.doe.gov/pub/consumption/residential/2001hc_tables/housingunit_household.pdf on August 24,	United States Environmental Protection Agency.	As downloaded from http://www.epa.gov/safewater/cwssvr.html on August 23,	Telephone conversation between Joe Shefchik and Ayesha Berlind,	Telephone conversation between Wendell, Kido, Chief, Policy and Planning Division, Sacramento County Regional Sanitation District and Ayesha Berlind,	Telephone conversation between
Economic Report of the President	0.8333333333333334	0.882051282051282	0.8275862068965517	0.8435374149659864	0.8562091503267973	0.7924528301886793	0.8048780487804879	0.9005847953216374	0.78125	0.8269230769230769	0.8135593220338984	0.8452380952380952	0.8645833333333334	0.875	0.8125	0.8035714285714286	0.7804878048780488	0.8	0.84375	0.84375	0.8301886792452831	0.7428571428571429	0.8142857142857143	0.8059701492537313	0.84375	0.8048780487804879	0.7878787878787878	0.717948717948718	0.8266666666666667	0.8947368421052632	0.8972602739726028	0.6571428571428571	0.71875	0.78125	0.8421052631578947	0.9154228855721394	0.8728813559322034	0.71875	0.875	0.9170731707317074	0.7647058823529411	0.8125	0.7972972972972973	0.84375	0.75	0.78125	0.8125	0.810126582278481	0.9509981851179673	0.8533333333333334	0.8524590163934426	0.782608695652174	0.8356164383561644	0.746031746031746	0.8657718120805369	0.8125
Federal Participation in the Development and Use of Voluntary Consensus Standards and in Conformity Assessment Activities	0.8264462809917356	0.7487179487179487	0.7603305785123967	0.7482993197278912	0.7973856209150327	0.7851239669421488	0.8264462809917356	0.8011695906432749	0.9256198347107438	0.7851239669421488	0.768595041322314	0.7851239669421488	0.8429752066115702	0.8760330578512396	0.859504132231405	0.7851239669421488	0.8181818181818182	0.8181818181818182	0.8760330578512396	0.859504132231405	0.7851239669421488	0.8429752066115702	0.7520661157024794	0.7272727272727273	0.9008264462809917	0.8099173553719008	0.8347107438016529	0.8099173553719008	0.7933884297520661	0.8355263157894737	0.8287671232876712	0.8264462809917356	0.859504132231405	0.8677685950413223	0.8016528925619835	0.8407960199004975	0.8677685950413223	0.8512396694214877	0.9008264462809917	0.8146341463414634	0.8181818181818182	0.9173553719008265	0.7768595041322314	0.9173553719008265	0.8099173553719008	0.8760330578512396	0.8347107438016529	0.7520661157024794	0.852994555353902	0.8666666666666667	0.9016393442622951	0.7851239669421488	0.8264462809917356	0.768595041322314	0.7516778523489933	0.8264462809917356
Harmonized Tariff Schedule of the United States (2007)	0.9259259259259259	0.8717948717948718	0.8620689655172413	0.8095238095238095	0.8300653594771242	0.8703703703703703	0.8518518518518519	0.8713450292397661	0.8888888888888888	0.8333333333333334	0.864406779661017	0.8452380952380952	0.8333333333333334	0.8333333333333334	0.8333333333333334	0.8571428571428571	0.8148148148148148	0.7592592592592593	0.8518518518518519	0.8518518518518519	0.8703703703703703	0.7592592592592593	0.8285714285714286	0.7910447761194029	0.8518518518518519	0.7777777777777778	0.7777777777777778	0.7407407407407407	0.8	0.9013157894736842	0.8561643835616438	0.7777777777777778	0.7592592592592593	0.7962962962962963	0.8333333333333334	0.8756218905472637	0.8220338983050848	0.7777777777777778	0.7962962962962963	0.8780487804878049	0.8148148148148148	0.8333333333333334	0.8108108108108109	0.8518518518518519	0.8888888888888888	0.8333333333333334	0.7962962962962963	0.7974683544303798	0.9237749546279492	0.84	0.8442622950819673	0.7962962962962963	0.8493150684931506	0.7777777777777778	0.8187919463087249	0.8333333333333334
Job Openings and Labor Turnover Survey	0.8518518518518519	0.8769230769230769	0.7931034482758621	0.8163265306122449	0.8496732026143791	0.8113207547169812	0.8536585365853658	0.8654970760233918	0.868421052631579	0.7692307692307693	0.7288135593220338	0.8214285714285714	0.8229166666666666	0.8421052631578947	0.8421052631578947	0.75	0.8048780487804879	0.7631578947368421	0.8157894736842105	0.8421052631578947	0.7547169811320755	0.8947368421052632	0.7714285714285715	0.7014925373134329	0.7631578947368421	0.8780487804878049	0.8421052631578947	0.9487179487179487	0.8	0.881578947368421	0.8904109589041096	0.8421052631578947	0.7368421052631579	0.7894736842105263	0.868421052631579	0.9203980099502488	0.8728813559322034	0.7894736842105263	0.8947368421052632	0.9073170731707317	0.7631578947368421	0.8421052631578947	0.7972972972972973	0.7894736842105263	0.75	0.7631578947368421	0.6842105263157895	0.8227848101265823	0.941923774954628	0.8666666666666667	0.860655737704918	0.8478260869565217	0.863013698630137	0.8253968253968254	0.8590604026845637	0.8421052631578947
PPE Cost Survey: Final Report	0.8518518518518519	0.9128205128205128	0.7931034482758621	0.891156462585034	0.8823529411764706	0.7924528301886793	0.8292682926829268	0.9181286549707602	0.8620689655172413	0.7884615384615384	0.7796610169491526	0.8928571428571429	0.8541666666666666	0.8620689655172413	0.896551724137931	0.7857142857142857	0.7560975609756098	0.8285714285714286	0.896551724137931	0.9333333333333333	0.7924528301886793	0.8	0.8285714285714286	0.8208955223880597	0.7931034482758621	0.8048780487804879	0.8484848484848485	0.7435897435897436	0.8	0.9210526315789473	0.8904109589041096	0.8571428571428571	0.8620689655172413	0.8275862068965517	0.8421052631578947	0.9203980099502488	0.8983050847457628	0.896551724137931	0.7931034482758621	0.926829268292683	0.8823529411764706	0.7586206896551724	0.8378378378378378	0.8275862068965517	0.7884615384615384	0.7931034482758621	0.9032258064516129	0.8607594936708861	0.9600725952813067	0.9066666666666666	0.9016393442622951	0.8043478260869565	0.8904109589041096	0.8095238095238095	0.8859060402684564	0.8
Regulatory Analysis	0.8888888888888888	0.9282051282051282	0.8103448275862069	0.9115646258503401	0.8758169934640523	0.9056603773584906	0.8292682926829268	0.9298245614035088	0.8421052631578947	0.8461538461538461	0.847457627118644	0.8928571428571429	0.9166666666666666	0.8333333333333334	0.8888888888888888	0.8571428571428571	0.8536585365853658	0.8	0.782608695652174	0.8333333333333334	0.8301886792452831	0.7714285714285715	0.8571428571428571	0.8507462686567164	0.8421052631578947	0.8048780487804879	0.7575757575757576	0.7948717948717948	0.84	0.9210526315789473	0.9246575342465754	0.8571428571428571	0.76	0.8	0.7631578947368421	0.9402985074626866	0.8898305084745762	0.8076923076923077	0.7894736842105263	0.9414634146341463	0.7941176470588235	0.7894736842105263	0.8783783783783784	0.8421052631578947	0.8653846153846154	0.7894736842105263	0.8387096774193549	0.8607594936708861	0.9673321234119783	0.92	0.9016393442622951	0.8260869565217391	0.8904109589041096	0.8571428571428571	0.912751677852349	0.8333333333333334
Residential Energy Consumption Survey (Table HC1-4a)	0.8333333333333334	0.8615384615384616	0.8103448275862069	0.8503401360544217	0.8300653594771242	0.9245283018867925	0.8461538461538461	0.8654970760233918	0.9038461538461539	0.8846153846153846	0.864406779661017	0.8571428571428571	0.8125	0.8076923076923077	0.8461538461538461	0.875	0.8461538461538461	0.8461538461538461	0.8076923076923077	0.7692307692307693	0.8867924528301887	0.75	0.7857142857142857	0.7910447761194029	0.9038461538461539	0.7884615384615384	0.7692307692307693	0.8076923076923077	0.7866666666666666	0.881578947368421	0.8767123287671232	0.7884615384615384	0.8076923076923077	0.8076923076923077	0.75	0.8905472636815921	0.7542372881355932	0.8076923076923077	0.8846153846153846	0.8780487804878049	0.75	0.8653846153846154	0.8108108108108109	0.8461538461538461	0.9038461538461539	0.8269230769230769	0.75	0.7974683544303798	0.9292196007259528	0.82	0.819672131147541	0.8269230769230769	0.863013698630137	0.8095238095238095	0.8389261744966443	0.75
Standards applicable to step bolts and manhole steps; load requirements for step bolts	0.7906976744186046	0.8	0.7441860465116279	0.7687074829931972	0.7908496732026143	0.7906976744186046	0.8255813953488372	0.8070175438596491	0.8953488372093024	0.7790697674418605	0.7441860465116279	0.8837209302325582	0.8541666666666666	0.8255813953488372	0.813953488372093	0.7790697674418605	0.7790697674418605	0.7906976744186046	0.872093023255814	0.8604651162790697	0.7790697674418605	0.813953488372093	0.8255813953488372	0.7906976744186046	0.8604651162790697	0.7674418604651163	0.813953488372093	0.813953488372093	0.7906976744186046	0.8355263157894737	0.821917808219178	0.7790697674418605	0.8372093023255814	0.8604651162790697	0.7674418604651163	0.845771144278607	0.8050847457627118	0.813953488372093	0.8837209302325582	0.848780487804878	0.813953488372093	0.8953488372093024	0.8255813953488372	0.872093023255814	0.7325581395348837	0.872093023255814	0.813953488372093	0.8372093023255814	0.8820326678765881	0.8533333333333334	0.819672131147541	0.7674418604651163	0.8372093023255814	0.7906976744186046	0.7718120805369127	0.8255813953488372
The use of ship's stairs instead of fixed stairs in general industry	0.8088235294117647	0.7948717948717948	0.8088235294117647	0.7482993197278912	0.8104575163398693	0.7647058823529411	0.8088235294117647	0.8362573099415205	0.8823529411764706	0.8235294117647058	0.8382352941176471	0.8452380952380952	0.8229166666666666	0.8235294117647058	0.8235294117647058	0.75	0.7941176470588235	0.75	0.7941176470588235	0.7941176470588235	0.8088235294117647	0.7205882352941176	0.8428571428571429	0.8382352941176471	0.8529411764705882	0.75	0.7647058823529411	0.75	0.7466666666666667	0.8618421052631579	0.8561643835616438	0.7941176470588235	0.8088235294117647	0.8235294117647058	0.7794117647058824	0.8557213930348259	0.8135593220338984	0.8088235294117647	0.8676470588235294	0.8829268292682927	0.7941176470588235	0.8676470588235294	0.8513513513513513	0.8529411764705882	0.8088235294117647	0.8235294117647058	0.7794117647058824	0.7468354430379747	0.8929219600725953	0.86	0.8032786885245902	0.7647058823529411	0.821917808219178	0.7794117647058824	0.7651006711409396	0.7941176470588235
website. Resource Center Loan Program. Materials by subject	0.847457627118644	0.8461538461538461	0.8813559322033898	0.8231292517006803	0.8235294117647058	0.8135593220338984	0.864406779661017	0.847953216374269	0.8983050847457628	0.8305084745762712	0.8983050847457628	0.8809523809523809	0.8229166666666666	0.7966101694915254	0.7966101694915254	0.847457627118644	0.8135593220338984	0.7796610169491526	0.8135593220338984	0.7457627118644068	0.8305084745762712	0.8305084745762712	0.7714285714285715	0.8208955223880597	0.8983050847457628	0.7627118644067796	0.7457627118644068	0.8135593220338984	0.8266666666666667	0.8552631578947368	0.8493150684931506	0.7627118644067796	0.8135593220338984	0.8305084745762712	0.7796610169491526	0.8805970149253731	0.8050847457627118	0.8135593220338984	0.864406779661017	0.8829268292682927	0.8305084745762712	0.8813559322033898	0.8378378378378378	0.8813559322033898	0.847457627118644	0.8305084745762712	0.8305084745762712	0.7721518987341772	0.9165154264972777	0.8533333333333334	0.8360655737704918	0.7796610169491526	0.8356164383561644	0.8253968253968254	0.7919463087248322	0.7457627118644068
National Occupational Exposure Survey. Volume III: Analysis of Management Interview Responses	0.8387096774193549	0.8102564102564103	0.7311827956989247	0.7687074829931972	0.7516339869281046	0.7956989247311828	0.8064516129032258	0.8070175438596491	0.8924731182795699	0.7849462365591398	0.7634408602150538	0.9032258064516129	0.90625	0.8387096774193549	0.8279569892473119	0.8064516129032258	0.7956989247311828	0.7634408602150538	0.8709677419354839	0.8602150537634409	0.7741935483870968	0.8172043010752689	0.8064516129032258	0.8064516129032258	0.8924731182795699	0.7956989247311828	0.8279569892473119	0.7956989247311828	0.7849462365591398	0.8552631578947368	0.8561643835616438	0.8279569892473119	0.8279569892473119	0.8494623655913979	0.8172043010752689	0.845771144278607	0.8305084745762712	0.8387096774193549	0.8924731182795699	0.848780487804878	0.7526881720430108	0.8817204301075269	0.8602150537634409	0.8817204301075269	0.7741935483870968	0.8602150537634409	0.8172043010752689	0.7526881720430108	0.8874773139745916	0.84	0.8360655737704918	0.8064516129032258	0.8709677419354839	0.7849462365591398	0.7785234899328859	0.8172043010752689
American National Standard for Ladders—Fixed– Safety Requirements	0.8615384615384616	0.8	0.7538461538461538	0.7755102040816326	0.803921568627451	0.8	0.8	0.8596491228070176	0.9076923076923077	0.7692307692307693	0.8153846153846154	0.8214285714285714	0.8333333333333334	0.8153846153846154	0.8307692307692308	0.8153846153846154	0.7846153846153846	0.7538461538461538	0.8	0.8461538461538461	0.8	0.8153846153846154	0.8285714285714286	0.8507462686567164	0.8461538461538461	0.7692307692307693	0.7692307692307693	0.8153846153846154	0.8	0.881578947368421	0.8767123287671232	0.7384615384615385	0.7692307692307693	0.7846153846153846	0.7384615384615385	0.8756218905472637	0.7966101694915254	0.8	0.8461538461538461	0.8829268292682927	0.7230769230769231	0.8615384615384616	0.8783783783783784	0.8615384615384616	0.7384615384615385	0.8	0.7230769230769231	0.7468354430379747	0.9074410163339383	0.82	0.8442622950819673	0.8307692307692308	0.8767123287671232	0.8307692307692308	0.7919463087248322	0.7692307692307693
American National Standard for Ladders—Portable Reinforced Plastic–Safety Requirements	0.8488372093023255	0.7794871794871795	0.7325581395348837	0.7346938775510204	0.7777777777777778	0.7790697674418605	0.8023255813953488	0.847953216374269	0.8953488372093024	0.7558139534883721	0.7906976744186046	0.8837209302325582	0.8541666666666666	0.8255813953488372	0.8372093023255814	0.7906976744186046	0.7790697674418605	0.7790697674418605	0.8255813953488372	0.8604651162790697	0.7558139534883721	0.8255813953488372	0.7441860465116279	0.7906976744186046	0.8837209302325582	0.7790697674418605	0.7906976744186046	0.8023255813953488	0.813953488372093	0.8618421052631579	0.8698630136986302	0.7790697674418605	0.813953488372093	0.8255813953488372	0.7674418604651163	0.8557213930348259	0.8050847457627118	0.8255813953488372	0.872093023255814	0.8585365853658536	0.7558139534883721	0.8837209302325582	0.8372093023255814	0.8837209302325582	0.7441860465116279	0.8372093023255814	0.7790697674418605	0.7790697674418605	0.8874773139745916	0.7933333333333333	0.8524590163934426	0.7906976744186046	0.8372093023255814	0.7790697674418605	0.7785234899328859	0.8023255813953488
American National Standard Safety Requirements for Job-Made Wooden Ladders	0.8513513513513513	0.7948717948717948	0.7162162162162162	0.7482993197278912	0.7712418300653595	0.8243243243243243	0.7567567567567568	0.8362573099415205	0.9054054054054054	0.6891891891891891	0.8243243243243243	0.8333333333333334	0.8125	0.8243243243243243	0.8378378378378378	0.8108108108108109	0.7972972972972973	0.7837837837837838	0.8513513513513513	0.8378378378378378	0.7972972972972973	0.7972972972972973	0.7972972972972973	0.8513513513513513	0.8648648648648649	0.7297297297297297	0.7702702702702703	0.7432432432432432	0.8266666666666667	0.8486842105263158	0.863013698630137	0.7972972972972973	0.8243243243243243	0.8378378378378378	0.7432432432432432	0.8656716417910447	0.7796610169491526	0.7837837837837838	0.8783783783783784	0.8780487804878049	0.7702702702702703	0.8918918918918919	0.9054054054054054	0.8648648648648649	0.7297297297297297	0.8378378378378378	0.7702702702702703	0.7848101265822784	0.8983666061705989	0.8266666666666667	0.8360655737704918	0.7432432432432432	0.9054054054054054	0.8108108108108109	0.785234899328859	0.7972972972972973
Dual Use Tower: Transmission and Generation. Utility Automation & Engineering T&D Online	0.8181818181818182	0.7794871794871795	0.7613636363636364	0.7414965986394558	0.7647058823529411	0.8409090909090909	0.8068181818181818	0.8362573099415205	0.9204545454545454	0.7840909090909091	0.8409090909090909	0.8863636363636364	0.8020833333333334	0.8068181818181818	0.8068181818181818	0.7159090909090909	0.8181818181818182	0.8181818181818182	0.8409090909090909	0.8295454545454546	0.7954545454545454	0.8068181818181818	0.7613636363636364	0.7954545454545454	0.8977272727272727	0.8068181818181818	0.8522727272727273	0.7954545454545454	0.7840909090909091	0.8092105263157895	0.8561643835616438	0.8409090909090909	0.8522727272727273	0.8863636363636364	0.8181818181818182	0.8606965174129353	0.8135593220338984	0.8522727272727273	0.8863636363636364	0.848780487804878	0.75	0.9204545454545454	0.8295454545454546	0.9090909090909091	0.7386363636363636	0.8863636363636364	0.7954545454545454	0.875	0.8874773139745916	0.84	0.819672131147541	0.7613636363636364	0.8522727272727273	0.75	0.738255033557047	0.7954545454545454
Portable Dock Leveling Devices: Safety Performance and Testing	0.8709677419354839	0.8358974358974359	0.8709677419354839	0.8027210884353742	0.8235294117647058	0.7903225806451613	0.7258064516129032	0.847953216374269	0.8709677419354839	0.8548387096774194	0.9032258064516129	0.8333333333333334	0.8229166666666666	0.8064516129032258	0.8064516129032258	0.8387096774193549	0.7419354838709677	0.7580645161290323	0.7258064516129032	0.8064516129032258	0.7741935483870968	0.7741935483870968	0.7857142857142857	0.7761194029850746	0.8225806451612904	0.7419354838709677	0.7741935483870968	0.6935483870967742	0.7333333333333333	0.875	0.8424657534246576	0.7903225806451613	0.7741935483870968	0.8225806451612904	0.7741935483870968	0.8756218905472637	0.8305084745762712	0.7580645161290323	0.8548387096774194	0.8926829268292683	0.7903225806451613	0.8548387096774194	0.8108108108108109	0.8548387096774194	0.8387096774193549	0.8225806451612904	0.7741935483870968	0.8354430379746836	0.9128856624319419	0.86	0.8360655737704918	0.7903225806451613	0.8082191780821918	0.8095238095238095	0.738255033557047	0.7741935483870968
Technical And Analytical Support And Docket Review For OSHA’s Preliminary Analysis Of Costs, Benefits, And Economic Impacts For OSHA’s Proposed Standard For Walking And Working Surfaces	0.8540540540540541	0.8358974358974359	0.8324324324324325	0.7783783783783784	0.745945945945946	0.8594594594594595	0.8756756756756757	0.8486486486486486	0.9459459459459459	0.8486486486486486	0.8324324324324325	0.8594594594594595	0.8540540540540541	0.9027027027027027	0.8972972972972973	0.8378378378378378	0.827027027027027	0.8702702702702703	0.8972972972972973	0.8864864864864865	0.8216216216216217	0.8702702702702703	0.7945945945945946	0.827027027027027	0.9297297297297298	0.8486486486486486	0.8702702702702703	0.8648648648648649	0.8	0.8	0.7891891891891892	0.8810810810810811	0.8972972972972973	0.9135135135135135	0.8540540540540541	0.8656716417910447	0.827027027027027	0.9027027027027027	0.9297297297297298	0.8341463414634146	0.8702702702702703	0.9405405405405406	0.8216216216216217	0.9297297297297298	0.8432432432432433	0.918918918918919	0.8756756756756757	0.8	0.8294010889292196	0.8324324324324325	0.827027027027027	0.8432432432432433	0.8540540540540541	0.8162162162162162	0.7567567567567568	0.8864864864864865
101. Life Safety Code. 2006 Edition. 7.2.2.2.3 Spiral stairs	0.8833333333333333	0.8512820512820513	0.7333333333333333	0.8163265306122449	0.8104575163398693	0.8333333333333334	0.85	0.8362573099415205	0.9333333333333333	0.7666666666666667	0.85	0.8333333333333334	0.8229166666666666	0.8666666666666667	0.85	0.8166666666666667	0.8166666666666667	0.7833333333333333	0.8166666666666667	0.8166666666666667	0.7833333333333333	0.7833333333333333	0.8428571428571429	0.8059701492537313	0.9	0.8	0.7833333333333333	0.8333333333333334	0.7866666666666666	0.8486842105263158	0.8424657534246576	0.8333333333333334	0.8166666666666667	0.8333333333333334	0.8166666666666667	0.8557213930348259	0.8389830508474576	0.85	0.8666666666666667	0.8780487804878049	0.8	0.9	0.8648648648648649	0.8833333333333333	0.7666666666666667	0.8333333333333334	0.8166666666666667	0.8607594936708861	0.9274047186932849	0.86	0.860655737704918	0.8333333333333334	0.8767123287671232	0.9047619047619048	0.825503355704698	0.8166666666666667
American National Standard for Ladders—Portable Metal– Safety Requirements	0.8513513513513513	0.7846153846153846	0.7702702702702703	0.7619047619047619	0.7843137254901961	0.7567567567567568	0.7702702702702703	0.847953216374269	0.8918918918918919	0.7567567567567568	0.7972972972972973	0.8333333333333334	0.8125	0.7972972972972973	0.8108108108108109	0.8108108108108109	0.7702702702702703	0.7837837837837838	0.8243243243243243	0.8648648648648649	0.7702702702702703	0.8108108108108109	0.8108108108108109	0.8108108108108109	0.8783783783783784	0.7567567567567568	0.7702702702702703	0.7702702702702703	0.8266666666666667	0.868421052631579	0.8698630136986302	0.7567567567567568	0.7972972972972973	0.8108108108108109	0.7702702702702703	0.8656716417910447	0.7966101694915254	0.7972972972972973	0.8783783783783784	0.8780487804878049	0.7432432432432432	0.8783783783783784	0.8648648648648649	0.8783783783783784	0.7432432432432432	0.8243243243243243	0.7702702702702703	0.7721518987341772	0.896551724137931	0.7933333333333333	0.8360655737704918	0.7837837837837838	0.9054054054054054	0.8108108108108109	0.785234899328859	0.7837837837837838
American National Standard for Ladders—Wood–Safety Requirements	0.8888888888888888	0.8	0.7777777777777778	0.782312925170068	0.803921568627451	0.7936507936507936	0.7936507936507936	0.8596491228070176	0.8888888888888888	0.7777777777777778	0.8412698412698413	0.8333333333333334	0.8333333333333334	0.7936507936507936	0.8095238095238095	0.8412698412698413	0.7619047619047619	0.7619047619047619	0.7936507936507936	0.8412698412698413	0.8095238095238095	0.8412698412698413	0.8285714285714286	0.835820895522388	0.8571428571428571	0.7777777777777778	0.7777777777777778	0.8253968253968254	0.8	0.881578947368421	0.8835616438356164	0.746031746031746	0.7777777777777778	0.7936507936507936	0.746031746031746	0.8805970149253731	0.8050847457627118	0.7936507936507936	0.8571428571428571	0.8878048780487805	0.7301587301587301	0.873015873015873	0.8513513513513513	0.8571428571428571	0.746031746031746	0.8095238095238095	0.746031746031746	0.7721518987341772	0.911070780399274	0.8133333333333334	0.8442622950819673	0.8253968253968254	0.8767123287671232	0.8412698412698413	0.7986577181208053	0.7777777777777778
American National Standard for Mobile Ladder Stands and Mobile Ladder Stand Platforms.	0.813953488372093	0.7538461538461538	0.7209302325581395	0.7346938775510204	0.7581699346405228	0.7906976744186046	0.813953488372093	0.8128654970760234	0.9069767441860465	0.7093023255813954	0.7325581395348837	0.8023255813953488	0.8333333333333334	0.8255813953488372	0.8255813953488372	0.7558139534883721	0.7558139534883721	0.7674418604651163	0.8488372093023255	0.8837209302325582	0.7558139534883721	0.8023255813953488	0.7325581395348837	0.8023255813953488	0.8604651162790697	0.7674418604651163	0.8023255813953488	0.8023255813953488	0.7558139534883721	0.8289473684210527	0.821917808219178	0.7906976744186046	0.8372093023255814	0.8488372093023255	0.7558139534883721	0.835820895522388	0.7542372881355932	0.813953488372093	0.8837209302325582	0.8439024390243902	0.7674418604651163	0.8953488372093024	0.7558139534883721	0.8837209302325582	0.7674418604651163	0.8488372093023255	0.7906976744186046	0.8023255813953488	0.8802177858439202	0.8133333333333334	0.8524590163934426	0.7906976744186046	0.8372093023255814	0.7674418604651163	0.7651006711409396	0.8372093023255814
American National Standard Safety Requirements for Workplace Floor and Wall Openings, Stairs and Railing Systems.	0.831858407079646	0.764102564102564	0.7256637168141593	0.7551020408163265	0.7450980392156863	0.8053097345132744	0.7964601769911505	0.8070175438596491	0.9203539823008849	0.7256637168141593	0.7964601769911505	0.8495575221238938	0.831858407079646	0.8672566371681416	0.8672566371681416	0.7964601769911505	0.8053097345132744	0.8053097345132744	0.8495575221238938	0.8495575221238938	0.7876106194690266	0.8053097345132744	0.7787610619469026	0.8141592920353983	0.9026548672566371	0.7876106194690266	0.8053097345132744	0.7610619469026548	0.7433628318584071	0.8223684210526315	0.821917808219178	0.831858407079646	0.8672566371681416	0.8761061946902655	0.7964601769911505	0.8258706467661692	0.8305084745762712	0.8230088495575221	0.8938053097345132	0.8390243902439024	0.8141592920353983	0.9203539823008849	0.7964601769911505	0.9026548672566371	0.7787610619469026	0.8849557522123894	0.8141592920353983	0.7522123893805309	0.8584392014519057	0.84	0.8442622950819673	0.7876106194690266	0.7787610619469026	0.7522123893805309	0.7785234899328859	0.8584070796460177
Assessing Occupational Safety and Health Training: A Literature Review	0.8571428571428571	0.8205128205128205	0.4857142857142857	0.7346938775510204	0.7450980392156863	0.8142857142857143	0.7857142857142857	0.8304093567251462	0.8857142857142857	0.8	0.8142857142857143	0.8690476190476191	0.8229166666666666	0.8142857142857143	0.8142857142857143	0.7571428571428571	0.7714285714285715	0.7714285714285715	0.8142857142857143	0.8142857142857143	0.7428571428571429	0.7714285714285715	0.8571428571428571	0.7714285714285715	0.8857142857142857	0.7857142857142857	0.7714285714285715	0.7571428571428571	0.8266666666666667	0.8552631578947368	0.8493150684931506	0.7857142857142857	0.7714285714285715	0.8142857142857143	0.7857142857142857	0.8656716417910447	0.7711864406779662	0.8428571428571429	0.8714285714285714	0.8829268292682927	0.7142857142857143	0.9	0.918918918918919	0.8714285714285714	0.7857142857142857	0.8428571428571429	0.7428571428571429	0.7848101265822784	0.8983666061705989	0.8533333333333334	0.8442622950819673	0.8142857142857143	0.9178082191780822	0.7571428571428571	0.7785234899328859	0.7714285714285715
