	Comments submitted to OSHA docket S029 Exhibit 3-14 by	Institute of Electrical and Electronics Engineers. IEEE Standard for Fall Protection for Utility Work. IEEE Standard 1307-2004. http://standards.ieee.org/reading/ieee/std/numerical.html, accessed	Occupational Safety and Health Administration. 29 CFR Part	Occupational Safety and Health Administration. Fixed Ladders Used on Outdoor Advertising Structures/Billboards in the Outdoor Advertising Industry.	Occupational Safety and Health Administration. Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0.030% Machine Shops; Turned Product; and Screw, Nut,	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing $279,213 163 $1,712,962 3.71% $63,608 $2,015 $12.36 0.001% 0.019% Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories,	0.024% Lawn and Garden Equipment and Supplies Stores	0.039% Sporting Goods, Hobby, and Musical Instrument Stores	0.050% Electronic Shopping and Mail-Order Houses $12,662,263 13,335 $949,551 3.96% *	0.095% Deep Sea, Coastal, and Great Lakes Water Transportation $1,019,668 645 $1,580,880 4.17% *	Rural Bus Transportation	Employee Bus Transportation	0.102% Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0.263% Data Processing, Hosting, and Related Services	Monetary Authorities - Central Bank	0.005% Securities and Commodity Contracts Intermediation and Brokerage	0.000% Agencies, Brokerages, and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0.040% Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services $73,138,890 164,606 $444,327 8.52% ** $37,841 $657,652 $4.00 0.001% 0.011% Accounting, Tax Preparation, Bookkeeping, and Payroll Services	Specialized Design Services $12,493,910 29,234 $427,376 6.23% ** $26,635 $138,628 $4.74 0.001% 0.018% Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals $103,678 48 $2,159,950 5.08% ** $109,669 $210 $4.37 0.000% 0.004% Specialty (except Psychiatric and Substance Abuse) Hospitals $140,371 130 $1,079,779 5.08% **	0.013% Residential Mental Retardation, Mental Health and Substance Abuse Facilities $1,155,914 4,046 $285,693 5.08% **	Facilities for the Elderly	Care Facilities	Individual and Family Services $8,057,734 27,310 $295,047 5.08% ** $14,981 $86,180 $3.16 0.001% 0.021% Community Food and Housing, and Emergency and Other Relief Services $3,126,011 6,774 $461,472 5.08% **	Vocational Rehabilitation Services	Care Services	0.006% Promoters of Performing Arts, Sports, and Similar Events $2,931,291	Boarding Houses	0.091% Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau, Statistics of U.S. Businesses,	(1) Discussions with Outdoor Amusement Business Association (OABA) staff indicate that very few office and multi-family residential buildings use fixed ladders greater than 20 feet in height. A-5 Based on this data, ERG estimated that all 28,906 estimated fixed ladders on lift towers are infrequently climbed. A.4 Communications Towers (Radio, Television, Cellular, and Microwave) Virtually all communication towers have fixed ladders. The Federal Communications Commission (FCC) Antenna Structure Registration Database lists 93,000 registered Albee.	Economic Census: Manufacturing. As downloaded from http://factfinder.census.gov/servlet/IQRTable?_bm=y&-ds_name=EC0200A1&-NAICS2002=31-33&-_lang=en on	As downloaded from ftp://ftp.eia.doe.gov/pub/consumption/residential/2001hc_tables/housingunit_household.pdf on August 24,	United States Environmental Protection Agency.	As downloaded from http://www.epa.gov/safewater/cwssvr.html on August 23,	Telephone conversation between Joe Shefchik and Ayesha Berlind,	Telephone conversation between Wendell, Kido, Chief, Policy and Planning Division, Sacramento County Regional Sanitation District and Ayesha Berlind,	Telephone conversation between
2006 Performance And Accountability Report	0.8333333333333334	0.882051282051282	0.7758620689655172	0.8571428571428571	0.8431372549019608	0.7924528301886793	0.9285714285714286	0.8654970760233918	0.8809523809523809	0.7692307692307693	0.7796610169491526	0.8452380952380952	0.84375	0.8095238095238095	0.8333333333333334	0.6785714285714286	0.9047619047619048	0.8095238095238095	0.8571428571428571	0.8571428571428571	0.7924528301886793	0.8809523809523809	0.7571428571428571	0.7611940298507462	0.8095238095238095	0.8809523809523809	0.8333333333333334	0.8571428571428571	0.76	0.868421052631579	0.9041095890410958	0.8571428571428571	0.8571428571428571	0.8809523809523809	0.8333333333333334	0.9104477611940298	0.8389830508474576	0.8571428571428571	0.7857142857142857	0.9024390243902439	0.8571428571428571	0.8809523809523809	0.7432432432432432	0.8333333333333334	0.7115384615384616	0.8571428571428571	0.8095238095238095	0.8354430379746836	0.9346642468239564	0.88	0.8442622950819673	0.8478260869565217	0.8767123287671232	0.8095238095238095	0.8456375838926175	0.7857142857142857
Community Water System Survey 2000	0.7407407407407407	0.9128205128205128	0.8275862068965517	0.8639455782312925	0.869281045751634	0.8301886792452831	0.8536585365853658	0.9122807017543859	0.8823529411764706	0.7884615384615384	0.847457627118644	0.8809523809523809	0.8229166666666666	0.8823529411764706	0.8529411764705882	0.8392857142857143	0.8780487804878049	0.8571428571428571	0.9117647058823529	0.9411764705882353	0.8301886792452831	0.8285714285714286	0.8	0.8059701492537313	0.8529411764705882	0.8780487804878049	0.8529411764705882	0.8205128205128205	0.8133333333333334	0.9210526315789473	0.8904109589041096	0.8571428571428571	0.7352941176470589	0.7352941176470589	0.9210526315789473	0.9054726368159204	0.8559322033898306	0.7941176470588235	0.8529411764705882	0.8780487804878049	0.8823529411764706	0.7647058823529411	0.7972972972972973	0.8529411764705882	0.8461538461538461	0.7352941176470589	0.7941176470588235	0.8227848101265823	0.9491833030852994	0.86	0.8852459016393442	0.8260869565217391	0.8356164383561644	0.8253968253968254	0.8859060402684564	0.8823529411764706
Handbook for Manufacturing Safer Consumer Products (Chinese)	0.9	0.8358974358974359	0.8333333333333334	0.7959183673469388	0.8366013071895425	0.7833333333333333	0.8166666666666667	0.7953216374269005	0.8833333333333333	0.8166666666666667	0.9	0.8690476190476191	0.8541666666666666	0.8333333333333334	0.8333333333333334	0.8166666666666667	0.8	0.7	0.8333333333333334	0.7666666666666667	0.8333333333333334	0.8166666666666667	0.8428571428571429	0.8059701492537313	0.85	0.8166666666666667	0.8333333333333334	0.8166666666666667	0.7866666666666666	0.881578947368421	0.8767123287671232	0.8333333333333334	0.7666666666666667	0.8	0.8	0.8955223880597015	0.8559322033898306	0.8166666666666667	0.85	0.8926829268292683	0.8	0.85	0.7972972972972973	0.8166666666666667	0.8666666666666667	0.8166666666666667	0.75	0.7721518987341772	0.9128856624319419	0.8066666666666666	0.8114754098360656	0.7833333333333333	0.8493150684931506	0.8571428571428571	0.8053691275167785	0.8166666666666667
Regulatory Reform of the U.S. Manufacturing Sector.	0.8888888888888888	0.8461538461538461	0.7758620689655172	0.8231292517006803	0.8235294117647058	0.8867924528301887	0.6862745098039216	0.8596491228070176	0.9019607843137255	0.8461538461538461	0.7796610169491526	0.8690476190476191	0.8333333333333334	0.803921568627451	0.7843137254901961	0.875	0.803921568627451	0.8235294117647058	0.7843137254901961	0.8431372549019608	0.8679245283018868	0.7647058823529411	0.8142857142857143	0.8208955223880597	0.8627450980392157	0.7843137254901961	0.7843137254901961	0.7843137254901961	0.84	0.8618421052631579	0.8767123287671232	0.8235294117647058	0.803921568627451	0.803921568627451	0.8235294117647058	0.8905472636815921	0.8220338983050848	0.7647058823529411	0.8431372549019608	0.8780487804878049	0.803921568627451	0.8627450980392157	0.7837837837837838	0.8823529411764706	0.8846153846153846	0.803921568627451	0.803921568627451	0.7974683544303798	0.9292196007259528	0.88	0.8442622950819673	0.8235294117647058	0.8356164383561644	0.8095238095238095	0.825503355704698	0.7843137254901961
1999 Building activities: Compare activities by number of buildings	0.8507462686567164	0.8358974358974359	0.8507462686567164	0.7891156462585034	0.7973856209150327	0.835820895522388	0.7761194029850746	0.847953216374269	0.8805970149253731	0.835820895522388	0.7910447761194029	0.8690476190476191	0.8333333333333334	0.835820895522388	0.8507462686567164	0.835820895522388	0.6865671641791045	0.7611940298507462	0.835820895522388	0.8059701492537313	0.835820895522388	0.7761194029850746	0.8285714285714286	0.8507462686567164	0.8656716417910447	0.7910447761194029	0.7313432835820896	0.7910447761194029	0.8133333333333334	0.875	0.8561643835616438	0.8059701492537313	0.8059701492537313	0.8208955223880597	0.835820895522388	0.8756218905472637	0.7966101694915254	0.7313432835820896	0.8208955223880597	0.8780487804878049	0.7910447761194029	0.8656716417910447	0.8918918918918919	0.8507462686567164	0.7611940298507462	0.8208955223880597	0.7910447761194029	0.8227848101265823	0.911070780399274	0.8333333333333334	0.8114754098360656	0.8208955223880597	0.8493150684931506	0.8208955223880597	0.8187919463087249	0.8059701492537313
2002 Economic Census	0.9074074074074074	0.9333333333333333	0.896551724137931	0.9251700680272109	0.9215686274509803	0.7924528301886793	0.8536585365853658	0.9122807017543859	0.8	0.8269230769230769	0.8135593220338984	0.8452380952380952	0.9166666666666666	0.9583333333333334	0.9259259259259259	0.8392857142857143	0.8292682926829268	0.8	0.8695652173913043	0.8666666666666667	0.8301886792452831	0.8	0.8285714285714286	0.835820895522388	0.8	0.8536585365853658	0.8787878787878788	0.8205128205128205	0.8533333333333334	0.9210526315789473	0.9315068493150684	0.8857142857142857	0.84	0.95	0.8157894736842105	0.9402985074626866	0.9152542372881356	0.9230769230769231	0.8	0.9365853658536586	0.8529411764705882	0.75	0.8378378378378378	0.8	0.7884615384615384	0.95	0.8387096774193549	0.8607594936708861	0.969147005444646	0.92	0.9016393442622951	0.8043478260869565	0.9041095890410958	0.873015873015873	0.9194630872483222	0.8
Alternating tread type stair is approved as safe for use	0.8571428571428571	0.841025641025641	0.8103448275862069	0.782312925170068	0.7908496732026143	0.8571428571428571	0.8035714285714286	0.8362573099415205	0.875	0.8214285714285714	0.847457627118644	0.8333333333333334	0.8020833333333334	0.8214285714285714	0.8392857142857143	0.875	0.8035714285714286	0.7678571428571429	0.8214285714285714	0.8214285714285714	0.8214285714285714	0.8035714285714286	0.7571428571428571	0.8208955223880597	0.8928571428571429	0.75	0.7321428571428571	0.7678571428571429	0.7733333333333333	0.8618421052631579	0.8561643835616438	0.7321428571428571	0.7678571428571429	0.8035714285714286	0.7678571428571429	0.8706467661691543	0.7796610169491526	0.8035714285714286	0.8571428571428571	0.8829268292682927	0.7678571428571429	0.8392857142857143	0.8108108108108109	0.8392857142857143	0.8392857142857143	0.8035714285714286	0.7678571428571429	0.7721518987341772	0.9128856624319419	0.84	0.8032786885245902	0.8035714285714286	0.8082191780821918	0.7936507936507936	0.7986577181208053	0.8214285714285714
Application of Gannett Outdoor Companies for a Variance Concerning Fixed Ladders	0.8375	0.8	0.725	0.7687074829931972	0.7843137254901961	0.8125	0.8	0.8070175438596491	0.9	0.7875	0.8125	0.8928571428571429	0.8333333333333334	0.8375	0.8	0.8	0.775	0.7625	0.85	0.825	0.8	0.775	0.8	0.7875	0.875	0.75	0.8	0.7875	0.825	0.8289473684210527	0.821917808219178	0.8125	0.8125	0.8375	0.825	0.8606965174129353	0.8050847457627118	0.8125	0.875	0.848780487804878	0.7625	0.875	0.875	0.8875	0.8	0.8375	0.7875	0.8	0.8892921960072595	0.8266666666666667	0.8032786885245902	0.7875	0.875	0.775	0.7516778523489933	0.8
Changes to the Chemical Accident Prevention Rule (Risk Management Program) in 2004	0.8170731707317073	0.8153846153846154	0.8292682926829268	0.782312925170068	0.7973856209150327	0.8048780487804879	0.7926829268292683	0.8538011695906432	0.9024390243902439	0.8170731707317073	0.8048780487804879	0.8928571428571429	0.84375	0.8658536585365854	0.8414634146341463	0.7926829268292683	0.7804878048780488	0.8048780487804879	0.8536585365853658	0.7682926829268293	0.8048780487804879	0.7804878048780488	0.8292682926829268	0.8292682926829268	0.8902439024390244	0.7439024390243902	0.8292682926829268	0.7682926829268293	0.8170731707317073	0.8552631578947368	0.863013698630137	0.8048780487804879	0.8414634146341463	0.8536585365853658	0.7926829268292683	0.845771144278607	0.7966101694915254	0.8536585365853658	0.8658536585365854	0.8585365853658536	0.8170731707317073	0.8780487804878049	0.8536585365853658	0.8902439024390244	0.7195121951219512	0.8536585365853658	0.8048780487804879	0.8414634146341463	0.8874773139745916	0.8333333333333334	0.8032786885245902	0.7804878048780488	0.8658536585365854	0.7439024390243902	0.7583892617449665	0.8048780487804879
Circumstances under which installation of fixed industrial stairs with a slope between 50 degrees and 70 degrees from the horizontal would be considered a de minimis violation	0.8514285714285714	0.8153846153846154	0.8228571428571428	0.7485714285714286	0.7942857142857143	0.8514285714285714	0.8628571428571429	0.8628571428571429	0.9428571428571428	0.8514285714285714	0.84	0.8514285714285714	0.8171428571428572	0.8857142857142857	0.8857142857142857	0.8228571428571428	0.8571428571428571	0.8628571428571429	0.8971428571428571	0.8857142857142857	0.8457142857142858	0.8685714285714285	0.8057142857142857	0.8114285714285714	0.9257142857142857	0.8342857142857143	0.8685714285714285	0.8571428571428571	0.7485714285714286	0.8514285714285714	0.8342857142857143	0.8628571428571429	0.8971428571428571	0.9142857142857143	0.8514285714285714	0.835820895522388	0.7942857142857143	0.8742857142857143	0.9257142857142857	0.8536585365853658	0.8685714285714285	0.9371428571428572	0.8342857142857143	0.9314285714285714	0.84	0.92	0.8742857142857143	0.7942857142857143	0.7967332123411979	0.8571428571428571	0.8285714285714286	0.8457142857142858	0.8228571428571428	0.7885714285714286	0.7714285714285715	0.8685714285714285
