	Economic Analysis of Construction & Development Effluent Limitation Guidelines Chapter 7: Cost & Benefits November 14,	Table 7-1: Comparison of Social Costs and Benefits (millions of 2008$)a Option 1 Option 2 Option 3 Social Costs Resource Cost of Compliance (adjusted for market-effect	Source: EPA Estimates Economic Analysis of Construction & Development Effluent Limitation Guidelines Chapter 8: RFA Analysis November 14,	Economic Analysis of Construction & Development Effluent Limitation Guidelines Chapter 8: RFA Analysis 8-2 Internal Draft – Deliberative, Predecisional – Do not Quote, Cite, or Distribute November 14,	Census Bureau’s Economic Census (2005a), and EPA Analysis Economic Analysis of Construction & Development Effluent Limitation Guidelines Chapter 8: RFA Analysis November 14,	Economic Analysis of Construction & Development Effluent Limitation Guidelines Chapter 9: UMRA	Census Bureau’s Government Organization	Census Bureau’s Compendium of Government Finances (2005c), U.S. Census Bureau’s Government Organization	Census Bureau’s Compendium of Government Finances (2005c), U.S. Census Bureau’s Government Organization	Economic Analysis of Construction & Development Effluent Limitation Guidelines References November 14,	67 CFR 121 Page 42644. Effluent Limitation Guidelines and New Source Performance Standards for the Construction and Development Category; Proposed Rule. Available at http://www.epa.gov/fedrgstr/EPAWATER/2002/June/Day-24/w12963.htm. Accessed	Page 22472. Effluent Limitations Guidelines and New Source Performance Standards for the Construction and Development Category. Available at http://www.epa.gov/fedrgstr/EPAWATER/2004/April/Day-26/w7865.htm. Accessed	After Strong Growth in 2007, Nonresidential Construction Activity is Projected to Flatten Out. Kermit Baker. Available online at: http://www.aia.org/aiarchitect/thisweek08/0111/0111b_consensus.cfm	The Aggregation of Environmental Benefit Values: Welfare Measures, Distance Decay and Total WTP.	A Simultaneous Model and Empirical Test of the Demand and Supply of Retail Space.	Inc. Reuters Corporate Spreads for Industrials.	Economic Analysis.	The value of clean water: the public’s willingness to pay for boatable, fishable, and swimmable quality water.”	Valuation: Measuring and Managing the Value of Companies.	Economic Analysis of Construction & Development Effluent Limitation Guidelines References ii	Damoradan Online. Accessed on May 6,	Regulations, and Related Acts: Real Estate Lending Standards. Available at http://www.fdic.gov/regulations/laws/rules/2000-8700.html#2000part365.2. Federal Housing Administration (FHA).	Federal Housing Finance Board (FHFB).	FedJobs.com Base General Schedule Pay Scale.	Primary Mortgage Market Survey: Conventional, Conforming 30-Year Fixed-Rate Mortgage Series Since	The Measurement of Environmental and Resource Values: Theory and Methods. Washington, DC: Resources for the Future.	Fourth Annual Construction Web Event; Session 2: U.S.	Available online at: http://webcast.globalinsight.com/ireye/ir_site.zhtml?ticker=29730&script=1010&item_id=1935889 Global Insight.	Housing and Construction”	Economic Outlook: Executive Summary.”	Executive Summary.”	Metropolitan-Specific Estimates of the Price Elasticity of Supply of Housing, and Their Sources.	North America Market Trends, Third Quarter	Economic Fundamentals in Local Housing Markets: Evidence from U.S. Metropolitan Regions.	Economic Analysis of Construction & Development Effluent Limitation Guidelines References November 14,	Systematic Variation in Willingness to Pay for Aquatic Resource Improvements and Implications for Benefit Transfer: A Meta-Analysis.”	What Determines Willingness To Pay Per Fish?	for Housing Studies of Harvard University. “The State of the Nation’s Housing.”	The Accuracy of Owner-Provided House Values: the 1978-1991 American Housing Survey.	Approximating the statistical properties of elasticities.	Measuring the total economic value of restoring ecosystem services in an impaired river basin: results from a contingent valuation survey.	How Large is the Extent of the Market for Public Goods: Evidence from a Nation Wide Contingent Valuation Survey.	Water Quality Index Application in the Kansas River Basin. U.S. Environmental Protection Agency Region 7,	Construction. Engineering News-Record. Recent Cost Indexes.	Meta-Analysis and Benefit Transfer for Resource Valuation—Addressing Classical Challenges with Bayesian Modeling.”	Mortgage Finance Forecast. Available online at: http://www.mbaa.org/files/Bulletin/InternalResource/65007_.pdf. Accessed	Housing in Next 10 Years to Outshine Previous Decade. Available online at:	of Realtors (NAR). Metropolitan Area Existing-Home Prices. Available at http://www.realtor.org/research.nsf/Pages/MetroPrice.	of Realtors (NAR).	Available at http://www.nber.org/cycles/july2003.html. Accessed on	OMB Circular A4.	Construction Data (2008). Reed Connect Database.	U.S. Housing Starts drop 27% in First Half. Available online at:	Available online at: http://www.reedconstructiondata.com/news/2008/09/construction-spending-outlooksteady1/ Reed Construction Data	Available online at: http://www.reedconstructiondata.com/news/2008/09/residential-market-recovery-not-yetstarted1/ Risk Management Association.	Correspondence and Convergence in Benefit Transfer Accuracy: Meta-Analytic Review of the Literature.”	Online construction cost estimating tool available at https://www.meanscostworks.com/	Benefit Transfer via Preference Calibration: “Prudential Algebra” for Policy.	Market Profiles	Bridge Between	Economic Census: Construction. Various Reports. Available online at:	Economic Analysis of Construction & Development Effluent Limitation Guidelines References November 14,	Available online at: http://www.census.gov/prod/2005pubs/gc024x5.pdf. Accessed on	Annual Population Estimates. Accessed	Current Lists of Metropolitan and Micropolitan Statistical Areas and Definitions.	Construction Spending. Available online at:	New Residential Construction. Available online at: http://www.census.gov/const/www/newresconstindex_excel.html.	Characteristics of New Housing.	Housing Impact Analysis. Prepared for HUD Office of Policy Development and Research; prepared by	Department of Housing and Urban Development (HUD). 2006a. American Housing Survey for the United States:	High Growth Industry Profile: Construction. Available online at: http://www.doleta.gov/BRG/Indprof/construction_profile.cfm	Department of Transportation Federal Highway Administration (FHWA).	Development of Mixing Zone Dilution Factors.	Estimation of National Economic Benefits Using the National Water Pollution Control Assessment Model to Evaluate Regulatory Options for Concentrated Animal Feeding Operations (EPA-821-R-03-009). U.S. EPA, Office of Water,	Environmental Protection Agency (EPA). 2004a. Development Document for Final Action for Effluent Guidelines and Standards for the Construction and Development Category.	Economic Analysis of Construction & Development Effluent Limitation Guidelines References vi Internal Draft – Deliberative,	Environmental Protection Agency (EPA).	Environmental Protection Agency (EPA).	National Water Quality Inventory: Report to Congress:	Environmental Protection Agency (EPA). 2008b. Environmental Impact and Benefits Assessment for Proposed Effluent Guidelines and Standards for the Construction and Development Category.	Selected Interest Rates. Moody’s Seasoned – Baa.	Selected Interest Rates.	Statistics of U.S. Businesses: Firm Size Data. Available online at: http://www.sba.gov/advo/research/data.html.	Table of Small Business Size Standards Matched to the North American Industry Classification System (NAICS 2002), Effective
Housing and Construction	0.864406779661017	0.8982035928143712	0.8540145985401459	0.91	0.8786127167630058	0.8297872340425532	0.6923076923076923	0.8349514563106796	0.8349514563106796	0.8431372549019608	0.9125	0.9023255813953488	0.9030612244897959	0.8854166666666666	0.8395061728395061	0.8085106382978723	0.8333333333333334	0.8738738738738738	0.7368421052631579	0.8260869565217391	0.8611111111111112	0.8918918918918919	0.6756756756756757	0.8181818181818182	0.865979381443299	0.8695652173913043	0.6981132075471698	0.8769230769230769	0.04	0.8378378378378378	0.9166666666666666	0.8645833333333334	0.7857142857142857	0.7954545454545454	0.8431372549019608	0.8796992481203008	0.8409090909090909	0.7848101265822784	0.8554216867469879	0.7894736842105263	0.855072463768116	0.8214285714285714	0.8476190476190476	0.7796610169491526	0.8596491228070176	0.8833333333333333	0.7567567567567568	0.888	0.8333333333333334	0.8636363636363636	0.9166666666666666	0.75	0.734375	0.8384615384615385	0.8811188811188811	0.8217821782178217	0.8352941176470589	0.8181818181818182	0.9166666666666666	0.7916666666666666	0.7647058823529411	0.8431372549019608	0.8395061728395061	0.8378378378378378	0.8024691358024691	0.7906976744186046	0.8558558558558559	0.8709677419354839	0.8229166666666666	0.8173076923076923	0.8292682926829268	0.8059701492537313	0.75	0.9095022624434389	0.875	0.8699186991869918	0.8421052631578947	0.8421052631578947	0.8113207547169812	0.8858695652173914	0.8541666666666666	0.8333333333333334	0.8738738738738738	0.8373983739837398
Nonresidential Construction Activity is Projected to Flatten Out	0.7203389830508474	0.7844311377245509	0.7153284671532847	0.8	0.7745664739884393	0.6808510638297872	0.8125	0.7766990291262136	0.7766990291262136	0.7058823529411765	0.8375	0.827906976744186	0.673469387755102	0.78125	0.8148148148148148	0.78125	0.875	0.8018018018018018	0.796875	0.6956521739130435	0.78125	0.8378378378378378	0.75	0.796875	0.7938144329896907	0.7739130434782608	0.640625	0.8153846153846154	0.734375	0.84375	0.875	0.75	0.765625	0.7386363636363636	0.7058823529411765	0.7969924812030075	0.828125	0.759493670886076	0.8674698795180723	0.71875	0.7536231884057971	0.7410714285714286	0.7714285714285715	0.796875	0.7456140350877193	0.8333333333333334	0.7567567567567568	0.832	0.875	0.8939393939393939	0.875	0.71875	0.875	0.7615384615384615	0.7692307692307693	0.7128712871287128	0.7764705882352941	0.7792207792207793	0.859375	0.875	0.6617647058823529	0.7058823529411765	0.8641975308641975	0.71875	0.7901234567901234	0.6875	0.6576576576576577	0.78125	0.7916666666666666	0.7980769230769231	0.7560975609756098	0.7910447761194029	0.75	0.8099547511312217	0.7857142857142857	0.7154471544715447	0.734375	0.734375	0.75	0.7989130434782609	0.78125	0.796875	0.8378378378378378	0.8048780487804879
U.S. Economic Outlook: Executive Summary	0.8559322033898306	0.8682634730538922	0.8248175182481752	0.89	0.8497109826589595	0.8191489361702128	0.95	0.8543689320388349	0.8543689320388349	0.8333333333333334	0.9041666666666667	0.8976744186046511	0.8928571428571429	0.84375	0.8271604938271605	0.8297872340425532	0.725	0.8468468468468469	0.8245614035087719	0.8260869565217391	0.85	0.9081081081081082	0.925	0.8636363636363636	0.8556701030927835	0.8521739130434782	0.8113207547169812	0.8769230769230769	0.85	0.175	0.625	0.8333333333333334	0.8809523809523809	0.7954545454545454	0.8333333333333334	0.8646616541353384	0.8636363636363636	0.8481012658227848	0.7951807228915663	0.8596491228070176	0.8260869565217391	0.8125	0.8571428571428571	0.8135593220338984	0.8771929824561403	0.875	0.8378378378378378	0.864	0.875	0.9090909090909091	0.875	0.8333333333333334	0.78125	0.8692307692307693	0.8881118881118881	0.8415841584158416	0.8352941176470589	0.8181818181818182	0.9	0.875	0.7941176470588235	0.8333333333333334	0.9012345679012346	0.875	0.8518518518518519	0.8837209302325582	0.8648648648648649	0.85	0.8333333333333334	0.8461538461538461	0.8617886178861789	0.8507462686567164	0.8181818181818182	0.8868778280542986	0.8571428571428571	0.8617886178861789	0.925	0.925	0.8490566037735849	0.8641304347826086	0.8541666666666666	0.825	0.8468468468468469	0.8617886178861789
U.S. Economy - Perspective Article: U.S. Housing: After the Downturn, What Then?	0.7627118644067796	0.8203592814371258	0.7737226277372263	0.805	0.8092485549132948	0.7872340425531915	0.825	0.7669902912621359	0.7669902912621359	0.8137254901960784	0.85	0.8418604651162791	0.8163265306122449	0.7916666666666666	0.8518518518518519	0.7875	0.85	0.8018018018018018	0.775	0.8152173913043478	0.8125	0.8378378378378378	0.775	0.8	0.8041237113402062	0.808695652173913	0.8125	0.8461538461538461	0.825	0.775	0.875	0.7916666666666666	0.8125	0.8068181818181818	0.8137254901960784	0.8120300751879699	0.7875	0.8625	0.8072289156626506	0.8	0.7463768115942029	0.7767857142857143	0.780952380952381	0.8125	0.8070175438596491	0.8416666666666667	0.825	0.824	0.9	0.9125	0.9125	0.7875	0.75	0.823076923076923	0.8251748251748252	0.7920792079207921	0.8823529411764706	0.8625	0.9	0.8875	0.7625	0.8137254901960784	0.9506172839506173	0.825	0.8765432098765432	0.7375	0.8198198198198198	0.8125	0.8229166666666666	0.7692307692307693	0.8048780487804879	0.85	0.7875	0.8280542986425339	0.7797619047619048	0.7317073170731707	0.8125	0.8125	0.7875	0.8043478260869565	0.7625	0.7875	0.8018018018018018	0.8130081300813008
Benefit Transfer Using Meta-Analysis in Recreation Economic Valuation, in Benefit Transfer Accuracy: Meta-Analysis Review of the Literature	0.7769784172661871	0.7784431137724551	0.7697841726618705	0.755	0.7572254335260116	0.7553956834532374	0.841726618705036	0.7841726618705036	0.7841726618705036	0.762589928057554	0.8083333333333333	0.8046511627906977	0.8010204081632653	0.7482014388489209	0.762589928057554	0.841726618705036	0.8776978417266187	0.7841726618705036	0.7985611510791367	0.7482014388489209	0.8345323741007195	0.8216216216216217	0.8633093525179856	0.8489208633093526	0.7841726618705036	0.7410071942446043	0.8129496402877698	0.8776978417266187	0.8776978417266187	0.841726618705036	0.9280575539568345	0.7841726618705036	0.8345323741007195	0.7482014388489209	0.762589928057554	0.7553956834532374	0.8201438848920863	0.7841726618705036	0.7985611510791367	0.8057553956834532	0.8273381294964028	0.8129496402877698	0.7769784172661871	0.8129496402877698	0.7482014388489209	0.8345323741007195	0.7482014388489209	0.8273381294964028	0.9064748201438849	0.8273381294964028	0.935251798561151	0.8273381294964028	0.762589928057554	0.8273381294964028	0.8461538461538461	0.45323741007194246	0.7841726618705036	0.6906474820143885	0.920863309352518	0.9136690647482014	0.7553956834532374	0.762589928057554	0.841726618705036	0.8201438848920863	0.7697841726618705	0.8129496402877698	0.8057553956834532	0.8705035971223022	0.7697841726618705	0.7553956834532374	0.8561151079136691	0.7769784172661871	0.8201438848920863	0.751131221719457	0.7797619047619048	0.7410071942446043	0.8273381294964028	0.8273381294964028	0.8057553956834532	0.782608695652174	0.8201438848920863	0.8848920863309353	0.8057553956834532	0.7985611510791367
Correspondence and Convergence in Benefit Transfer Accuracy: Meta- Analytic Review of the Literature	0.7966101694915254	0.7485029940119761	0.7956204379562044	0.77	0.7861271676300579	0.81	0.81	0.7961165048543689	0.7961165048543689	0.8235294117647058	0.8166666666666667	0.8093023255813954	0.7959183673469388	0.74	0.78	0.82	0.88	0.8018018018018018	0.78	0.8	0.81	0.8162162162162162	0.84	0.81	0.84	0.7217391304347827	0.76	0.8538461538461538	0.82	0.85	0.91	0.83	0.8	0.81	0.8235294117647058	0.8045112781954887	0.82	0.8	0.79	0.79	0.7681159420289855	0.8125	0.819047619047619	0.75	0.8070175438596491	0.8166666666666667	0.76	0.84	0.91	0.84	0.91	0.8	0.77	0.8153846153846154	0.8111888111888111	0.0297029702970297	0.84	0.78	0.9	0.89	0.74	0.8235294117647058	0.88	0.84	0.76	0.77	0.8108108108108109	0.85	0.84	0.7788461538461539	0.8292682926829268	0.8	0.81	0.7873303167420814	0.7678571428571429	0.7560975609756098	0.84	0.84	0.79	0.7391304347826086	0.79	0.85	0.8288288288288288	0.7967479674796748
The Measurement of Environmental and Resource Values: Theory and Methods	0.7627118644067796	0.7844311377245509	0.7664233576642335	0.815	0.8034682080924855	0.7872340425531915	0.7638888888888888	0.7087378640776699	0.7087378640776699	0.7745098039215687	0.8333333333333334	0.813953488372093	0.8214285714285714	0.5729166666666666	0.8271604938271605	0.7638888888888888	0.875	0.7657657657657657	0.7361111111111112	0.8043478260869565	0.7638888888888888	0.8324324324324325	0.7916666666666666	0.7638888888888888	0.7731958762886598	0.3739130434782609	0.8055555555555556	0.8692307692307693	0.8194444444444444	0.8472222222222222	0.8611111111111112	0.7916666666666666	0.7777777777777778	0.7613636363636364	0.7745098039215687	0.7368421052631579	0.75	0.8227848101265823	0.7349397590361446	0.8194444444444444	0.7753623188405797	0.7589285714285714	0.7619047619047619	0.7083333333333334	0.7368421052631579	0.7916666666666666	0.8378378378378378	0.776	0.8611111111111112	0.8611111111111112	0.8888888888888888	0.8055555555555556	0.8194444444444444	0.823076923076923	0.7972027972027972	0.7524752475247525	0.7764705882352941	0.8181818181818182	0.8472222222222222	0.8888888888888888	0.8194444444444444	0.7745098039215687	0.8765432098765432	0.8055555555555556	0.7037037037037037	0.7916666666666666	0.7927927927927928	0.8194444444444444	0.8020833333333334	0.75	0.8292682926829268	0.75	0.6944444444444444	0.8371040723981901	0.7678571428571429	0.7642276422764228	0.7222222222222222	0.7222222222222222	0.7638888888888888	0.7336956521739131	0.7777777777777778	0.8194444444444444	0.8198198198198198	0.7886178861788617
The Welfare Economics of Public Policy: A Practical Approach to Public Policy	0.8050847457627118	0.7724550898203593	0.7445255474452555	0.82	0.7687861271676301	0.8404255319148937	0.8441558441558441	0.8058252427184466	0.8058252427184466	0.8235294117647058	0.8416666666666667	0.8372093023255814	0.8316326530612245	0.7708333333333334	0.8148148148148148	0.7922077922077922	0.8311688311688312	0.7297297297297297	0.8311688311688312	0.8369565217391305	0.8311688311688312	0.8594594594594595	0.8181818181818182	0.8181818181818182	0.8556701030927835	0.7565217391304347	0.8311688311688312	0.8307692307692308	0.8571428571428571	0.7662337662337663	0.9090909090909091	0.7604166666666666	0.8701298701298701	0.8409090909090909	0.8235294117647058	0.7744360902255639	0.8051948051948052	0.8481012658227848	0.7831325301204819	0.8181818181818182	0.7463768115942029	0.7321428571428571	0.8	0.8571428571428571	0.7631578947368421	0.85	0.8571428571428571	0.768	0.8961038961038961	0.8831168831168831	0.8961038961038961	0.8441558441558441	0.8181818181818182	0.8384615384615385	0.8391608391608392	0.7920792079207921	0.8470588235294118	0.7662337662337663	0.8961038961038961	0.948051948051948	0.8051948051948052	0.8235294117647058	0.9135802469135802	0.8311688311688312	0.7654320987654321	0.8051948051948052	0.8198198198198198	0.8181818181818182	0.8229166666666666	0.8173076923076923	0.8048780487804879	0.8441558441558441	0.7532467532467533	0.8190045248868778	0.8095238095238095	0.7967479674796748	0.8051948051948052	0.8051948051948052	0.7792207792207793	0.8260869565217391	0.8181818181818182	0.8701298701298701	0.8558558558558559	0.8048780487804879
American Community Survey	0.864406779661017	0.8982035928143712	0.8613138686131386	0.915	0.8959537572254336	0.851063829787234	0.8717948717948718	0.8640776699029126	0.8640776699029126	0.8431372549019608	0.925	0.9209302325581395	0.9081632653061225	0.84375	0.8148148148148148	0.8085106382978723	0.84	0.8738738738738738	0.8070175438596491	0.8369565217391305	0.8055555555555556	0.9243243243243243	0.8108108108108109	0.7954545454545454	0.8350515463917526	0.8695652173913043	0.8113207547169812	0.9076923076923077	0.8	0.7567567567567568	0.8	0.84375	0.6904761904761905	0.8522727272727273	0.8431372549019608	0.8796992481203008	0.8181818181818182	0.8734177215189873	0.7951807228915663	0.8070175438596491	0.8623188405797102	0.8392857142857143	0.8666666666666667	0.864406779661017	0.8859649122807017	0.8916666666666667	0.8648648648648649	0.896	0.88	0.8787878787878788	0.84	0.8541666666666666	0.859375	0.8923076923076924	0.9020979020979021	0.8514851485148515	0.8705882352941177	0.8311688311688312	0.84	0.8	0.8088235294117647	0.8431372549019608	0.8888888888888888	0.8108108108108109	0.8518518518518519	0.813953488372093	0.8738738738738738	0.8709677419354839	0.8645833333333334	0.8269230769230769	0.8943089430894309	0.835820895522388	0.7954545454545454	0.9276018099547512	0.8869047619047619	0.8699186991869918	0.8157894736842105	0.8157894736842105	0.8301886792452831	0.9021739130434783	0.8541666666666666	0.84	0.9009009009009009	0.8699186991869918
Annual Population Estimates	0.8389830508474576	0.8862275449101796	0.8613138686131386	0.895	0.8786127167630058	0.8085106382978723	0.7692307692307693	0.8446601941747572	0.8446601941747572	0.8235294117647058	0.9166666666666666	0.9069767441860465	0.8928571428571429	0.8541666666666666	0.8148148148148148	0.7446808510638298	0.8888888888888888	0.8558558558558559	0.8070175438596491	0.8043478260869565	0.8888888888888888	0.8918918918918919	0.8108108108108109	0.8636363636363636	0.8556701030927835	0.8521739130434782	0.6981132075471698	0.8769230769230769	0.8518518518518519	0.8108108108108109	0.8148148148148148	0.8541666666666666	0.8333333333333334	0.8068181818181818	0.8235294117647058	0.8646616541353384	0.8636363636363636	0.8607594936708861	0.8313253012048193	0.7192982456140351	0.8695652173913043	0.8482142857142857	0.8285714285714286	0.8135593220338984	0.8245614035087719	0.875	0.8378378378378378	0.864	0.8148148148148148	0.8484848484848485	0.8518518518518519	0.7916666666666666	0.8125	0.8692307692307693	0.8671328671328671	0.8514851485148515	0.8117647058823529	0.8181818181818182	0.7777777777777778	0.8888888888888888	0.7794117647058824	0.8235294117647058	0.8641975308641975	0.2702702702702703	0.8024691358024691	0.8372093023255814	0.8648648648648649	0.9032258064516129	0.8541666666666666	0.8365384615384616	0.8699186991869918	0.8059701492537313	0.7727272727272727	0.9049773755656109	0.8630952380952381	0.8373983739837398	0.7105263157894737	0.7105263157894737	0.7924528301886793	0.8804347826086957	0.8541666666666666	0.7777777777777778	0.8918918918918919	0.8617886178861789
