	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Clean Air Act	0.5454545454545454	0.38888888888888884	0.5238095238095238	0.3939393939393939	0.4193548387096774	0.56	0.5319148936170213	0.5238095238095238	0.5263157894736843	0.5	0.5135135135135135	0.33333333333333337	0.47619047619047616	0.4736842105263158	0.46341463414634143	0.44999999999999996	0.4736842105263158	0.5348837209302326	0.5918367346938775	0.5	0.47058823529411764	0.5757575757575757	0.5454545454545454	0.31034482758620685	0.5238095238095238	0.31034482758620685	0.31034482758620685	0.44999999999999996	0.5652173913043479	0.5121951219512195	0.31034482758620685	0.31034482758620685	0.574468085106383	0.5	0.607843137254902	0.5652173913043479	0.5849056603773585	0.5238095238095238	0.3939393939393939	0.4285714285714286
Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities	0.18181818181818177	0.31034482758620685	0.34375	0.23636363636363633	0.3207547169811321	0.19444444444444442	0.18840579710144922	0.21875	0.2666666666666667	0.29032258064516125	0.2542372881355932	0.34615384615384615	0.21875	0.23333333333333328	0.2063492063492064	0.16129032258064513	0.23333333333333328	0.23076923076923073	0.295774647887324	0.24242424242424243	0.2857142857142857	0.4181818181818182	0.21212121212121215	0.33333333333333337	0.28125	0.33333333333333337	0.33333333333333337	0.29032258064516125	0.20588235294117652	0.3015873015873016	0.33333333333333337	0.33333333333333337	0.2753623188405797	0.18181818181818177	0.20547945205479456	0.23529411764705888	0.12	0.21875	0.34545454545454546	0.43999999999999995
National Primary and Secondary Ambient Air Quality Standards for Lead	0.3571428571428571	0.375	0.37037037037037035	0.24444444444444446	0.34883720930232553	0.3548387096774194	0.3220338983050848	0.2592592592592593	0.31999999999999995	0.34615384615384615	0.26530612244897955	0.2857142857142857	0.33333333333333337	0.36	0.3207547169811321	0.3076923076923077	0.36	0.3090909090909091	0.34426229508196726	0.3214285714285714	0.30434782608695654	0.4222222222222223	0.3214285714285714	0.31707317073170727	0.2962962962962963	0.31707317073170727	0.31707317073170727	0.2692307692307693	0.3448275862068966	0.39622641509433965	0.31707317073170727	0.31707317073170727	0.22033898305084743	0.3214285714285714	0.33333333333333337	0.2068965517241379	0.3846153846153846	0.2962962962962963	0.28888888888888886	0.5
Proposed National Ambient Air Quality Standards for Lead	0.3571428571428571	0.375	0.37037037037037035	0.28888888888888886	0.34883720930232553	0.3548387096774194	0.3220338983050848	0.2592592592592593	0.31999999999999995	0.34615384615384615	0.30612244897959184	0.33333333333333337	0.33333333333333337	0.36	0.3207547169811321	0.3076923076923077	0.36	0.3090909090909091	0.34426229508196726	0.3214285714285714	0.30434782608695654	0.37777777777777777	0.3214285714285714	0.36585365853658536	0.2962962962962963	0.36585365853658536	0.36585365853658536	0.3076923076923077	0.3448275862068966	0.39622641509433965	0.36585365853658536	0.36585365853658536	0.2542372881355932	0.3571428571428571	0.33333333333333337	0.2068965517241379	0.3846153846153846	0.2962962962962963	0.24444444444444446	0.5
Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule	0.24137931034482762	0.31999999999999995	0.3571428571428571	0.23404255319148937	0.28888888888888886	0.25	0.24590163934426235	0.25	0.23076923076923073	0.2222222222222222	0.2549019607843137	0.2727272727272727	0.25	0.2692307692307693	0.19999999999999996	0.2222222222222222	0.1923076923076923	0.22807017543859653	0.2698412698412699	0.31034482758620685	0.25	0.44680851063829785	0.24137931034482762	0.2093023255813954	0.2142857142857143	0.2093023255813954	0.2093023255813954	0.2592592592592593	0.16666666666666663	0.23636363636363633	0.2093023255813954	0.2093023255813954	0.24590163934426235	0.2068965517241379	0.23076923076923073	0.23333333333333328	0.25373134328358204	0.25	0.3191489361702128	0.4285714285714286
Final Ozone NAAQS Regulatory Impact Analysis 	0.31034482758620685	0.43999999999999995	0.3928571428571429	0.4042553191489362	0.4666666666666667	0.34375	0.34426229508196726	0.4285714285714286	0.34615384615384615	0.2592592592592593	0.4509803921568627	0.31818181818181823	0.3571428571428571	0.42307692307692313	0.3090909090909091	0.33333333333333337	0.3846153846153846	0.368421052631579	0.39682539682539686	0.3793103448275862	0.33333333333333337	0.4893617021276596	0.3793103448275862	0.34883720930232553	0.3928571428571429	0.34883720930232553	0.34883720930232553	0.40740740740740744	0.3666666666666667	0.2727272727272727	0.34883720930232553	0.34883720930232553	0.34426229508196726	0.4137931034482759	0.23076923076923073	0.2666666666666667	0.3731343283582089	0.3928571428571429	0.36170212765957444	0.4285714285714286
Final Regulatory Impact Analysis: PM 2.5 NAAQS	0.29032258064516125	0.40740740740740744	0.4	0.37254901960784315	0.4285714285714286	0.32352941176470584	0.2615384615384615	0.3666666666666667	0.2857142857142857	0.24137931034482762	0.4181818181818182	0.25	0.30000000000000004	0.4285714285714286	0.288135593220339	0.27586206896551724	0.3928571428571429	0.34426229508196726	0.28358208955223885	0.32258064516129037	0.34615384615384615	0.4901960784313726	0.32258064516129037	0.3191489361702128	0.33333333333333337	0.3191489361702128	0.3191489361702128	0.3448275862068966	0.34375	0.18644067796610164	0.3191489361702128	0.3191489361702128	0.2615384615384615	0.3548387096774194	0.24637681159420288	0.25	0.352112676056338	0.33333333333333337	0.33333333333333337	0.5217391304347826
PM (2.5) NAAQS	0.8222222222222222	0.8378378378378378	0.8604651162790697	0.7647058823529411	0.8125	0.803921568627451	0.75	0.7674418604651163	0.7948717948717949	0.7560975609756098	0.7894736842105263	0.6774193548387097	0.813953488372093	0.8974358974358975	0.8095238095238095	0.7560975609756098	0.8974358974358975	0.8181818181818181	0.6799999999999999	0.7333333333333334	0.8285714285714285	0.8235294117647058	0.8222222222222222	0.7333333333333334	0.7674418604651163	0.7333333333333334	0.7333333333333334	0.6097560975609756	0.7021276595744681	0.6666666666666667	0.7333333333333334	0.7333333333333334	0.5833333333333333	0.6444444444444444	0.6153846153846154	0.574468085106383	0.7037037037037037	0.813953488372093	0.7058823529411764	0.8620689655172413
Regulatory Impact Analysis of the Clean Air Mercury Rule	0.3214285714285714	0.33333333333333337	0.33333333333333337	0.28888888888888886	0.34883720930232553	0.29032258064516125	0.2542372881355932	0.2962962962962963	0.31999999999999995	0.15384615384615385	0.34693877551020413	0.2857142857142857	0.2962962962962963	0.28	0.2075471698113207	0.2692307692307693	0.24	0.2727272727272727	0.34426229508196726	0.2857142857142857	0.30434782608695654	0.4666666666666667	0.2857142857142857	0.31707317073170727	0.33333333333333337	0.31707317073170727	0.31707317073170727	0.34615384615384615	0.31034482758620685	0.28301886792452835	0.31707317073170727	0.31707317073170727	0.35593220338983056	0.3214285714285714	0.33333333333333337	0.3448275862068966	0.3538461538461538	0.2962962962962963	0.28888888888888886	0.44999999999999996
The Relationship Between Air Lead and Blood Lead in Children: A Critical Review	0.2857142857142857	0.04166666666666663	0.2962962962962963	0.33333333333333337	0.3023255813953488	0.32258064516129037	0.288135593220339	0.37037037037037035	0.28	0.3846153846153846	0.30612244897959184	0.38095238095238093	0.2592592592592593	0.28	0.2075471698113207	0.34615384615384615	0.24	0.3090909090909091	0.4098360655737705	0.25	0.30434782608695654	0.24444444444444446	0.3571428571428571	0.41463414634146345	0.33333333333333337	0.41463414634146345	0.41463414634146345	0.42307692307692313	0.3793103448275862	0.39622641509433965	0.41463414634146345	0.41463414634146345	0.35593220338983056	0.3571428571428571	0.4285714285714286	0.4137931034482759	0.3538461538461538	0.2962962962962963	0.4666666666666667	0.44999999999999996
The Relationship between Gasoline Lead and Blood Lead in the United States	0.37037037037037035	0.21739130434782605	0.34615384615384615	0.39534883720930236	0.41463414634146345	0.5	0.4385964912280702	0.3846153846153846	0.375	0.48	0.36170212765957444	0.5	0.46153846153846156	0.375	0.37254901960784315	0.48	0.33333333333333337	0.4339622641509434	0.5254237288135593	0.40740740740740744	0.31818181818181823	0.023255813953488413	0.4814814814814815	0.5897435897435898	0.3846153846153846	0.5897435897435898	0.5897435897435898	0.6	0.4642857142857143	0.5686274509803921	0.5897435897435898	0.5897435897435898	0.4385964912280702	0.4814814814814815	0.5081967213114754	0.4642857142857143	0.46031746031746035	0.3846153846153846	0.4883720930232558	0.4736842105263158
Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution	0.19999999999999996	0.3846153846153846	0.3448275862068966	0.26530612244897955	0.3191489361702128	0.303030303030303	0.2063492063492064	0.2068965517241379	0.2592592592592593	0.3214285714285714	0.3584905660377359	0.26086956521739135	0.1724137931034483	0.2222222222222222	0.29824561403508776	0.0357142857142857	0.2592592592592593	0.2542372881355932	0.3538461538461538	0.2666666666666667	0.28	0.5102040816326531	0.23333333333333328	0.28888888888888886	0.3448275862068966	0.28888888888888886	0.28888888888888886	0.2857142857142857	0.29032258064516125	0.29824561403508776	0.28888888888888886	0.28888888888888886	0.3650793650793651	0.30000000000000004	0.34328358208955223	0.32258064516129037	0.24637681159420288	0.27586206896551724	0.34693877551020413	0.5
Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry	0.15254237288135597	0.2941176470588235	0.29824561403508776	0.25	0.26086956521739135	0.29230769230769227	0.16129032258064513	0.22807017543859653	0.018867924528301883	0.3090909090909091	0.3076923076923077	0.37777777777777777	0.1578947368421053	0.24528301886792447	0.1785714285714286	0.2727272727272727	0.24528301886792447	0.2068965517241379	0.3125	0.18644067796610164	0.22448979591836737	0.375	0.15254237288135597	0.31818181818181823	0.22807017543859653	0.31818181818181823	0.31818181818181823	0.34545454545454546	0.3114754098360656	0.2857142857142857	0.31818181818181823	0.31818181818181823	0.25806451612903225	0.3220338983050848	0.33333333333333337	0.3114754098360656	0.32352941176470584	0.1228070175438597	0.375	0.4418604651162791
Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study	0.24590163934426235	0.3584905660377359	0.35593220338983056	0.31999999999999995	0.41666666666666663	0.28358208955223885	0.25	0.288135593220339	0.2727272727272727	0.26315789473684215	0.2962962962962963	0.36170212765957444	0.288135593220339	0.38181818181818183	0.24137931034482762	0.33333333333333337	0.3090909090909091	0.2666666666666667	0.1515151515151515	0.24590163934426235	0.33333333333333337	0.48	0.2786885245901639	0.34782608695652173	0.288135593220339	0.34782608695652173	0.34782608695652173	0.368421052631579	0.33333333333333337	0.3448275862068966	0.34782608695652173	0.34782608695652173	0.28125	0.2786885245901639	0.2941176470588235	0.33333333333333337	0.3142857142857143	0.288135593220339	0.43999999999999995	0.4666666666666667
Low-Level Lead Exposure, intelligence and academic achievement: a long-term follow-up study	0.1333333333333333	0.3076923076923077	0.31034482758620685	0.26530612244897955	0.3191489361702128	0.2727272727272727	0.2063492063492064	0.2068965517241379	0.14814814814814814	0.2857142857142857	0.3207547169811321	0.4347826086956522	0.1724137931034483	0.14814814814814814	0.19298245614035092	0.2142857142857143	0.18518518518518523	0.22033898305084743	0.32307692307692304	0.19999999999999996	0.24	0.4285714285714286	0.16666666666666663	0.33333333333333337	0.24137931034482762	0.33333333333333337	0.33333333333333337	0.3214285714285714	0.25806451612903225	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.2698412698412699	0.30000000000000004	0.34328358208955223	0.32258064516129037	0.2753623188405797	0.2068965517241379	0.4285714285714286	0.4545454545454546
Low-Level Environmental Lead Exposure and ChildrenÕs Intellectual Function: An International Pooled Analysis	0.1428571428571429	0.2727272727272727	1.0	0.3076923076923077	0.31999999999999995	0.24637681159420288	0.1515151515151515	0.21311475409836067	0.1578947368421053	0.3220338983050848	1.0	0.34693877551020413	1.0	0.22807017543859653	1.0	0.18644067796610164	0.26315789473684215	0.22580645161290325	0.32352941176470584	1.0	0.3584905660377359	0.46153846153846156	1.0	0.33333333333333337	0.2786885245901639	0.33333333333333337	0.33333333333333337	0.3220338983050848	0.32307692307692304	0.2666666666666667	0.33333333333333337	0.33333333333333337	0.303030303030303	0.33333333333333337	0.34285714285714286	0.3538461538461538	0.2777777777777778	0.21311475409836067	0.42307692307692313	0.5319148936170213
The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	0.2063492063492064	0.2727272727272727	0.2786885245901639	0.23076923076923073	0.24	0.24637681159420288	0.1515151515151515	0.180327868852459	0.1228070175438597	0.35593220338983056	0.25	0.4285714285714286	0.21311475409836067	0.22807017543859653	0.19999999999999996	0.2542372881355932	0.22807017543859653	0.12903225806451613	0.32352941176470584	0.17460317460317465	0.24528301886792447	0.3846153846153846	0.1428571428571429	0.375	0.24590163934426235	0.375	0.375	0.3220338983050848	0.2615384615384615	0.33333333333333337	0.375	0.375	0.2727272727272727	0.3015873015873016	0.3142857142857143	0.29230769230769227	0.2777777777777778	0.016393442622950838	0.2692307692307693	0.4893617021276596
Lead Exposure and Intelligence in 7-Year-Old Children: the Yugoslavia Prospective Study	0.2063492063492064	0.34545454545454546	0.34426229508196726	0.2692307692307693	0.24	0.18840579710144922	0.21212121212121215	0.21311475409836067	0.1228070175438597	0.38983050847457623	0.3214285714285714	0.4285714285714286	0.180327868852459	0.26315789473684215	0.23333333333333328	0.2542372881355932	0.26315789473684215	0.19354838709677424	0.3529411764705882	0.2063492063492064	0.28301886792452835	0.46153846153846156	0.1428571428571429	0.375	0.3114754098360656	0.375	0.375	0.35593220338983056	0.32307692307692304	0.33333333333333337	0.375	0.375	0.303030303030303	0.3015873015873016	0.34285714285714286	0.32307692307692304	0.2777777777777778	0.11475409836065575	0.34615384615384615	0.44680851063829785
Lifetime Exposure to Environmental Lead and ChildrenÕs Intelligence at 11-13 years: the Port Pirie Cohort Study	0.19999999999999996	0.368421052631579	1.0	0.2222222222222222	0.3076923076923077	0.18309859154929575	0.17647058823529416	0.17460317460317465	0.15254237288135597	0.34426229508196726	1.0	0.4509803921568627	1.0	0.22033898305084743	1.0	0.24590163934426235	0.22033898305084743	0.1875	0.2571428571428571	1.0	0.2727272727272727	0.4814814814814815	1.0	0.36	0.2698412698412699	0.36	0.36	0.3114754098360656	0.31343283582089554	0.32258064516129037	0.36	0.36	0.2941176470588235	0.29230769230769227	0.33333333333333337	0.31343283582089554	0.2702702702702703	0.1428571428571429	0.37037037037037035	0.5102040816326531
Intellectual Impairment in Children with Blood Lead Concentrations below 10 micrograms per Deciliter	0.3220338983050848	0.2549019607843137	0.08771929824561409	0.29166666666666663	0.30434782608695654	0.32307692307692304	0.29032258064516125	0.29824561403508776	0.28301886792452835	0.3090909090909091	0.3076923076923077	0.4666666666666667	0.29824561403508776	0.2075471698113207	0.2857142857142857	0.34545454545454546	0.24528301886792447	0.24137931034482762	0.375	0.35593220338983056	0.30612244897959184	0.33333333333333337	0.288135593220339	0.4545454545454546	0.368421052631579	0.4545454545454546	0.4545454545454546	0.38181818181818183	0.3770491803278688	0.3928571428571429	0.4545454545454546	0.4545454545454546	0.3548387096774194	0.38983050847457623	0.4242424242424242	0.3770491803278688	0.3529411764705882	0.29824561403508776	0.375	0.4418604651162791
Beyond LOELÕs, p Values, and Vote Counting: Methods for Looking at the Shapes and Strengths of Associations	0.28125	0.3214285714285714	1.0	0.28301886792452835	0.37254901960784315	0.2857142857142857	0.25373134328358204	0.29032258064516125	0.27586206896551724	0.33333333333333337	1.0	0.4	1.0	0.31034482758620685	1.0	0.2666666666666667	0.27586206896551724	0.3015873015873016	0.30434782608695654	1.0	0.2592592592592593	0.4339622641509434	1.0	0.4285714285714286	0.32258064516129037	0.4285714285714286	0.4285714285714286	0.3666666666666667	0.33333333333333337	0.4098360655737705	0.4285714285714286	0.4285714285714286	0.34328358208955223	0.3125	0.323943661971831	0.33333333333333337	0.28767123287671237	0.25806451612903225	0.3584905660377359	0.45833333333333337
Low-level Lead Exposure and ChildrenÕs IQ: A Meta-Analysis and Search for a Threshold	0.16923076923076918	0.26315789473684215	1.0	0.33333333333333337	0.3846153846153846	0.2676056338028169	0.1470588235294118	0.2063492063492064	0.18644067796610164	0.2786885245901639	1.0	0.4117647058823529	1.0	0.22033898305084743	1.0	0.24590163934426235	0.288135593220339	0.25	0.3142857142857143	1.0	0.3090909090909091	0.40740740740740744	1.0	0.43999999999999995	0.3015873015873016	0.43999999999999995	0.43999999999999995	0.34426229508196726	0.34328358208955223	0.3870967741935484	0.43999999999999995	0.43999999999999995	0.2941176470588235	0.3538461538461538	0.33333333333333337	0.34328358208955223	0.29729729729729726	0.17460317460317465	0.40740740740740744	0.5510204081632653
Reduction in Fine Particulate Air Pollution and Mortality	0.4117647058823529	0.39534883720930236	0.5102040816326531	0.4	0.368421052631579	0.4385964912280702	0.37037037037037035	0.3877551020408163	0.37777777777777777	0.36170212765957444	0.40909090909090906	0.027027027027026973	0.34693877551020413	0.4666666666666667	0.41666666666666663	0.276595744680851	0.4222222222222223	0.43999999999999995	0.4285714285714286	0.4117647058823529	0.36585365853658536	0.5	0.4509803921568627	0.2777777777777778	0.4285714285714286	0.2777777777777778	0.2777777777777778	0.36170212765957444	0.39622641509433965	0.33333333333333337	0.2777777777777778	0.2777777777777778	0.40740740740740744	0.4117647058823529	0.4137931034482759	0.39622641509433965	0.43333333333333335	0.4285714285714286	0.35	0.4285714285714286
Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	0.2542372881355932	0.2549019607843137	0.26315789473684215	0.20833333333333337	0.26086956521739135	0.2615384615384615	0.25806451612903225	0.19298245614035092	0.24528301886792447	0.3090909090909091	0.1923076923076923	0.4222222222222223	0.26315789473684215	0.16981132075471694	0.2142857142857143	0.2727272727272727	0.018867924528301883	0.1724137931034483	0.375	0.288135593220339	0.1428571428571429	0.33333333333333337	0.22033898305084743	0.36363636363636365	0.29824561403508776	0.36363636363636365	0.36363636363636365	0.3090909090909091	0.2786885245901639	0.3571428571428571	0.36363636363636365	0.36363636363636365	0.32258064516129037	0.288135593220339	0.36363636363636365	0.3114754098360656	0.2647058823529411	0.22807017543859653	0.41666666666666663	0.4418604651162791
Environmental Lead and ChildrenÕs Intelligence: A Systematic Review of the Epidemiological Evidence	0.19354838709677424	0.2222222222222222	1.0	0.21568627450980393	0.34693877551020413	0.23529411764705888	0.16923076923076918	0.2666666666666667	0.1785714285714286	0.24137931034482762	1.0	0.41666666666666663	1.0	0.25	1.0	0.31034482758620685	0.2142857142857143	0.24590163934426235	0.31343283582089554	1.0	0.2692307692307693	0.37254901960784315	1.0	0.3191489361702128	0.19999999999999996	0.3191489361702128	0.3191489361702128	0.31034482758620685	0.3125	0.288135593220339	0.3191489361702128	0.3191489361702128	0.23076923076923073	0.22580645161290325	0.30434782608695654	0.28125	0.295774647887324	0.19999999999999996	0.37254901960784315	0.4782608695652174
Temporal Pattern in the Effect of Post-Natal Blood Lead Level in Intellectual Development of Young Children	0.2698412698412699	0.3090909090909091	0.180327868852459	0.23076923076923073	0.24	0.21739130434782605	0.21212121212121215	0.21311475409836067	0.26315789473684215	0.3220338983050848	0.25	0.4693877551020408	0.24590163934426235	0.1578947368421053	0.2666666666666667	0.2542372881355932	0.19298245614035092	0.06451612903225812	0.32352941176470584	0.2698412698412699	0.28301886792452835	0.42307692307692313	0.2063492063492064	0.375	0.34426229508196726	0.375	0.375	0.3220338983050848	0.32307692307692304	0.3666666666666667	0.375	0.375	0.33333333333333337	0.33333333333333337	0.3142857142857143	0.32307692307692304	0.25	0.180327868852459	0.34615384615384615	0.4893617021276596
IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds?	0.31343283582089554	0.35593220338983056	0.3538461538461538	0.3214285714285714	0.37037037037037035	0.06849315068493156	0.3142857142857143	0.3538461538461538	0.34426229508196726	0.23809523809523814	0.33333333333333337	0.4339622641509434	0.29230769230769227	0.3114754098360656	0.25	0.33333333333333337	0.2786885245901639	0.2727272727272727	0.33333333333333337	0.28358208955223885	0.33333333333333337	0.5	0.28358208955223885	0.42307692307692313	0.3846153846153846	0.42307692307692313	0.42307692307692313	0.3015873015873016	0.33333333333333337	0.34375	0.42307692307692313	0.42307692307692313	0.2571428571428571	0.25373134328358204	0.32432432432432434	0.30434782608695654	0.26315789473684215	0.29230769230769227	0.4285714285714286	0.4509803921568627
Effect of Smelter Emissions Reductions on Children's Blood Levels	0.3571428571428571	0.29166666666666663	0.33333333333333337	0.19999999999999996	0.3023255813953488	0.32258064516129037	0.3220338983050848	0.2592592592592593	0.31999999999999995	0.3846153846153846	0.10204081632653061	0.4285714285714286	0.33333333333333337	0.28	0.24528301886792447	0.3846153846153846	0.16000000000000003	0.2727272727272727	0.3770491803278688	0.3214285714285714	0.21739130434782605	0.37777777777777777	0.2857142857142857	0.41463414634146345	0.37037037037037035	0.41463414634146345	0.41463414634146345	0.34615384615384615	0.3793103448275862	0.4339622641509434	0.41463414634146345	0.41463414634146345	0.3220338983050848	0.2857142857142857	0.39682539682539686	0.3448275862068966	0.32307692307692304	0.2962962962962963	0.4666666666666667	0.5
Societal Benefits of Reducing Lead Exposure	0.3090909090909091	0.3191489361702128	0.3207547169811321	0.2272727272727273	0.33333333333333337	0.34426229508196726	0.31034482758620685	0.28301886792452835	0.22448979591836737	0.33333333333333337	0.25	0.36585365853658536	0.3584905660377359	0.22448979591836737	0.2692307692307693	0.2941176470588235	0.1428571428571429	0.2592592592592593	0.4	0.3090909090909091	0.022222222222222254	0.31818181818181823	0.2727272727272727	0.4	0.3584905660377359	0.4	0.4	0.37254901960784315	0.33333333333333337	0.3846153846153846	0.4	0.4	0.3448275862068966	0.34545454545454546	0.3870967741935484	0.29824561403508776	0.3125	0.24528301886792447	0.36363636363636365	0.4358974358974359
Societal Benefits of Reducing Lead Exposure	0.3090909090909091	0.3191489361702128	0.3207547169811321	0.2272727272727273	0.33333333333333337	0.34426229508196726	0.31034482758620685	0.28301886792452835	0.22448979591836737	0.33333333333333337	0.25	0.36585365853658536	0.3584905660377359	0.22448979591836737	0.2692307692307693	0.2941176470588235	0.1428571428571429	0.2592592592592593	0.4	0.3090909090909091	0.022222222222222254	0.31818181818181823	0.2727272727272727	0.4	0.3584905660377359	0.4	0.4	0.37254901960784315	0.33333333333333337	0.3846153846153846	0.4	0.4	0.3448275862068966	0.34545454545454546	0.3870967741935484	0.29824561403508776	0.3125	0.24528301886792447	0.36363636363636365	0.4358974358974359
Assessment of Deaths Attributable to Air Pollution: Should We Use Risk Estimates Based on Time Series or Cohort Studies?	0.3650793650793651	0.3090909090909091	0.34426229508196726	0.3076923076923077	0.4	0.33333333333333337	0.303030303030303	0.2786885245901639	0.4035087719298246	0.35593220338983056	0.25	0.4285714285714286	0.3770491803278688	0.33333333333333337	0.33333333333333337	0.38983050847457623	0.29824561403508776	0.32258064516129037	0.38235294117647056	0.3650793650793651	0.3584905660377359	0.34615384615384615	0.3650793650793651	0.45833333333333337	0.3114754098360656	0.45833333333333337	0.45833333333333337	0.423728813559322	0.3538461538461538	0.43333333333333335	0.45833333333333337	0.45833333333333337	0.33333333333333337	0.3650793650793651	0.37142857142857144	0.3846153846153846	0.33333333333333337	0.3114754098360656	0.34615384615384615	0.4893617021276596
The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry	0.1470588235294118	0.30000000000000004	0.2727272727272727	0.26315789473684215	0.34545454545454546	0.2702702702702703	0.014084507042253502	0.18181818181818177	0.16129032258064513	0.25	0.3114754098360656	0.37037037037037035	0.1515151515151515	0.19354838709677424	0.16923076923076918	0.1875	0.25806451612903225	0.16417910447761197	0.28767123287671237	0.1470588235294118	0.31034482758620685	0.4385964912280702	0.17647058823529416	0.3584905660377359	0.21212121212121215	0.3584905660377359	0.3584905660377359	0.3125	0.2857142857142857	0.29230769230769227	0.3584905660377359	0.3584905660377359	0.2676056338028169	0.2941176470588235	0.28	0.3142857142857143	0.22077922077922074	0.1515151515151515	0.33333333333333337	0.5384615384615384
The Long-Term Effects of Exposure to Low Doses of Lead in Children - Reply	0.21311475409836067	0.28301886792452835	0.22033898305084743	0.24	0.33333333333333337	0.28358208955223885	0.1875	0.18644067796610164	0.23636363636363633	0.22807017543859653	0.2962962962962963	0.4042553191489362	0.22033898305084743	0.054545454545454564	0.2068965517241379	0.19298245614035092	0.1636363636363637	0.16666666666666663	0.4242424242424242	0.21311475409836067	0.21568627450980393	0.36	0.21311475409836067	0.3913043478260869	0.3220338983050848	0.3913043478260869	0.3913043478260869	0.33333333333333337	0.2698412698412699	0.3793103448275862	0.3913043478260869	0.3913043478260869	0.3125	0.3114754098360656	0.3529411764705882	0.33333333333333337	0.22857142857142854	0.22033898305084743	0.36	0.4666666666666667
