	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Expanded Expert Judgment Assessment of the Concentration-Response Relationship between PM(2.5) Exposure and Mortality	0.2941176470588235	0.33333333333333337	0.33333333333333337	0.29824561403508776	0.38181818181818183	0.29729729729729726	0.23943661971830987	0.21212121212121215	0.29032258064516125	0.25	0.3114754098360656	0.33333333333333337	0.24242424242424243	0.22580645161290325	0.2615384615384615	0.21875	0.25806451612903225	0.28358208955223885	0.34246575342465757	0.2647058823529411	0.31034482758620685	0.4385964912280702	0.2647058823529411	0.3584905660377359	0.2727272727272727	0.3584905660377359	0.3584905660377359	0.25	0.17142857142857137	0.2615384615384615	0.3584905660377359	0.3584905660377359	0.21126760563380287	0.23529411764705888	0.28	0.22857142857142854	0.22077922077922074	0.2727272727272727	0.33333333333333337	0.5
Integrated Risk Information System (IRIS) Profile for Lead and Compounds (inorganic)	0.33333333333333337	0.3846153846153846	0.3448275862068966	0.22448979591836737	0.3191489361702128	0.303030303030303	0.2698412698412699	0.27586206896551724	0.2592592592592593	0.3214285714285714	0.28301886792452835	0.34782608695652173	0.31034482758620685	0.2962962962962963	0.22807017543859653	0.2857142857142857	0.2592592592592593	0.2542372881355932	0.3846153846153846	0.33333333333333337	0.24	0.4285714285714286	0.23333333333333328	0.37777777777777777	0.3448275862068966	0.37777777777777777	0.37777777777777777	0.25	0.29032258064516125	0.26315789473684215	0.37777777777777777	0.37777777777777777	0.2698412698412699	0.23333333333333328	0.25373134328358204	0.22580645161290325	0.2753623188405797	0.24137931034482762	0.30612244897959184	0.5
Lead: Human Exposure and Health Risk Assessments for Selected Case Studies. Volume I: Human Exposure and Health Risk Assessments Ð Full-scale	0.21212121212121215	0.31034482758620685	1.0	0.2727272727272727	0.39622641509433965	0.2777777777777778	0.21739130434782605	0.25	0.2666666666666667	0.29032258064516125	1.0	0.3846153846153846	1.0	0.23333333333333328	1.0	0.25806451612903225	0.23333333333333328	0.29230769230769227	0.323943661971831	1.0	0.25	0.4181818181818182	1.0	0.4509803921568627	0.34375	0.4509803921568627	0.4509803921568627	0.3870967741935484	0.3529411764705882	0.33333333333333337	0.4509803921568627	0.4509803921568627	0.33333333333333337	0.303030303030303	0.31506849315068497	0.3529411764705882	0.2533333333333333	0.25	0.4181818181818182	0.48
Preventing Lead Poisoning in Young Children	0.3846153846153846	0.31818181818181823	0.36	0.2195121951219512	0.02564102564102566	0.3448275862068966	0.34545454545454546	0.31999999999999995	0.26086956521739135	0.45833333333333337	0.28888888888888886	0.368421052631579	0.31999999999999995	0.30434782608695654	0.34693877551020413	0.33333333333333337	0.26086956521739135	0.2549019607843137	0.4736842105263158	0.3846153846153846	0.33333333333333337	0.41463414634146345	0.3076923076923077	0.3513513513513513	0.4	0.3513513513513513	0.3513513513513513	0.33333333333333337	0.40740740740740744	0.4285714285714286	0.3513513513513513	0.3513513513513513	0.38181818181818183	0.34615384615384615	0.4576271186440678	0.40740740740740744	0.4098360655737705	0.24	0.31707317073170727	0.33333333333333337
Review of the National Ambient Air Quality Standards for Lead: Policy Assessment of Scientific and Technical Information	0.23809523809523814	0.23636363636363633	0.3114754098360656	0.3076923076923077	0.36	0.2753623188405797	0.21212121212121215	0.2786885245901639	0.22807017543859653	0.288135593220339	0.25	0.34693877551020413	0.24590163934426235	0.33333333333333337	0.19999999999999996	0.35593220338983056	0.33333333333333337	0.25806451612903225	0.2941176470588235	0.2063492063492064	0.3584905660377359	0.34615384615384615	0.2698412698412699	0.375	0.24590163934426235	0.375	0.375	0.3220338983050848	0.29230769230769227	0.33333333333333337	0.375	0.375	0.1515151515151515	0.3015873015873016	0.2571428571428571	0.23076923076923073	0.33333333333333337	0.21311475409836067	0.3846153846153846	0.5319148936170213
Strategic Plan for Elimination of Childhood Lead Poisoning	0.33333333333333337	0.34782608695652173	0.3076923076923077	0.023255813953488413	0.2195121951219512	0.33333333333333337	0.26315789473684215	0.23076923076923073	0.25	0.36	0.19148936170212771	0.4	0.3076923076923077	0.20833333333333337	0.21568627450980393	0.28	0.20833333333333337	0.24528301886792447	0.38983050847457623	0.33333333333333337	0.2272727272727273	0.39534883720930236	0.2222222222222222	0.28205128205128205	0.2692307692307693	0.28205128205128205	0.28205128205128205	0.28	0.3571428571428571	0.4117647058823529	0.28205128205128205	0.28205128205128205	0.29824561403508776	0.2222222222222222	0.3770491803278688	0.3214285714285714	0.33333333333333337	0.23076923076923073	0.34883720930232553	0.368421052631579
The Benefits and Costs of the Clean Air Act, 1970 to 1990	0.4285714285714286	0.29166666666666663	0.33333333333333337	0.33333333333333337	0.39534883720930236	0.3870967741935484	0.423728813559322	0.4444444444444444	0.48	0.46153846153846156	0.3877551020408163	0.4285714285714286	0.4444444444444444	0.36	0.39622641509433965	0.3846153846153846	0.36	0.38181818181818183	0.34426229508196726	0.3928571428571429	0.3913043478260869	0.4222222222222223	0.4285714285714286	0.46341463414634143	0.4444444444444444	0.46341463414634143	0.46341463414634143	0.42307692307692313	0.3793103448275862	0.5094339622641509	0.46341463414634143	0.46341463414634143	0.423728813559322	0.3214285714285714	0.4285714285714286	0.48275862068965514	0.3846153846153846	0.40740740740740744	0.4666666666666667	0.44999999999999996
Air Quality Guidelines for Europe, Second Edition	0.3090909090909091	0.4042553191489362	0.4339622641509434	0.31818181818181823	0.4285714285714286	0.3770491803278688	0.3448275862068966	0.3207547169811321	0.30612244897959184	0.2941176470588235	0.375	0.31707317073170727	0.3584905660377359	0.34693877551020413	0.3076923076923077	0.2941176470588235	0.34693877551020413	0.37037037037037035	0.33333333333333337	0.2727272727272727	0.24444444444444446	0.40909090909090906	0.34545454545454546	0.35	0.3207547169811321	0.35	0.35	0.33333333333333337	0.33333333333333337	0.3846153846153846	0.35	0.35	0.3448275862068966	0.34545454545454546	0.32258064516129037	0.29824561403508776	0.375	0.3207547169811321	0.31818181818181823	0.4871794871794872
Calculating Benefit Per-Ton Estimates	0.37037037037037035	0.3913043478260869	0.3076923076923077	0.2093023255813954	0.31707317073170727	0.33333333333333337	0.33333333333333337	0.3076923076923077	0.375	0.36	0.276595744680851	0.4	0.34615384615384615	0.20833333333333337	0.37254901960784315	0.24	0.25	0.24528301886792447	0.423728813559322	0.37037037037037035	0.2727272727272727	0.4883720930232558	0.2962962962962963	0.28205128205128205	0.3846153846153846	0.28205128205128205	0.28205128205128205	0.31999999999999995	0.3571428571428571	0.37254901960784315	0.28205128205128205	0.28205128205128205	0.4035087719298246	0.37037037037037035	0.4098360655737705	0.3928571428571429	0.33333333333333337	0.3076923076923077	0.34883720930232553	0.4736842105263158
Circular A-4	0.5909090909090908	0.5555555555555556	0.6190476190476191	0.5757575757575757	0.5483870967741935	0.6	0.6170212765957447	0.5714285714285714	0.631578947368421	0.6	0.6216216216216216	0.4666666666666667	0.5238095238095238	0.5263157894736843	0.6097560975609756	0.5	0.5789473684210527	0.627906976744186	0.6734693877551021	0.5454545454545454	0.5882352941176471	0.7575757575757576	0.5909090909090908	0.5172413793103448	0.6666666666666667	0.5172413793103448	0.5172413793103448	0.55	0.6521739130434783	0.6097560975609756	0.5172413793103448	0.5172413793103448	0.6595744680851063	0.6363636363636364	0.6862745098039216	0.6521739130434783	0.6226415094339622	0.6190476190476191	0.5151515151515151	0.6428571428571428
Email from Khan, Sikander to Sorrels, Larry	0.33333333333333337	0.4347826086956522	0.42307692307692313	0.2093023255813954	0.36585365853658536	0.43333333333333335	0.368421052631579	0.3076923076923077	0.33333333333333337	0.4	0.3191489361702128	0.44999999999999996	0.3846153846153846	0.33333333333333337	0.2941176470588235	0.36	0.33333333333333337	0.3584905660377359	0.38983050847457623	0.37037037037037035	0.31818181818181823	0.39534883720930236	0.33333333333333337	0.3846153846153846	0.34615384615384615	0.3846153846153846	0.3846153846153846	0.4	0.3928571428571429	0.4901960784313726	0.3846153846153846	0.3846153846153846	0.368421052631579	0.2962962962962963	0.3770491803278688	0.3928571428571429	0.39682539682539686	0.34615384615384615	0.4418604651162791	0.42105263157894735
Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study	0.23809523809523814	0.34545454545454546	0.3114754098360656	0.23076923076923073	0.31999999999999995	0.30434782608695654	0.18181818181818177	0.016393442622950838	0.22807017543859653	0.3220338983050848	0.2142857142857143	0.3877551020408163	0.21311475409836067	0.19298245614035092	0.2666666666666667	0.22033898305084743	0.19298245614035092	0.19354838709677424	0.32352941176470584	0.2063492063492064	0.28301886792452835	0.3846153846153846	0.17460317460317465	0.375	0.24590163934426235	0.375	0.375	0.3220338983050848	0.29230769230769227	0.4	0.375	0.375	0.303030303030303	0.3015873015873016	0.37142857142857144	0.29230769230769227	0.25	0.180327868852459	0.3076923076923077	0.5319148936170213
Letter from CASAC Chairman Rogene Henderson to EPA Administrator Stephen Johnson	0.368421052631579	0.34693877551020413	0.38181818181818183	0.17391304347826086	0.31818181818181823	0.3015873015873016	0.30000000000000004	0.3090909090909091	0.33333333333333337	0.3207547169811321	0.28	0.4418604651162791	0.34545454545454546	0.2941176470588235	0.2222222222222222	0.3207547169811321	0.2549019607843137	0.3214285714285714	0.3870967741935484	0.368421052631579	0.276595744680851	0.3913043478260869	0.29824561403508776	0.38095238095238093	0.3090909090909091	0.38095238095238093	0.38095238095238093	0.3584905660377359	0.35593220338983056	0.40740740740740744	0.38095238095238093	0.38095238095238093	0.33333333333333337	0.22807017543859653	0.375	0.3220338983050848	0.303030303030303	0.3090909090909091	0.34782608695652173	0.41463414634146345
Personal communication of Skiander Khan with Larry Sorrels	0.3214285714285714	0.375	0.37037037037037035	0.19999999999999996	0.3023255813953488	0.3870967741935484	0.288135593220339	0.2592592592592593	0.24	0.34615384615384615	0.26530612244897955	0.33333333333333337	0.2962962962962963	0.28	0.28301886792452835	0.34615384615384615	0.31999999999999995	0.3090909090909091	0.3770491803278688	0.3214285714285714	0.30434782608695654	0.37777777777777777	0.2857142857142857	0.36585365853658536	0.2962962962962963	0.36585365853658536	0.36585365853658536	0.34615384615384615	0.3793103448275862	0.4339622641509434	0.36585365853658536	0.36585365853658536	0.288135593220339	0.3214285714285714	0.3650793650793651	0.3448275862068966	0.3846153846153846	0.2962962962962963	0.37777777777777777	0.44999999999999996
Revised Methodology for Estimating Lead Emissions from Piston-Engine Aircraft Operating on Leaded Aviation Gasoline	0.2786885245901639	0.3207547169811321	0.38983050847457623	0.24	0.33333333333333337	0.22388059701492535	0.25	0.22033898305084743	0.2727272727272727	0.26315789473684215	0.2962962962962963	0.3191489361702128	0.2542372881355932	0.2727272727272727	0.2068965517241379	0.22807017543859653	0.23636363636363633	0.2666666666666667	0.33333333333333337	0.2786885245901639	0.2941176470588235	0.4	0.24590163934426235	0.26086956521739135	0.2542372881355932	0.26086956521739135	0.26086956521739135	0.29824561403508776	0.23809523809523814	0.31034482758620685	0.26086956521739135	0.26086956521739135	0.28125	0.24590163934426235	0.2941176470588235	0.23809523809523814	0.2571428571428571	0.288135593220339	0.4	0.4222222222222223
Supplemental IQ Gain Calculations Using Two Additional Concentration-Response Functions	0.21311475409836067	0.3207547169811321	0.3220338983050848	0.36	0.41666666666666663	0.34328358208955223	0.28125	0.35593220338983056	0.34545454545454546	0.29824561403508776	0.40740740740740744	0.36170212765957444	0.288135593220339	0.2727272727272727	0.27586206896551724	0.26315789473684215	0.3090909090909091	0.3666666666666667	0.4545454545454546	0.2786885245901639	0.33333333333333337	0.31999999999999995	0.34426229508196726	0.4347826086956522	0.35593220338983056	0.4347826086956522	0.4347826086956522	0.4035087719298246	0.39682539682539686	0.3448275862068966	0.4347826086956522	0.4347826086956522	0.375	0.4098360655737705	0.32352941176470584	0.3650793650793651	0.34285714285714286	0.35593220338983056	0.4	0.5111111111111111
Memo to the Docket from Marion Hoyer 	0.52	0.5238095238095238	0.5	0.3846153846153846	0.5135135135135135	0.5	0.4339622641509434	0.375	0.5	0.30434782608695654	0.4883720930232558	0.38888888888888884	0.5	0.40909090909090906	0.44680851063829785	0.4782608695652174	0.4545454545454546	0.4285714285714286	0.4545454545454546	0.48	0.5	0.5897435897435898	0.48	0.37142857142857144	0.45833333333333337	0.37142857142857144	0.37142857142857144	0.4782608695652174	0.5	0.5319148936170213	0.37142857142857144	0.37142857142857144	0.5094339622641509	0.43999999999999995	0.5087719298245614	0.5384615384615384	0.4915254237288136	0.5	0.4358974358974359	0.4117647058823529
BenMAP User Manual	0.5652173913043479	0.5263157894736843	0.5909090909090908	0.5428571428571429	0.4545454545454546	0.5769230769230769	0.5510204081632653	0.5	0.55	0.5238095238095238	0.5384615384615384	0.375	0.5454545454545454	0.6	0.627906976744186	0.47619047619047616	0.5	0.5555555555555556	0.5294117647058824	0.5652173913043479	0.5	0.5428571428571429	0.6086956521739131	0.4838709677419355	0.5454545454545454	0.4838709677419355	0.4838709677419355	0.5714285714285714	0.5833333333333333	0.5348837209302326	0.4838709677419355	0.4838709677419355	0.5918367346938775	0.6086956521739131	0.6226415094339622	0.5833333333333333	0.6	0.5909090909090908	0.48571428571428577	0.6
Air Quality Criteria for Lead and Related Photochemical Oxidants	0.3448275862068966	0.31999999999999995	0.3928571428571429	0.23404255319148937	0.28888888888888886	0.25	0.2786885245901639	0.25	0.3076923076923077	0.2962962962962963	0.2549019607843137	0.2727272727272727	0.25	0.2692307692307693	0.2727272727272727	0.2592592592592593	0.23076923076923073	0.26315789473684215	0.39682539682539686	0.27586206896551724	0.29166666666666663	0.44680851063829785	0.27586206896551724	0.34883720930232553	0.3571428571428571	0.34883720930232553	0.34883720930232553	0.2592592592592593	0.2666666666666667	0.38181818181818183	0.34883720930232553	0.34883720930232553	0.2786885245901639	0.27586206896551724	0.32307692307692304	0.2666666666666667	0.28358208955223885	0.2857142857142857	0.36170212765957444	0.4285714285714286
