	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Air Pollution Control Technology Fact Sheet	0.34693877551020413	0.4042553191489362	0.28301886792452835	0.31707317073170727	0.26315789473684215	0.39534883720930236	0.3584905660377359	0.3448275862068966	0.30434782608695654	0.44680851063829785	0.4358974358974359	0.39534883720930236	0.28888888888888886	0.33333333333333337	0.38181818181818183	0.641025641025641	0.34615384615384615	0.33333333333333337	0.38983050847457623	0.28	0.34545454545454546	0.29166666666666663	0.2727272727272727	0.30000000000000004	0.30000000000000004	0.33333333333333337	0.3214285714285714	0.26086956521739135	0.4794520547945206	0.36363636363636365	0.2558139534883721	0.29166666666666663	0.31818181818181823	0.5189873417721519	0.4358974358974359	0.30000000000000004	0.34615384615384615	0.3793103448275862	0.7058823529411764	0.525	0.5294117647058824
Average Industrial Retail Price of Electricity	0.33333333333333337	0.26530612244897955	0.23636363636363633	0.3023255813953488	0.19999999999999996	0.4222222222222223	0.23636363636363633	0.2666666666666667	0.29166666666666663	0.22448979591836737	0.41463414634146345	0.4666666666666667	0.14893617021276595	0.18181818181818177	0.368421052631579	0.6585365853658536	0.2962962962962963	0.3548387096774194	0.34426229508196726	0.23076923076923073	0.33333333333333337	0.28	0.26315789473684215	0.19047619047619047	0.19047619047619047	0.25	0.31034482758620685	0.20833333333333337	0.43999999999999995	0.26086956521739135	0.33333333333333337	0.31999999999999995	0.26086956521739135	0.45679012345679015	0.31707317073170727	0.2857142857142857	0.40740740740740744	0.3666666666666667	0.5555555555555556	0.4878048780487805	0.4285714285714286
Compressed Air Tip Sheet #1	0.5652173913043479	0.5	0.43999999999999995	0.4736842105263158	0.5428571428571429	0.4	0.48	0.4545454545454546	0.39534883720930236	0.5	0.5	0.35	0.47619047619047616	0.4871794871794872	0.42307692307692313	0.7222222222222222	0.4693877551020408	0.4736842105263158	0.5	0.4042553191489362	0.46153846153846156	0.4666666666666667	0.42307692307692313	0.45945945945945943	0.45945945945945943	0.4509803921568627	0.4716981132075472	0.4418604651162791	0.5428571428571429	0.46341463414634143	0.44999999999999996	0.37777777777777777	0.46341463414634143	0.6052631578947368	0.38888888888888884	0.4054054054054054	0.4693877551020408	0.4545454545454546	0.5483870967741935	0.6103896103896104	0.6
Consultation of EPA's Particulate Matter National Ambient Air Quality Standards: Scope and Methods Plan for Health Risk and Exposure Assesment	0.32258064516129037	0.30000000000000004	0.18181818181818177	0.33333333333333337	0.4117647058823529	0.3928571428571429	0.18181818181818177	0.21126760563380287	0.2542372881355932	0.2666666666666667	0.46153846153846156	0.3928571428571429	0.27586206896551724	0.3090909090909091	0.20588235294117652	0.6153846153846154	0.2615384615384615	0.17808219178082196	0.25	0.23809523809523814	0.2941176470588235	0.2786885245901639	0.23529411764705888	0.3584905660377359	0.3584905660377359	0.22388059701492535	0.24637681159420288	0.288135593220339	0.3023255813953488	0.29824561403508776	0.3571428571428571	0.3114754098360656	0.29824561403508776	0.4565217391304348	0.42307692307692313	0.3584905660377359	0.3846153846153846	0.323943661971831	0.6595744680851063	0.3763440860215054	0.3580246913580247
Emission Factors & AP42, Compilation of Air Pollutant Emission Factors	0.3846153846153846	0.31999999999999995	0.2857142857142857	0.40909090909090906	0.36585365853658536	0.4347826086956522	0.3571428571428571	0.3770491803278688	0.34693877551020413	0.36	0.4285714285714286	0.34782608695652173	0.33333333333333337	0.28888888888888886	0.3793103448275862	0.5714285714285714	0.38181818181818183	0.33333333333333337	0.4516129032258065	0.3584905660377359	0.4137931034482759	0.2549019607843137	0.3448275862068966	0.3023255813953488	0.3023255813953488	0.4035087719298246	0.35593220338983056	0.34693877551020413	0.4473684210526315	0.3191489361702128	0.4782608695652174	0.37254901960784315	0.4042553191489362	0.46341463414634143	0.4285714285714286	0.34883720930232553	0.4545454545454546	0.4098360655737705	0.5675675675675675	0.4698795180722891	0.5211267605633803
EPA's Review of the National Ambient Air Quality Standards for Particulate Matter (Second Draft PM Staff Paper, January 2005)	0.34328358208955223	0.3538461538461538	0.2676056338028169	0.423728813559322	0.4285714285714286	0.4426229508196722	0.23943661971830987	0.23684210526315785	0.3125	0.3846153846153846	0.4736842105263158	0.4098360655737705	0.3015873015873016	0.3666666666666667	0.26027397260273977	0.6491228070175439	0.22857142857142854	0.23076923076923073	0.19480519480519476	0.2941176470588235	0.28767123287671237	0.36363636363636365	0.28767123287671237	0.3793103448275862	0.3793103448275862	0.25	0.21621621621621623	0.34375	0.27472527472527475	0.29032258064516125	0.4426229508196722	0.4545454545454546	0.4193548387096774	0.3402061855670103	0.4736842105263158	0.4137931034482759	0.2571428571428571	0.3421052631578947	0.6538461538461539	0.30612244897959184	0.3023255813953488
Guidelines for Preparing Economic Analyses: External Review Draft.	0.31034482758620685	0.25	0.22580645161290325	0.28	0.23404255319148937	0.46153846153846156	0.19354838709677424	0.19402985074626866	0.2727272727272727	0.2142857142857143	0.41666666666666663	0.3846153846153846	0.18518518518518523	0.13725490196078427	0.3125	0.6666666666666667	0.3114754098360656	0.24637681159420288	0.23529411764705888	0.2542372881355932	0.34375	0.22807017543859653	0.25	0.26530612244897955	0.26530612244897955	0.2698412698412699	0.32307692307692304	0.23636363636363633	0.3902439024390244	0.3207547169811321	0.3846153846153846	0.29824561403508776	0.28301886792452835	0.38636363636363635	0.29166666666666663	0.30612244897959184	0.3770491803278688	0.34328358208955223	0.5813953488372092	0.3932584269662921	0.35064935064935066
Hauling cost: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, Table 3-17	0.36363636363636365	0.3125	0.3142857142857143	0.3793103448275862	0.4181818181818182	0.4	0.19999999999999996	0.17333333333333334	0.2063492063492064	0.3125	0.4642857142857143	0.4	0.32258064516129037	0.35593220338983056	0.2777777777777778	0.6785714285714286	0.2753623188405797	0.24675324675324672	0.21052631578947367	0.22388059701492535	0.33333333333333337	0.3538461538461538	0.25	0.29824561403508776	0.29824561403508776	0.21126760563380287	0.26027397260273977	0.2698412698412699	0.28888888888888886	0.3770491803278688	0.33333333333333337	0.3846153846153846	0.34426229508196726	0.3125	0.3571428571428571	0.33333333333333337	0.33333333333333337	0.19999999999999996	0.5686274509803921	0.2989690721649485	0.2705882352941177
Integrated Science Assessment for Carbon Monoxide	0.4	0.375	0.2962962962962963	0.33333333333333337	0.3846153846153846	0.31818181818181823	0.33333333333333337	0.3220338983050848	0.3191489361702128	0.25	0.44999999999999996	0.4545454545454546	0.30434782608695654	0.34883720930232553	0.3928571428571429	0.75	0.3207547169811321	0.34426229508196726	0.4	0.33333333333333337	0.3571428571428571	0.30612244897959184	0.25	0.31707317073170727	0.31707317073170727	0.34545454545454546	0.368421052631579	0.36170212765957444	0.45945945945945943	0.33333333333333337	0.36363636363636365	0.30612244897959184	0.24444444444444446	0.525	0.35	0.2682926829268293	0.4339622641509434	0.35593220338983056	0.6	0.4814814814814815	0.4782608695652174
Integrated Science Assessment for Oxides of Nitrogen and Sulfur–Ecological Criteria National (Final Report)	0.423728813559322	1.0	1.0	0.37254901960784315	0.41666666666666663	1.0	0.33333333333333337	0.32352941176470584	0.3571428571428571	0.22807017543859653	0.4693877551020408	0.4716981132075472	0.2727272727272727	0.3076923076923077	0.3538461538461538	0.6326530612244898	0.16129032258064513	0.2857142857142857	0.33333333333333337	0.2666666666666667	1.0	0.27586206896551724	1.0	0.28	0.28	0.28125	0.21212121212121215	0.2857142857142857	0.37349397590361444	0.40740740740740744	0.4339622641509434	0.31034482758620685	0.2962962962962963	0.3932584269662921	0.34693877551020413	0.31999999999999995	1.0	0.38235294117647056	0.5909090909090908	0.4	0.3846153846153846
