	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Air Pollution Control Technology Fact Sheet	0.7837837837837838	0.8300653594771242	0.8316831683168316	0.8372093023255814	0.813953488372093	0.8214285714285714	0.7956989247311828	0.8265895953757225	0.8355263157894737	0.78125	0.813953488372093	0.8604651162790697	0.7532467532467533	0.8372093023255814	0.7950819672131147	0.9302325581395349	0.826530612244898	0.8686440677966102	0.8737373737373737	0.825	0.813953488372093	0.7938144329896907	0.8409090909090909	0.8372093023255814	0.8372093023255814	0.8539325842696629	0.8571428571428571	0.7901234567901234	0.9149484536082474	0.7777777777777778	0.8125	0.8072289156626506	0.825	0.9284116331096197	0.9302325581395349	0.8604651162790697	0.8372093023255814	0.8676470588235294	0.8604651162790697	0.9424	0.8977777777777778
Average Industrial Retail Price of Electricity	0.7837837837837838	0.8366013071895425	0.7722772277227723	0.8478260869565217	0.7608695652173914	0.8214285714285714	0.7634408602150538	0.8323699421965318	0.8289473684210527	0.78125	0.7608695652173914	0.8260869565217391	0.7792207792207793	0.8478260869565217	0.819672131147541	0.9130434782608695	0.7959183673469388	0.8728813559322034	0.8484848484848485	0.8083333333333333	0.8062015503875969	0.7835051546391752	0.803030303030303	0.8043478260869565	0.8043478260869565	0.8370786516853933	0.8273809523809523	0.7407407407407407	0.9123711340206185	0.7777777777777778	0.8333333333333334	0.7951807228915663	0.7875	0.9239373601789709	0.8260869565217391	0.8043478260869565	0.7906976744186046	0.8480392156862745	0.8478260869565217	0.9392	0.88
Compressed Air Tip Sheet #1	0.8513513513513513	0.8954248366013072	0.8514851485148515	0.8717948717948718	0.84375	0.8035714285714286	0.8279569892473119	0.9017341040462428	0.8947368421052632	0.765625	0.8529411764705882	0.8205128205128205	0.8311688311688312	0.8372093023255814	0.8770491803278688	0.9642857142857143	0.8469387755102041	0.9194915254237288	0.9040404040404041	0.85	0.8837209302325582	0.8556701030927835	0.8863636363636364	0.9629629629629629	0.9629629629629629	0.8876404494382022	0.8928571428571429	0.8271604938271605	0.9458762886597938	0.8571428571428571	0.7916666666666666	0.8313253012048193	0.8625	0.9530201342281879	0.8372093023255814	0.85	0.8255813953488372	0.9117647058823529	0.8518518518518519	0.9648	0.9244444444444444
Consultation of EPA's Particulate Matter National Ambient Air Quality Standards: Scope and Methods Plan for Health Risk and Exposure Assesment	0.7816901408450704	0.7647058823529411	0.8028169014084507	0.8450704225352113	0.8450704225352113	0.8028169014084507	0.7887323943661971	0.7803468208092486	0.7960526315789473	0.8028169014084507	0.852112676056338	0.8450704225352113	0.7323943661971831	0.8380281690140845	0.8028169014084507	0.9436619718309859	0.7183098591549296	0.7415254237288136	0.7171717171717171	0.7323943661971831	0.7816901408450704	0.7676056338028169	0.8169014084507042	0.8732394366197183	0.8732394366197183	0.601123595505618	0.6190476190476191	0.7676056338028169	0.8041237113402062	0.7887323943661971	0.823943661971831	0.7464788732394366	0.7816901408450704	0.8322147651006712	0.8309859154929577	0.823943661971831	0.7746478873239436	0.7941176470588235	0.9225352112676056	0.8576	0.7866666666666666
Emission Factors & AP42, Compilation of Air Pollutant Emission Factors	0.7972972972972973	0.7843137254901961	0.8118811881188119	0.8285714285714286	0.7857142857142857	0.8	0.7634408602150538	0.7687861271676301	0.7763157894736842	0.7714285714285715	0.8142857142857143	0.7571428571428571	0.7272727272727273	0.7571428571428571	0.7377049180327869	0.9	0.7755102040816326	0.8220338983050848	0.8181818181818182	0.7583333333333333	0.7596899224806202	0.7938144329896907	0.7727272727272727	0.8142857142857143	0.8142857142857143	0.8033707865168539	0.8035714285714286	0.8271604938271605	0.8788659793814433	0.8285714285714286	0.8142857142857143	0.7951807228915663	0.7875	0.8859060402684564	0.8	0.8142857142857143	0.8488372093023255	0.8382352941176471	0.8714285714285714	0.9136	0.84
EPA's Review of the National Ambient Air Quality Standards for Particulate Matter (Second Draft PM Staff Paper, January 2005)	0.8	0.7581699346405228	0.776	0.832	0.816	0.8	0.816	0.7745664739884393	0.7828947368421053	0.8	0.824	0.84	0.752	0.816	0.848	0.952	0.768	0.7627118644067796	0.7272727272727273	0.832	0.8372093023255814	0.76	0.7272727272727273	0.872	0.872	0.5842696629213483	0.6011904761904762	0.768	0.8298969072164949	0.768	0.816	0.76	0.784	0.8478747203579419	0.832	0.856	0.752	0.7843137254901961	0.928	0.872	0.8177777777777778
Guidelines for Preparing Economic Analyses: External Review Draft.	0.8378378378378378	0.7908496732026143	0.8118811881188119	0.803030303030303	0.8181818181818182	0.803030303030303	0.7526881720430108	0.791907514450867	0.7960526315789473	0.7272727272727273	0.7727272727272727	0.7727272727272727	0.8051948051948052	0.3484848484848485	0.7704918032786885	0.8787878787878788	0.7755102040816326	0.826271186440678	0.8181818181818182	0.7666666666666667	0.7596899224806202	0.7731958762886598	0.7878787878787878	0.7878787878787878	0.7878787878787878	0.8089887640449438	0.8095238095238095	0.8271604938271605	0.884020618556701	0.8939393939393939	0.7727272727272727	0.7590361445783133	0.8	0.8970917225950783	0.803030303030303	0.7878787878787878	0.8023255813953488	0.8284313725490197	0.8787878787878788	0.9184	0.8533333333333334
Hauling cost: U.S. Department of Transportation, Research and Innovative Technology Administration, Bureau of Transportation Statistics, Table 3-17	0.7891156462585034	0.803921568627451	0.7959183673469388	0.8775510204081632	0.8571428571428571	0.8299319727891157	0.7278911564625851	0.791907514450867	0.7960526315789473	0.7891156462585034	0.8367346938775511	0.8503401360544217	0.7482993197278912	0.8435374149659864	0.8095238095238095	0.9591836734693877	0.7755102040816326	0.7288135593220338	0.7373737373737373	0.7687074829931972	0.7755102040816326	0.7414965986394558	0.7755102040816326	0.8843537414965986	0.8843537414965986	0.7808988764044944	0.7916666666666666	0.7755102040816326	0.8221649484536082	0.7891156462585034	0.8299319727891157	0.7891156462585034	0.7891156462585034	0.825503355704698	0.8163265306122449	0.8299319727891157	0.7891156462585034	0.7892156862745098	0.9251700680272109	0.8544	0.7911111111111111
Integrated Science Assessment for Carbon Monoxide	0.7837837837837838	0.8235294117647058	0.7920792079207921	0.8775510204081632	0.8163265306122449	0.8214285714285714	0.7956989247311828	0.815028901734104	0.8092105263157895	0.75	0.7346938775510204	0.8979591836734694	0.7792207792207793	0.8571428571428571	0.819672131147541	0.9387755102040817	0.7755102040816326	0.8686440677966102	0.8383838383838383	0.825	0.7674418604651163	0.8041237113402062	0.7878787878787878	0.8163265306122449	0.8163265306122449	0.8426966292134831	0.8452380952380952	0.7777777777777778	0.8969072164948454	0.7936507936507936	0.8163265306122449	0.7951807228915663	0.6875	0.9194630872483222	0.7959183673469388	0.7142857142857143	0.7906976744186046	0.8725490196078431	0.8775510204081632	0.9328	0.8622222222222222
Integrated Science Assessment for Oxides of Nitrogen and Sulfur–Ecological Criteria National (Final Report)	0.7757009345794392	1.0	1.0	0.822429906542056	0.822429906542056	1.0	0.8130841121495327	0.791907514450867	0.7368421052631579	0.7663551401869159	0.8037383177570093	0.8317757009345794	0.7850467289719626	0.7663551401869159	0.8032786885245902	0.9345794392523364	0.794392523364486	0.7838983050847458	0.7272727272727273	0.7916666666666666	1.0	0.822429906542056	1.0	0.8691588785046729	0.8691588785046729	0.7584269662921348	0.7559523809523809	0.7570093457943925	0.8324742268041238	0.7663551401869159	0.8130841121495327	0.7663551401869159	0.794392523364486	0.8590604026845637	0.794392523364486	0.8037383177570093	1.0	0.7696078431372549	0.9158878504672897	0.8832	0.8177777777777778
