	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.‚Äù	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age‚Äù, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‚ÄëChair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)‚ÄîNational Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.‚Äù Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA‚Äôs 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Integrated Science Assessment for Particulate Matter	0.7837837837837838	0.7908496732026143	0.801980198019802	0.8269230769230769	0.7884615384615384	0.8392857142857143	0.8064516129032258	0.8092485549132948	0.7960526315789473	0.765625	0.75	0.8846153846153846	0.7532467532467533	0.8461538461538461	0.8032786885245902	0.9230769230769231	0.7551020408163265	0.847457627118644	0.8131313131313131	0.7916666666666666	0.7674418604651163	0.7216494845360825	0.7272727272727273	0.8269230769230769	0.8269230769230769	0.8146067415730337	0.8154761904761905	0.7654320987654321	0.8943298969072165	0.7936507936507936	0.8653846153846154	0.8192771084337349	0.7125	0.912751677852349	0.7884615384615384	0.7692307692307693	0.7674418604651163	0.8578431372549019	0.8846153846153846	0.928	0.8711111111111111
Integrated Science Assessment for Sulfur Oxides—Health Criteria	0.8243243243243243	1.0	1.0	0.8253968253968254	0.8253968253968254	1.0	0.8064516129032258	0.815028901734104	0.8026315789473685	0.8125	0.7619047619047619	0.8095238095238095	0.7922077922077922	0.8095238095238095	0.8032786885245902	0.9523809523809523	0.7653061224489796	0.8389830508474576	0.7929292929292929	0.7583333333333333	1.0	0.7835051546391752	1.0	0.8412698412698413	0.8412698412698413	0.7921348314606742	0.7916666666666666	0.7407407407407407	0.8814432989690721	0.8571428571428571	0.8253968253968254	0.7951807228915663	0.7875	0.901565995525727	0.7777777777777778	0.7777777777777778	1.0	0.8431372549019608	0.873015873015873	0.9232	0.8533333333333334
Medical Management Guidelines for Hydrogen Chloride (HCL)	0.7972972972972973	0.8366013071895425	0.7722772277227723	0.7719298245614035	0.7894736842105263	0.9122807017543859	0.7741935483870968	0.8265895953757225	0.8026315789473685	0.828125	0.7543859649122807	0.8245614035087719	0.8311688311688312	0.7543859649122807	0.8114754098360656	0.9473684210526315	0.7857142857142857	0.8601694915254238	0.8333333333333334	0.7833333333333333	0.7829457364341085	0.8144329896907216	0.8181818181818182	0.8596491228070176	0.8596491228070176	0.8202247191011236	0.8154761904761905	0.8024691358024691	0.8917525773195877	0.7936507936507936	0.8245614035087719	0.7710843373493976	0.7125	0.912751677852349	0.7719298245614035	0.7719298245614035	0.7790697674418605	0.8480392156862745	0.8596491228070176	0.9296	0.8488888888888889
Medical Waste Incinerators--Background Information for Proposed Standards and Guidelines: Model Plant Description and Cost Report for New and Existing Facilities	0.8074534161490683	0.7950310559006211	0.782608695652174	0.8757763975155279	0.8571428571428571	0.8322981366459627	0.7888198757763976	0.8092485549132948	0.8012422360248447	0.7515527950310559	0.8633540372670807	0.8633540372670807	0.7888198757763976	0.8260869565217391	0.7950310559006211	0.9503105590062112	0.782608695652174	0.7754237288135594	0.8080808080808081	0.7639751552795031	0.7888198757763976	0.7701863354037267	0.7763975155279503	0.8881987577639752	0.8881987577639752	0.7752808988764045	0.7916666666666666	0.7763975155279503	0.7860824742268041	0.7888198757763976	0.8385093167701864	0.7577639751552795	0.6645962732919255	0.8210290827740492	0.8322981366459627	0.8385093167701864	0.8012422360248447	0.7794117647058824	0.9254658385093167	0.8384	0.8044444444444444
Mercury in fish, bed sediment, and water from streams across the United States 	0.8227848101265823	0.7058823529411765	0.7722772277227723	0.8481012658227848	0.7974683544303798	0.7848101265822784	0.7956989247311828	0.7514450867052023	0.756578947368421	0.7848101265822784	0.810126582278481	0.7974683544303798	0.8354430379746836	0.759493670886076	0.7950819672131147	0.9493670886075949	0.8163265306122449	0.809322033898305	0.8080808080808081	0.7833333333333333	0.751937984496124	0.7628865979381443	0.7348484848484849	0.8354430379746836	0.8354430379746836	0.7584269662921348	0.7857142857142857	0.8395061728395061	0.8556701030927835	0.7721518987341772	0.7848101265822784	0.8072289156626506	0.8375	0.883668903803132	0.7468354430379747	0.810126582278481	0.8488372093023255	0.7990196078431373	0.8860759493670886	0.9024	0.8355555555555556
National Industry Specific Occupational Employment and Wage Estimates	0.8783783783783784	0.7843137254901961	0.7722772277227723	0.8405797101449275	0.7971014492753623	0.8260869565217391	0.7741935483870968	0.8034682080924855	0.7828947368421053	0.8695652173913043	0.8115942028985508	0.8260869565217391	0.7532467532467533	0.7101449275362319	0.7868852459016393	0.927536231884058	0.7244897959183674	0.8220338983050848	0.7878787878787878	0.775	0.7751937984496124	0.7835051546391752	0.8106060606060606	0.7971014492753623	0.7971014492753623	0.7921348314606742	0.7916666666666666	0.8271604938271605	0.8788659793814433	0.8405797101449275	0.8260869565217391	0.7831325301204819	0.775	0.8948545861297539	0.7971014492753623	0.7971014492753623	0.813953488372093	0.8284313725490197	0.8985507246376812	0.9152	0.8488888888888889
National Industry Specific Occupational Employment and Wage Estimates	0.8783783783783784	0.7843137254901961	0.7722772277227723	0.8405797101449275	0.7971014492753623	0.8260869565217391	0.7741935483870968	0.8034682080924855	0.7828947368421053	0.8695652173913043	0.8115942028985508	0.8260869565217391	0.7532467532467533	0.7101449275362319	0.7868852459016393	0.927536231884058	0.7244897959183674	0.8220338983050848	0.7878787878787878	0.775	0.7751937984496124	0.7835051546391752	0.8106060606060606	0.7971014492753623	0.7971014492753623	0.7921348314606742	0.7916666666666666	0.8271604938271605	0.8788659793814433	0.8405797101449275	0.8260869565217391	0.7831325301204819	0.775	0.8948545861297539	0.7971014492753623	0.7971014492753623	0.813953488372093	0.8284313725490197	0.8985507246376812	0.9152	0.8488888888888889
OAQPS Control Cost Manual. Section 6: Particulate Matter Controls. Chapter 2: Wet Scrubbers for Particulate Matter.	0.7913043478260869	0.7908496732026143	0.7913043478260869	0.8260869565217391	0.8521739130434782	0.7913043478260869	0.8	0.7803468208092486	0.7697368421052632	0.7739130434782608	0.8260869565217391	0.808695652173913	0.782608695652174	0.8434782608695652	0.5491803278688525	0.9217391304347826	0.8260869565217391	0.7711864406779662	0.7929292929292929	0.825	0.8294573643410853	0.7304347826086957	0.8106060606060606	0.8869565217391304	0.8869565217391304	0.7752808988764045	0.7857142857142857	0.7652173913043478	0.8273195876288659	0.782608695652174	0.808695652173913	0.7304347826086957	0.782608695652174	0.8478747203579419	0.8173913043478261	0.808695652173913	0.782608695652174	0.8137254901960784	0.9217391304347826	0.88	0.8266666666666667
OAQPS Control cost manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction	0.7884615384615384	0.7843137254901961	0.8365384615384616	0.8365384615384616	0.8269230769230769	0.7980769230769231	0.8173076923076923	0.7745664739884393	0.7763157894736842	0.8173076923076923	0.8269230769230769	0.7788461538461539	0.7788461538461539	0.8173076923076923	0.16393442622950818	0.9326923076923077	0.8365384615384616	0.7966101694915254	0.8131313131313131	0.8333333333333334	0.813953488372093	0.7980769230769231	0.7878787878787878	0.8557692307692307	0.8557692307692307	0.7921348314606742	0.7976190476190477	0.7692307692307693	0.845360824742268	0.7884615384615384	0.7980769230769231	0.7403846153846154	0.7788461538461539	0.8590604026845637	0.7884615384615384	0.8365384615384616	0.8076923076923077	0.8186274509803921	0.9038461538461539	0.8912	0.8266666666666667
OAQPS Economic Analysis Resource Document	0.8108108108108109	0.8627450980392157	0.8415841584158416	0.8048780487804879	0.8048780487804879	0.7857142857142857	0.8279569892473119	0.861271676300578	0.8421052631578947	0.8125	0.8048780487804879	0.8536585365853658	0.8441558441558441	0.8604651162790697	0.7868852459016393	0.926829268292683	0.7653061224489796	0.8813559322033898	0.8737373737373737	0.8166666666666667	0.8527131782945736	0.8144329896907216	0.8560606060606061	0.8048780487804879	0.8048780487804879	0.8651685393258427	0.8511904761904762	0.7407407407407407	0.9252577319587629	0.8095238095238095	0.8333333333333334	0.8192771084337349	0.7875	0.9373601789709173	0.8604651162790697	0.8536585365853658	0.813953488372093	0.8823529411764706	0.8292682926829268	0.9472	0.9022222222222223
owest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available:Technical Support Document	0.784	0.7973856209150327	0.824	0.864	0.864	0.832	0.792	0.7976878612716763	0.7763157894736842	0.808	0.84	0.864	0.744	0.816	0.84	0.944	0.752	0.7669491525423728	0.3686868686868687	0.768	0.8294573643410853	0.8	0.7954545454545454	0.88	0.88	0.7415730337078652	0.75	0.72	0.8324742268041238	0.792	0.84	0.792	0.816	0.854586129753915	0.84	0.84	0.792	0.7892156862745098	0.928	0.8736	0.7866666666666666
Public Health Statement for Cadmium	0.7702702702702703	0.869281045751634	0.8118811881188119	0.8717948717948718	0.8	0.75	0.8387096774193549	0.8670520231213873	0.8421052631578947	0.78125	0.8857142857142857	0.8717948717948718	0.8181818181818182	0.813953488372093	0.8442622950819673	0.9142857142857143	0.8061224489795918	0.8898305084745762	0.8737373737373737	0.85	0.8527131782945736	0.8247422680412371	0.8560606060606061	0.8571428571428571	0.8571428571428571	0.8651685393258427	0.8630952380952381	0.7901234567901234	0.9252577319587629	0.7777777777777778	0.7916666666666666	0.8313253012048193	0.775	0.9373601789709173	0.813953488372093	0.8	0.8488372093023255	0.9019607843137255	0.9142857142857143	0.952	0.8977777777777778
Public Health Statement for Lead	0.7972972972972973	0.8823529411764706	0.8316831683168316	0.8205128205128205	0.84375	0.75	0.8279569892473119	0.8786127167630058	0.8486842105263158	0.796875	0.8529411764705882	0.7948717948717948	0.8181818181818182	0.7906976744186046	0.8524590163934426	0.90625	0.8061224489795918	0.8983050847457628	0.8787878787878788	0.8416666666666667	0.8449612403100775	0.8350515463917526	0.8560606060606061	0.90625	0.90625	0.8651685393258427	0.8690476190476191	0.8024691358024691	0.9304123711340206	0.7777777777777778	0.7916666666666666	0.8192771084337349	0.8	0.941834451901566	0.8372093023255814	0.8	0.8372093023255814	0.9068627450980392	0.90625	0.9552	0.9022222222222223
Review of EPA’s Integrated Science Assessment for Particulate Matter (First External Review Draft, December 2008)	0.7876106194690266	1.0	1.0	0.8407079646017699	0.831858407079646	1.0	0.8141592920353983	0.7803468208092486	0.7828947368421053	0.7787610619469026	0.831858407079646	0.8495575221238938	0.7610619469026548	0.7876106194690266	0.819672131147541	0.9380530973451328	0.8141592920353983	0.7627118644067796	0.7828282828282829	0.8166666666666667	1.0	0.8495575221238938	1.0	0.8672566371681416	0.8672566371681416	0.7528089887640449	0.7738095238095238	0.7876106194690266	0.8427835051546392	0.7787610619469026	0.831858407079646	0.7876106194690266	0.7787610619469026	0.8501118568232662	0.8141592920353983	0.8230088495575221	1.0	0.7941176470588235	0.911504424778761	0.88	0.8222222222222222
Review of EPA's Draft Health Benefits of the Second Section 812 Prospective Study of the Clean Air Act	0.7254901960784313	0.7189542483660131	0.8725490196078431	0.8235294117647058	0.8137254901960784	0.7941176470588235	0.7941176470588235	0.7572254335260116	0.6907894736842105	0.7647058823529411	0.8137254901960784	0.8235294117647058	0.7647058823529411	0.8137254901960784	0.7786885245901639	0.9509803921568627	0.803921568627451	0.7669491525423728	0.7878787878787878	0.7833333333333333	0.7984496124031008	0.8529411764705882	0.7424242424242424	0.8823529411764706	0.8823529411764706	0.7584269662921348	0.7857142857142857	0.7352941176470589	0.8479381443298969	0.7647058823529411	0.7843137254901961	0.7941176470588235	0.7745098039215687	0.8657718120805369	0.7843137254901961	0.8235294117647058	0.8235294117647058	0.7941176470588235	0.9117647058823529	0.8864	0.8266666666666667
Review of EPA's Integrated Science Assesment for Particulate Matter (First External Review Draft, December 2008).	0.7876106194690266	0.7908496732026143	0.7964601769911505	0.831858407079646	0.8230088495575221	0.8141592920353983	0.7964601769911505	0.7745664739884393	0.7828947368421053	0.7610619469026548	0.831858407079646	0.8407079646017699	0.7522123893805309	0.7787610619469026	0.819672131147541	0.9203539823008849	0.7964601769911505	0.7669491525423728	0.7929292929292929	0.825	0.813953488372093	0.8407079646017699	0.7272727272727273	0.8672566371681416	0.8672566371681416	0.7584269662921348	0.7738095238095238	0.7787610619469026	0.8427835051546392	0.7787610619469026	0.8230088495575221	0.7787610619469026	0.7787610619469026	0.8478747203579419	0.8141592920353983	0.8230088495575221	0.7610619469026548	0.7941176470588235	0.911504424778761	0.88	0.8222222222222222
Review of Integrated Science Assessment for Particulate Matter (Second External Review Draft, July 2009).	0.780952380952381	0.7843137254901961	0.8380952380952381	0.819047619047619	0.8	0.8095238095238095	0.8095238095238095	0.7687861271676301	0.756578947368421	0.7523809523809524	0.819047619047619	0.8380952380952381	0.7523809523809524	0.7523809523809524	0.7868852459016393	0.9047619047619048	0.780952380952381	0.7796610169491526	0.7777777777777778	0.7916666666666666	0.8062015503875969	0.8476190476190476	0.7272727272727273	0.8571428571428571	0.8571428571428571	0.7752808988764045	0.8035714285714286	0.7714285714285715	0.8505154639175257	0.7619047619047619	0.819047619047619	0.8	0.780952380952381	0.8635346756152126	0.8095238095238095	0.8285714285714286	0.7619047619047619	0.7941176470588235	0.9142857142857143	0.888	0.8088888888888889
SAB Advisory on EPA’s Issues in Valuing Mortality Risk Reduction	0.6891891891891891	1.0	1.0	0.8125	0.765625	1.0	0.7956989247311828	0.815028901734104	0.7960526315789473	0.84375	0.765625	0.78125	0.8051948051948052	0.796875	0.7459016393442623	0.921875	0.7551020408163265	0.8347457627118644	0.8181818181818182	0.775	1.0	0.7525773195876289	1.0	0.8125	0.8125	0.8033707865168539	0.7976190476190477	0.8271604938271605	0.8865979381443299	0.859375	0.8125	0.7469879518072289	0.8125	0.9038031319910514	0.78125	0.828125	1.0	0.8431372549019608	0.84375	0.9264	0.8444444444444444
Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document	0.7450980392156863	0.8104575163398693	0.7843137254901961	0.8300653594771242	0.8627450980392157	0.8169934640522876	0.7908496732026143	0.791907514450867	0.8235294117647058	0.8169934640522876	0.8562091503267973	0.869281045751634	0.7777777777777778	0.8366013071895425	0.7908496732026143	0.9477124183006536	0.7777777777777778	0.3516949152542373	0.797979797979798	0.7908496732026143	0.7973856209150327	0.7647058823529411	0.7516339869281046	0.9150326797385621	0.9150326797385621	0.7584269662921348	0.8392857142857143	0.7647058823529411	0.8067010309278351	0.7908496732026143	0.8235294117647058	0.7712418300653595	0.7973856209150327	0.8277404921700223	0.8300653594771242	0.8431372549019608	0.803921568627451	0.8235294117647058	0.934640522875817	0.848	0.7866666666666666
Targeted National Sewage Sludge Survey Report	0.7702702702702703	0.8496732026143791	0.801980198019802	0.8222222222222222	0.8444444444444444	0.7857142857142857	0.8279569892473119	0.815028901734104	0.8355263157894737	0.828125	0.7555555555555555	0.8222222222222222	0.7922077922077922	0.9111111111111111	0.819672131147541	0.8888888888888888	0.8061224489795918	0.8728813559322034	0.8686868686868687	0.825	0.8062015503875969	0.7938144329896907	0.8257575757575758	0.8222222222222222	0.8222222222222222	0.8426966292134831	0.8392857142857143	0.7901234567901234	0.9097938144329897	0.7936507936507936	0.8333333333333334	0.7710843373493976	0.8125	0.9284116331096197	0.8888888888888888	0.8666666666666667	0.7325581395348837	0.8725490196078431	0.8222222222222222	0.9424	0.8844444444444445
Technical Support Document: Social Cost of Carbon for Regulatory Impact Analysis Under Executive Order , Docket ID EPA-HQ-OAR-2009-0472-114577, 12866	0.8389261744966443	0.8496732026143791	0.7785234899328859	0.8523489932885906	0.8657718120805369	0.8456375838926175	0.8053691275167785	0.815028901734104	0.8486842105263158	0.7986577181208053	0.8657718120805369	0.8926174496644296	0.825503355704698	0.8590604026845637	0.8187919463087249	0.9060402684563759	0.7516778523489933	0.8050847457627118	0.8080808080808081	0.8187919463087249	0.8322147651006712	0.8187919463087249	0.7785234899328859	0.8187919463087249	0.8187919463087249	0.8033707865168539	0.8214285714285714	0.7583892617449665	0.7938144329896907	0.7986577181208053	0.8590604026845637	0.7986577181208053	0.8053691275167785	0.8501118568232662	0.8523489932885906	0.8791946308724832	0.8389261744966443	0.8088235294117647	0.9395973154362416	0.88	0.8222222222222222
ToxFAQs for Chlorinated Dibenzo-p-dioxins	0.8243243243243243	0.8431372549019608	0.8217821782178217	0.8536585365853658	0.8780487804878049	0.8035714285714286	0.8064516129032258	0.8554913294797688	0.8486842105263158	0.828125	0.8780487804878049	0.8780487804878049	0.8441558441558441	0.813953488372093	0.8360655737704918	0.926829268292683	0.8163265306122449	0.8813559322033898	0.8787878787878788	0.8333333333333334	0.8527131782945736	0.8247422680412371	0.8484848484848485	0.8536585365853658	0.8536585365853658	0.8764044943820225	0.8690476190476191	0.7654320987654321	0.9304123711340206	0.8412698412698413	0.8125	0.8313253012048193	0.7875	0.9351230425055929	0.8372093023255814	0.9024390243902439	0.8604651162790697	0.8774509803921569	0.8780487804878049	0.952	0.9111111111111111
ToxFAQs for Chlorodibenzofurans	0.8648648648648649	0.8758169934640523	0.8811881188118812	0.8205128205128205	0.9375	0.8392857142857143	0.8494623655913979	0.8901734104046243	0.875	0.828125	0.9117647058823529	0.8461538461538461	0.8441558441558441	0.7674418604651163	0.8770491803278688	0.9354838709677419	0.826530612244898	0.9110169491525424	0.8939393939393939	0.85	0.8914728682170543	0.8556701030927835	0.8787878787878788	0.9032258064516129	0.9032258064516129	0.8932584269662921	0.8869047619047619	0.7901234567901234	0.9432989690721649	0.8412698412698413	0.8125	0.8674698795180723	0.85	0.9507829977628636	0.813953488372093	0.925	0.8837209302325582	0.9019607843137255	0.9032258064516129	0.96	0.92
Dust Disposal Cost, 2005 Tip Fee Survey	0.8513513513513513	0.8758169934640523	0.8217821782178217	0.8461538461538461	0.8461538461538461	0.8392857142857143	0.8279569892473119	0.8728323699421965	0.875	0.78125	0.8205128205128205	0.9230769230769231	0.8441558441558441	0.8604651162790697	0.8524590163934426	0.9230769230769231	0.8367346938775511	0.885593220338983	0.8939393939393939	0.85	0.8449612403100775	0.8041237113402062	0.8484848484848485	0.8974358974358975	0.8974358974358975	0.8764044943820225	0.8928571428571429	0.8148148148148148	0.9304123711340206	0.8412698412698413	0.8125	0.8072289156626506	0.85	0.9373601789709173	0.9069767441860465	0.9	0.6976744186046512	0.9019607843137255	0.8461538461538461	0.9536	0.8933333333333333
Expanded Expert Judgement Assessment of the Concentration-Response Relationship between PM2.5 Exposure and Mortality	0.8103448275862069	0.7843137254901961	0.8017241379310345	0.8620689655172413	0.8275862068965517	0.8275862068965517	0.8189655172413793	0.7803468208092486	0.756578947368421	0.7931034482758621	0.8275862068965517	0.8362068965517241	0.7672413793103449	0.8275862068965517	0.860655737704918	0.9396551724137931	0.8017241379310345	0.711864406779661	0.7828282828282829	0.85	0.8062015503875969	0.8017241379310345	0.6439393939393939	0.896551724137931	0.896551724137931	0.7640449438202247	0.7857142857142857	0.75	0.8298969072164949	0.7758620689655172	0.8017241379310345	0.75	0.7844827586206896	0.8478747203579419	0.8103448275862069	0.8189655172413793	0.8275862068965517	0.7990196078431373	0.9051724137931034	0.8736	0.8177777777777778
Extended follow-up and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality.	0.744	0.7516339869281046	0.792	0.824	0.84	0.824	0.752	0.791907514450867	0.6710526315789473	0.768	0.848	0.816	0.744	0.816	0.8	0.952	0.744	0.7669491525423728	0.7676767676767676	0.784	0.8604651162790697	0.656	0.7727272727272727	0.872	0.872	0.7640449438202247	0.75	0.688	0.8118556701030928	0.76	0.8	0.776	0.728	0.8389261744966443	0.824	0.824	0.784	0.7647058823529411	0.92	0.856	0.7822222222222223
Revised Secondary Environmental and Energy Impacts for New HMIWI EPA Contract No. EP-D-06-118; Work Assignment No. 3-09; SPPD No. 02/30 RTI Project No. 0210426.003.009	0.8383233532934131	0.8383233532934131	0.8083832335329342	0.874251497005988	0.8383233532934131	0.8682634730538922	0.7844311377245509	0.8497109826589595	0.8502994011976048	0.8023952095808383	0.8982035928143712	0.8982035928143712	0.7904191616766467	0.8622754491017964	0.7964071856287425	0.8982035928143712	0.7844311377245509	0.8177966101694916	0.8434343434343434	0.8023952095808383	0.7544910179640718	0.7964071856287425	0.7964071856287425	0.8862275449101796	0.8862275449101796	0.8539325842696629	0.8869047619047619	0.8083832335329342	0.8324742268041238	0.8323353293413174	0.8383233532934131	0.8143712574850299	0.8023952095808383	0.843400447427293	0.8622754491017964	0.8862275449101796	0.844311377245509	0.8333333333333334	0.9281437125748503	0.8752	0.8355555555555556
A Comparison of Fluid Bed and Multiple Hearth Biosolids Incineration	0.7297297297297297	0.7712418300653595	0.8118811881188119	0.7941176470588235	0.8088235294117647	0.8088235294117647	0.7849462365591398	0.7861271676300579	0.7828947368421053	0.8088235294117647	0.7941176470588235	0.7794117647058824	0.8311688311688312	0.7941176470588235	0.7540983606557377	0.9411764705882353	0.8061224489795918	0.826271186440678	0.8131313131313131	0.7833333333333333	0.7984496124031008	0.7525773195876289	0.7878787878787878	0.8529411764705882	0.8529411764705882	0.8033707865168539	0.8035714285714286	0.8024691358024691	0.8685567010309279	0.8529411764705882	0.7794117647058824	0.8072289156626506	0.825	0.8948545861297539	0.7352941176470589	0.8088235294117647	0.8255813953488372	0.8333333333333334	0.8676470588235294	0.9136	0.8266666666666667
Analysis of beyond the Maximum Achievable Control Technology (MACT) Floor Controls for Existing SSI Units	0.7619047619047619	0.7777777777777778	0.8761904761904762	0.8476190476190476	0.8285714285714286	0.819047619047619	0.8285714285714286	0.7630057803468208	0.7697368421052632	0.6761904761904762	0.8380952380952381	0.8571428571428571	0.8	0.8285714285714286	0.8278688524590164	0.9428571428571428	0.8666666666666667	0.7711864406779662	0.8080808080808081	0.825	0.7984496124031008	0.8666666666666667	0.7878787878787878	0.8761904761904762	0.8761904761904762	0.7528089887640449	0.7738095238095238	0.7904761904761904	0.8350515463917526	0.7904761904761904	0.7904761904761904	0.7904761904761904	0.8095238095238095	0.87248322147651	0.819047619047619	0.8285714285714286	0.819047619047619	0.8137254901960784	0.9047619047619048	0.8896	0.8133333333333334
Cost and Emissions Reduction of Complying with the MACT Floor for Existing SSI Units.	0.8117647058823529	0.7712418300653595	0.8316831683168316	0.8235294117647058	0.8235294117647058	0.788235294117647	0.8064516129032258	0.7745664739884393	0.7368421052631579	0.6823529411764706	0.8	0.8235294117647058	0.7764705882352941	0.8	0.7622950819672131	0.9294117647058824	0.826530612244898	0.8050847457627118	0.7878787878787878	0.8	0.7984496124031008	0.7938144329896907	0.7424242424242424	0.8352941176470589	0.8352941176470589	0.7808988764044944	0.7976190476190477	0.8117647058823529	0.8582474226804123	0.8	0.7411764705882353	0.8588235294117647	0.8117647058823529	0.8747203579418344	0.788235294117647	0.8	0.8837209302325582	0.8186274509803921	0.8705882352941177	0.904	0.8266666666666667
Costs of CO CEMS	0.9054054054054054	0.934640522875817	0.900990099009901	0.8205128205128205	0.84375	0.8571428571428571	0.9032258064516129	0.9364161849710982	0.9407894736842105	0.828125	0.8529411764705882	0.8461538461538461	0.8961038961038961	0.8837209302325582	0.9098360655737705	0.9285714285714286	0.9081632653061225	0.9491525423728814	0.9444444444444444	0.9166666666666666	0.9224806201550387	0.9175257731958762	0.9242424242424242	0.8888888888888888	0.8888888888888888	0.9382022471910112	0.9404761904761905	0.8888888888888888	0.961340206185567	0.8888888888888888	0.8333333333333334	0.8795180722891566	0.9	0.9731543624161074	0.8604651162790697	0.85	0.9186046511627907	0.9509803921568627	0.7894736842105263	0.984	0.96
