"Journal Data Filtered By:  Selected JCR Year: 2013 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,5-Year Impact Factor,Citable Items,,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,"16,130",162.500,107.740,25,,0.060300
2,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,"257,469",54.420,52.426,348,,0.657970
3,CHEMICAL REVIEWS,0009-2665,"124,463",45.661,48.832,207,,0.217410
4,REVIEWS OF MODERN PHYSICS,0034-6861,"37,647",42.860,52.577,45,,0.128640
5,NATURE,0028-0836,"590,324",42.351,40.783,857,,1.603050
6,Annual Review of Immunology,0732-0582,"16,653",41.392,46.174,24,,0.047850
7,NATURE REVIEWS GENETICS,1471-0056,"26,358",39.794,40.274,68,,0.126960
8,LANCET,0140-6736,"176,528",39.207,39.315,276,,0.380610
9,NATURE BIOTECHNOLOGY,1087-0156,"42,156",39.080,35.620,93,,0.143950
10,NATURE REVIEWS CANCER,1474-175X,"36,052",37.912,41.706,66,,0.112070
11,NATURE REVIEWS DRUG DISCOVERY,1474-1776,"21,454",37.231,35.436,44,,0.063180
12,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,"34,124",36.458,42.584,64,,0.133740
13,NATURE MATERIALS,1476-1122,"54,962",36.425,41.775,151,,0.200200
14,NATURE REVIEWS IMMUNOLOGY,1474-1733,"27,024",33.836,37.762,65,,0.103390
15,Nature Nanotechnology,1748-3387,"27,858",33.265,38.586,128,,0.156810
16,CELL,0092-8674,"191,226",33.116,35.020,432,,0.599500
17,SCIENCE,0036-8075,"537,035",31.477,34.463,841,,1.275030
18,NATURE REVIEWS NEUROSCIENCE,1471-003X,"30,120",31.376,37.472,62,,0.088870
19,CHEMICAL SOCIETY REVIEWS,0306-0012,"63,071",30.425,33.159,432,,0.213700
20,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,"124,822",30.387,29.914,221,,0.250830
21,Nature Photonics,1749-4885,"18,623",29.958,32.342,139,,0.118700
22,NATURE GENETICS,1061-4036,"81,548",29.648,32.138,212,,0.275660
23,PHYSIOLOGICAL REVIEWS,0031-9333,"23,974",29.041,35.456,35,,0.041610
24,NATURE MEDICINE,1078-8956,"60,002",28.054,26.501,175,,0.162920
25,PROGRESS IN POLYMER SCIENCE,0079-6700,"17,446",26.854,34.000,61,,0.030560
26,Annual Review of Biochemistry,0066-4154,"20,070",26.534,32.970,28,,0.049780
27,NATURE METHODS,1548-7091,"24,560",25.953,27.195,155,,0.153040
28,PROGRESS IN MATERIALS SCIENCE,0079-6425,"6,903",25.870,25.897,25,,0.015050
29,NATURE IMMUNOLOGY,1529-2908,"34,765",24.973,25.566,136,,0.142600
30,LANCET ONCOLOGY,1470-2045,"20,565",24.725,24.229,163,,0.093110
31,SURFACE SCIENCE REPORTS,0167-5729,"4,410",24.562,25.642,9,,0.008280
32,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,"47,005",24.348,26.002,279,,0.111670
33,Annual Review of Astronomy and Astrophysics,0066-4146,"8,312",24.037,31.423,12,,0.022460
34,CANCER CELL,1535-6108,"24,929",23.893,27.238,108,,0.114930
35,NATURE REVIEWS MICROBIOLOGY,1740-1526,"16,774",23.317,25.640,72,,0.068860
36,Nature Chemistry,1755-4330,"12,440",23.297,24.537,129,,0.072060
37,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,"21,386",22.910,25.010,48,,0.039430
38,Annual Review of Neuroscience,0147-006X,"13,345",22.660,28.613,24,,0.027760
39,Cell Stem Cell,1934-5909,"15,492",22.151,25.911,113,,0.117630
40,Annual Review of Pathology-Mechanisms of Disease,1553-4006,"2,767",22.128,21.918,18,,0.014400
41,LANCET NEUROLOGY,1474-4422,"17,534",21.823,24.075,93,,0.067120
42,TRENDS IN COGNITIVE SCIENCES,1364-6613,"18,076",21.147,18.920,60,,0.043750
42,TRENDS IN COGNITIVE SCIENCES,1364-6613,"18,076",21.147,18.920,60,,0.043750
44,Nature Physics,1745-2473,"20,321",20.603,20.059,122,,0.173180
45,Annual Review of Psychology,0066-4308,"11,810",20.533,25.106,20,,0.024470
45,Annual Review of Psychology,0066-4308,"11,810",20.533,25.106,20,,0.024470
47,Annual Review of Cell and Developmental Biology,1081-0706,"9,224",20.241,19.672,22,,0.024830
48,NATURE CELL BIOLOGY,1465-7392,"34,482",20.058,21.241,139,,0.142730
49,IMMUNITY,1074-7613,"34,787",19.748,20.948,182,,0.140250
50,LANCET INFECTIOUS DISEASES,1473-3099,"11,710",19.446,18.279,84,,0.040210
51,ENDOCRINE REVIEWS,0163-769X,"13,623",19.358,24.124,25,,0.020710
52,Annual Review of Plant Biology,1543-5008,"15,228",18.900,32.189,33,,0.025570
53,PHARMACOLOGICAL REVIEWS,0031-6997,"11,069",18.551,22.472,35,,0.017060
54,Annual Review of Pharmacology and Toxicology,0362-1642,"7,373",18.523,19.845,26,,0.012110
55,Nano Today,1748-0132,"3,855",18.432,19.202,41,,0.014650
56,Annual Review of Genetics,0066-4197,"7,015",18.115,22.113,26,,0.024940
57,ADVANCES IN PHYSICS,0001-8732,"5,026",18.062,27.921,5,,0.010190
