"Journal Data Filtered By:  Selected JCR Year: 2008 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,Citable Items,Eigenfactor Score,
70,TRENDS IN CELL BIOLOGY,0962-8924,"9,681",13.385,79,0.068420,
71,LANCET ONCOLOGY,1470-2045,"6,586",13.283,105,0.035100,
72,LANCET INFECTIOUS DISEASES,1473-3099,"5,170",13.165,50,0.031980,
73,Materials Today,1369-7021,"2,174",12.929,45,0.018560,
74,MOLECULAR CELL,1097-2765,"33,963",12.903,298,0.285020,
75,DEVELOPMENTAL CELL,1534-5807,"12,421",12.882,149,0.139840,
76,BRITISH MEDICAL JOURNAL,0959-8146,"68,464",12.827,281,0.159450,
77,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"5,274",12.818,12,0.011730,
77,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"5,274",12.818,12,0.011730,
79,TRENDS IN NEUROSCIENCES,0166-2236,"16,147",12.817,80,0.063250,
80,SURFACE SCIENCE REPORTS,0167-5729,"3,142",12.808,14,0.011260,
81,ANNUAL REVIEW OF GENETICS,0066-4197,"5,010",12.780,29,0.026120,
82,PLOS BIOLOGY,1544-9173,"12,186",12.683,212,0.154650,
83,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,"3,435",12.619,16,0.011070,
84,GASTROENTEROLOGY,0016-5085,"54,263",12.591,353,0.155170,
85,PSYCHOLOGICAL BULLETIN,0033-2909,"22,965",12.568,38,0.034530,
85,PSYCHOLOGICAL BULLETIN,0033-2909,"22,965",12.568,38,0.034530,
87,CURRENT OPINION IN CELL BIOLOGY,0955-0674,"12,753",12.543,93,0.080280,
88,MOLECULAR PSYCHIATRY,1359-4184,"9,464",12.537,93,0.046120,
89,Molecular Systems Biology,1744-4292,"1,741",12.243,65,0.019510,
90,QUARTERLY REVIEWS OF BIOPHYSICS,0033-5835,"2,047",12.188,7,0.006960,
91,PLOS MEDICINE,1549-1277,"6,075",12.185,133,0.057420,
92,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,"26,252",12.176,167,0.072750,
93,EPIDEMIOLOGIC REVIEWS,0193-936X,"2,061",12.130,10,0.004540,
94,REPORTS ON PROGRESS IN PHYSICS,0034-4885,"7,491",12.090,34,0.032870,
