"Journal Data Filtered By:  Selected JCR Year: 2010 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,5-Year Impact Factor,Citable Items,,Eigenfactor Score
68,ECOLOGY LETTERS,1461-023X,"12,913",15.253,14.261,81,,0.066190
69,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,0067-0049,"21,079",15.206,12.619,125,,0.091590
70,Annual Review of Marine Science,1941-1405,344,15.000,15.000,17,,0.002880
71,JOURNAL OF EXPERIMENTAL MEDICINE,0022-1007,"68,749",14.776,15.700,242,,0.220220
72,JOURNAL OF THE NATIONAL CANCER INSTITUTE,0027-8874,"36,187",14.697,15.371,135,,0.087190
73,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,"21,179",14.448,17.735,75,,0.059350
74,CIRCULATION,0009-7322,"151,045",14.432,14.932,549,,0.363900
75,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,"69,411",14.293,13.091,456,,0.210980
76,MOLECULAR CELL,1097-2765,"42,991",14.194,14.447,304,,0.262900
77,NATURE NEUROSCIENCE,1097-6256,"35,315",14.191,16.190,208,,0.176080
78,JOURNAL OF CLINICAL INVESTIGATION,0021-9738,"90,822",14.152,16.641,366,,0.237230
79,Annual Review of Cell and Developmental Biology,1081-0706,"8,414",14.078,22.924,28,,0.033850
80,NEURON,0896-6273,"59,932",14.027,14.927,302,,0.237460
81,DEVELOPMENTAL CELL,1534-5807,"16,739",13.946,14.240,155,,0.120820
82,REPORTS ON PROGRESS IN PHYSICS,0034-4885,"8,577",13.857,14.378,46,,0.032150
83,Cell Host & Microbe,1931-3128,"3,478",13.728,13.623,89,,0.031520
84,NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9985,"21,255",13.685,12.481,212,,0.126450
85,GENOME RESEARCH,1088-9051,"24,166",13.588,11.971,170,,0.125880
86,ADVANCED DRUG DELIVERY REVIEWS,0169-409X,"17,985",13.577,13.923,113,,0.041760
87,CURRENT OPINION IN CELL BIOLOGY,0955-0674,"13,739",13.540,13.290,114,,0.068260
88,CLINICAL MICROBIOLOGY REVIEWS,0893-8512,"10,738",13.500,18.960,35,,0.022010
89,BRITISH MEDICAL JOURNAL,0959-535X,"72,217",13.471,11.935,308,,0.142500
90,IMMUNOLOGICAL REVIEWS,0105-2896,"12,233",13.462,11.968,110,,0.061170
91,Journal of Molecular Cell Biology,1674-2788,108,13.400,13.800,28,,0.000440
92,TRENDS IN NEUROSCIENCES,0166-2236,"17,347",13.320,14.358,62,,0.050900
93,GENES & DEVELOPMENT,0890-9369,"56,715",12.889,13.892,259,,0.236570
94,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"42,134",12.759,11.865,119,,0.078490
94,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"42,134",12.759,11.865,119,,0.078490
96,FRONTIERS IN NEUROENDOCRINOLOGY,0091-3022,"2,595",12.750,12.067,34,,0.007950
97,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,"178,613",12.730,12.050,"1,652",,0.530310
98,Living Reviews in Relativity,1433-8351,"1,093",12.625,Not Available,7,,0.005580
99,PLOS BIOLOGY,1544-9173,"18,454",12.472,14.376,214,,0.159930
100,ANNUAL REVIEW OF MEDICINE,0066-4219,"4,518",12.457,10.887,31,,0.013840
101,Annual Review of Microbiology,0066-4227,"7,240",12.415,14.913,29,,0.018120
102,DRUG RESISTANCE UPDATES,1368-7646,"1,727",12.312,9.366,18,,0.005070
103,Annual Review of Physical Chemistry,0066-426X,"5,844",12.245,15.711,22,,0.016260
104,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,"7,837",12.220,16.421,26,,0.021420
105,NANO LETTERS,1530-6984,"61,066",12.219,12.832,855,,0.316920
106,ANNUAL REVIEW OF ENTOMOLOGY,0066-4170,"7,833",12.180,14.180,31,,0.012460
107,TRENDS IN CELL BIOLOGY,0962-8924,"10,653",12.140,12.997,80,,0.052600
108,GASTROENTEROLOGY,0016-5085,"56,845",12.032,12.403,402,,0.150800
109,PSYCHOLOGICAL BULLETIN,0033-2909,"27,172",11.975,17.955,39,,0.031500
109,PSYCHOLOGICAL BULLETIN,0033-2909,"27,172",11.975,17.955,39,,0.031500
111,FEMS MICROBIOLOGY REVIEWS,0168-6445,"6,483",11.796,11.152,45,,0.018860
112,ALDRICHIMICA ACTA,0002-5100,969,11.786,14.000,5,,0.003380
113,Nano Today,1748-0132,"1,279",11.750,13.396,37,,0.008290
114,AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,"35,810",11.680,12.265,190,,0.120160
115,TRENDS IN GENETICS,0168-9525,"11,169",11.364,9.306,67,,0.044300
116,QUARTERLY REVIEWS OF BIOPHYSICS,0033-5835,"2,192",11.235,11.385,12,,0.006470
117,TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,"10,168",11.050,10.254,73,,0.030890
118,Annual Review of Biomedical Engineering,1523-9829,"2,764",11.000,16.895,16,,0.008210
119,HEPATOLOGY,0270-9139,"44,006",10.885,11.044,403,,0.116510
120,ADVANCED MATERIALS,0935-9648,"68,115",10.880,11.306,777,,0.242450
121,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,"1,326",10.810,10.271,9,,0.003520
122,Nature Reviews Clinical Oncology,1759-4774,649,10.787,10.787,62,,0.003880
123,ARCHIVES OF GENERAL PSYCHIATRY,0003-990X,"34,536",10.782,15.618,126,,0.073300
123,ARCHIVES OF GENERAL PSYCHIATRY,0003-990X,"34,536",10.782,15.618,126,,0.073300
125,ANNALS OF NEUROLOGY,0364-5134,"30,338",10.746,10.132,192,,0.072540
126,Annual Review of Ecology Evolution and Systematics,1543-592X,"13,301",10.698,17.007,18,,0.022690
127,ARCHIVES OF INTERNAL MEDICINE,0003-9926,"36,978",10.639,10.392,204,,0.110930
128,GUT,0017-5749,"28,647",10.614,9.825,189,,0.066390
129,BLOOD,0006-4971,"135,857",10.558,10.075,"1,280",,0.451310
130,MOLECULAR ASPECTS OF MEDICINE,0098-2997,"2,416",10.552,10.546,34,,0.008890
131,Annual Review of Phytopathology,0066-4286,"4,687",10.412,13.438,22,,0.009360
132,Annual Review of Analytical Chemistry,1936-1327,549,10.404,10.404,20,,0.004010
133,Nature Geoscience,1752-0894,"3,166",10.392,10.448,134,,0.034040
134,PROGRESS IN SURFACE SCIENCE,0079-6816,"1,827",10.368,9.793,10,,0.005340
135,TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,"14,872",10.364,12.702,84,,0.047810
136,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,"3,370",10.362,13.101,20,,0.007490
137,PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,"3,143",10.340,10.307,32,,0.009230
138,Annual Review of Materials Research,1531-7331,"4,668",10.333,10.561,22,,0.009900
139,TRENDS IN MOLECULAR MEDICINE,1471-4914,"5,365",10.308,9.187,61,,0.023700
140,MEDICINAL RESEARCH REVIEWS,0198-6325,"2,903",10.228,8.621,24,,0.006460
141,ANNUAL REVIEW OF FLUID MECHANICS,0066-4189,"5,982",10.216,12.648,23,,0.013650
142,REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY,0303-4240,965,10.200,4.610,0,,0.001520
143,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,"44,997",10.191,10.019,310,,0.106760
144,CURRENT OPINION IN IMMUNOLOGY,0952-7915,"8,525",10.141,9.344,109,,0.039690
145,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,1040-9238,"2,538",10.125,10.253,31,,0.010530
146,EMBO JOURNAL,0261-4189,"76,014",10.124,9.369,329,,0.206320
147,TRENDS IN PLANT SCIENCE,1360-1385,"11,060",10.095,10.736,84,,0.033310
148,EUROPEAN HEART JOURNAL,0195-668X,"26,318",10.052,10.085,275,,0.104600
149,CURRENT BIOLOGY,0960-9822,"39,883",10.026,11.436,366,,0.206640
150,COORDINATION CHEMISTRY REVIEWS,0010-8545,"22,286",10.018,11.530,159,,0.044810
151,PROGRESS IN NEUROBIOLOGY,0301-0082,"9,720",9.966,11.370,84,,0.021140
152,JOURNAL OF CELL BIOLOGY,0021-9525,"72,566",9.921,10.123,334,,0.209300
153,CURRENT OPINION IN STRUCTURAL BIOLOGY,0959-440X,"9,829",9.903,9.650,90,,0.043450
154,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,0304-419X,"2,791",9.886,10.440,49,,0.011540
155,ACS Nano,1936-0851,"9,914",9.865,9.962,986,,0.055750
156,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,"482,699",9.771,10.591,"3,764",,1.659170
157,Annual Review of Clinical Psychology,1548-5943,"1,126",9.743,11.837,25,,0.008460
157,Annual Review of Clinical Psychology,1548-5943,"1,126",9.743,11.837,25,,0.008460
159,Advances in Organometallic Chemistry,0065-3055,"1,035",9.692,7.867,2,,0.001450
160,TRENDS IN COGNITIVE SCIENCES,1364-6613,"11,991",9.686,14.015,61,,0.048770
160,TRENDS IN COGNITIVE SCIENCES,1364-6613,"11,991",9.686,14.015,61,,0.048770
162,Molecular Systems Biology,1744-4292,"3,877",9.667,13.327,102,,0.032330
163,EUROPEAN CELLS & MATERIALS,1473-2262,"1,005",9.650,Not Available,61,,0.002970
164,TRENDS IN BIOTECHNOLOGY,0167-7799,"9,026",9.644,9.351,74,,0.023570
165,PLoS Genetics,1553-7390,"13,327",9.543,10.054,458,,0.147200
166,REVIEWS OF GEOPHYSICS,8755-1209,"5,972",9.538,11.440,17,,0.011430
167,TRENDS IN IMMUNOLOGY,1471-4906,"7,147",9.533,8.851,61,,0.031080
168,SYSTEMATIC BIOLOGY,1063-5157,"9,559",9.532,11.159,52,,0.026580
169,PROGRESS IN LIPID RESEARCH,0163-7827,"3,265",9.510,11.663,34,,0.007890
170,CIRCULATION RESEARCH,0009-7330,"42,346",9.504,10.190,322,,0.110490
171,Energy & Environmental Science,1754-5692,"1,766",9.488,9.488,198,,0.009410
172,CURRENT OPINION IN PLANT BIOLOGY,1369-5266,"8,278",9.437,9.935,99,,0.032790
173,CELL RESEARCH,1001-0602,"4,243",9.417,6.992,96,,0.026900
174,PLANT CELL,1040-4651,"34,533",9.396,10.648,272,,0.100390
175,EJC SUPPLEMENTS,1359-6349,"1,474",9.386,3.821,2,,0.006630
176,CURRENT OPINION IN GENETICS & DEVELOPMENT,0959-437X,"7,985",9.381,9.258,93,,0.037320
177,JOURNAL OF HEPATOLOGY,0168-8278,"18,481",9.334,7.404,236,,0.053430
178,Energy Education Science and Technology,1301-8361,555,9.333,Not Available,34,,0.000840
179,CURRENT OPINION IN CHEMICAL BIOLOGY,1367-5931,"7,802",9.312,9.185,100,,0.027580
179,Laser & Photonics Reviews,1863-8880,789,9.312,8.872,45,,0.006320
181,BRIEFINGS IN BIOINFORMATICS,1467-5463,"2,886",9.283,7.395,49,,0.010090
182,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,"31,780",9.273,8.691,336,,0.079280
183,BRAIN,0006-8950,"35,378",9.232,10.143,283,,0.099450
184,Nature Reviews Endocrinology,1759-5029,508,9.191,9.191,58,,0.003270
185,MASS SPECTROMETRY REVIEWS,0277-7037,"3,424",9.091,11.534,36,,0.012860
186,ANNALS OF THE RHEUMATIC DISEASES,0003-4967,"22,172",9.082,7.551,386,,0.065160
187,PLoS Pathogens,1553-7366,"10,833",9.079,9.675,520,,0.083010
188,CELL DEATH AND DIFFERENTIATION,1350-9047,"12,873",9.050,8.674,174,,0.061050
189,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863,"369,216",9.023,8.981,"3,139",,0.863670
190,CANADIAN MEDICAL ASSOCIATION JOURNAL,0820-3946,"10,718",9.015,8.069,123,,0.029360
190,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,0149-7634,"10,008",9.015,10.240,133,,0.030530
192,AGEING RESEARCH REVIEWS,1568-1637,"1,542",9.000,7.868,54,,0.005650
192,INTERNATIONAL REVIEW OF CYTOLOGY-A SURVEY OF CELL BIOLOGY,0074-7696,"3,523",9.000,6.015,0,,0.006070
194,LEUKEMIA,0887-6924,"16,938",8.966,7.761,188,,0.064220
195,DIABETES,0012-1797,"43,893",8.889,8.484,366,,0.124100
196,NATURAL PRODUCT REPORTS,0265-0568,"4,775",8.881,8.865,74,,0.013720
197,EUROPEAN UROLOGY,0302-2838,"13,748",8.843,6.633,216,,0.046910
198,BRAIN RESEARCH REVIEWS,0165-0173,"8,556",8.842,8.137,45,,0.024800
199,EMBO Molecular Medicine,1757-4676,324,8.833,8.833,36,,0.002280
200,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,"2,994",8.820,7.931,55,,0.015920
201,HUMAN REPRODUCTION UPDATE,1355-4786,"4,791",8.755,9.599,49,,0.013980
202,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,1383-5742,"2,370",8.741,8.264,47,,0.006490
203,PHARMACOLOGY & THERAPEUTICS,0163-7258,"9,574",8.694,9.331,103,,0.029960
204,Nature Clinical Practice Oncology,1743-4254,"1,757",8.676,8.089,0,,0.011980
205,BIOLOGICAL PSYCHIATRY,0006-3223,"32,972",8.674,9.441,317,,0.104610
206,ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,"5,820",8.660,7.422,75,,0.012300
207,Annual Review of Public Health,0163-7525,"3,144",8.609,11.070,30,,0.009870
207,Annual Review of Public Health,0163-7525,"3,144",8.609,11.070,30,,0.009870
209,Oceanography and Marine Biology,0078-3218,"2,082",8.571,8.646,5,,0.003030
210,Advances in Microbial Physiology,0065-2911,895,8.556,7.435,3,,0.001380
211,ADVANCED FUNCTIONAL MATERIALS,1616-301X,"22,516",8.508,9.442,481,,0.110970
212,CURRENT OPINION IN BIOTECHNOLOGY,0958-1669,"8,209",8.486,9.157,98,,0.025010
213,TRENDS IN ENDOCRINOLOGY AND METABOLISM,1043-2760,"4,730",8.479,7.537,89,,0.016020
214,ARTHRITIS AND RHEUMATISM,0004-3591,"44,602",8.435,8.579,382,,0.107950
215,Nature Protocols,1754-2189,"9,988",8.362,8.449,170,,0.084550
216,MOLECULAR & CELLULAR PROTEOMICS,1535-9476,"11,909",8.354,9.392,213,,0.057710
217,SEMINARS IN IMMUNOLOGY,1044-5323,"3,230",8.337,8.410,44,,0.016380
218,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,"27,747",8.288,7.960,226,,0.091300
219,SCHIZOPHRENIA BULLETIN,0586-7614,"8,966",8.273,8.530,106,,0.027940
