	Industry-wide Uses of Chlorine by Industry................................................................. 2-7 2-2. Use of Caustic Soda by Industry................................................................................... 2-7 2-3. Use of Caustic Potash by Industry ................................................................................ 2-8 2-4. Income (or Loss) as Net a Percentage of Sales, Basic Chemicals, Resins, and Synthetics (NAICS 3251 and 3252): 2000–2005 ....................................................... 2-14 3-1. Capital Cost Factor ($/ton Cl2 produced) vs. Capacity ................................................ 3-5 4-1. Price Trends: Alkalis and Chlorine Manufacturing:	Oxychem Completes Taft,	Chlorine: Ensuring Rail Transportation Safety.”	Potassium Carbonate Handbook.” http://www.armandproducts.com/pdfs/k2so3P1_12.pdf. Accessed	ASHTA Chemicals Inc. 2009a. About ASHTA. http://www.ashtachemicals.com/aboutfs.htm.	Inc. 2009b. Potassium Hydroxide,	Investment under Uncertainty.	Energy Information Administration.	Potassium Hydroxide.” http://www.ercoworldwide.com/ products_potassiumhydroxide.asp. Accessed	Distributional Effects of Environmental and Energy Policy: An Introduction.	Potassium Carbonate Faces Pressures from the Video Glass.” Chemical Market Reporter,	Site Fact Sheet Ashtabula Complex.” http://www.millenniumchem.com/NR/rdonlyres/6AE8BF59-D7CD-4768-951F37AE6F1C7321/0/SiteFactSheetAshtabula.pdf. Accessed	Occidental Chemical Corporation. 2008a. “OxyChem Caustic Potash Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Pages/chem_products_basic_alkali.aspx #alk_koh. Accessed	Occidental Chemical Corporation. 2008b. “OxyChem Caustic Soda Handbook.” http://www.oxy.com/Our_Businesses/chemicals/Documents/caustic_soda/caustic.pdf.	Form 10-K405. Filed	Form 10-K. Filed	BB&T Capital Markets Presentation Manufacturing and Materials Conference.” http://www.olin.com/. Accessed	Bill Would End Mercury Use at Chlorine Plants.” http://chronicle.augusta.com/stories/031308/met_190792.shtml. Accessed	Accessed	Chlorine Product Bulletin.” http://corporateportal.ppg.com/NA/Chemicals/CAD/ProductInformation/Bull /English/EN. Accessed	PPG Reaches Agreement with State of Maryland.” PPG News Release. http://corporateportal.ppg.com/PPG/Newsroom/News/20090811.htm.	The Effects of Environmental Regulation on Technology Diffusion: The Case of	Special Focus on Chlorine.”	The Innovation Group (TIG).	of Labor Statistics.	of Labor Statistics. 2009b. LAU Local Area Unemployment Statistics Series Id:	4-13 U.S. Bureau of Labor Statistics.	Quarterly Financial Report for Manufacturing, Mining, and Trade Corporations, 1st Quarter reports. http://www.census.gov/prod/www/abs/qfrmm.html. Accessed	Economic Census.	http://factfinder.census.gov/servlet/DatasetMainPageServlet?_program=ECN&_tabId=E CN1&_submenuId=datasets_4&_lang=en&_ts=24636668839. Accessed	Bureau; generated by RTI International; using American FactFinder; “Sector 31: Manufacturing: Industry Series: Industry Statistics by Employment Size:	Department of Transportation.	Environmental Protection Agency (EPA).	Federal Trade Commission (FTC).	Soda Ash. http://minerals.usgs.gov/minerals/pubs/ commodity/soda_ash/mcs-2009-sodaa.pdf. Accessed August 4,	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Environmental Protection Agency—Science Advisory Board (U.S.	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Environmental Protection Agency. RE: Docket No. EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants:	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act.	EPA-HQ-OAR-2002-0017—National Emission Standards for Hazardous Air Pollutants: Mercury Emissions from Mercury Cell Chlor-Alkali Plants—Memo: “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell Chlor-Alkali Technology to Membrane Cell Technology,” from	B-4 Table B-3. Power Company Emission Factors: Fuel=Coal (Short tons per kWh)	Available on the internet at http://www.epa.gov/CAIR/pdfs/finaltech01.pdf U.S. Environmental Protection Agency	Available on the internet at http://www.epa.gov/cleanenergy/documents/egridzips/eGRID2007TechnicalSupportDoc ument.pdf U.S. Environmental Protection Agency
Regulatory Impact Analysis Amendments to the National Emission Standards for Hazardous Air Pollutants and New Source Performance Standards NSPS for the Portland Cement Manufacturing Industry	0.78125	0.9210526315789473	0.8526315789473684	0.8263157894736842	0.8368421052631579	0.9052631578947369	0.868421052631579	0.8842105263157894	0.8368421052631579	0.7842105263157895	0.7947368421052632	0.8421052631578947	0.8368421052631579	0.7947368421052632	0.9526315789473684	0.9526315789473684	0.7684210526315789	0.8052631578947368	0.9631578947368421	0.8052631578947368	0.7736842105263158	0.8157894736842105	0.9052631578947369	0.9157894736842105	0.9263157894736842	0.8	0.8947368421052632	0.7578947368421053	0.9368421052631579	0.8105263157894737	0.7789473684210526	0.8789473684210526	0.8789473684210526	0.9052631578947369	0.8105263157894737	0.7736842105263158	0.7157894736842105	0.8315789473684211	0.8	0.7631578947368421	0.7368421052631579	0.7424749163879598	0.7894736842105263	0.7842105263157895	0.7947368421052632
Regulatory Impact Analysis Control of Emissions of Air Pollution from Locomotive Engines and Marine Compression Ignition Engines Less than 30 Liters Per Cylinder	0.7840909090909091	0.906832298136646	0.8198757763975155	0.8260869565217391	0.84472049689441	0.8881987577639752	0.8819875776397516	0.8633540372670807	0.8136645962732919	0.7701863354037267	0.7763975155279503	0.84472049689441	0.8881987577639752	0.8322981366459627	0.9440993788819876	0.9440993788819876	0.7701863354037267	0.8136645962732919	0.9565217391304348	0.7888198757763976	0.8385093167701864	0.782608695652174	0.9006211180124224	0.9130434782608695	0.9130434782608695	0.7701863354037267	0.8881987577639752	0.8074534161490683	0.9192546583850931	0.8260869565217391	0.8012422360248447	0.8757763975155279	0.8509316770186336	0.8757763975155279	0.7950310559006211	0.7515527950310559	0.7515527950310559	0.8198757763975155	0.7701863354037267	0.7763975155279503	0.7391304347826086	0.745819397993311	0.7888198757763976	0.8012422360248447	0.8322981366459627
Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry	0.8125	0.9007633587786259	0.8091603053435115	0.8244274809160306	0.816793893129771	0.8778625954198473	0.8473282442748091	0.8473282442748091	0.816793893129771	0.7404580152671756	0.7557251908396947	0.8920863309352518	0.8364779874213837	0.841726618705036	0.9312977099236641	0.9312977099236641	0.7862595419847328	0.7938931297709924	0.9618320610687023	0.8244274809160306	0.8396946564885496	0.8091603053435115	0.8625954198473282	0.8931297709923665	0.9007633587786259	0.7709923664122137	0.8625954198473282	0.7985611510791367	0.916030534351145	0.8549618320610687	0.8068965517241379	0.8396946564885496	0.8396946564885496	0.8778625954198473	0.7862595419847328	0.7709923664122137	0.8320610687022901	0.8396946564885496	0.7786259541984732	0.7786259541984732	0.7786259541984732	0.7324414715719063	0.7557251908396947	0.7938931297709924	0.8251748251748252
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.8494318181818182	0.8709677419354839	0.8064516129032258	0.8387096774193549	0.8494623655913979	0.8602150537634409	0.8172043010752689	0.7849462365591398	0.8709677419354839	0.7634408602150538	0.8172043010752689	0.8561151079136691	0.7735849056603774	0.7769784172661871	0.9032258064516129	0.9032258064516129	0.8061224489795918	0.8703703703703703	0.956989247311828	0.8348623853211009	0.8362068965517241	0.8064516129032258	0.8494623655913979	0.8602150537634409	0.8709677419354839	0.7956989247311828	0.8172043010752689	0.7841726618705036	0.9032258064516129	0.847457627118644	0.7724137931034483	0.8064516129032258	0.8064516129032258	0.8494623655913979	0.9032258064516129	0.03125	0.6666666666666666	0.7956989247311828	0.8387096774193549	0.7666666666666667	0.7844827586206896	0.8160535117056856	0.7741935483870968	0.8686868686868687	0.7972027972027972
What Determines the Value of Life A MetaAnalysis	0.9034090909090909	0.8333333333333334	0.8541666666666666	0.8395061728395061	0.8055555555555556	0.8958333333333334	0.75	0.8541666666666666	0.8117647058823529	0.7945205479452054	0.7738095238095238	0.8489208633093526	0.8553459119496856	0.841726618705036	0.875	0.875	0.8061224489795918	0.8240740740740741	0.9375	0.8256880733944955	0.8189655172413793	0.7733333333333333	0.8333333333333334	0.8541666666666666	0.8333333333333334	0.7837837837837838	0.7291666666666666	0.841726618705036	0.8333333333333334	0.847457627118644	0.8206896551724138	0.7708333333333334	0.7916666666666666	0.8125	0.8	0.7916666666666666	0.7906976744186046	0.847457627118644	0.7849462365591398	0.8333333333333334	0.7931034482758621	0.8929765886287625	0.8142857142857143	0.7878787878787878	0.8321678321678322
Modern ChlorAlkali Technology Volume 2	0.9289772727272727	0.868421052631579	0.7872340425531915	0.8641975308641975	0.8611111111111112	0.8947368421052632	0.9210526315789473	0.8157894736842105	0.8352941176470589	0.7945205479452054	0.8214285714285714	0.8920863309352518	0.8616352201257862	0.8489208633093526	0.8421052631578947	0.8421052631578947	0.8367346938775511	0.8055555555555556	0.9210526315789473	0.8440366972477065	0.8448275862068966	0.72	0.8421052631578947	0.8157894736842105	0.8157894736842105	0.8378378378378378	0.8947368421052632	0.8705035971223022	0.8421052631578947	0.847457627118644	0.8689655172413793	0.868421052631579	0.868421052631579	0.7894736842105263	0.8555555555555555	0.8229166666666666	0.8682170542635659	0.7796610169491526	0.8494623655913979	0.8583333333333333	0.8620689655172413	0.8862876254180602	0.8	0.8181818181818182	0.8461538461538461
Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age	0.8551136363636364	0.8588235294117647	0.7764705882352941	0.9058823529411765	0.8705882352941177	0.8588235294117647	0.8470588235294118	0.8117647058823529	0.9176470588235294	0.8352941176470589	0.8470588235294118	0.8273381294964028	0.7924528301886793	0.8057553956834532	0.9294117647058824	0.9176470588235294	0.8061224489795918	0.7962962962962963	0.9411764705882353	0.8073394495412844	0.8275862068965517	0.8588235294117647	0.8235294117647058	0.8588235294117647	0.8823529411764706	0.8235294117647058	0.8235294117647058	0.7697841726618705	0.8941176470588236	0.8389830508474576	0.7655172413793103	0.8117647058823529	0.8117647058823529	0.8352941176470589	0.8222222222222222	0.8333333333333334	0.7829457364341085	0.8117647058823529	0.8387096774193549	0.775	0.7586206896551724	0.8260869565217391	0.788235294117647	0.8181818181818182	0.7902097902097902
An Empirical Bayes Approach to Combining Estimates of the Value of Statistical Life for Environmental Policy Analysis	0.8238636363636364	0.8803418803418803	0.811965811965812	0.8376068376068376	0.8205128205128205	0.8803418803418803	0.8376068376068376	0.8547008547008547	0.8290598290598291	0.7692307692307693	0.7692307692307693	0.8561151079136691	0.7987421383647799	0.8057553956834532	0.9401709401709402	0.9401709401709402	0.7435897435897436	0.8376068376068376	0.9401709401709402	0.811965811965812	0.8974358974358975	0.7948717948717948	0.8461538461538461	0.8888888888888888	0.8632478632478633	0.7692307692307693	0.8205128205128205	0.7985611510791367	0.8974358974358975	0.8983050847457628	0.7931034482758621	0.8376068376068376	0.8205128205128205	0.8547008547008547	0.8461538461538461	0.7863247863247863	0.8062015503875969	0.7948717948717948	0.7863247863247863	0.8083333333333333	0.7863247863247863	0.802675585284281	0.7692307692307693	0.7094017094017094	0.7342657342657343
The Value of a Statistical Life A Critical Review of Market Estimates throughout the World	0.84375	0.8777777777777778	0.8111111111111111	0.8666666666666667	0.8222222222222222	0.8777777777777778	0.8666666666666667	0.8444444444444444	0.8444444444444444	0.8	0.8111111111111111	0.8345323741007195	0.8050314465408805	0.8129496402877698	0.9222222222222223	0.9222222222222223	0.8163265306122449	0.8240740740740741	0.9222222222222223	0.8256880733944955	0.8017241379310345	0.7666666666666667	0.8555555555555555	0.8444444444444444	0.8444444444444444	0.7	0.8222222222222222	0.7697841726618705	0.9111111111111111	0.8389830508474576	0.7517241379310344	0.8222222222222222	0.8555555555555555	0.8555555555555555	0.9222222222222223	0.8333333333333334	0.7751937984496124	0.8111111111111111	0.03225806451612903	0.7916666666666666	0.7586206896551724	0.8361204013377926	0.7777777777777778	0.8181818181818182	0.8041958041958042
Uncertainty and Variability in HealthRelated Damages from CoalFired Power Plants in the United States	0.8380681818181818	0.8712871287128713	0.7920792079207921	0.8217821782178217	0.8613861386138614	0.8514851485148515	0.8316831683168316	0.8118811881188119	0.8415841584158416	0.7524752475247525	0.7425742574257426	0.8489208633093526	0.8176100628930818	0.8129496402877698	0.9207920792079208	0.9108910891089109	0.8415841584158416	0.8425925925925926	0.9405940594059405	0.8256880733944955	0.8362068965517241	0.7722772277227723	0.8415841584158416	0.8910891089108911	0.8811881188118812	0.801980198019802	0.8217821782178217	0.7985611510791367	0.900990099009901	0.8135593220338984	0.7655172413793103	0.8415841584158416	0.8316831683168316	0.8316831683168316	0.8613861386138614	0.7821782178217822	0.689922480620155	0.801980198019802	0.8217821782178217	0.8166666666666667	0.7758620689655172	0.8160535117056856	0.8118811881188119	0.8514851485148515	0.8181818181818182
