	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.”	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age”, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‑Chair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)—National Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA’s 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Table on state average tipping fees	0.7945205479452054	0.8552631578947368	0.8217821782178217	0.8947368421052632	0.7428571428571429	0.8392857142857143	0.797752808988764	0.8511904761904762	0.8322147651006712	0.746031746031746	0.8285714285714286	0.8611111111111112	0.8026315789473685	0.7380952380952381	0.8333333333333334	0.9142857142857143	0.8172043010752689	0.8777292576419214	0.8691099476439791	0.8376068376068376	0.8387096774193549	0.7849462365591398	0.8449612403100775	0.8	0.8628571428571429	0.8633540372670807	0.8125	0.9146005509641874	0.7457627118644068	0.851063829787234	0.7848101265822784	0.8205128205128205	0.9151670951156813	0.8333333333333334	0.6	0.7790697674418605	0.8465608465608465	0.8285714285714286	0.9457092819614711	0.8846153846153846
Biosolids Frequently Asked Questions	0.7808219178082192	0.8618421052631579	0.8514851485148515	0.8421052631578947	0.8333333333333334	0.7321428571428571	0.8089887640449438	0.8630952380952381	0.8523489932885906	0.7936507936507936	0.8611111111111112	0.8888888888888888	0.7894736842105263	0.8095238095238095	0.8157894736842105	0.9444444444444444	0.8172043010752689	0.8864628820960698	0.8900523560209425	0.8461538461538461	0.8387096774193549	0.8172043010752689	0.8604651162790697	0.8055555555555556	0.8685714285714285	0.8633540372670807	0.8	0.9201101928374655	0.7796610169491526	0.8085106382978723	0.7974683544303798	0.7948717948717948	0.9280205655526992	0.6428571428571429	0.875	0.8255813953488372	0.8888888888888888	0.8333333333333334	0.9474605954465849	0.8942307692307693
cost and emission reduction of the MACT floor level of control	0.7808219178082192	0.7894736842105263	0.7821782178217822	0.7741935483870968	0.7903225806451613	0.8225806451612904	0.7415730337078652	0.7797619047619048	0.7114093959731543	0.8412698412698413	0.7258064516129032	0.8387096774193549	0.7631578947368421	0.8225806451612904	0.7543859649122807	0.9193548387096774	0.7956989247311828	0.8209606986899564	0.8115183246073299	0.7948717948717948	0.7741935483870968	0.7526881720430108	0.7674418604651163	0.8870967741935484	0.8	0.8136645962732919	0.775	0.8787878787878788	0.8064516129032258	0.7258064516129032	0.759493670886076	0.782051282051282	0.8868894601542416	0.7903225806451613	0.7741935483870968	0.8023255813953488	0.8306878306878307	0.8387096774193549	0.9089316987740805	0.8221153846153846
Estimation of Baseline Emissions from Existing Sewage Sludge Incineration Units	0.7468354430379747	0.7697368421052632	0.8217821782178217	0.7974683544303798	0.7974683544303798	0.7974683544303798	0.7640449438202247	0.7559523809523809	0.738255033557047	0.7848101265822784	0.759493670886076	0.8481012658227848	0.810126582278481	0.759493670886076	0.7192982456140351	0.9493670886075949	0.8279569892473119	0.8078602620087336	0.8219895287958116	0.7863247863247863	0.7419354838709677	0.8064516129032258	0.751937984496124	0.8607594936708861	0.7828571428571428	0.8136645962732919	0.7875	0.8484848484848485	0.7341772151898734	0.759493670886076	0.8607594936708861	0.7848101265822784	0.8637532133676092	0.7468354430379747	0.7721518987341772	0.813953488372093	0.8095238095238095	0.8860759493670886	0.8949211908931699	0.8028846153846154
SSI Inventory Updated Information	0.7808219178082192	0.868421052631579	0.8613861386138614	0.8947368421052632	0.8181818181818182	0.8392857142857143	0.8202247191011236	0.8511904761904762	0.8523489932885906	0.7777777777777778	0.8787878787878788	0.8611111111111112	0.8157894736842105	0.8333333333333334	0.8333333333333334	0.9393939393939394	0.8064516129032258	0.9039301310043668	0.8900523560209425	0.8547008547008547	0.8467741935483871	0.7956989247311828	0.8449612403100775	0.7272727272727273	0.8742857142857143	0.8757763975155279	0.8125	0.931129476584022	0.7796610169491526	0.7872340425531915	0.810126582278481	0.7692307692307693	0.9408740359897172	0.7142857142857143	0.8	0.8837209302325582	0.8941798941798942	0.9090909090909091	0.9544658493870403	0.8990384615384616
Land Applications for biosolides Process Design Manual 	0.8082191780821918	0.8026315789473685	0.7920792079207921	0.8181818181818182	0.7636363636363637	0.7857142857142857	0.7752808988764045	0.8273809523809523	0.7785234899328859	0.7619047619047619	0.8	0.7272727272727273	0.7631578947368421	0.7454545454545455	0.7894736842105263	0.9272727272727272	0.7634408602150538	0.834061135371179	0.8272251308900523	0.7692307692307693	0.7741935483870968	0.7419354838709677	0.813953488372093	0.8363636363636363	0.8114285714285714	0.8074534161490683	0.75	0.8815426997245179	0.8135593220338984	0.8	0.7468354430379747	0.782051282051282	0.8997429305912596	0.8	0.7818181818181819	0.813953488372093	0.8253968253968254	0.8363636363636363	0.9194395796847635	0.7980769230769231
Pocket Ref	0.9178082191780822	0.9539473684210527	0.9207920792079208	0.8421052631578947	0.8387096774193549	0.9107142857142857	0.9213483146067416	0.9583333333333334	0.9530201342281879	0.9206349206349206	0.8484848484848485	0.8888888888888888	0.9078947368421053	0.9047619047619048	0.9298245614035088	0.8095238095238095	0.9354838709677419	0.9650655021834061	0.9581151832460733	0.9316239316239316	0.9435483870967742	0.946236559139785	0.9534883720930233	0.8846153846153846	0.96	0.9565217391304348	0.9	0.977961432506887	0.9152542372881356	0.8936170212765957	0.9240506329113924	0.9358974358974359	0.9768637532133676	0.8571428571428571	0.875	0.9534883720930233	0.9629629629629629	0.8888888888888888	0.9824868651488616	0.9519230769230769
Final Regulatory Impact Analysis for SO2 National Ambient Air Quality Standards for Lead	0.7613636363636364	0.7631578947368421	0.7920792079207921	0.8181818181818182	0.8068181818181818	0.7727272727272727	0.8426966292134831	0.7857142857142857	0.738255033557047	0.8068181818181818	0.7954545454545454	0.7954545454545454	0.7386363636363636	0.7613636363636364	0.7719298245614035	0.9318181818181818	0.1827956989247312	0.7510917030567685	0.7225130890052356	0.49572649572649574	0.717741935483871	0.8279569892473119	0.7441860465116279	0.7045454545454546	0.5885714285714285	0.4658385093167702	0.48863636363636365	0.8429752066115702	0.7386363636363636	0.7954545454545454	0.7840909090909091	0.8068181818181818	0.8663239074550129	0.7954545454545454	0.8295454545454546	0.8181818181818182	0.798941798941799	0.9090909090909091	0.8931698774080561	0.8173076923076923
Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards	0.7710843373493976	0.7763157894736842	0.7821782178217822	0.7951807228915663	0.7710843373493976	0.7951807228915663	0.8202247191011236	0.7857142857142857	0.7181208053691275	0.8072289156626506	0.7710843373493976	0.8192771084337349	0.7349397590361446	0.7469879518072289	0.7807017543859649	0.927710843373494	0.10752688172043011	0.7729257641921398	0.7486910994764397	0.5299145299145299	0.7419354838709677	0.8064516129032258	0.751937984496124	0.6867469879518072	0.6285714285714286	0.4906832298136646	0.39759036144578314	0.8512396694214877	0.7590361445783133	0.7590361445783133	0.7951807228915663	0.8192771084337349	0.8688946015424165	0.7831325301204819	0.8192771084337349	0.872093023255814	0.7936507936507936	0.9156626506024096	0.8984238178633975	0.8221153846153846
National Ambient Air Quality Standards for Particulate Matter	0.7534246575342466	0.7763157894736842	0.7920792079207921	0.7868852459016393	0.7704918032786885	0.819672131147541	0.797752808988764	0.8095238095238095	0.7785234899328859	0.8412698412698413	0.7704918032786885	0.819672131147541	0.7368421052631579	0.8032786885245902	0.7807017543859649	0.9180327868852459	0.7634408602150538	0.8253275109170306	0.7853403141361257	0.7008547008547008	0.8064516129032258	0.6774193548387096	0.7131782945736435	0.8524590163934426	0.6857142857142857	0.6708074534161491	0.75	0.8815426997245179	0.8524590163934426	0.8032786885245902	0.7848101265822784	0.7435897435897436	0.8894601542416453	0.8032786885245902	0.7704918032786885	0.813953488372093	0.8359788359788359	0.8852459016393442	0.9141856392294221	0.8557692307692307
