	Distribution of Employment within Food Manufacturing NAICS 311	Bureau generated by RTI International using American FactFinder ‚ÄúSector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States	Animal Slaughtering and Processing made up the largest share of both employment 33 and the value of shipments 27	Census Bureau generated by RTI International using American FactFinder ‚ÄúSector 31 Manufacturing Geographic Area Series Industry Statistics for the States Metropolitan and Micropolitan Statistical Areas Counties and Places	Department of Energy Energy Information Administration	Census Bureau generated by RTI International using American FactFinder ‚ÄúSector 31 Annual Survey of Manufactures General Statistics Statistics for Industry Groups and Industries	Bureau generated by RTI International using American FactFinder ‚ÄúSector 00 All Sectors Core Business Statistics Series Comparative Statistics for the United States and the States	Bureau generated by Kapur Energy and Environment using American FactFinder ‚ÄúSector 00 EC0700A1 All Sectors Geographic Area Series EconomyWide Key Statistics	Bureau generated by Kapur Energy and Environment using American FactFinder ‚ÄúSector 31 EC0731I1 Manufacturing Industry Series Detailed Statistics by Industry for the United States 2007‚Äù Accessed on	Firm Size Data from the Statistics of US Businesses US Detail Employment Sizes	Paper  Forest Products	Assessing the Employment Impacts of Environmental and Natural Resource Policy‚Äù Environmental and Resource Economics	Environmental regulation and labor demand Evidence from the south coast air basin	Do environmental regulations cost jobs An industrylevel analysis of the UK	Transforming The Dow Chemical Company	Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	Jobs versus the Environment An IndustryLevel Perspective‚Äù	What Determines the Value of Life	Estimating the Public Health Benefits of Proposed Air Pollution Regulations	Chemicals‚Äù Standard and Poor‚Äôs Industry Surveys	Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution‚Äù	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US‚Äù Environ Sci Technol	Applying General Equilibrium New York	of Economic Analysis BEA	Producer Price Index Series IDPCU321‚Äî321‚Äî PCUOMFG‚ÄîOMFG‚Äîhttpwwwblsgovppihomehtmgt Data accessed on	Producer Price Index Series IDPCU322‚Äì322‚Äì  PCUOMFG‚ÄìOMFG‚Äì	of Labor Statistics BLS	Producer Price Index‚Äù Series ID PCU3313‚Äì 3313‚Äì  PCUOMFG‚ÄìOMFG‚Äì	Economic Census Sector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States	Economic Census Sector 22 Utilities Geographic Area Series Summary Statistics	Census of Governments Volume 4 Number 3 Finances of County Governments	Census of Governments Volume 4 Number 4 Finances of Municipal and Township Governments	Exclusions from the Economic Census‚Äù	NAICS Definition‚Äù sssdnaicsnaicsrchcode324search200220NAICS20Searchgt	Department of Energy Energy Information Administration 2010d ‚ÄúElectric Power Annual 2008 Table 81 Table 83 Table 84 Table 85	Occupational Safety and Health Administration OSHA	As obtained on	Producer Price Indexes Id PCU311‚Äî311‚ÄîFood Manufacturing  PCUOMFG‚ÄìOMFG‚ÄìTotal Manufacturinggt	Environmental Protection Agency Office of Air Quality Planning and Standards	Guidelines for Preparing Economic Analyses	Environmental Protection Agency	Regulatory Impact Analysis	Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry Office of Air Quality Planning and Standards Research Triangle Park	Environmental Protection Agency US	Integrated Science Assessment for Particulate Matter Final Report EPA600R08139F National Center for Environmental Assessment‚ÄîRTP Division December Available at TO Jim Eddinger US Environmental Protection Agency OAQPSSPPD FROM Susan McClutchey Amanda Singleton and Graham Gibson	Methodology for Estimating Control Costs for the Major Source Industrial Commercial and Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants	New Unit Analysis for Industrial Commercial and Institutional Boilers and Process Heaters at Major Sources	Delivered Fuel Prices to Industrial and Commercial Clients	Department of Energy EIA Annual Energy Outlook 2009 Table 2 Energy Consumption by Sector	MACT Floor Analysis for the Industrial Commercial Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	New Unit Analysis Industrial Commercial and Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	Methodology for Estimating Control Costs for Industrial Commercial Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	Methodology for Estimating Control Costs for Industrial Commercial Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants ‚Äì Major Source	Development of Baseline Emission Factors for Boilers and Process Heaters at Commercial Industrial and Institutional Facilities	Methodology for Developing Model Units for Industrial Commercial and Institutional Boilers National Emission Standards for Hazardous Air Pollutants ‚Äì Area Source	Department of Energy Energy Information Administration Annual Energy Outlook	Institute SectorBased Based Pollution Prevention Toxic Reductions through Energy Efficiency and Conservation Among Industrial Boilers
Electric Power Annual 2007 Table 63	0.8064516129032258	0.9055555555555556	0.8392857142857143	0.905829596412556	0.8333333333333334	0.8876404494382022	0.9055555555555556	0.8860759493670886	0.885	0.8333333333333334	0.8571428571428571	0.8461538461538461	0.8271604938271605	0.7837837837837838	0.918918918918919	0.8292682926829268	0.7966101694915254	0.8571428571428571	0.8133333333333334	0.8431372549019608	0.84375	0.8604651162790697	0.8378378378378378	0.7714285714285715	0.8666666666666667	0.84375	0.8857142857142857	0.8591549295774648	0.8604651162790697	0.8311688311688312	0.8428571428571429	0.8372093023255814	0.8947368421052632	0.8591549295774648	0.7380952380952381	0.8	0.8857142857142857	0.8686868686868687	0.7894736842105263	0.8333333333333334	0.8571428571428571	0.8285714285714286	0.8844221105527639	0.8857142857142857	0.9175627240143369	0.8817204301075269	0.8301886792452831	0.7586206896551724	0.75	0.8611111111111112	0.855072463768116	0.8757763975155279	0.8956043956043956	0.8412698412698413	0.8711656441717791	0.8026315789473685	0.8646616541353384
Electric Power Use Manufacturing and Mining	0.6774193548387096	0.8666666666666667	0.8035714285714286	0.8475336322869955	0.7962962962962963	0.8370786516853933	0.8666666666666667	0.8544303797468354	0.84	0.7948717948717948	0.813953488372093	0.7948717948717948	0.7901234567901234	0.8243243243243243	0.8604651162790697	0.8170731707317073	0.847457627118644	0.7674418604651163	0.8	0.8235294117647058	0.8020833333333334	0.813953488372093	0.7906976744186046	0.8372093023255814	0.8380952380952381	0.828125	0.8372093023255814	0.8309859154929577	0.8217054263565892	0.7532467532467533	0.7857142857142857	0.7674418604651163	0.8604651162790697	0.8732394366197183	0.8412698412698413	0.82	0.813953488372093	0.7070707070707071	0.7236842105263158	0.8372093023255814	0.7906976744186046	0.7674418604651163	0.8241206030150754	0.813953488372093	0.8924731182795699	0.8440860215053764	0.8113207547169812	0.7241379310344828	0.8181818181818182	0.8402777777777778	0.8405797101449275	0.84472049689441	0.8571428571428571	0.7936507936507936	0.8466257668711656	0.8026315789473685	0.8120300751879699
Exclusions from the Economic Census	0.7419354838709677	0.8722222222222222	0.8214285714285714	0.8878923766816144	0.7592592592592593	0.8707865168539326	0.8722222222222222	0.8481012658227848	0.895	0.7564102564102564	0.8285714285714286	0.8034188034188035	0.7530864197530864	0.8108108108108109	0.7837837837837838	0.8048780487804879	0.8135593220338984	0.8285714285714286	0.8	0.8235294117647058	0.8333333333333334	0.8449612403100775	0.8378378378378378	0.7714285714285715	0.8761904761904762	0.875	0.8571428571428571	0.8732394366197183	0.8372093023255814	0.7662337662337663	0.7571428571428571	0.7790697674418605	0.07894736842105263	0.8591549295774648	0.873015873015873	0.78	0.8	0.8686868686868687	0.8157894736842105	0.5714285714285714	0.7714285714285715	0.8	0.8693467336683417	0.8285714285714286	0.910394265232975	0.8655913978494624	0.8207547169811321	0.7758620689655172	0.8295454545454546	0.8541666666666666	0.855072463768116	0.8509316770186336	0.8626373626373627	0.8333333333333334	0.8588957055214724	0.8157894736842105	0.8345864661654135
Firm Size Data from the Statistics of US Businesses US Detail Employment Sizes 2002	0.8313253012048193	0.7611111111111111	0.7589285714285714	0.8071748878923767	0.8072289156626506	0.8089887640449438	0.7611111111111111	0.7974683544303798	0.78	0.060240963855421686	0.8554216867469879	0.7863247863247863	0.8554216867469879	0.7951807228915663	0.8433734939759037	0.8795180722891566	0.7710843373493976	0.8072289156626506	0.8072289156626506	0.8192771084337349	0.8229166666666666	0.7441860465116279	0.8554216867469879	0.8433734939759037	0.8380952380952381	0.8795180722891566	0.7951807228915663	0.8795180722891566	0.7441860465116279	0.7831325301204819	0.7951807228915663	0.8372093023255814	0.7710843373493976	0.8554216867469879	0.7857142857142857	0.8192771084337349	0.8795180722891566	0.8787878787878788	0.8192771084337349	0.7951807228915663	0.8313253012048193	0.8433734939759037	0.7989949748743719	0.8192771084337349	0.8315412186379928	0.7795698924731183	0.8018867924528302	0.7710843373493976	0.8863636363636364	0.7638888888888888	0.782608695652174	0.7950310559006211	0.8076923076923077	0.7777777777777778	0.7914110429447853	0.8554216867469879	0.7894736842105263
Generated by RTI International using American FactFinder Sector 31 Annual Survey of Manufactures General Statistics Statistics for Industry Groups and Industries 2006 and 2005” 	0.8248587570621468	0.5166666666666667	0.7627118644067796	0.4977578475336323	0.8135593220338984	0.19101123595505617	0.5111111111111111	0.6836158192090396	0.515	0.7966101694915254	0.8983050847457628	0.7740112994350282	0.7627118644067796	0.768361581920904	0.8813559322033898	0.7627118644067796	0.8305084745762712	0.864406779661017	0.807909604519774	0.8305084745762712	0.7853107344632768	0.768361581920904	0.8870056497175142	0.9096045197740112	0.8305084745762712	0.8757062146892656	0.903954802259887	0.8700564971751412	0.711864406779661	0.7796610169491526	0.7853107344632768	0.7627118644067796	0.8813559322033898	0.8531073446327684	0.7853107344632768	0.8248587570621468	0.943502824858757	0.7909604519774012	0.7796610169491526	0.8531073446327684	0.8700564971751412	0.8870056497175142	0.7437185929648241	0.8700564971751412	0.7634408602150538	0.8064516129032258	0.768361581920904	0.8135593220338984	0.7853107344632768	0.7457627118644068	0.7005649717514124	0.7401129943502824	0.7582417582417582	0.7062146892655368	0.7457627118644068	0.7909604519774012	0.7627118644067796
Industrial Production and Capacity Utilization Capacity Utilization	0.7910447761194029	0.8111111111111111	0.7678571428571429	0.8026905829596412	0.7014925373134329	0.797752808988764	0.8111111111111111	0.8037974683544303	0.8	0.8333333333333334	0.8656716417910447	0.7948717948717948	0.691358024691358	0.8243243243243243	0.8059701492537313	0.7804878048780488	0.8507462686567164	0.8507462686567164	0.7866666666666666	0.8208955223880597	0.7395833333333334	0.7906976744186046	0.8507462686567164	0.8507462686567164	0.8380952380952381	0.8805970149253731	0.8507462686567164	0.8873239436619719	0.7674418604651163	0.7922077922077922	0.8285714285714286	0.8023255813953488	0.8208955223880597	0.9154929577464789	0.8174603174603174	0.746268656716418	0.8507462686567164	0.8282828282828283	0.6973684210526315	0.8059701492537313	0.7761194029850746	0.7910447761194029	0.8040201005025126	0.746268656716418	0.8494623655913979	0.7956989247311828	0.7452830188679245	0.7910447761194029	0.8295454545454546	0.7777777777777778	0.7463768115942029	0.782608695652174	0.7912087912087912	0.7777777777777778	0.7852760736196319	0.7763157894736842	0.7443609022556391
Industrial Production and Capacity Utilization Electric Power Use Manufacturing and Mining	0.6222222222222222	0.7833333333333333	0.7946428571428571	0.7802690582959642	0.7777777777777778	0.7471910112359551	0.7833333333333333	0.7848101265822784	0.795	0.7888888888888889	0.8555555555555555	0.7692307692307693	0.7111111111111111	0.8	0.8333333333333334	0.8111111111111111	0.8222222222222222	0.8333333333333334	0.7777777777777778	0.7888888888888889	0.7604166666666666	0.7596899224806202	0.8555555555555555	0.8666666666666667	0.8761904761904762	0.8222222222222222	0.8555555555555555	0.8444444444444444	0.7596899224806202	0.7666666666666667	0.8111111111111111	0.8555555555555555	0.8222222222222222	0.8222222222222222	0.7222222222222222	0.7555555555555555	0.8777777777777778	0.8181818181818182	0.7111111111111111	0.8111111111111111	0.8	0.8444444444444444	0.7587939698492462	0.7888888888888889	0.8100358422939068	0.7688172043010753	0.7641509433962265	0.8111111111111111	0.8666666666666667	0.75	0.7101449275362319	0.7515527950310559	0.7637362637362637	0.7698412698412699	0.754601226993865	0.7888888888888889	0.7368421052631579
Industrial Production and Capacity Utilization Industrial Capacity	0.7727272727272727	0.8166666666666667	0.75	0.8071748878923767	0.7424242424242424	0.7752808988764045	0.8166666666666667	0.8227848101265823	0.79	0.8205128205128205	0.8333333333333334	0.7777777777777778	0.7037037037037037	0.8108108108108109	0.7727272727272727	0.7560975609756098	0.8181818181818182	0.8484848484848485	0.8133333333333334	0.7272727272727273	0.7708333333333334	0.7984496124031008	0.8484848484848485	0.8484848484848485	0.8571428571428571	0.8939393939393939	0.8181818181818182	0.9014084507042254	0.7674418604651163	0.8181818181818182	0.8285714285714286	0.7906976744186046	0.8181818181818182	0.9014084507042254	0.8095238095238095	0.7272727272727273	0.8636363636363636	0.797979797979798	0.6973684210526315	0.803030303030303	0.7727272727272727	0.7878787878787878	0.7939698492462312	0.7878787878787878	0.8530465949820788	0.7956989247311828	0.7358490566037735	0.7727272727272727	0.8295454545454546	0.7777777777777778	0.7463768115942029	0.782608695652174	0.7912087912087912	0.7222222222222222	0.7852760736196319	0.7763157894736842	0.6917293233082706
Industrial Production and Capacity Utilization Industrial Production	0.7647058823529411	0.8222222222222222	0.75	0.7982062780269058	0.7058823529411765	0.7640449438202247	0.8222222222222222	0.8164556962025317	0.78	0.8076923076923077	0.7794117647058824	0.7777777777777778	0.7037037037037037	0.8378378378378378	0.8088235294117647	0.7804878048780488	0.7647058823529411	0.8382352941176471	0.7866666666666666	0.7205882352941176	0.7291666666666666	0.7829457364341085	0.8382352941176471	0.8529411764705882	0.8380952380952381	0.8823529411764706	0.8235294117647058	0.9014084507042254	0.7751937984496124	0.8311688311688312	0.8428571428571429	0.7906976744186046	0.8088235294117647	0.9295774647887324	0.8253968253968254	0.7205882352941176	0.8382352941176471	0.8080808080808081	0.7236842105263158	0.8088235294117647	0.7941176470588235	0.7941176470588235	0.7889447236180904	0.7941176470588235	0.8494623655913979	0.7849462365591398	0.7358490566037735	0.7941176470588235	0.8181818181818182	0.7569444444444444	0.7246376811594203	0.7639751552795031	0.7747252747252747	0.7301587301587301	0.7668711656441718	0.75	0.6992481203007519
Producer Price Index	0.8709677419354839	0.9111111111111111	0.875	0.9282511210762332	0.8333333333333334	0.9157303370786517	0.9111111111111111	0.9050632911392406	0.925	0.8717948717948718	0.8181818181818182	0.8717948717948718	0.8765432098765432	0.8648648648648649	0.8108108108108109	0.8658536585365854	0.8305084745762712	0.8484848484848485	0.8666666666666667	0.803921568627451	0.8645833333333334	0.8992248062015504	0.8378378378378378	0.9166666666666666	0.8095238095238095	0.6875	0.8695652173913043	0.7183098591549296	0.8837209302325582	0.8571428571428571	0.8285714285714286	0.8488372093023255	0.8157894736842105	0.8873239436619719	0.9047619047619048	0.88	0.85	0.797979797979798	0.8421052631578947	0.7380952380952381	0.7419354838709677	0.8076923076923077	0.9195979899497487	0.7647058823529411	0.942652329749104	0.9193548387096774	0.8773584905660378	0.7586206896551724	0.8863636363636364	0.9097222222222222	0.9130434782608695	0.9192546583850931	0.9175824175824175	0.8888888888888888	0.9202453987730062	0.868421052631579	0.8721804511278195
Sector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States 1997 NAICS Basis 2002 and 1997	0.7986111111111112	0.5444444444444444	0.7569444444444444	0.6860986547085202	0.8194444444444444	0.7752808988764045	0.55	0.8354430379746836	0.75	0.7291666666666666	0.9027777777777778	0.8333333333333334	0.7569444444444444	0.7847222222222222	0.8680555555555556	0.8055555555555556	0.8333333333333334	0.8611111111111112	0.8125	0.8472222222222222	0.7916666666666666	0.7777777777777778	0.8888888888888888	0.8888888888888888	0.8402777777777778	0.8541666666666666	0.875	0.8472222222222222	0.3263888888888889	0.7569444444444444	0.8125	0.7847222222222222	0.8541666666666666	0.7986111111111112	0.8125	0.8125	0.9166666666666666	0.8611111111111112	0.7916666666666666	0.8472222222222222	0.875	0.8819444444444444	0.7537688442211056	0.8611111111111112	0.7921146953405018	0.7258064516129032	0.7361111111111112	0.7916666666666666	0.8333333333333334	0.8125	0.8194444444444444	0.7515527950310559	0.7362637362637363	0.7916666666666666	0.754601226993865	0.8055555555555556	0.7708333333333334
Sector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States 2007 NAICS Basis 2002 and 2007	0.8055555555555556	0.5444444444444444	0.7569444444444444	0.6860986547085202	0.8194444444444444	0.7752808988764045	0.55	0.8354430379746836	0.75	0.7291666666666666	0.9027777777777778	0.8333333333333334	0.7569444444444444	0.7847222222222222	0.8680555555555556	0.8055555555555556	0.8333333333333334	0.8611111111111112	0.8125	0.8472222222222222	0.7916666666666666	0.7777777777777778	0.8888888888888888	0.8888888888888888	0.8402777777777778	0.8472222222222222	0.875	0.8472222222222222	0.3263888888888889	0.7569444444444444	0.8125	0.7847222222222222	0.8541666666666666	0.7847222222222222	0.8194444444444444	0.8125	0.9166666666666666	0.8611111111111112	0.7916666666666666	0.8472222222222222	0.875	0.8819444444444444	0.7537688442211056	0.8611111111111112	0.7921146953405018	0.7258064516129032	0.7361111111111112	0.7916666666666666	0.8333333333333334	0.8125	0.8194444444444444	0.7515527950310559	0.7362637362637363	0.7916666666666666	0.754601226993865	0.8055555555555556	0.7708333333333334
Sector 00 EC0700A1 All sectors Geographic Area Series EconomyWide Key Statistics 2007	0.8235294117647058	0.7666666666666667	0.8125	0.7623318385650224	0.8117647058823529	0.7865168539325843	0.7722222222222223	0.5316455696202531	0.79	0.8588235294117647	0.8588235294117647	0.811965811965812	0.8588235294117647	0.8352941176470589	0.8588235294117647	0.8470588235294118	0.8235294117647058	0.8235294117647058	0.8235294117647058	0.8352941176470589	0.8541666666666666	0.8062015503875969	0.8352941176470589	0.8117647058823529	0.8857142857142857	0.8705882352941177	0.8117647058823529	0.8941176470588236	0.6976744186046512	0.5647058823529412	0.8352941176470589	0.8837209302325582	0.7529411764705882	0.8588235294117647	0.8333333333333334	0.8117647058823529	0.8823529411764706	0.8888888888888888	0.8235294117647058	0.7294117647058823	0.8705882352941177	0.8352941176470589	0.8090452261306532	0.8470588235294118	0.8351254480286738	0.8010752688172043	0.8207547169811321	0.8235294117647058	0.8409090909090909	0.8125	0.8260869565217391	0.7950310559006211	0.8021978021978022	0.7380952380952381	0.803680981595092	0.8470588235294118	0.7744360902255639
Sector 31 Annual Survey of Manufactures General Statistics Statistics for Industry Groups and Industries 2006 and 2005	0.7966101694915254	0.7166666666666667	0.8135593220338984	0.6860986547085202	0.7796610169491526	0.4943820224719101	0.7111111111111111	0.7974683544303798	0.69	0.7372881355932204	0.864406779661017	0.8559322033898306	0.7627118644067796	0.7033898305084746	0.8728813559322034	0.7542372881355932	0.7966101694915254	0.864406779661017	0.788135593220339	0.7966101694915254	0.8305084745762712	0.8217054263565892	0.8305084745762712	0.8813559322033898	0.8898305084745762	0.8728813559322034	0.8559322033898306	0.8728813559322034	0.7054263565891473	0.7542372881355932	0.7796610169491526	0.7796610169491526	0.8389830508474576	0.8220338983050848	0.8253968253968254	0.7796610169491526	0.9152542372881356	0.8728813559322034	0.7542372881355932	0.8389830508474576	0.847457627118644	0.8559322033898306	0.7286432160804021	0.847457627118644	0.8136200716845878	0.7580645161290323	0.7796610169491526	0.7372881355932204	0.7711864406779662	0.7569444444444444	0.7536231884057971	0.7515527950310559	0.7527472527472527	0.746031746031746	0.7607361963190185	0.7627118644067796	0.7969924812030075
Sector 31 EC0731I1 Manufacturing Industry Series Detailed Statistics by Industry for the US 2007	0.8229166666666666	0.7222222222222222	0.75	0.7533632286995515	0.8020833333333334	0.7134831460674157	0.7222222222222222	0.8037974683544303	0.52	0.8229166666666666	0.875	0.8205128205128205	0.7916666666666666	0.75	0.8333333333333334	0.7708333333333334	0.7916666666666666	0.8333333333333334	0.8333333333333334	0.7708333333333334	0.875	0.7906976744186046	0.8333333333333334	0.8645833333333334	0.9142857142857143	0.8125	0.8229166666666666	0.8125	0.6434108527131783	0.78125	0.78125	0.8125	0.8125	0.8854166666666666	0.8095238095238095	0.7708333333333334	0.90625	0.9292929292929293	0.8020833333333334	0.84375	0.84375	0.8541666666666666	0.7788944723618091	0.8125	0.8207885304659498	0.7580645161290323	0.8301886792452831	0.78125	0.8020833333333334	0.7638888888888888	0.7681159420289855	0.7329192546583851	0.7527472527472527	0.753968253968254	0.7423312883435583	0.8020833333333334	0.7894736842105263
Sector 31 EC0731I1 Manufacturing Industry Series Detailed Statistics by Industry for the United States 2007	0.822429906542056	0.6611111111111111	0.7589285714285714	0.7309417040358744	0.8130841121495327	0.7247191011235955	0.6611111111111111	0.759493670886076	0.465	0.7757009345794392	0.8691588785046729	0.8461538461538461	0.7570093457943925	0.7383177570093458	0.8411214953271028	0.7570093457943925	0.7757009345794392	0.8317757009345794	0.7850467289719626	0.7850467289719626	0.8411214953271028	0.7829457364341085	0.8411214953271028	0.8691588785046729	0.9158878504672897	0.822429906542056	0.8411214953271028	0.8037383177570093	0.6434108527131783	0.7570093457943925	0.7663551401869159	0.7850467289719626	0.8317757009345794	0.8411214953271028	0.8333333333333334	0.794392523364486	0.9065420560747663	0.9158878504672897	0.7757009345794392	0.8411214953271028	0.8504672897196262	0.8598130841121495	0.7487437185929648	0.8317757009345794	0.8064516129032258	0.7688172043010753	0.8130841121495327	0.7663551401869159	0.8037383177570093	0.7708333333333334	0.7753623188405797	0.7267080745341615	0.7472527472527473	0.753968253968254	0.7361963190184049	0.8037383177570093	0.7969924812030075
Sector 31 Manufacturing Geographic Area Series Industry Statistics for the States Metropolitan and Micropolitan Statistical Areas Counties and Places 2002	0.8051948051948052	0.7388888888888889	0.7467532467532467	0.3542600896860987	0.7922077922077922	0.7584269662921348	0.7388888888888889	0.8291139240506329	0.74	0.7402597402597403	0.8896103896103896	0.7857142857142857	0.7597402597402597	0.7532467532467533	0.8441558441558441	0.7662337662337663	0.8246753246753247	0.8701298701298701	0.7532467532467533	0.8311688311688312	0.7662337662337663	0.7987012987012987	0.8766233766233766	0.8961038961038961	0.7987012987012987	0.8571428571428571	0.8831168831168831	0.8506493506493507	0.7077922077922078	0.7597402597402597	0.7922077922077922	0.7792207792207793	0.8506493506493507	0.8441558441558441	0.8051948051948052	0.7922077922077922	0.922077922077922	0.8181818181818182	0.7792207792207793	0.8116883116883117	0.8701298701298701	0.8831168831168831	0.7437185929648241	0.8636363636363636	0.7777777777777778	0.7365591397849462	0.7402597402597403	0.7727272727272727	0.8181818181818182	0.8051948051948052	0.7857142857142857	0.8012422360248447	0.7582417582417582	0.7662337662337663	0.7975460122699386	0.7857142857142857	0.8051948051948052
State Electricity Profiles 2007	0.8064516129032258	0.8833333333333333	0.8392857142857143	0.9013452914798207	0.7777777777777778	0.8932584269662921	0.8833333333333333	0.879746835443038	0.88	0.8205128205128205	0.7096774193548387	0.8376068376068376	0.8395061728395061	0.8378378378378378	0.8918918918918919	0.8170731707317073	0.8135593220338984	0.7878787878787878	0.7733333333333333	0.8431372549019608	0.84375	0.875968992248062	0.8648648648648649	0.7741935483870968	0.8952380952380953	0.890625	0.8064516129032258	0.8873239436619719	0.8527131782945736	0.8181818181818182	0.8714285714285714	0.8604651162790697	0.8157894736842105	0.8450704225352113	0.8650793650793651	0.82	0.8387096774193549	0.898989898989899	0.7894736842105263	0.8333333333333334	0.9032258064516129	0.8709677419354839	0.8894472361809045	0.8529411764705882	0.9175627240143369	0.8870967741935484	0.8490566037735849	0.7931034482758621	0.8522727272727273	0.8680555555555556	0.8695652173913043	0.8819875776397516	0.8901098901098901	0.8650793650793651	0.8895705521472392	0.8157894736842105	0.8571428571428571
using American FactFinder Sector 00 EC0700A1 All sectors Geographic Area Series EconomyWide Key Statistics 2007 	0.8035714285714286	0.6555555555555556	0.8571428571428571	0.6816143497757847	0.8125	0.6966292134831461	0.6611111111111111	0.37341772151898733	0.67	0.7767857142857143	0.875	0.8290598290598291	0.7857142857142857	0.7946428571428571	0.8482142857142857	0.7767857142857143	0.8035714285714286	0.8482142857142857	0.7678571428571429	0.8214285714285714	0.8035714285714286	0.8294573643410853	0.8571428571428571	0.8571428571428571	0.8482142857142857	0.8660714285714286	0.8571428571428571	0.875	0.7441860465116279	0.5089285714285714	0.8125	0.8303571428571429	0.8125	0.8303571428571429	0.8571428571428571	0.8214285714285714	0.9107142857142857	0.8571428571428571	0.7678571428571429	0.7589285714285714	0.8660714285714286	0.8660714285714286	0.7889447236180904	0.8482142857142857	0.7956989247311828	0.7849462365591398	0.8571428571428571	0.8214285714285714	0.8035714285714286	0.8055555555555556	0.7971014492753623	0.8074534161490683	0.7912087912087912	0.7857142857142857	0.803680981595092	0.8125	0.7894736842105263
Refinery Capacity Report 2009	0.8548387096774194	0.9	0.8660714285714286	0.9103139013452914	0.7962962962962963	0.898876404494382	0.9	0.8860759493670886	0.89	0.8333333333333334	0.7931034482758621	0.8461538461538461	0.8395061728395061	0.8243243243243243	0.8918918918918919	0.8414634146341463	0.8135593220338984	0.8484848484848485	0.8266666666666667	0.8235294117647058	0.8229166666666666	0.875968992248062	0.8108108108108109	0.896551724137931	0.8857142857142857	0.875	0.8620689655172413	0.8732394366197183	0.875968992248062	0.8441558441558441	0.8285714285714286	0.8488372093023255	0.868421052631579	0.8169014084507042	0.8571428571428571	0.8	0.8275862068965517	0.8686868686868687	0.8289473684210527	0.7380952380952381	0.9032258064516129	0.7241379310344828	0.8944723618090452	0.8235294117647058	0.931899641577061	0.9032258064516129	0.8490566037735849	0.8103448275862069	0.8181818181818182	0.8958333333333334	0.8840579710144928	0.8944099378881988	0.9065934065934066	0.8809523809523809	0.8895705521472392	0.8289473684210527	0.8796992481203008
2002 Benchmark InputOutput Accounts 2002 Standard Make and Use Tables at the Summary Level” Table 2	0.8383838383838383	0.7888888888888889	0.8125	0.8026905829596412	0.8181818181818182	0.7921348314606742	0.7833333333333333	0.7974683544303798	0.79	0.797979797979798	0.8888888888888888	0.8205128205128205	0.7676767676767676	0.7777777777777778	0.8585858585858586	0.8383838383838383	0.8181818181818182	0.8181818181818182	0.8181818181818182	0.7474747474747475	0.8282828282828283	0.7829457364341085	0.8585858585858586	0.898989898989899	0.8761904761904762	0.8787878787878788	0.8888888888888888	0.8888888888888888	0.7751937984496124	0.7575757575757576	0.797979797979798	0.8383838383838383	0.8686868686868687	0.8686868686868687	0.7142857142857143	0.7777777777777778	0.9191919191919192	0.9191919191919192	0.8282828282828283	0.8686868686868687	0.8686868686868687	0.8888888888888888	0.7688442211055276	0.8686868686868687	0.8279569892473119	0.7903225806451613	0.839622641509434	0.7878787878787878	0.8181818181818182	0.8125	0.8115942028985508	0.8198757763975155	0.8021978021978022	0.7936507936507936	0.8098159509202454	0.8080808080808081	0.8120300751879699
2002 Census of Governments Volume 4 Number 3 Finances of County Governments 2002 GC0243 	0.7954545454545454	0.7944444444444444	0.8125	0.8161434977578476	0.7840909090909091	0.7808988764044944	0.7944444444444444	0.7974683544303798	0.77	0.8068181818181818	0.8522727272727273	0.7692307692307693	0.7954545454545454	0.7840909090909091	0.8068181818181818	0.8636363636363636	0.75	0.8068181818181818	0.8636363636363636	0.8409090909090909	0.8229166666666666	0.7751937984496124	0.8295454545454546	0.8636363636363636	0.8476190476190476	0.8636363636363636	0.875	0.8863636363636364	0.751937984496124	0.8295454545454546	0.20454545454545456	0.4090909090909091	0.8068181818181818	0.8863636363636364	0.7936507936507936	0.8295454545454546	0.8863636363636364	0.898989898989899	0.8181818181818182	0.8068181818181818	0.8181818181818182	0.8636363636363636	0.8040201005025126	0.8068181818181818	0.8351254480286738	0.8064516129032258	0.8018867924528302	0.7840909090909091	0.8181818181818182	0.7708333333333334	0.7681159420289855	0.7888198757763976	0.7967032967032966	0.7857142857142857	0.7730061349693251	0.8068181818181818	0.7744360902255639
