	Clash in Alabama Over Tennessee Coal Ash‚Äù The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of ‚ÄúAttachment A Guidance for Implementing the Federalism 1 Test‚Äù to EPA‚Äôs Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA‚Äôs
azardous Waste Progress Under the Corrective Action Program is Limited But New Initiatives May Accelerate Cleanups	0.5897435897435898	0.4242424242424242	0.47058823529411764	0.47916666666666663	0.4901960784313726	0.4411764705882353	0.5	0.5151515151515151	0.5294117647058824	0.5263157894736843	0.4545454545454546	0.5106382978723405
Characterization of Coal Combustion Residues from Electric Utilities – Leaching and Characterization Data	0.6486486486486487	0.4838709677419355	0.4838709677419355	0.5217391304347826	0.5306122448979591	0.5	0.574468085106383	0.5333333333333333	0.5	0.4545454545454546	0.4666666666666667	0.4883720930232558
Characterization of Coal Combustion Residues from Electric Utilities Using Wet Scrubbers for Multipollutant Control	0.6578947368421053	0.4516129032258065	0.4	0.5	0.5102040816326531	0.46875	0.5531914893617021	0.5483870967741935	0.4666666666666667	0.47058823529411764	0.43333333333333335	0.4285714285714286
Characterization of MercuryEnriched Coal Combustion Residues from Electric Utilities Using Enhanced Sorbents for Mercury Control	0.6486486486486487	0.43333333333333335	0.3793103448275862	0.48888888888888893	0.5	0.5	0.5434782608695652	0.5333333333333333	0.4482758620689655	0.4545454545454546	0.4137931034482759	0.41463414634146345
Coal Combustion Residuals 	0.6071428571428572	0.5	0.5	0.6428571428571428	0.6739130434782609	0.52	0.6976744186046512	0.5	0.5217391304347826	0.5185185185185186	0.5416666666666667	0.6153846153846154
Coal Combustion Waste Management at Landfills and Surface Impoundments 19942004	0.7073170731707317	0.5294117647058824	0.48484848484848486	0.5510204081632653	0.4375	0.5	0.5416666666666667	0.53125	0.4516129032258065	0.4117647058823529	0.4193548387096774	0.48888888888888893
Cost Analyses for Selected Groundwater Cleanup Projects Pump and Treat Systems and Permeable Reactive Barriers	0.5675675675675675	0.4375	0.4375	0.4222222222222223	0.5	0.5	0.5106382978723405	0.53125	0.5454545454545454	0.5405405405405406	0.4193548387096774	0.41860465116279066
Current Population Survey CPS  Definitions and Explanations	0.6857142857142857	0.5172413793103448	0.5172413793103448	0.47619047619047616	0.5531914893617021	0.48275862068965514	0.5681818181818181	0.5185185185185186	0.5357142857142857	0.5757575757575757	0.3846153846153846	0.5476190476190477
Demand Responsiveness in Electricity Markets	0.6363636363636364	0.3846153846153846	0.3846153846153846	0.5348837209302326	0.6326530612244898	0.4642857142857143	0.5909090909090908	0.43999999999999995	0.46153846153846156	0.5625	0.42307692307692313	0.6046511627906976
Energy  Water Emerging Issues and Trands	0.71875	0.5384615384615384	0.5384615384615384	0.627906976744186	0.6875	0.5555555555555556	0.6190476190476191	0.6	0.56	0.6	0.52	0.6341463414634146
EPA’s Action Development Process Final Guidance for EPA Rulewriters Regulatory Flexibility Act	0.65	0.40625	0.4545454545454546	0.36363636363636365	0.48	0.4242424242424242	0.4222222222222223	0.5454545454545454	0.5588235294117647	0.5526315789473684	0.4375	0.4666666666666667
EPA’s Action Development Process Final Guidance for EPA Rulewriters Regulatory Flexibility Act as amended by the Small Business Regulatory Enforcement Fairness Act	0.6428571428571428	0.4117647058823529	0.4117647058823529	0.33333333333333337	0.4509803921568627	0.4722222222222222	0.42553191489361697	0.5428571428571429	0.5142857142857142	0.5128205128205128	0.4411764705882353	0.4347826086956522
Estimation of Costs for Regulating Fossil Fuel Combustion Ash Management at Large Electric Utilities Under Part 258	0.65	0.5	0.5428571428571429	0.5	0.48	0.47058823529411764	0.5208333333333333	0.5454545454545454	0.5588235294117647	0.4285714285714286	0.5294117647058824	0.43181818181818177
Estimation of the Marginal Greenhouse Gas Abatement Curve for the Beneficial Use of Fly Ash as a Substitute for Portland Cement in ReadyMix Concrete Production	0.6341463414634146	0.48571428571428577	0.48571428571428577	0.3913043478260869	0.47058823529411764	0.5	0.44680851063829785	0.5294117647058824	0.5	0.5	0.47058823529411764	0.4565217391304348
