	Breakdown of Monetized PM2.5 Health Benefits using Mortality Function from	Intake of mercury from fish lipid peroxidation, and the risk of myocardial infarction and coronary, cardiovascular and any death in Eastern Finnish men.”	Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age”, Epidemiology,	Toxicological Effects of Methylmercury.	Environmental Protection Agency.	Co‑Chair NACWA Biosolids Management Committee, e-mail to	Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	and Emissions Test Database for the Sewage Sludge Incineration Source Category. Memorandum from Eastern Research Group to Amy Hambrick, U.S. Environmental Protection Agency.	The influence of location, source, and emission type in estimates of the human health benefits of reducing a ton of air pollution. Air Qual Atmos Health	Revised Compliance Costs and Economic Inputs for Existing HMIWI.	What Determines the Value of Life?	AP 42, Chapter 2: Solid Waste Disposal.	Environmental Protection Agency Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	OAQPS Control Cost Manual. Section 4.2: NOX Post Combustion. Chapter 1: Selective Noncatalytic Reduction. Publication U.S.	Park, NC. EPA/600/R-09/019F.	Final Regulatory Impact Analysis (RIA) for the NO2 National Ambient Air Quality Standards (NAAQS).	Summary of Expert Opinions on the Existence of a Threshold in the Concentration-Response Function for PM2.5-related Mortality: Technical Support Document. Compiled by Office of Air Quality Planning and Standards, Research Triangle Park,	Lowest Measured Level (LML) Assessment for Rules without Policy-Specific Air Quality Data Available: Technical Support Document. Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning and Standards, Research Triangle Park,	Lindsay Wichers Stanek (PM Team Leader)—National Center for Environmental Assessment (NCEA), U.S. Environmental Protection Agency	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.” Environ. Sci. Technol.	Regulatory Impact Analysis,	Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead. Office of Air Quality Planning and Standards, Research Triangle Park,	Final Regulatory Impact Analysis (RIA) for the SO2 National Ambient Air Quality Standards (NAAQS). Office of Air Quality Planning and Standards, Research Triangle Park,	Regulatory Impact Analysis for the Transport Rule. Office of Air Quality Planning	Costs to be replaced include: (a) bag leak detector replacing opacity test; (b) CO CEMS replacing CO test and secondary chamber temperature monitor;(c) HCl CEMS replacing HCl test, HCl sorbent monitor (dry scrubbers) and scrubber liquor pH monitor (wet Sources: 1. Hospital/Medical/Infectious Waste Incinerators (HMIWI) [EPA-HQ-OAR-2006-0534] Testing and Monitoring Options and Costs Memo	E-mail and attachment from Peter Westlin, EPA, to Mary Johnson,	Some Preliminary Thoughts on the HWI Monitoring.	Stack Testing Costs Parameters/Costs Equation Values A. Parameters 1. Cost index a.	Medical Waste Incinerator Study: Emission Measurement and Continuous Monitoring.	C-34 Table C-4d. Visible Emissions Testing Costs Parameters/Costs Equation Values A. Parameters 1. Operating labor rate, $/hr (LR) $34.60 2. Capital recovery factor, 5-yr equipment life, 7% interest (CRF) = [i x (1 + i)a] / [(1 + i)a - 1], where i = interest rate, a = equipment life 0.24389 B. Total Capital Investment, $ (TCI) = Combination light meter/anemometer ($200) + digital stopwatches (2 each at $25) $250 C. Direct Annual Costs, $/yr 1.	Reporting Requirements 1. Read instructions	State average tipping fees from BioCycle	Where state data unavailable, NSWMA’s 2005 Tip Fee Survey regional averages were used.	average used. All values corrected to 2008 dollars using CPI data from Bureau of Labor Statistics: http://data.bls.gov/cgi-bin/cpicalc.pl Unit-specific tipping fees are listed in Table 5. 2. Hauling cost:	WAEdmonds 1 FB vs -	Volume based on sludge density of 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435). c. Assumed square concrete pad. d. Rail height of 6 feet chosen for minimal concrete surface area requirement. e. Based on cost of $154 per 4&apos; by 8&apos; sheet of flattened aluminum, 0.125 inches thick (Metals Depot: http://www.metalsdepot.com/products/hrsteel2.phtml?page=expanded&LimAcc=$LimAcc) f. Researched concrete slab costs (including installation, materials, and labor) ranged from $3/ft2 to $10/ft2. For this analysis, an average of $6/ft2 was used. g. Capital Recovery Factor based on 7% interest and 15 year lifetime.	assumed density of dewatered sludge is 1215 lbs/yd3 (Pocket Ref (ISBN 1-885071-00-0) page 435) *assumed maximum capacity of hauling vehicles (36 cu yd) for 50+ cu yd/day. (Land application of biosolids: process design manual.
Regulatory Impact Analysis for the Transport Rule	0.31999999999999995	0.26530612244897955	0.2857142857142857	0.19047619047619047	0.28205128205128205	0.37777777777777777	0.24528301886792447	0.24137931034482762	0.13043478260869568	0.25	0.30000000000000004	0.4285714285714286	0.26086956521739135	0.2093023255813954	0.34545454545454546	0.7297297297297297	0.17647058823529416	0.27586206896551724	0.23636363636363633	0.12	0.34545454545454546	0.276595744680851	0.27586206896551724	0.07317073170731703	0.18518518518518523	0.18518518518518523	0.06382978723404253	0.32307692307692304	0.2727272727272727	0.2272727272727273	0.33333333333333337	0.2727272727272727	0.3623188405797102	0.25	0.23809523809523814	0.37037037037037035	0.2857142857142857	0.6571428571428571	0.3913043478260869	0.3548387096774194
Regulatory Impact Analysis of the Proposed Revisions to the National Ambient Air Quality Standards for Lead	0.33333333333333337	0.2857142857142857	0.23809523809523814	0.34693877551020413	0.30434782608695654	0.3846153846153846	0.16666666666666663	0.19999999999999996	0.16981132075471694	0.2727272727272727	0.36170212765957444	0.3877551020408163	0.16981132075471694	0.24	0.19354838709677424	0.6818181818181819	0.10344827586206895	0.23076923076923073	0.12903225806451613	0.1228070175438597	0.25806451612903225	0.2592592592592593	0.23076923076923073	0.20833333333333337	0.049180327868852514	0.11475409836065575	0.14814814814814814	0.2777777777777778	0.2941176470588235	0.2941176470588235	0.34545454545454546	0.2941176470588235	0.3157894736842105	0.3191489361702128	0.26530612244897955	0.3114754098360656	0.2063492063492064	0.6190476190476191	0.26315789473684215	0.21739130434782605
Regulatory Impact Analysis National Ambient Air Quality Standards for Groundlevel Ozone Chapter 6	0.3666666666666667	0.3220338983050848	0.2727272727272727	0.3846153846153846	0.3877551020408163	0.38181818181818183	0.2063492063492064	0.20588235294117652	0.2142857142857143	0.27586206896551724	0.43999999999999995	0.42307692307692313	0.2142857142857143	0.28301886792452835	0.19999999999999996	0.6595744680851063	0.11475409836065575	0.23529411764705888	0.19999999999999996	0.16666666666666663	0.32307692307692304	0.33333333333333337	0.2647058823529411	0.2549019607843137	0.125	0.15625	0.19298245614035092	0.2533333333333333	0.37037037037037035	0.37037037037037035	0.3793103448275862	0.2962962962962963	0.31645569620253167	0.36	0.2692307692307693	0.34375	0.2727272727272727	0.6444444444444444	0.2911392405063291	0.2777777777777778
Standards of Performance for New Stationary Sources and Emission Guidelines for Existing Sources Sewage Sludge Incinerators Draft Report	0.3214285714285714	0.2727272727272727	0.25806451612903225	0.29166666666666663	0.33333333333333337	0.4509803921568627	0.22033898305084743	0.1875	0.3076923076923077	0.2222222222222222	0.3913043478260869	0.41666666666666663	0.23076923076923073	0.18367346938775508	0.34426229508196726	0.6744186046511628	0.22807017543859653	0.25	0.24590163934426235	0.2142857142857143	0.34426229508196726	0.24528301886792447	0.28125	0.23404255319148937	0.23333333333333328	0.23333333333333328	0.24528301886792447	0.323943661971831	0.31999999999999995	0.31999999999999995	0.2962962962962963	0.24	0.33333333333333337	0.30434782608695654	0.29166666666666663	0.4	0.3548387096774194	0.6585365853658536	0.30666666666666664	0.2647058823529411
Particulate Matter Air Pollution and Cardiovascular Disease An Update to the Scientific Statement From the American Heart Association 	0.2727272727272727	0.2962962962962963	0.21311475409836067	0.36170212765957444	0.36363636363636365	0.36	0.1724137931034483	0.17460317460317465	0.2549019607843137	0.24528301886792447	0.33333333333333337	0.276595744680851	0.2549019607843137	0.29166666666666663	0.23333333333333328	0.6666666666666667	0.2857142857142857	0.23809523809523814	0.23333333333333328	0.2727272727272727	0.2666666666666667	0.23076923076923073	0.2063492063492064	0.34782608695652173	0.288135593220339	0.288135593220339	0.3076923076923077	0.34285714285714286	0.26530612244897955	0.30612244897959184	0.3207547169811321	0.30612244897959184	0.3783783783783784	0.37777777777777777	0.276595744680851	0.35593220338983056	0.21311475409836067	0.55	0.32432432432432434	0.4029850746268657
The State of Garbage in America Table 4	0.41666666666666663	0.44680851063829785	0.40740740740740744	0.30000000000000004	0.29729729729729726	0.39534883720930236	0.2941176470588235	0.3214285714285714	0.2272727272727273	0.4347826086956522	0.368421052631579	0.4	0.31818181818181823	0.31707317073170727	0.39622641509433965	0.7714285714285715	0.30612244897959184	0.3571428571428571	0.3207547169811321	0.29166666666666663	0.3584905660377359	0.4222222222222223	0.3571428571428571	0.33333333333333337	0.3076923076923077	0.3076923076923077	0.28888888888888886	0.39682539682539686	0.33333333333333337	0.33333333333333337	0.34782608695652173	0.38095238095238093	0.4626865671641791	0.42105263157894735	0.30000000000000004	0.42307692307692313	0.33333333333333337	0.696969696969697	0.4626865671641791	0.43333333333333335
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.28301886792452835	0.2692307692307693	0.18644067796610164	0.24444444444444446	0.23809523809523814	0.33333333333333337	0.25	0.2786885245901639	0.26530612244897955	0.21568627450980393	0.39534883720930236	0.37777777777777777	0.22448979591836737	0.17391304347826086	0.31034482758620685	0.6	0.2962962962962963	0.21311475409836067	0.27586206896551724	0.28301886792452835	0.27586206896551724	0.0	0.21311475409836067	0.2272727272727273	0.29824561403508776	0.29824561403508776	0.28	0.3529411764705882	0.23404255319148937	0.3191489361702128	0.21568627450980393	0.19148936170212771	0.33333333333333337	0.3023255813953488	0.28888888888888886	0.368421052631579	0.3220338983050848	0.5263157894736843	0.33333333333333337	0.3846153846153846
What determines the value of life A metaanalysis	0.3191489361702128	0.26086956521739135	0.3207547169811321	0.28205128205128205	0.2777777777777778	0.2857142857142857	0.28	0.34545454545454546	0.2093023255813954	0.28888888888888886	0.18918918918918914	0.33333333333333337	0.2093023255813954	0.25	0.34615384615384615	0.7647058823529411	0.29166666666666663	0.38181818181818183	0.3076923076923077	0.276595744680851	0.3076923076923077	0.31818181818181823	0.34545454545454546	0.26315789473684215	0.2941176470588235	0.33333333333333337	0.2727272727272727	0.4193548387096774	0.1707317073170732	0.2682926829268293	0.37777777777777777	0.2682926829268293	0.4545454545454546	0.3513513513513513	0.28205128205128205	0.33333333333333337	0.3584905660377359	0.4375	0.4545454545454546	0.423728813559322
Prenatal methylmercury exposure as a cardiovascular risk factor at seven years of age	0.21568627450980393	0.16000000000000003	0.19298245614035092	0.2093023255813954	0.25	0.3913043478260869	0.18518518518518523	0.2542372881355932	0.19148936170212771	0.22448979591836737	0.31707317073170727	0.39534883720930236	0.19148936170212771	0.18181818181818177	0.3214285714285714	0.736842105263158	0.2692307692307693	0.2542372881355932	0.2142857142857143	0.17647058823529416	0.2857142857142857	0.20833333333333337	0.2542372881355932	0.23809523809523814	0.19999999999999996	0.23636363636363633	0.20833333333333337	0.36363636363636365	0.24444444444444446	0.28888888888888886	0.26530612244897955	0.28888888888888886	0.37142857142857144	0.2682926829268293	0.2093023255813954	0.38181818181818183	0.29824561403508776	0.6111111111111112	0.34285714285714286	0.2698412698412699
An empirical Bayes approach to combining and comparing estimates of the value of a statistical life for environmental policy analysis 	0.2549019607843137	0.24	0.26315789473684215	0.2558139534883721	0.25	0.30434782608695654	0.18518518518518523	0.2542372881355932	0.1063829787234043	0.26530612244897955	0.31707317073170727	0.39534883720930236	0.19148936170212771	0.18181818181818177	0.2857142857142857	0.7894736842105263	0.1923076923076923	0.288135593220339	0.2142857142857143	0.21568627450980393	0.3214285714285714	0.25	0.2542372881355932	0.19047619047619047	0.19999999999999996	0.23636363636363633	0.20833333333333337	0.36363636363636365	0.24444444444444446	0.33333333333333337	0.34693877551020413	0.28888888888888886	0.34285714285714286	0.2682926829268293	0.16279069767441856	0.3090909090909091	0.22807017543859653	0.5	0.34285714285714286	0.3015873015873016
