	Simplified Flow Sheet of Clinker and Cement Manufacture........................................ 2-2 2-2. Labor Costs per Metric Ton of Cement	Current Employment Statistics (National): Customizable Data Tables” Available at As obtained on	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Cement Association.	Cement Association. 2008b. “Market Research: Producer Price Indices—Competitive Building Materials.” Available at	Cement Association (PCA).	Department of Commerce, Bureau of the Census.	DC: Government Printing Office. Available at As obtained on	the Census.	Optimal Tariffs and Market Power: The Evidence.” American Economic Review 98(5):2032-2065.	Estimating Particulate MatterMortality Dose-Response Curves and Threshold Levels: An Analysis of Daily TimeSeries for the 20 Largest	A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the U.S.	D&B Million Dollar Directory.	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Multimarket Contact and Pricing: Evidence from the U.S.	Historical Statistics for Mineral and Material Commodities in the United States: Cement End Use Statistics.” U.S. Geological Survey Data Series 140, Version 1.2. Available at	Historical Statistics for Mineral and Material Commodities in the United States: Cement Supply and	Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality. Special Report to the Health Effects Institute.	Reduction in Fine Particulate Air Pollution and Mortality.”	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Price and Seller Concentration in Cement: Effective Oligopoly or	Circular A-4: Regulatory Analysis.	Invited Commentary: Particulate Matter-Mortality Exposure-Response Relations and Thresholds.”	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	U.S. and Canadian Portland Cement Industry: Plant Information Summary.	U.S. and Canadian Labor-Energy Input Survey	Flash Report: Capacity Expansion Update.” Available at < http://www.cement.org/econ/pdf/NONMEMBERCapacity Expansion.pdf>. As obtained on	Association (PCA). 2008a. “Cement and Concrete Basics: History & Manufacture of Portland Cement.” Available at concretebasics_history.asp>.	Association (PCA). 2008b. “Market Research: Producer Price Indices— Competitive Building Materials.” Available at	Association (PCA).	Cement Plant Operating Cost Study.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci.	Air Pollution and Cause-Specific Mortality in Milan, Italy, 1980–1989.” Arch Environ Health	The Cost of Environmental Regulation in a Concentrated Industry.” Available at	The Concentration-Response Relation between PM(2.5) and Daily Deaths.” Environ Health Perspectives	The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival.” Environmental Health Perspectives	Using Meta-Smoothing to Estimate Dose-Response Trends Across Multiple Studies, with Application to Air Pollution and Daily Death.”	Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix,	of the Census.	of the Census; generated by RTI International; using American FactFinder; “Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Department of Commerce, Bureau of Economic Analysis.	Department of Energy, Energy Information Administration.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey. 2008b. Minerals Commodity Summaries, Cement	Statistics (BLS). 2007b. “State and Area Employment, Hours and Earnings	Regulatory Impact Analysis of Cement Kiln Dust Rulemaking. Appendix C,	Environmental Protection Agency (EPA).	Environmental Protection Agency.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency Science Advisory	Advisory on Plans for Health Effects Analysis for EPA’s Second Prospective Analysis— Benefits and Costs of the Clean Air Act,	International Trade Commission (USITC). 2006. Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review). Publication 3856. Available at	Trade Commission.	Cement Manufacture and the Environment Part I: Chemistry and	Microeconomic Analysis. 3rd Ed.
State and Area Employment Hours and Earnings 2005	0.7857142857142857	0.8297872340425532	0.8198198198198198	0.8163265306122449	0.8260869565217391	0.7959183673469388	0.7959183673469388	0.8421052631578947	0.8571428571428571	0.7176470588235294	0.8	0.8024691358024691	0.8367346938775511	0.7764705882352941	0.8653846153846154	0.8284023668639053	0.7731958762886598	0.8352941176470589	0.7666666666666667	0.76	0.7301587301587301	0.7755102040816326	0.7692307692307693	0.7708333333333334	0.6818181818181818	0.8367346938775511	0.7903225806451613	0.803030303030303	0.831858407079646	0.8775510204081632	0.7959183673469388	0.7966101694915254	0.8021978021978022	0.7848101265822784	0.8105263157894737	0.8045112781954887	0.796875	0.7439024390243902	0.8571428571428571	0.848314606741573	0.84	0.7962962962962963	0.8775510204081632	0.7865168539325843	0.4264705882352941	0.75	0.7959183673469388	0.7959183673469388	0.7763157894736842	0.8979591836734694	0.8203125	0.8395061728395061	0.8367346938775511	0.6949152542372882	0.8163265306122449
State Energy Consumption Price and Expenditure Estimates SEDS Technical Notes Prices and Expenditures Section 4	0.7657657657657657	0.8018018018018018	0.8378378378378378	0.8648648648648649	0.8521739130434782	0.8648648648648649	0.8018018018018018	0.7657657657657657	0.918918918918919	0.8108108108108109	0.8153846153846154	0.7567567567567568	0.8648648648648649	0.7837837837837838	0.7657657657657657	0.7337278106508875	0.7747747747747747	0.7529411764705882	0.7567567567567568	0.7657657657657657	0.7747747747747747	0.8558558558558559	0.7657657657657657	0.7567567567567568	0.7567567567567568	0.8198198198198198	0.7983870967741935	0.8106060606060606	0.9026548672566371	0.9099099099099099	0.8108108108108109	0.788135593220339	0.7837837837837838	0.7747747747747747	0.7837837837837838	0.7593984962406015	0.78125	0.7387387387387387	0.9099099099099099	0.7584269662921348	0.7837837837837838	0.7837837837837838	0.7747747747747747	0.7837837837837838	0.7387387387387387	0.7747747747747747	0.8288288288288288	0.8288288288288288	0.7477477477477478	0.7747747747747747	0.8125	0.7777777777777778	0.8828828828828829	0.7387387387387387	0.8378378378378378
Technical Support Document Calculating Benefit PerTon estimates Ozone NAAQS Docket EPAHQOAR2007	0.8571428571428571	0.8736842105263158	0.8378378378378378	0.8736842105263158	0.8347826086956521	0.8421052631578947	0.8	0.7473684210526316	0.9157894736842105	0.8	0.7846153846153846	0.8210526315789474	0.8421052631578947	0.7473684210526316	0.7684210526315789	0.7751479289940828	0.7731958762886598	0.8	0.7578947368421053	0.7684210526315789	0.7473684210526316	0.8526315789473684	0.8526315789473684	0.84375	0.7894736842105263	0.8315789473684211	0.8387096774193549	0.7954545454545454	0.8495575221238938	0.8947368421052632	0.8	0.7966101694915254	0.8736842105263158	0.7473684210526316	0.8421052631578947	0.7669172932330827	0.8203125	0.8105263157894737	0.9052631578947369	0.8146067415730337	0.7894736842105263	0.7684210526315789	0.7789473684210526	0.8842105263157894	0.8315789473684211	0.7789473684210526	0.7368421052631579	0.7789473684210526	0.8421052631578947	0.7684210526315789	0.8046875	0.7777777777777778	0.8947368421052632	0.7789473684210526	0.8421052631578947
The Clean Air Act Amendments CAAA Section 812 Prospective Study of Costs and Benefits 	0.7959183673469388	0.851063829787234	0.8198198198198198	0.8372093023255814	0.7913043478260869	0.8255813953488372	0.7209302325581395	0.7674418604651163	0.8953488372093024	0.9069767441860465	0.7846153846153846	0.8372093023255814	0.872093023255814	0.8023255813953488	0.7674418604651163	0.7869822485207101	0.8144329896907216	0.7647058823529411	0.7790697674418605	0.8023255813953488	0.7674418604651163	0.8255813953488372	0.8351648351648352	0.8125	0.813953488372093	0.813953488372093	0.8064516129032258	0.7727272727272727	0.8053097345132744	0.8953488372093024	0.7558139534883721	0.7711864406779662	0.8681318681318682	0.7209302325581395	0.7789473684210526	0.7218045112781954	0.765625	0.8023255813953488	0.8837209302325582	0.7528089887640449	0.7558139534883721	0.7790697674418605	0.7790697674418605	0.8539325842696629	0.7674418604651163	0.7790697674418605	0.7674418604651163	0.7674418604651163	0.7790697674418605	0.7674418604651163	0.6796875	0.7901234567901234	0.872093023255814	0.7674418604651163	0.8255813953488372
2007 North American Cement Industry Annua Yearbook	0.7448979591836735	0.776595744680851	0.8108108108108109	0.8	0.7913043478260869	0.82	0.8	0.8245614035087719	0.82	0.8470588235294118	0.8153846153846154	0.7901234567901234	0.84	0.7764705882352941	0.8653846153846154	0.834319526627219	0.8041237113402062	0.8235294117647058	0.8	0.76	0.7619047619047619	0.78	0.7912087912087912	0.8020833333333334	0.6363636363636364	0.76	0.8145161290322581	0.803030303030303	0.7787610619469026	0.88	0.82	0.8050847457627118	0.8241758241758241	0.7215189873417721	0.7894736842105263	0.8120300751879699	0.8046875	0.8170731707317073	0.8	0.8314606741573034	0.86	0.8148148148148148	0.88	0.797752808988764	0.7794117647058824	0.7205882352941176	0.8	0.8	0.7894736842105263	0.82	0.8125	0.8024691358024691	0.86	0.7966101694915254	0.8
Cement and Concrete Basics History  Manufacture of Portland Cement	0.6530612244897959	0.7340425531914894	0.7837837837837838	0.7878787878787878	0.7652173913043478	0.7575757575757576	0.7121212121212122	0.7878787878787878	0.9090909090909091	0.8470588235294118	0.7923076923076923	0.7901234567901234	0.8333333333333334	0.7764705882352941	0.7878787878787878	0.7988165680473372	0.7938144329896907	0.788235294117647	0.7424242424242424	0.8	0.7727272727272727	0.803030303030303	0.7582417582417582	0.75	0.7878787878787878	0.7575757575757576	0.8064516129032258	0.5	0.8053097345132744	0.8636363636363636	0.7272727272727273	0.7542372881355932	0.7692307692307693	0.7848101265822784	0.7473684210526316	0.7518796992481203	0.75	0.7560975609756098	0.8939393939393939	0.7584269662921348	0.7727272727272727	0.7878787878787878	0.7575757575757576	0.7078651685393258	0.8529411764705882	0.8382352941176471	0.8181818181818182	0.803030303030303	0.7894736842105263	0.8181818181818182	0.75	0.8148148148148148	0.8636363636363636	0.7121212121212122	0.8181818181818182
DB Million Dollar Directory	0.8673469387755102	0.851063829787234	0.8648648648648649	0.8518518518518519	0.8782608695652174	0.8888888888888888	0.7906976744186046	0.8070175438596491	0.9259259259259259	0.8823529411764706	0.8538461538461538	0.8148148148148148	0.0	0.8941176470588236	0.8076923076923077	0.8994082840236687	0.865979381443299	0.9058823529411765	0.7833333333333333	0.8266666666666667	0.7936507936507936	0.8387096774193549	0.8461538461538461	0.8333333333333334	0.7878787878787878	0.775	0.8790322580645161	0.8636363636363636	0.8849557522123894	0.8518518518518519	0.8333333333333334	0.8898305084745762	0.8351648351648352	0.8354430379746836	0.8315789473684211	0.8721804511278195	0.8515625	0.8292682926829268	0.8518518518518519	0.9044943820224719	0.78	0.8333333333333334	0.8085106382978723	0.8426966292134831	0.8529411764705882	0.8382352941176471	0.8285714285714286	0.8064516129032258	0.8421052631578947	0.7708333333333334	0.890625	0.9012345679012346	0.8518518518518519	0.8135593220338984	0.896551724137931
Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between PM25 Exposure and Mortality	0.8053097345132744	0.7964601769911505	0.8407079646017699	0.8495575221238938	0.8434782608695652	0.831858407079646	0.7699115044247787	0.7610619469026548	0.9203539823008849	0.8053097345132744	0.7923076923076923	0.7522123893805309	0.8849557522123894	0.24778761061946902	0.8141592920353983	0.7810650887573964	0.831858407079646	0.7588235294117647	0.7345132743362832	0.7964601769911505	0.7168141592920354	0.8672566371681416	0.7256637168141593	0.8053097345132744	0.7699115044247787	0.831858407079646	0.8306451612903226	0.7954545454545454	0.8584070796460177	0.8849557522123894	0.8053097345132744	0.6440677966101694	0.8053097345132744	0.7610619469026548	0.7522123893805309	0.7669172932330827	0.8125	0.7699115044247787	0.8938053097345132	0.7640449438202247	0.7699115044247787	0.7433628318584071	0.7433628318584071	0.8053097345132744	0.7699115044247787	0.7522123893805309	0.8141592920353983	0.8230088495575221	0.7610619469026548	0.7787610619469026	0.796875	0.7901234567901234	0.8938053097345132	0.7522123893805309	0.8672566371681416
Flash Report Capacity Expansion Update	0.8163265306122449	0.8297872340425532	0.8558558558558559	0.7631578947368421	0.8521739130434782	0.7368421052631579	0.8372093023255814	0.8245614035087719	0.8421052631578947	0.8235294117647058	0.8461538461538461	0.8024691358024691	0.8947368421052632	0.788235294117647	0.7692307692307693	0.8698224852071006	0.8247422680412371	0.8647058823529412	0.7833333333333333	0.8	0.8095238095238095	0.8947368421052632	0.7582417582417582	0.7916666666666666	0.7575757575757576	0.875	0.6935483870967742	0.8484848484848485	0.8495575221238938	0.7631578947368421	0.868421052631579	0.8305084745762712	0.7912087912087912	0.8227848101265823	0.7894736842105263	0.849624060150376	0.8203125	0.7560975609756098	0.8421052631578947	0.8651685393258427	0.82	0.7962962962962963	0.8297872340425532	0.8202247191011236	0.7941176470588235	0.7794117647058824	0.8947368421052632	0.8421052631578947	0.8026315789473685	0.8333333333333334	0.84375	0.8518518518518519	0.7631578947368421	0.8305084745762712	0.7894736842105263
Market Research Producer Price Indices�Competitive Building Materials	0.826530612244898	0.8085106382978723	0.8108108108108109	0.8695652173913043	0.40869565217391307	0.855072463768116	0.7681159420289855	0.782608695652174	0.8695652173913043	0.8117647058823529	0.8	0.8024691358024691	0.855072463768116	0.7764705882352941	0.7536231884057971	0.7928994082840237	0.7731958762886598	0.8058823529411765	0.8260869565217391	0.8266666666666667	0.7681159420289855	0.8115942028985508	0.7692307692307693	0.78125	0.8260869565217391	0.8260869565217391	0.8225806451612904	0.8181818181818182	0.39823008849557523	0.8840579710144928	0.8115942028985508	0.7542372881355932	0.8241758241758241	0.8354430379746836	0.7789473684210526	0.7669172932330827	0.765625	0.7804878048780488	0.8695652173913043	0.8202247191011236	0.7681159420289855	0.782608695652174	0.7971014492753623	0.7528089887640449	0.782608695652174	0.8405797101449275	0.8260869565217391	0.8115942028985508	0.7368421052631579	0.782608695652174	0.796875	0.7901234567901234	0.8405797101449275	0.7971014492753623	0.7971014492753623
Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality	0.7398373983739838	0.7886178861788617	0.8048780487804879	0.8861788617886179	0.8048780487804879	0.8780487804878049	0.8048780487804879	0.7886178861788617	0.9349593495934959	0.7723577235772358	0.8153846153846154	0.8048780487804879	0.8780487804878049	0.7560975609756098	0.7886178861788617	0.7041420118343196	0.7642276422764228	0.27647058823529413	0.6016260162601627	0.6747967479674797	0.7642276422764228	0.8699186991869918	0.7642276422764228	0.6585365853658537	0.7479674796747967	0.8211382113821138	0.8629032258064516	0.7878787878787878	0.8048780487804879	0.9105691056910569	0.8292682926829268	0.7560975609756098	0.7723577235772358	0.7642276422764228	0.8130081300813008	0.7593984962406015	0.7265625	0.7560975609756098	0.9105691056910569	0.7247191011235955	0.7886178861788617	0.7804878048780488	0.7886178861788617	0.7560975609756098	0.7723577235772358	0.7886178861788617	0.8455284552845529	0.8455284552845529	0.7317073170731707	0.7723577235772358	0.84375	0.7407407407407407	0.9105691056910569	0.7398373983739838	0.8780487804878049
US and Canadian LaborEnergy Input Survey 2005	0.7959183673469388	0.851063829787234	0.8648648648648649	0.8666666666666667	0.8347826086956521	0.8444444444444444	0.8666666666666667	0.8596491228070176	0.8888888888888888	0.7529411764705882	0.8384615384615385	0.8271604938271605	0.8	0.8235294117647058	0.8269230769230769	0.8461538461538461	0.8041237113402062	0.8588235294117647	0.8333333333333334	0.8266666666666667	0.7936507936507936	0.8444444444444444	0.8021978021978022	0.7708333333333334	0.6060606060606061	0.1111111111111111	0.8467741935483871	0.8409090909090909	0.8407079646017699	0.8888888888888888	0.7555555555555555	0.8389830508474576	0.8131868131868132	0.7848101265822784	0.8	0.8345864661654135	0.84375	0.8048780487804879	0.8666666666666667	0.8539325842696629	0.9	0.7777777777777778	0.8297872340425532	0.7865168539325843	0.8088235294117647	0.8088235294117647	0.8	0.8222222222222222	0.8552631578947368	0.8958333333333334	0.8515625	0.8518518518518519	0.8666666666666667	0.7457627118644068	0.8222222222222222
US and Canadian Portland Cement Industry Plant Information Summary	0.7142857142857143	0.8085106382978723	0.8288288288288288	0.7878787878787878	0.782608695652174	0.7727272727272727	0.7878787878787878	0.7878787878787878	0.8939393939393939	0.8235294117647058	0.7769230769230769	0.8271604938271605	0.7878787878787878	0.7411764705882353	0.8181818181818182	0.7869822485207101	0.7525773195876289	0.8	0.7878787878787878	0.7866666666666666	0.803030303030303	0.803030303030303	0.7582417582417582	0.7083333333333334	0.0	0.5909090909090909	0.782258064516129	0.7424242424242424	0.7964601769911505	0.8787878787878788	0.7727272727272727	0.7711864406779662	0.7692307692307693	0.7974683544303798	0.7578947368421053	0.8045112781954887	0.7578125	0.7682926829268293	0.8787878787878788	0.7921348314606742	0.803030303030303	0.7424242424242424	0.7575757575757576	0.7640449438202247	0.8676470588235294	0.8088235294117647	0.803030303030303	0.7424242424242424	0.7894736842105263	0.803030303030303	0.7890625	0.7407407407407407	0.8636363636363636	0.6818181818181818	0.8484848484848485
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US TechnolEnviron Sci	0.768	0.744	0.8	0.864	0.8	0.856	0.776	0.784	0.936	0.8	0.8	0.72	0.88	0.632	0.768	0.7692307692307693	0.768	0.7647058823529411	0.744	0.744	0.768	0.864	0.728	0.64	0.784	0.856	0.88	0.8333333333333334	0.824	0.904	0.84	0.056	0.744	0.776	0.784	0.7669172932330827	0.8515625	0.648	0.912	0.7696629213483146	0.792	0.768	0.768	0.744	0.8	0.72	0.832	0.84	0.752	0.784	0.8203125	0.7777777777777778	0.912	0.76	0.872
The Cost of Environmental Regulation in a Concentrated Industry	0.7244897959183674	0.7978723404255319	0.8288288288288288	0.8253968253968254	0.808695652173913	0.8095238095238095	0.746031746031746	0.7936507936507936	0.873015873015873	0.8352941176470589	0.8076923076923077	0.7407407407407407	0.7936507936507936	0.7294117647058823	0.8095238095238095	0.8165680473372781	0.7216494845360825	0.788235294117647	0.7777777777777778	0.8266666666666667	0.7936507936507936	0.746031746031746	0.7582417582417582	0.78125	0.803030303030303	0.7936507936507936	0.7983870967741935	0.7727272727272727	0.8230088495575221	0.8412698412698413	0.746031746031746	0.7711864406779662	0.7912087912087912	0.20253164556962025	0.7263157894736842	0.7368421052631579	0.7734375	0.6951219512195121	0.8253968253968254	0.7640449438202247	0.7777777777777778	0.7142857142857143	0.7619047619047619	0.7528089887640449	0.8088235294117647	0.8382352941176471	0.6507936507936508	0.6507936507936508	0.75	0.5873015873015873	0.796875	0.7962962962962963	0.873015873015873	0.7936507936507936	0.7936507936507936
Invited Commentary Particulate MatterMortality ExposureResponse Relations and Thresholds	0.8163265306122449	0.7872340425531915	0.8108108108108109	0.8409090909090909	0.8173913043478261	0.8295454545454546	0.7840909090909091	0.7727272727272727	0.9090909090909091	0.8636363636363636	0.6461538461538462	0.7840909090909091	0.8409090909090909	0.7045454545454546	0.7613636363636364	0.7869822485207101	0.7835051546391752	0.7411764705882353	0.7045454545454546	0.7613636363636364	0.7840909090909091	0.7954545454545454	0.03296703296703297	0.71875	0.75	0.7954545454545454	0.7983870967741935	0.75	0.8141592920353983	0.8977272727272727	0.7727272727272727	0.7372881355932204	0.8351648351648352	0.8409090909090909	0.8105263157894737	0.7894736842105263	0.7578125	0.7840909090909091	0.8977272727272727	0.7696629213483146	0.7840909090909091	0.7727272727272727	0.75	0.8651685393258427	0.75	0.8068181818181818	0.7613636363636364	0.7613636363636364	0.6704545454545454	0.7159090909090909	0.765625	0.7592592592592593	0.8636363636363636	0.7727272727272727	0.8181818181818182
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.8163265306122449	0.8404255319148937	0.7747747747747747	0.8494623655913979	0.7913043478260869	0.8494623655913979	0.7849462365591398	0.7741935483870968	0.9354838709677419	0.8387096774193549	0.7384615384615385	0.8172043010752689	0.8279569892473119	0.8064516129032258	0.7526881720430108	0.7810650887573964	0.7731958762886598	0.7529411764705882	0.7634408602150538	0.7634408602150538	0.7311827956989247	0.8172043010752689	0.7096774193548387	0.03125	0.7096774193548387	0.7634408602150538	0.8064516129032258	0.7803030303030303	0.8053097345132744	0.8924731182795699	0.8064516129032258	0.635593220338983	0.8064516129032258	0.7956989247311828	0.8	0.7894736842105263	0.734375	0.6666666666666666	0.9139784946236559	0.7696629213483146	0.7741935483870968	0.7526881720430108	0.7526881720430108	0.8924731182795699	0.7741935483870968	0.7634408602150538	0.8064516129032258	0.8172043010752689	0.7956989247311828	0.7741935483870968	0.78125	0.7530864197530864	0.8817204301075269	0.7419354838709677	0.8494623655913979
Using MetaSmoothing to Estimate DoseResponse Trends Across Multiple Studies with Application to Air Pollution and Daily Death	0.776	0.768	0.824	0.88	0.768	0.864	0.832	0.792	0.928	0.8	0.7230769230769231	0.784	0.864	0.752	0.824	0.7218934911242604	0.768	0.7529411764705882	0.728	0.704	0.776	0.856	0.776	0.728	0.752	0.848	0.896	0.8484848484848485	0.768	0.904	0.84	0.832	0.792	0.776	0.776	0.7969924812030075	0.0234375	0.784	0.92	0.7752808988764045	0.784	0.8	0.816	0.776	0.768	0.776	0.832	0.84	0.744	0.816	0.828125	0.7469135802469136	0.92	0.8	0.864
Reduction in Fine Particulate Air Pollution and Mortality	0.7857142857142857	0.776595744680851	0.8108108108108109	0.8245614035087719	0.7652173913043478	0.8070175438596491	0.7719298245614035	0.8421052631578947	0.9122807017543859	0.8235294117647058	0.8	0.7654320987654321	0.7719298245614035	0.788235294117647	0.8245614035087719	0.8224852071005917	0.7628865979381443	0.6941176470588235	0.05	0.6933333333333334	0.8095238095238095	0.7719298245614035	0.6813186813186813	0.7083333333333334	0.7727272727272727	0.8070175438596491	0.7983870967741935	0.7575757575757576	0.7522123893805309	0.8596491228070176	0.8070175438596491	0.7372881355932204	0.7692307692307693	0.7215189873417721	0.7473684210526316	0.7593984962406015	0.71875	0.7560975609756098	0.8947368421052632	0.8033707865168539	0.7894736842105263	0.7368421052631579	0.7368421052631579	0.7752808988764045	0.7352941176470589	0.7647058823529411	0.7719298245614035	0.7543859649122807	0.7368421052631579	0.7719298245614035	0.7890625	0.808641975308642	0.8771929824561403	0.847457627118644	0.7894736842105263
A MicroEconometric Model of Capital Utilization and Retirement The Case of the US Cement Industry	0.8163265306122449	0.7938144329896907	0.8108108108108109	0.8865979381443299	0.8347826086956521	0.8762886597938144	0.7216494845360825	0.7835051546391752	0.9072164948453608	0.865979381443299	0.7692307692307693	0.16494845360824742	0.8247422680412371	0.8350515463917526	0.7422680412371134	0.7514792899408284	0.7525773195876289	0.7411764705882353	0.7938144329896907	0.8041237113402062	0.711340206185567	0.8556701030927835	0.7938144329896907	0.8247422680412371	0.7525773195876289	0.8041237113402062	0.8145161290322581	0.7575757575757576	0.8230088495575221	0.8865979381443299	0.8041237113402062	0.7203389830508474	0.8247422680412371	0.7628865979381443	0.8041237113402062	0.7518796992481203	0.8046875	0.7525773195876289	0.8762886597938144	0.7584269662921348	0.7835051546391752	0.7938144329896907	0.8041237113402062	0.8144329896907216	0.7938144329896907	0.7835051546391752	0.8144329896907216	0.8041237113402062	0.7731958762886598	0.7525773195876289	0.7421875	0.7901234567901234	0.8969072164948454	0.7525773195876289	0.7938144329896907
Estimating Particulate MatterMortality DoseResponse Curves and Threshold Levels An Analysis of Daily TimeSeries for the 20 Largest US Cities	0.7785714285714286	0.7785714285714286	0.8	0.9142857142857143	0.8071428571428572	0.9071428571428571	0.8214285714285714	0.8285714285714286	0.9428571428571428	0.7571428571428571	0.07142857142857142	0.7571428571428571	0.8642857142857143	0.7928571428571428	0.7857142857142857	0.7337278106508875	0.75	0.7647058823529411	0.8071428571428572	0.7142857142857143	0.8	0.8428571428571429	0.6714285714285714	0.75	0.7928571428571428	0.8642857142857143	0.8571428571428571	0.8142857142857143	0.7785714285714286	0.9357142857142857	0.8642857142857143	0.7285714285714285	0.8071428571428572	0.8214285714285714	0.7357142857142858	0.8285714285714286	0.7285714285714285	0.75	0.9357142857142857	0.7640449438202247	0.8071428571428572	0.8214285714285714	0.8357142857142857	0.7428571428571429	0.7785714285714286	0.7857142857142857	0.8714285714285714	0.8785714285714286	0.7857142857142857	0.8357142857142857	0.75	0.7962962962962963	0.9214285714285714	0.7714285714285715	0.8571428571428571
Air Pollution and CauseSpecific Mortality in Milan Italy 1980�1989	0.7755102040816326	0.7872340425531915	0.7837837837837838	0.8636363636363636	0.7652173913043478	0.8484848484848485	0.803030303030303	0.8181818181818182	0.9242424242424242	0.7647058823529411	0.8153846153846154	0.7777777777777778	0.803030303030303	0.8235294117647058	0.8181818181818182	0.8106508875739645	0.7628865979381443	0.788235294117647	0.803030303030303	0.8266666666666667	0.8181818181818182	0.7878787878787878	0.7582417582417582	0.8020833333333334	0.8787878787878788	0.7878787878787878	0.8145161290322581	0.7803030303030303	0.7787610619469026	0.8636363636363636	0.7878787878787878	0.7966101694915254	0.2857142857142857	0.8227848101265823	0.7578947368421053	0.7819548872180451	0.7734375	0.7682926829268293	0.9090909090909091	0.8314606741573034	0.7878787878787878	0.803030303030303	0.803030303030303	0.8089887640449438	0.8970588235294118	0.8823529411764706	0.803030303030303	0.8181818181818182	0.75	0.8181818181818182	0.7890625	0.8209876543209876	0.8636363636363636	0.8484848484848485	0.803030303030303
Price and Seller Concentration in Cement Effective Oligopoly or Misspecified Transportation Costs	0.7448979591836735	0.8144329896907216	0.7927927927927928	0.8350515463917526	0.8173913043478261	0.8247422680412371	0.7835051546391752	0.7216494845360825	0.9278350515463918	0.8556701030927835	0.7615384615384615	0.8041237113402062	0.8350515463917526	0.7835051546391752	0.7628865979381443	0.7514792899408284	0.845360824742268	0.7588235294117647	0.7319587628865979	0.7731958762886598	0.35051546391752575	0.8350515463917526	0.8350515463917526	0.8350515463917526	0.711340206185567	0.8041237113402062	0.8064516129032258	0.7651515151515151	0.8230088495575221	0.8969072164948454	0.8247422680412371	0.8050847457627118	0.8350515463917526	0.8041237113402062	0.8041237113402062	0.7819548872180451	0.796875	0.7525773195876289	0.9072164948453608	0.7191011235955056	0.7731958762886598	0.7319587628865979	0.7835051546391752	0.8144329896907216	0.8041237113402062	0.7731958762886598	0.8041237113402062	0.8144329896907216	0.7422680412371134	0.7422680412371134	0.7578125	0.7716049382716049	0.8556701030927835	0.8041237113402062	0.8247422680412371
Optimal Tariffs and Market Power The Evidence	0.7857142857142857	0.776595744680851	0.8198198198198198	0.8666666666666667	0.8	0.8666666666666667	0.8	0.8421052631578947	0.8888888888888888	0.47058823529411764	0.8	0.7777777777777778	0.8222222222222222	0.8117647058823529	0.75	0.8284023668639053	0.7216494845360825	0.8411764705882353	0.8166666666666667	0.7733333333333333	0.8095238095238095	0.8	0.7802197802197802	0.78125	0.8181818181818182	0.8444444444444444	0.8387096774193549	0.8181818181818182	0.8141592920353983	0.8888888888888888	0.8444444444444444	0.7711864406779662	0.7692307692307693	0.759493670886076	0.8	0.8045112781954887	0.84375	0.7682926829268293	0.8444444444444444	0.8595505617977528	0.86	0.8518518518518519	0.851063829787234	0.8202247191011236	0.75	0.7941176470588235	0.8444444444444444	0.7555555555555555	0.7894736842105263	0.8125	0.8203125	0.8333333333333334	0.8	0.7288135593220338	0.8222222222222222
Multimarket Contact and Pricing Evidence from the US Cement Industry	0.7755102040816326	0.7872340425531915	0.8018018018018018	0.8529411764705882	0.782608695652174	0.8382352941176471	0.6764705882352942	0.75	0.8676470588235294	0.7294117647058823	0.7846153846153846	0.7901234567901234	0.8235294117647058	0.8	0.23529411764705882	0.7869822485207101	0.6907216494845361	0.7823529411764706	0.8529411764705882	0.8	0.8088235294117647	0.8382352941176471	0.7802197802197802	0.75	0.7794117647058824	0.75	0.8064516129032258	0.7575757575757576	0.7699115044247787	0.8970588235294118	0.75	0.7711864406779662	0.8241758241758241	0.810126582278481	0.8210526315789474	0.7744360902255639	0.796875	0.7804878048780488	0.8235294117647058	0.7921348314606742	0.7647058823529411	0.7647058823529411	0.7647058823529411	0.8089887640449438	0.8676470588235294	0.7941176470588235	0.7794117647058824	0.7647058823529411	0.7763157894736842	0.7058823529411765	0.78125	0.8024691358024691	0.8676470588235294	0.7058823529411765	0.8088235294117647
