	Analysis of Piping Replacement Thresholds Appendix D Methodology for Calculating Compliance Costs Appendix E Access Model Structure and Specifications Appendix F Analysis of Statistical Relationship between State Regulatory Programs and Confirmed Release Data Appendix G Expert Consultation Selection and Data Collection Methodology Appendix H Expert Consultation Responses Appendix I Methodology for Calculating Avoided Cleanup Costs Appendix J Estimation of Future UST System and Release Universes for the Alternative 62 United States Department of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Sources Cited quot2005 US Motor Fuel Station Count 168987quot	Association of State and Territorial Solid Waste Management Officials State Fund Survey Results	Committee on Vehicle Emission Inspection and Maintenance Programs Evaluating Vehicle Emissions Inspection and Maintenance Programs	Analyzing Gasoline Demand Elasticities A Survey” Energy Economics	Petroleum Hydrocarbon Vapor Intrusion Investigations Current General Practice” Leaking Underground Storage Tanks	memoranda and analyses submitted under Contract EPW05018 “US Environmental Protection Agency Underground Storage TanksLeaking Underground Storage Tanks Analytical and Technical Support” Eckert Andrew and	Methodology Statement ESRI Data—Business Locations and Business Summary” httpwwwesricomlibrarywhitepaperspdfsinfousabusinessdatabasepdf ICF quotEconomic Impact Analysis of Additional Mechanisms for Local Government Entities to Demonstrate Financial Responsibility for Underground Storage Tanksquot	Executive Order 12866 “Regulatory Planning and Review”	The Economics of Price Zones and Territorial Restrictions in Gasoline Marketing” Federal Trade Commission	The Measurement of Environmental and Resource Values Theory and Methods Resources for the Future	Determinants of Storelevel Price Elasticity”	Approaches to Assessing the Benefits Costs	Detailed Assessment of UST Universe by Tank Purpose and Designquot Work Assignment 125 Task 6	Methodology for Secondary Containment for Pipingquot Work Assignment 119 Task 5	Methodology to Estimate Avoided Costs Associated with a Typical UST Leakquot	Preliminary Assessment and Scoping of Data Related to Potential Revisions to the UST Regulations” Work Assignment 125 Tasks	Entities Screening Analysis of UST Universe by Industry Sector” Work Assignment 325 Task 4	The Economics of Gasoline Retailing Petroleum Distribution and Retailing Issues in the USquot	MarketFacts	National Association of Convenience Stores	of Convenience Stores “Consumer Fuels Report” February 2008 as cited in “Testimony of Bill Douglass Douglass Distributing Company	of Convenience Stores “How do retailers get – and sell – gasoline”	of Convenience Stores “Who sells gasoline in the United States”	Department of Environmental Services quotUnderground Storage Tank Programquot	Benzene toxicity and risk assessment 19721992 implications for future regulation” Environ Health Perspect	A Preliminary Meta Analysis of Contingent Values for Ground Water Revisited” In The Economic Value of Water Quality	MarketFacts 2008quot National Petroleum News Rhode Island Department of Environmental Management Underground Storage Tank Environmental Results Program Final Report Tables IIV Risk Management Association Statement Studies Sector 447	Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations”	Distributing Company on behalf of the National Association of Convenience Stores before the House Judiciary Committee AntiTrust Task Force Hearing to Examine the Consumer Effects of Rising Gas Prices	of Labor Statistics quotEmployer Costs for Employee Compensationquot	Bureau of Labor Statistics quotOccupational Employment and Wagesquot	of Transportation Statistics “Sales Price of Transportation Fuel to EndUsers in National Transportation Statistics	Economic Census Retail Trade Industry Series Gasoline Stations	Industry Statistics Sampler NAICS 447 Geographic Distribution Gasoline Stations	of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Environmental Protection Agency “ERP States Produce Results”	Environmental Protection Agency Office of Underground Storage Tanks “Evaluation of Releases from New and Upgraded Underground Storage Tank Systems peer review draft”	Environmental Protection Agency Office of Underground Storage Tanks “Petroleum Releases at Underground Storage Tank Facilities in Florida”	Environmental Protection Agency Office of Underground Storage Tanks	Environmental Protection Agency quotRegulatory Impact Analysis of Technical Standards for Underground Storage Tanksquot	Environmental Protection Agency quotStatus of State Fund Programsquot accessed on September 9 2010 httpwwwepagovouststatesfndstatushtm US Environmental Protection Agency “Summary of the updated Regulatory Impact Analysis RIA for the Reconsideration of the 2008 Ozone National Ambient Air Quality Standard NAAQSquot US Environmental Protection Agency quotUnderground Storage Tanks Technical and Financial Requirements and State Program Approval Proceduresquot Supporting Statement for EPA Information Collection Request Number 136008	Revenue Service SOI TaxStats Table 7 Corporation Returns with Net Income for 2007 Accessible online at httpwwwirsgovtaxstatsarticle0id17069300html	US Office of Management and Budget Circular No A76	Office of Management and Budget Circular No A94 Revised	of Environmental Quality quotUnderground Storage Tank Programquot	of Environmental Conservation	Underground Storage Tank FieldBased Research Project Report Submitted to the California State Water Resources Control Board under contract to the
Petroleum Releases at Underground Storage Tank Facilities in Florida	0.36363636363636365	0.34693877551020413	0.20833333333333337	0.30434782608695654	0.33333333333333337	0.2727272727272727	0.34426229508196726	0.34375	0.4117647058823529	0.2549019607843137	0.26086956521739135	0.36363636363636365	0.4358974358974359	0.2962962962962963	0.28301886792452835	0.31999999999999995	0.26315789473684215	0.3214285714285714	0.19999999999999996	0.4838709677419355	0.3846153846153846	0.3214285714285714	0.3913043478260869	0.34782608695652173	0.16666666666666663	0.3928571428571429	0.3571428571428571	0.3015873015873016	0.23404255319148937	0.27586206896551724	0.36363636363636365	0.33333333333333337	0.23404255319148937	0.2272727272727273	0.36	0.2962962962962963	0.25	0.25	0.18518518518518523	0.16666666666666663	0.1923076923076923	0.37142857142857144	0.38983050847457623	0.3191489361702128	0.33333333333333337	0.21739130434782605	0.4054054054054054	0.15384615384615385
Preliminary Assessment and Scoping of Data Related to Potential Revisions to the UST Regulations Tasks 24 Work Assignment 125	0.2727272727272727	0.4	0.22033898305084743	0.33333333333333337	0.3220338983050848	0.303030303030303	0.2222222222222222	0.28	0.3870967741935484	0.3548387096774194	0.29824561403508776	0.34545454545454546	0.4	0.10769230769230764	0.15625	0.2786885245901639	0.05882352941176472	0.19402985074626866	0.24590163934426235	0.6666666666666667	0.4	0.28358208955223885	0.4385964912280702	0.33333333333333337	0.18644067796610164	0.28358208955223885	0.28358208955223885	0.21621621621621623	0.24137931034482762	0.21739130434782605	0.38181818181818183	0.3220338983050848	0.3448275862068966	0.34545454545454546	0.2786885245901639	0.23076923076923073	0.288135593220339	0.22388059701492535	0.23076923076923073	0.18644067796610164	0.1428571428571429	0.28395061728395066	0.2857142857142857	0.3793103448275862	0.3220338983050848	0.26315789473684215	0.45833333333333337	0.2063492063492064
Sales Price of Transportation Fuel to EndUsers in National Transportation Statistics 2010	0.3623188405797102	0.2692307692307693	0.33333333333333337	0.34693877551020413	0.4117647058823529	0.3793103448275862	0.34375	0.4029850746268657	0.40740740740740744	0.37037037037037035	0.30612244897959184	0.36170212765957444	0.4285714285714286	0.29824561403508776	0.3214285714285714	0.39622641509433965	0.30000000000000004	0.35593220338983056	0.28301886792452835	0.5882352941176471	0.33333333333333337	0.3220338983050848	0.4285714285714286	0.3877551020408163	0.21568627450980393	0.35593220338983056	0.423728813559322	0.2727272727272727	0.36	0.3114754098360656	0.3191489361702128	0.33333333333333337	0.12	0.3191489361702128	0.39622641509433965	0.4035087719298246	0.37254901960784315	0.288135593220339	0.29824561403508776	0.2549019607843137	0.2727272727272727	0.31506849315068497	0.32258064516129037	0.36	0.4117647058823529	0.30612244897959184	0.4	0.2727272727272727
SemiAnnual Report of UST Performance Measures End of Fiscal Year 2009	0.28767123287671237	0.2857142857142857	0.23636363636363633	0.3207547169811321	0.38181818181818183	0.3870967741935484	0.3529411764705882	0.323943661971831	0.4482758620689655	0.31034482758620685	0.24528301886792447	0.37254901960784315	0.4347826086956522	0.3114754098360656	0.2666666666666667	0.33333333333333337	0.28125	0.33333333333333337	0.26315789473684215	0.5789473684210527	0.3913043478260869	0.3015873015873016	0.4716981132075472	0.4339622641509434	0.23636363636363633	0.3650793650793651	0.33333333333333337	0.22857142857142854	0.33333333333333337	0.29230769230769227	0.33333333333333337	0.34545454545454546	0.2222222222222222	0.2941176470588235	0.4035087719298246	0.34426229508196726	0.3090909090909091	0.2698412698412699	0.24590163934426235	0.23636363636363633	0.22033898305084743	0.2987012987012987	0.303030303030303	0.33333333333333337	0.3090909090909091	0.3207547169811321	0.40909090909090906	0.2542372881355932
SemiAnnual Report of UST Performance Measures for Fiscal Year 1999 	0.34285714285714286	0.3207547169811321	0.23076923076923073	0.36	0.42307692307692313	0.38983050847457623	0.3846153846153846	0.3529411764705882	0.49090909090909096	0.34545454545454546	0.28	0.375	0.39534883720930236	0.31034482758620685	0.22807017543859653	0.37037037037037035	0.2786885245901639	0.4	0.2962962962962963	0.5428571428571429	0.34883720930232553	0.3666666666666667	0.48	0.43999999999999995	0.2692307692307693	0.4	0.3666666666666667	0.31343283582089554	0.33333333333333337	0.32258064516129037	0.33333333333333337	0.3846153846153846	0.2549019607843137	0.33333333333333337	0.40740740740740744	0.3448275862068966	0.34615384615384615	0.30000000000000004	0.27586206896551724	0.2692307692307693	0.25	0.3513513513513513	0.33333333333333337	0.33333333333333337	0.3076923076923077	0.36	0.41463414634146345	0.25
SemiAnnual Report of UST Performance Measures for Fiscal Year 2009	0.323943661971831	0.2962962962962963	0.24528301886792447	0.37254901960784315	0.4339622641509434	0.4	0.3939393939393939	0.3623188405797102	0.5	0.3571428571428571	0.2941176470588235	0.3877551020408163	0.40909090909090906	0.3220338983050848	0.27586206896551724	0.38181818181818183	0.29032258064516125	0.3770491803278688	0.3090909090909091	0.5555555555555556	0.36363636363636365	0.3114754098360656	0.4901960784313726	0.4509803921568627	0.28301886792452835	0.4098360655737705	0.3770491803278688	0.2647058823529411	0.34615384615384615	0.33333333333333337	0.34693877551020413	0.39622641509433965	0.2692307692307693	0.34693877551020413	0.4181818181818182	0.35593220338983056	0.3584905660377359	0.3114754098360656	0.288135593220339	0.28301886792452835	0.26315789473684215	0.33333333333333337	0.3125	0.34615384615384615	0.3207547169811321	0.37254901960784315	0.4285714285714286	0.26315789473684215
Site Summaries Pease Air Force Base NewingtonPortsmouth	0.41538461538461535	0.45833333333333337	0.3191489361702128	0.33333333333333337	0.36170212765957444	0.4444444444444444	0.4	0.39682539682539686	0.48	0.4	0.37777777777777777	0.39534883720930236	0.26315789473684215	0.4339622641509434	0.34615384615384615	0.3877551020408163	0.3928571428571429	0.4545454545454546	0.34693877551020413	0.5333333333333333	0.3157894736842105	0.4181818181818182	0.4222222222222223	0.4222222222222223	0.36170212765957444	0.4181818181818182	0.4181818181818182	0.3548387096774194	0.4347826086956522	0.33333333333333337	0.39534883720930236	0.36170212765957444	0.34782608695652173	0.39534883720930236	0.30612244897959184	0.3584905660377359	0.3191489361702128	0.34545454545454546	0.3584905660377359	0.3191489361702128	0.33333333333333337	0.42028985507246375	0.3793103448275862	0.30434782608695654	0.3191489361702128	0.4222222222222223	0.4444444444444444	0.2941176470588235
Small Entities Screening Analysis of UST Universe by Industry Sector	0.2753623188405797	0.42307692307692313	0.17647058823529416	0.26530612244897955	0.21568627450980393	0.24137931034482762	0.28125	0.25373134328358204	0.40740740740740744	0.37037037037037035	0.22448979591836737	0.276595744680851	0.38095238095238093	0.22807017543859653	0.2857142857142857	0.24528301886792447	0.2666666666666667	0.15254237288135597	0.16981132075471694	0.6470588235294117	0.2857142857142857	0.288135593220339	0.34693877551020413	0.30612244897959184	0.17647058823529416	0.35593220338983056	0.2542372881355932	0.2727272727272727	0.24	0.24590163934426235	0.23404255319148937	0.21568627450980393	0.28	0.19148936170212771	0.24528301886792447	0.22807017543859653	0.21568627450980393	0.22033898305084743	0.19298245614035092	0.0980392156862745	0.12727272727272732	0.31506849315068497	0.29032258064516125	0.28	0.2941176470588235	0.18367346938775508	0.30000000000000004	0.2727272727272727
Summary of Key Data from State Public Record Postings	0.34328358208955223	0.43999999999999995	0.22448979591836737	0.3191489361702128	0.26530612244897955	0.3214285714285714	0.3870967741935484	0.3538461538461538	0.3846153846153846	0.34615384615384615	0.276595744680851	0.24444444444444446	0.4	0.2727272727272727	0.2962962962962963	0.4117647058823529	0.27586206896551724	0.33333333333333337	0.17647058823529416	0.625	0.35	0.26315789473684215	0.36170212765957444	0.36170212765957444	0.22448979591836737	0.368421052631579	0.33333333333333337	0.34375	0.33333333333333337	0.2542372881355932	0.24444444444444446	0.22448979591836737	0.33333333333333337	0.24444444444444446	0.2549019607843137	0.19999999999999996	0.22448979591836737	0.29824561403508776	0.2727272727272727	0.22448979591836737	0.24528301886792447	0.4084507042253521	0.3666666666666667	0.33333333333333337	0.30612244897959184	0.276595744680851	0.368421052631579	0.24528301886792447
Toxicological Profile for Polycyclic Aromatic Hydrocarbons	0.33333333333333337	0.5102040816326531	0.25	0.34782608695652173	0.33333333333333337	0.3090909090909091	0.3770491803278688	0.40625	0.4117647058823529	0.33333333333333337	0.30434782608695654	0.31818181818181823	0.33333333333333337	0.2962962962962963	0.28301886792452835	0.4	0.33333333333333337	0.3214285714285714	0.28	0.6129032258064516	0.33333333333333337	0.3571428571428571	0.34782608695652173	0.3913043478260869	0.29166666666666663	0.3214285714285714	0.3214285714285714	0.39682539682539686	0.36170212765957444	0.24137931034482762	0.31818181818181823	0.29166666666666663	0.36170212765957444	0.31818181818181823	0.31999999999999995	0.18518518518518523	0.29166666666666663	0.3214285714285714	0.2962962962962963	0.20833333333333337	0.2692307692307693	0.4285714285714286	0.35593220338983056	0.36170212765957444	0.33333333333333337	0.30434782608695654	0.3513513513513513	0.3076923076923077
US Environmental Protection Agency Underground Storage TanksLeaking Underground Storage Tanks Analytical and Technical Support	0.295774647887324	0.4444444444444444	0.24528301886792447	0.21568627450980393	0.24528301886792447	0.19999999999999996	0.18181818181818177	0.24637681159420288	0.3928571428571429	0.3214285714285714	0.2549019607843137	0.30612244897959184	0.36363636363636365	0.22033898305084743	0.2068965517241379	0.12727272727272732	0.19354838709677424	0.24590163934426235	0.23636363636363633	0.6111111111111112	0.36363636363636365	0.34426229508196726	0.4117647058823529	0.33333333333333337	0.13207547169811318	0.2786885245901639	0.2786885245901639	0.2647058823529411	0.1923076923076923	0.2063492063492064	0.26530612244897955	0.24528301886792447	0.2692307692307693	0.26530612244897955	0.2727272727272727	0.2542372881355932	0.2075471698113207	0.180327868852459	0.18644067796610164	0.09433962264150941	0.08771929824561409	0.30666666666666664	0.34375	0.34615384615384615	0.3584905660377359	0.17647058823529416	0.38095238095238093	0.22807017543859653
Underground Storage Tank Environmental Results Program Final Report 	0.32352941176470584	0.4117647058823529	0.24	0.25	0.31999999999999995	0.26315789473684215	0.3015873015873016	0.303030303030303	0.39622641509433965	0.28301886792452835	0.25	0.34782608695652173	0.46341463414634143	0.25	0.3090909090909091	0.2692307692307693	0.2542372881355932	0.31034482758620685	0.23076923076923073	0.5757575757575757	0.41463414634146345	0.31034482758620685	0.41666666666666663	0.375	0.12	0.3448275862068966	0.3448275862068966	0.2615384615384615	0.18367346938775508	0.23333333333333328	0.34782608695652173	0.31999999999999995	0.22448979591836737	0.26086956521739135	0.3846153846153846	0.3214285714285714	0.24	0.2068965517241379	0.1785714285714286	0.16000000000000003	0.14814814814814814	0.33333333333333337	0.3770491803278688	0.3877551020408163	0.36	0.16666666666666663	0.33333333333333337	0.18518518518518523
Underground Storage Tank Program	0.5	0.4883720930232558	0.38095238095238093	0.4	0.4285714285714286	0.34693877551020413	0.4181818181818182	0.48275862068965514	0.5111111111111111	0.4222222222222223	0.44999999999999996	0.4736842105263158	0.5151515151515151	0.33333333333333337	0.36170212765957444	0.40909090909090906	0.37254901960784315	0.4	0.31818181818181823	0.6	0.5151515151515151	0.48	0.5	0.44999999999999996	0.23809523809523814	0.48	0.48	0.4385964912280702	0.31707317073170727	0.42307692307692313	0.4736842105263158	0.4285714285714286	0.36585365853658536	0.368421052631579	0.4545454545454546	0.41666666666666663	0.38095238095238093	0.36	0.33333333333333337	0.23809523809523814	0.30434782608695654	0.5	0.5094339622641509	0.36585365853658536	0.47619047619047616	0.19999999999999996	0.4838709677419355	0.30434782608695654
Industry Statistics Sampler NAICS 447 Geographic Distribution�Gasoline Stations 1997	0.33333333333333337	0.3793103448275862	0.368421052631579	0.3090909090909091	0.29824561403508776	0.3125	0.34285714285714286	0.31506849315068497	0.5	0.43333333333333335	0.4181818181818182	0.4339622641509434	0.375	0.33333333333333337	0.25806451612903225	0.35593220338983056	0.33333333333333337	0.3538461538461538	0.288135593220339	0.7	0.375	0.3538461538461538	0.4545454545454546	0.4181818181818182	0.368421052631579	0.3538461538461538	0.3538461538461538	0.3055555555555556	0.3928571428571429	0.25373134328358204	0.3207547169811321	0.33333333333333337	0.4285714285714286	0.28301886792452835	0.05084745762711862	0.33333333333333337	0.368421052631579	0.3846153846153846	0.4285714285714286	0.368421052631579	0.3114754098360656	0.3417721518987342	0.23529411764705888	0.3214285714285714	0.29824561403508776	0.4545454545454546	0.4782608695652174	0.34426229508196726
Retail Trade Industry series Gasoline Stations 2002	0.40625	0.36170212765957444	0.30434782608695654	0.40909090909090906	0.34782608695652173	0.3584905660377359	0.4576271186440678	0.4193548387096774	0.4285714285714286	0.4285714285714286	0.31818181818181823	0.4285714285714286	0.5135135135135135	0.3846153846153846	0.4117647058823529	0.45833333333333337	0.38181818181818183	0.37037037037037035	0.29166666666666663	0.6551724137931034	0.4054054054054054	0.33333333333333337	0.4545454545454546	0.4545454545454546	0.3913043478260869	0.4814814814814815	0.37037037037037035	0.4098360655737705	0.28888888888888886	0.3928571428571429	0.38095238095238093	0.3913043478260869	0.37777777777777777	0.1428571428571429	0.33333333333333337	0.3846153846153846	0.34782608695652173	0.40740740740740744	0.3846153846153846	0.34782608695652173	0.31999999999999995	0.4411764705882353	0.368421052631579	0.4666666666666667	0.4347826086956522	0.36363636363636365	0.4285714285714286	0.4
Status of State Fund Programs	0.4666666666666667	0.4418604651162791	0.2857142857142857	0.35	0.38095238095238093	0.4285714285714286	0.49090909090909096	0.48275862068965514	0.5111111111111111	0.37777777777777777	0.35	0.368421052631579	0.3939393939393939	0.375	0.36170212765957444	0.5	0.4117647058823529	0.43999999999999995	0.31818181818181823	0.52	0.3939393939393939	0.4	0.4	0.4	0.2857142857142857	0.43999999999999995	0.43999999999999995	0.4385964912280702	0.41463414634146345	0.3846153846153846	0.368421052631579	0.33333333333333337	0.31707317073170727	0.368421052631579	0.40909090909090906	0.375	0.33333333333333337	0.4	0.33333333333333337	0.2857142857142857	0.34782608695652173	0.5	0.4716981132075472	0.36585365853658536	0.38095238095238093	0.30000000000000004	0.3548387096774194	0.30434782608695654
TaxStats Table 7 Corporation Returns with Net Income	0.33333333333333337	0.42307692307692313	0.37254901960784315	0.30612244897959184	0.4509803921568627	0.3448275862068966	0.375	0.34328358208955223	0.4814814814814815	0.40740740740740744	0.34693877551020413	0.44680851063829785	0.38095238095238093	0.4385964912280702	0.3571428571428571	0.3584905660377359	0.4	0.423728813559322	0.28301886792452835	0.6470588235294117	0.33333333333333337	0.35593220338983056	0.4285714285714286	0.4285714285714286	0.37254901960784315	0.423728813559322	0.38983050847457623	0.303030303030303	0.4	0.2786885245901639	0.276595744680851	0.37254901960784315	0.36	0.23404255319148937	0.2075471698113207	0.33333333333333337	0.4117647058823529	0.35593220338983056	0.4385964912280702	0.4117647058823529	0.3090909090909091	0.36986301369863017	0.19354838709677424	0.36	0.37254901960784315	0.4693877551020408	0.4	0.2727272727272727
The Economics of Price Zones and Territorial Restrictions in Gasoline Marketing	0.3529411764705882	0.4901960784313726	0.28	0.25	0.36	0.368421052631579	0.39682539682539686	0.33333333333333337	0.4339622641509434	0.09433962264150941	0.20833333333333337	0.34782608695652173	0.36585365853658536	0.3928571428571429	0.2727272727272727	0.34615384615384615	0.3220338983050848	0.3793103448275862	0.1923076923076923	0.5151515151515151	0.41463414634146345	0.4137931034482759	0.41666666666666663	0.375	0.24	0.3448275862068966	0.24137931034482762	0.32307692307692304	0.3877551020408163	0.2666666666666667	0.3913043478260869	0.36	0.34693877551020413	0.26086956521739135	0.3846153846153846	0.3214285714285714	0.31999999999999995	0.31034482758620685	0.2857142857142857	0.24	0.2222222222222222	0.41666666666666663	0.4098360655737705	0.3877551020408163	0.31999999999999995	0.29166666666666663	0.33333333333333337	0.2592592592592593
Testimony of Bill Douglass Douglass Distributing Company on behalf of The National Association of Convenience Stores	0.295774647887324	0.4814814814814815	0.24528301886792447	0.2941176470588235	0.28301886792452835	0.30000000000000004	0.303030303030303	0.24637681159420288	0.5	0.3928571428571429	0.2941176470588235	0.30612244897959184	0.2272727272727273	0.2542372881355932	0.24137931034482762	0.2727272727272727	0.25806451612903225	0.3114754098360656	0.2727272727272727	0.6666666666666667	0.2272727272727273	0.21311475409836067	0.37254901960784315	0.33333333333333337	0.24528301886792447	0.34426229508196726	0.3114754098360656	0.2941176470588235	0.3076923076923077	0.17460317460317465	0.22448979591836737	0.24528301886792447	0.34615384615384615	0.30612244897959184	0.1636363636363637	0.22033898305084743	0.3207547169811321	0.2786885245901639	0.3220338983050848	0.24528301886792447	0.22807017543859653	0.33333333333333337	0.25	0.2692307692307693	0.24528301886792447	0.33333333333333337	0.33333333333333337	0.22807017543859653
2005 US motor fuel station count 168987	0.47058823529411764	0.13725490196078427	0.4	0.45833333333333337	0.43999999999999995	0.4736842105263158	0.39682539682539686	0.5151515151515151	0.4339622641509434	0.5094339622641509	0.41666666666666663	0.3913043478260869	0.46341463414634143	0.3214285714285714	0.34545454545454546	0.5	0.35593220338983056	0.3793103448275862	0.3846153846153846	0.6363636363636364	0.36585365853658536	0.3793103448275862	0.45833333333333337	0.41666666666666663	0.36	0.3793103448275862	0.5172413793103448	0.3846153846153846	0.4693877551020408	0.5	0.34782608695652173	0.4	0.3877551020408163	0.3913043478260869	0.42307692307692313	0.4642857142857143	0.43999999999999995	0.4482758620689655	0.4285714285714286	0.36	0.40740740740740744	0.38888888888888884	0.3114754098360656	0.30612244897959184	0.4	0.41666666666666663	0.3846153846153846	0.40740740740740744
MarketFacts 2008 Overview	0.5737704918032787	0.40909090909090906	0.4418604651162791	0.5121951219512195	0.5813953488372092	0.6	0.5357142857142857	0.5593220338983051	0.4782608695652174	0.5217391304347826	0.46341463414634143	0.5384615384615384	0.5294117647058824	0.5918367346938775	0.5833333333333333	0.5111111111111111	0.5769230769230769	0.5686274509803921	0.6444444444444444	0.3076923076923077	0.47058823529411764	0.4901960784313726	0.5121951219512195	0.5609756097560976	0.5348837209302326	0.5686274509803921	0.607843137254902	0.4482758620689655	0.5714285714285714	0.5849056603773585	0.5897435897435898	0.5813953488372092	0.5714285714285714	0.5897435897435898	0.6444444444444444	0.6326530612244898	0.5813953488372092	0.5294117647058824	0.5102040816326531	0.4883720930232558	0.574468085106383	0.5076923076923077	0.5185185185185186	0.5714285714285714	0.4883720930232558	0.6097560975609756	0.5	0.574468085106383
2009 Methodology Statement ESRI Data�Business Locations and Business Summary	0.34246575342465757	0.3571428571428571	0.3090909090909091	0.28301886792452835	0.3090909090909091	0.3870967741935484	0.38235294117647056	0.295774647887324	0.4137931034482759	0.3793103448275862	0.28301886792452835	0.37254901960784315	0.4347826086956522	0.4098360655737705	0.33333333333333337	0.33333333333333337	0.34375	0.3650793650793651	0.26315789473684215	0.631578947368421	0.4782608695652174	0.3015873015873016	0.4716981132075472	0.4339622641509434	0.34545454545454546	0.33333333333333337	0.33333333333333337	0.3142857142857143	0.40740740740740744	0.3538461538461538	0.33333333333333337	0.2727272727272727	0.4444444444444444	0.2549019607843137	0.29824561403508776	0.34426229508196726	0.3090909090909091	0.39682539682539686	0.3770491803278688	0.34545454545454546	0.288135593220339	0.37662337662337664	0.33333333333333337	0.37037037037037035	0.3090909090909091	0.39622641509433965	0.4545454545454546	0.35593220338983056
NACS Gas Price Kit	0.5593220338983051	0.5238095238095238	0.5121951219512195	0.4871794871794872	0.46341463414634143	0.5	0.5555555555555556	0.5789473684210527	0.6363636363636364	0.5	0.5897435897435898	0.45945945945945943	0.375	0.574468085106383	0.4782608695652174	0.5348837209302326	0.56	0.5918367346938775	0.4883720930232558	0.5	0.25	0.5918367346938775	0.4871794871794872	0.4871794871794872	0.5121951219512195	0.6326530612244898	0.5102040816326531	0.5714285714285714	0.55	0.4509803921568627	0.45945945945945943	0.5609756097560976	0.44999999999999996	0.4054054054054054	0.39534883720930236	0.5319148936170213	0.46341463414634143	0.5102040816326531	0.5319148936170213	0.46341463414634143	0.5111111111111111	0.5873015873015873	0.5384615384615384	0.44999999999999996	0.46341463414634143	0.5897435897435898	0.4666666666666667	0.5111111111111111
Risk Analysis to Support Potential Revisions to Underground Storage Tank UST Regulations	0.34328358208955223	0.43999999999999995	0.22448979591836737	0.3191489361702128	0.30612244897959184	0.25	0.29032258064516125	0.32307692307692304	0.3846153846153846	0.3846153846153846	0.3191489361702128	0.37777777777777777	0.4	0.19999999999999996	0.2592592592592593	0.2549019607843137	0.2068965517241379	0.29824561403508776	0.2941176470588235	0.625	0.35	0.33333333333333337	0.4042553191489362	0.36170212765957444	0.18367346938775508	0.368421052631579	0.33333333333333337	0.3125	0.08333333333333337	0.2542372881355932	0.37777777777777777	0.34693877551020413	0.29166666666666663	0.28888888888888886	0.33333333333333337	0.2727272727272727	0.22448979591836737	0.19298245614035092	0.19999999999999996	0.1428571428571429	0.13207547169811318	0.352112676056338	0.3666666666666667	0.375	0.34693877551020413	0.19148936170212771	0.42105263157894735	0.24528301886792447
Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations	0.36363636363636365	0.4285714285714286	0.20833333333333337	0.34782608695652173	0.29166666666666663	0.2727272727272727	0.3114754098360656	0.3125	0.4117647058823529	0.4117647058823529	0.30434782608695654	0.40909090909090906	0.3846153846153846	0.2222222222222222	0.28301886792452835	0.24	0.22807017543859653	0.2857142857142857	0.31999999999999995	0.6129032258064516	0.33333333333333337	0.3214285714285714	0.3913043478260869	0.34782608695652173	0.20833333333333337	0.3928571428571429	0.3571428571428571	0.33333333333333337	0.06382978723404253	0.27586206896551724	0.36363636363636365	0.33333333333333337	0.3191489361702128	0.2727272727272727	0.31999999999999995	0.2962962962962963	0.25	0.2142857142857143	0.2222222222222222	0.16666666666666663	0.15384615384615385	0.37142857142857144	0.35593220338983056	0.36170212765957444	0.33333333333333337	0.21739130434782605	0.4054054054054054	0.2692307692307693
State Fund Survey Results 2009	0.4838709677419355	0.33333333333333337	0.31818181818181823	0.47619047619047616	0.40909090909090906	0.4901960784313726	0.5087719298245614	0.5	0.44680851063829785	0.5319148936170213	0.33333333333333337	0.44999999999999996	0.6	0.43999999999999995	0.4693877551020408	0.5217391304347826	0.4339622641509434	0.46153846153846156	0.4782608695652174	0.5555555555555556	0.4285714285714286	0.34615384615384615	0.47619047619047616	0.47619047619047616	0.4545454545454546	0.46153846153846156	0.5	0.4576271186440678	0.34883720930232553	0.4444444444444444	0.44999999999999996	0.4545454545454546	0.4418604651162791	0.35	0.4782608695652174	0.43999999999999995	0.36363636363636365	0.46153846153846156	0.4	0.40909090909090906	0.41666666666666663	0.4545454545454546	0.4181818181818182	0.5348837209302326	0.40909090909090906	0.4285714285714286	0.4545454545454546	0.45833333333333337
The Economics of Gasoline Retailing Petroleum Distribution and Retailing Issues in the US	0.23943661971830987	0.4444444444444444	0.28301886792452835	0.2549019607843137	0.28301886792452835	0.2666666666666667	0.33333333333333337	0.24637681159420288	0.4285714285714286	0.25	0.2549019607843137	0.30612244897959184	0.40909090909090906	0.288135593220339	0.31034482758620685	0.34545454545454546	0.25806451612903225	0.2786885245901639	0.018181818181818188	0.6666666666666667	0.40909090909090906	0.3114754098360656	0.4117647058823529	0.33333333333333337	0.16981132075471694	0.3770491803278688	0.24590163934426235	0.23529411764705888	0.34615384615384615	0.2063492063492064	0.30612244897959184	0.28301886792452835	0.2692307692307693	0.18367346938775508	0.23636363636363633	0.22033898305084743	0.28301886792452835	0.2786885245901639	0.2542372881355932	0.2075471698113207	0.1578947368421053	0.33333333333333337	0.3125	0.34615384615384615	0.3584905660377359	0.2549019607843137	0.38095238095238093	0.19298245614035092
