	Pacific South naut mi Longitude Latitude Philadelphia	vessels only Chapter 3 Emission Inventory the US Environmental Protection Agency	Commercial Marine Port Inventory Development prepared for the US Environmental Protection Agency	Estimation Validation and Forecasts of Regional Commercial Marine Vessel Inventories Final Report prepared by University of Delaware for the California Air Resource Board Contract Number 04346 and the Commission for Environmental Cooperation	Estimation Validation and Forecasts of Regional Commercial Marine Vessel Inventories Tasks 1 and 2 Baseline Inventory and Ports Comparison Final Report prepared by University of Delaware for the California Air Resource Board Contract Number 04346 and the Commission for Environmental Cooperation in North America Contract Number 113111	Global Trade and Fuels Assessment â€“ Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report prepared for the US Environmental Protection Agency	RTI Estimates of Growth in Bunker Fuel Consumption Memorandum with spreadsheet from Michael Gallaher and	National Oceanic and Atmospheric Administration Exclusive Economic Zone Available online at httpnauticalchartsnoaagovcsdleezhtm	ICF International 2162009 Email to Penny Carey EPA Docket ID	US Water Transportation Statistical Snapshot available from wwwmaraddotgov Docket ID	Corps of Engineers Navigation Data Center	PortWide Baseline Air Emissions Inventory prepared for the Port of Los Angeles Docket ID EPAHQOAR200701210171 Deleted Deleted wwwmaraddotgov Deleted httpwwwiwrusacearmymi lndcdbpportdbfpport02dbf Regulatory Impact Analysis	The Motor Shipâ€™s Guide to Marine Diesel Engines	available at httpwwwmotorshipcom	Corps of Engineers	Commercial Marine Activity for Deep Sea Ports in the United States prepared for the US Environmental Protection Agency EPA Report Number EPA420R99020 available online at httpwwwepagovotaqmodelsnonrdmdlcmariner99020pdf Docket ID EPAHQOAR	Commercial Marine Activity for Great Lake and Inland River Ports in the United States prepared for the US Environmental Protection Agency EPA Report Number EPA420R99019 available online at httpwwwepagovotaqmodelsnonrdmdlcmariner99019pdf Docket ID EPAHQOAR	Commercial Marine Emission Inventory Development prepared for the US Environmental Protection Agency	Oceangoing Ship Survey	Quantification of Emissions from Ships Associated with Ship Movements between Ports in the European Community prepared for the European Commission	Environmental Protection Agency	Chris Lindhjem of ENVIRON	Environmental Protection Agency Exhaust and Crankcase Emission Factors for Nonroad Engine Modeling â€“ Compression Ignition	153 available online at httpwwwepagovotaqmodelsnonrdmdlnonrdmdl2004420p04009pdf Docket ID	Analysis of Commercial Marine Vessels Emissions and Fuel Consumption Data EPA420R00002 available online at httpwwwepagovotaqmodelsnonrdmdlcmariner00002pdf Docket ID EPAHQOAR	Draft Port of Los Angeles Air Emissions Inventory for Calendar Year	Puget Sound Maritime Air Forum Maritime Air Emissions Inventory Docket ID	for the Port Authority of	HoustonGalveston Area Vessel Emissions Inventory Prepared for the Port of Houston Authority and the Texas Natural Resource Conservation Commission	Update To The Commercial Marine Inventory For Texas To Review Emissions Factors Consider A TonMile EI Method And Revise Emissions For The BeaumontPort Arthur NonAttainment Area Final Report Submitted to the Houston Advanced Research Center Docket ID EPAHQOAR2007	Refinement of the Marine Emissions Inventory for the Corpus Christi Urban Airshed	LADCO 2005 Commercial Marine Emissions Docket ID	Emissions Estimation Methodology for OceanGoing Vessels Docket ID	Commercial Marine Inventories for Select Alaskan Ports Final Report Prepared for the Alaska Department of Conservation	Inventory Contribution of US Flagged Vessels prepared for the US Environmental Protection Agency	Lloydâ€™s Register and International Maritime Organization Marine Exhaust Emission Quantification Study â€“ Baltic Sea in MEPC 45INF7	Current Methodologies and Best Practices in Preparing Port Emission Inventories Final Report prepared for the US Environmental Protection Agency available online at httpwwwepagovsectorsportsbpportemissionsfinalpdf	Updated Emissions from Ocean Shipping	Considering Alternative Input Parameters in an ActivityBased Ship Fuel Consumption and Emissions Model Reply to Comment by Oyvind Endresen et al	Marine Emission Inventory Study Eastern Canada and Great Lakes â€“ Interim Report 4 Gridding Results prepared for Transportation Development Centre Transport Canada	Revision of MARPOL Annex VI and the NOx technical code Input from the four subgroups and individual experts to the final report of the Informal Cross GovernmentIndustry Scientific Group of Experts	Transportation in Canada Annual Report	httpwwwtcgccapolenreportanre20048Fehtm Docket ID EPAHQOAR2007	Emission Inventory Review SECA Inventory Progress Discussion p 11 memorandum to California Air Resources Board Docket ID	Oceangoing Ship Survey Summary of Results Docket ID	Administration Office of Statistical and Economic Analysis	County Air Quality News Issue 62
2005 Oceangoing Ship Survey Summary of Results	0.2727272727272727	0.28	0.3076923076923077	0.33333333333333337	0.3529411764705882	0.33333333333333337	0.3584905660377359	0.2941176470588235	0.43999999999999995	0.3076923076923077	0.38095238095238093	0.28125	0.3877551020408163	0.31707317073170727	0.45945945945945943	0.28358208955223885	0.3142857142857143	0.28301886792452835	0.2195121951219512	0.3076923076923077	0.33333333333333337	0.4666666666666667	0.3448275862068966	0.2857142857142857	0.29230769230769227	0.3877551020408163	0.36	0.45945945945945943	0.3214285714285714	0.34328358208955223	0.31999999999999995	0.34693877551020413	0.31999999999999995	0.3076923076923077	0.2727272727272727	0.3538461538461538	0.27586206896551724	0.24444444444444446	0.25	0.3448275862068966	0.2666666666666667	0.38095238095238093	0.38181818181818183	0.2857142857142857	0.12	0.2727272727272727	0.4222222222222223
Analysis of Commercial Marine Vessels Emissions and Fuel Consumption Data	0.34883720930232553	0.30612244897959184	0.21568627450980393	0.22580645161290325	0.28358208955223885	0.29230769230769227	0.23076923076923073	0.31999999999999995	0.30612244897959184	0.37254901960784315	0.31707317073170727	0.3650793650793651	0.33333333333333337	0.4	0.38888888888888884	0.33333333333333337	0.3623188405797102	0.1923076923076923	0.44999999999999996	0.21568627450980393	0.31707317073170727	0.40909090909090906	0.22807017543859653	0.4181818181818182	0.25	0.25	0.22448979591836737	0.4444444444444444	0.23636363636363633	0.33333333333333337	0.22448979591836737	0.29166666666666663	0.22448979591836737	0.21568627450980393	0.18518518518518523	0.375	0.22807017543859653	0.31818181818181823	0.23636363636363633	0.29824561403508776	0.2542372881355932	0.2682926829268293	0.4444444444444444	0.23636363636363633	0.30612244897959184	0.2093023255813954	0.36363636363636365
Commercial Marine Activity for Deep Sea Ports in the United States	0.2727272727272727	0.16000000000000003	0.07692307692307687	0.2698412698412699	0.2941176470588235	0.24242424242424243	0.3207547169811321	0.33333333333333337	0.36	0.23076923076923073	0.33333333333333337	0.34375	0.34693877551020413	0.31707317073170727	0.45945945945945943	0.25373134328358204	0.2857142857142857	0.05660377358490565	0.36585365853658536	0.15384615384615385	0.2857142857142857	0.4666666666666667	0.24137931034482762	0.3571428571428571	0.29230769230769227	0.22448979591836737	0.24	0.4054054054054054	0.25	0.28358208955223885	0.19999999999999996	0.34693877551020413	0.28	0.11538461538461542	0.1636363636363637	0.3846153846153846	0.1724137931034483	0.24444444444444446	0.2142857142857143	0.31034482758620685	0.23333333333333328	0.33333333333333337	0.4545454545454546	0.2142857142857143	0.24	0.2272727272727273	0.4222222222222223
Commercial Marine Activity for Great Lake and Inland River Ports in the United States	0.3191489361702128	0.2075471698113207	0.1636363636363637	0.303030303030303	0.295774647887324	0.24637681159420288	0.25	0.40740740740740744	0.3584905660377359	0.2727272727272727	0.4666666666666667	0.31343283582089554	0.42307692307692313	0.40909090909090906	0.55	0.2571428571428571	0.23287671232876717	0.1428571428571429	0.4545454545454546	0.23636363636363633	0.33333333333333337	0.375	0.24590163934426235	0.38983050847457623	0.2941176470588235	0.23076923076923073	0.24528301886792447	0.44999999999999996	0.22033898305084743	0.2857142857142857	0.2075471698113207	0.3076923076923077	0.24528301886792447	0.12727272727272732	0.2068965517241379	0.32352941176470584	0.180327868852459	0.33333333333333337	0.22033898305084743	0.24590163934426235	0.17460317460317465	0.37777777777777777	0.4482758620689655	0.22033898305084743	0.24528301886792447	0.276595744680851	0.41666666666666663
Commercial Marine Emission Inventory Development	0.4358974358974359	0.19999999999999996	0.19148936170212771	0.31034482758620685	0.3650793650793651	0.3770491803278688	0.29166666666666663	0.34782608695652173	0.28888888888888886	0.3191489361702128	0.2432432432432432	0.38983050847457623	0.36363636363636365	0.2777777777777778	0.375	0.3548387096774194	0.3846153846153846	0.16666666666666663	0.38888888888888884	0.276595744680851	0.2432432432432432	0.44999999999999996	0.28301886792452835	0.37254901960784315	0.33333333333333337	0.2272727272727273	0.24444444444444446	0.5625	0.2941176470588235	0.3548387096774194	0.24444444444444446	0.2272727272727273	0.24444444444444446	0.23404255319148937	0.28	0.43333333333333335	0.28301886792452835	0.35	0.2549019607843137	0.28301886792452835	0.3090909090909091	0.3513513513513513	0.43999999999999995	0.2549019607843137	0.24444444444444446	0.28205128205128205	0.35
Commercial Marine Inventories for Select Alaskan Ports Final Report	0.34883720930232553	0.22448979591836737	0.21568627450980393	0.32258064516129037	0.31343283582089554	0.29230769230769227	0.23076923076923073	0.4	0.30612244897959184	0.2941176470588235	0.36585365853658536	0.3650793650793651	0.45833333333333337	0.35	0.4444444444444444	0.303030303030303	0.33333333333333337	0.1923076923076923	0.44999999999999996	0.2549019607843137	0.31707317073170727	0.4545454545454546	0.22807017543859653	0.38181818181818183	0.28125	0.29166666666666663	0.22448979591836737	0.5	0.2727272727272727	0.303030303030303	0.26530612244897955	0.29166666666666663	0.34693877551020413	0.05882352941176472	0.2222222222222222	0.375	0.19298245614035092	0.36363636363636365	0.19999999999999996	0.29824561403508776	0.2542372881355932	0.31707317073170727	0.37037037037037035	0.19999999999999996	0.22448979591836737	0.3023255813953488	0.40909090909090906
Current Methodologies and Best Practices in Preparing Port Emission Inventories Final Report	0.28888888888888886	0.21568627450980393	0.2075471698113207	0.21875	0.24637681159420288	0.28358208955223885	0.14814814814814814	0.2692307692307693	0.37254901960784315	0.3207547169811321	0.34883720930232553	0.29230769230769227	0.31999999999999995	0.33333333333333337	0.42105263157894735	0.2941176470588235	0.323943661971831	0.18518518518518523	0.38095238095238093	0.24528301886792447	0.3023255813953488	0.3913043478260869	0.18644067796610164	0.368421052631579	0.24242424242424243	0.28	0.21568627450980393	0.5263157894736843	0.22807017543859653	0.2647058823529411	0.21568627450980393	0.36	0.2941176470588235	0.16981132075471694	0.1785714285714286	0.2727272727272727	0.11864406779661019	0.30434782608695654	0.08771929824561409	0.288135593220339	0.21311475409836067	0.3023255813953488	0.3571428571428571	0.19298245614035092	0.2549019607843137	0.37777777777777777	0.4347826086956522
Draft Port of Los Angeles Air Emissions Inventory for Calendar Year 2005	0.3913043478260869	0.2692307692307693	0.2222222222222222	0.32307692307692304	0.3142857142857143	0.38235294117647056	0.4181818181818182	0.39622641509433965	0.2692307692307693	0.37037037037037035	0.31818181818181823	0.2727272727272727	0.4509803921568627	0.4883720930232558	0.4358974358974359	0.30434782608695654	0.3055555555555556	0.19999999999999996	0.5348837209302326	0.33333333333333337	0.2727272727272727	0.4042553191489362	0.30000000000000004	0.31034482758620685	0.28358208955223885	0.05882352941176472	0.2692307692307693	0.4871794871794872	0.31034482758620685	0.3623188405797102	0.3076923076923077	0.21568627450980393	0.3076923076923077	0.2962962962962963	0.26315789473684215	0.3731343283582089	0.30000000000000004	0.4042553191489362	0.31034482758620685	0.30000000000000004	0.29032258064516125	0.40909090909090906	0.4035087719298246	0.24137931034482762	0.34615384615384615	0.30434782608695654	0.36170212765957444
Emission Inventory Review SECA Inventory Progress Discussion	0.4285714285714286	0.20833333333333337	0.24	0.3114754098360656	0.33333333333333337	0.34375	0.37254901960784315	0.3877551020408163	0.33333333333333337	0.36	0.35	0.32258064516129037	0.44680851063829785	0.4358974358974359	0.4285714285714286	0.29230769230769227	0.32352941176470584	0.21568627450980393	0.3846153846153846	0.24	0.25	0.4418604651162791	0.3214285714285714	0.4444444444444444	0.3015873015873016	0.23404255319148937	0.16666666666666663	0.4285714285714286	0.2962962962962963	0.32307692307692304	0.29166666666666663	0.36170212765957444	0.375	0.28	0.24528301886792447	0.39682539682539686	0.2142857142857143	0.39534883720930236	0.2222222222222222	0.3214285714285714	0.27586206896551724	0.4	0.39622641509433965	0.14814814814814814	0.25	0.33333333333333337	0.34883720930232553
Emissions Estimation Methodology for OceanGoing Vessels	0.31707317073170727	0.3191489361702128	0.26530612244897955	0.33333333333333337	0.3846153846153846	0.33333333333333337	0.28	0.29166666666666663	0.44680851063829785	0.34693877551020413	0.3846153846153846	0.3770491803278688	0.30434782608695654	0.368421052631579	0.4117647058823529	0.375	0.3731343283582089	0.24	0.368421052631579	0.30612244897959184	0.28205128205128205	0.33333333333333337	0.3090909090909091	0.39622641509433965	0.32258064516129037	0.30434782608695654	0.3191489361702128	0.47058823529411764	0.28301886792452835	0.4375	0.3191489361702128	0.34782608695652173	0.06382978723404253	0.34693877551020413	0.2692307692307693	0.3548387096774194	0.3090909090909091	0.19047619047619047	0.28301886792452835	0.34545454545454546	0.22807017543859653	0.4358974358974359	0.46153846153846156	0.3584905660377359	0.276595744680851	0.1707317073170732	0.47619047619047616
Estimation Validation and Forecasts of Regional Commercial Marine Vessel Inventories Final Report	0.34883720930232553	0.26530612244897955	0.21568627450980393	0.22580645161290325	0.28358208955223885	0.32307692307692304	0.1923076923076923	0.31999999999999995	0.3877551020408163	0.2941176470588235	0.2682926829268293	0.3650793650793651	0.375	0.35	0.33333333333333337	0.33333333333333337	0.3623188405797102	0.1923076923076923	0.44999999999999996	0.2941176470588235	0.31707317073170727	0.31818181818181823	0.22807017543859653	0.34545454545454546	0.25	0.25	0.26530612244897955	0.6111111111111112	0.23636363636363633	0.36363636363636365	0.22448979591836737	0.33333333333333337	0.22448979591836737	0.17647058823529416	0.18518518518518523	0.34375	0.19298245614035092	0.2727272727272727	0.19999999999999996	0.26315789473684215	0.22033898305084743	0.31707317073170727	0.40740740740740744	0.23636363636363633	0.26530612244897955	0.3023255813953488	0.4545454545454546
Estimation Validation and Forecasts of Regional Commercial Marine Vessel Inventories Tasks 1 and 2 Baseline Inventory and Ports Comparison Final Report	0.4	0.2857142857142857	0.24137931034482762	0.24637681159420288	0.16216216216216217	0.25	0.18644067796610164	0.4035087719298246	0.2857142857142857	0.31034482758620685	0.375	0.2571428571428571	0.4181818181818182	0.44680851063829785	0.4418604651162791	0.28767123287671237	0.2894736842105263	0.22033898305084743	0.4893617021276596	0.31034482758620685	0.33333333333333337	0.4117647058823529	0.21875	0.32258064516129037	0.21126760563380287	0.2727272727272727	0.25	0.5813953488372092	0.22580645161290325	0.26027397260273977	0.2857142857142857	0.34545454545454546	0.25	0.2068965517241379	0.21311475409836067	0.323943661971831	0.1875	0.37254901960784315	0.19354838709677424	0.25	0.24242424242424243	0.375	0.3770491803278688	0.16129032258064513	0.2857142857142857	0.36	0.4509803921568627
Exhaust and Crankcase Emission Factors for Nonroad Engine Modeling Ð Compression Ignition	0.30434782608695654	0.3076923076923077	0.2592592592592593	0.2615384615384615	0.2857142857142857	0.2941176470588235	0.1636363636363637	0.24528301886792447	0.3846153846153846	0.2962962962962963	0.31818181818181823	0.36363636363636365	0.33333333333333337	0.39534883720930236	0.3846153846153846	0.30434782608695654	0.33333333333333337	0.23636363636363633	0.4418604651162791	0.2962962962962963	0.40909090909090906	0.36170212765957444	0.1333333333333333	0.3448275862068966	0.28358208955223885	0.33333333333333337	0.2692307692307693	0.5384615384615384	0.24137931034482762	0.30434782608695654	0.2692307692307693	0.33333333333333337	0.23076923076923073	0.2222222222222222	0.22807017543859653	0.28358208955223885	0.23333333333333328	0.276595744680851	0.24137931034482762	0.30000000000000004	0.22580645161290325	0.36363636363636365	0.4035087719298246	0.27586206896551724	0.2692307692307693	0.34782608695652173	0.4042553191489362
Global Trade and Fuels Assessment Ð Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report	0.37037037037037035	0.3666666666666667	0.29032258064516125	0.26027397260273977	0.23076923076923073	0.10526315789473684	0.2063492063492064	0.2786885245901639	0.4	0.29032258064516125	0.3846153846153846	0.29729729729729726	0.288135593220339	0.4509803921568627	0.4893617021276596	0.22077922077922074	0.19999999999999996	0.2698412698412699	0.4509803921568627	0.29032258064516125	0.46153846153846156	0.4181818181818182	0.2647058823529411	0.33333333333333337	0.22666666666666668	0.38983050847457623	0.30000000000000004	0.574468085106383	0.2727272727272727	0.24675324675324672	0.30000000000000004	0.35593220338983056	0.2666666666666667	0.22580645161290325	0.2615384615384615	0.33333333333333337	0.23529411764705888	0.3090909090909091	0.21212121212121215	0.2647058823529411	0.19999999999999996	0.34615384615384615	0.3846153846153846	0.24242424242424243	0.2666666666666667	0.33333333333333337	0.49090909090909096
HoustonGalveston Area Vessel Emissions Inventory	0.4871794871794872	0.28888888888888886	0.36170212765957444	0.3793103448275862	0.4285714285714286	0.4426229508196722	0.375	0.34782608695652173	0.37777777777777777	0.44680851063829785	0.4054054054054054	0.38983050847457623	0.40909090909090906	0.38888888888888884	0.5	0.4193548387096774	0.41538461538461535	0.33333333333333337	0.4444444444444444	0.36170212765957444	0.2432432432432432	0.44999999999999996	0.3584905660377359	0.4901960784313726	0.3666666666666667	0.2727272727272727	0.28888888888888886	0.4375	0.21568627450980393	0.4193548387096774	0.28888888888888886	0.36363636363636365	0.28888888888888886	0.4042553191489362	0.28	0.5	0.3584905660377359	0.44999999999999996	0.33333333333333337	0.3584905660377359	0.3090909090909091	0.3513513513513513	0.48	0.33333333333333337	0.33333333333333337	0.28205128205128205	0.30000000000000004
Marine Emission Inventory Study Eastern Canada and Great Lakes Ð Interim Report 4 Gridding Results	0.36170212765957444	0.28301886792452835	0.2727272727272727	0.303030303030303	0.323943661971831	0.30434782608695654	0.25	0.37037037037037035	0.4339622641509434	0.34545454545454546	0.37777777777777777	0.34328358208955223	0.3076923076923077	0.4545454545454546	0.44999999999999996	0.2857142857142857	0.26027397260273977	0.25	0.40909090909090906	0.3090909090909091	0.37777777777777777	0.41666666666666663	0.2786885245901639	0.38983050847457623	0.2941176470588235	0.2692307692307693	0.24528301886792447	0.6	0.288135593220339	0.34285714285714286	0.24528301886792447	0.34615384615384615	0.28301886792452835	0.2727272727272727	0.27586206896551724	0.32352941176470584	0.24590163934426235	0.375	0.22033898305084743	0.11475409836065575	0.2063492063492064	0.33333333333333337	0.4482758620689655	0.22033898305084743	0.24528301886792447	0.36170212765957444	0.41666666666666663
PortWide Baseline Air Emissions Inventory	0.4358974358974359	0.24444444444444446	0.276595744680851	0.3793103448275862	0.39682539682539686	0.4426229508196722	0.375	0.34782608695652173	0.33333333333333337	0.36170212765957444	0.4054054054054054	0.3220338983050848	0.4545454545454546	0.38888888888888884	0.5	0.4193548387096774	0.4461538461538461	0.25	0.5	0.3191489361702128	0.18918918918918914	0.44999999999999996	0.3207547169811321	0.4509803921568627	0.4	0.18181818181818177	0.24444444444444446	0.4375	0.2941176470588235	0.3870967741935484	0.28888888888888886	0.36363636363636365	0.33333333333333337	0.3191489361702128	0.28	0.43333333333333335	0.28301886792452835	0.4	0.2549019607843137	0.39622641509433965	0.34545454545454546	0.3513513513513513	0.48	0.2549019607843137	0.37777777777777777	0.23076923076923073	0.35
Puget Sound Maritime Air Forum Maritime Air Emissions Inventory	0.36585365853658536	0.23404255319148937	0.22448979591836737	0.33333333333333337	0.3538461538461538	0.33333333333333337	0.36	0.33333333333333337	0.36170212765957444	0.3877551020408163	0.3846153846153846	0.3770491803278688	0.34782608695652173	0.4736842105263158	0.47058823529411764	0.34375	0.3731343283582089	0.19999999999999996	0.368421052631579	0.22448979591836737	0.23076923076923073	0.47619047619047616	0.23636363636363633	0.4716981132075472	0.32258064516129037	0.21739130434782605	0.06382978723404253	0.4117647058823529	0.3207547169811321	0.34375	0.23404255319148937	0.3913043478260869	0.3191489361702128	0.26530612244897955	0.1923076923076923	0.3548387096774194	0.19999999999999996	0.33333333333333337	0.16981132075471694	0.3090909090909091	0.26315789473684215	0.3846153846153846	0.46153846153846156	0.24528301886792447	0.3191489361702128	0.2682926829268293	0.38095238095238093
Quantification of Emissions from Ships Associated with Ship Movements between Ports in the European Community	0.30434782608695654	0.23076923076923073	0.18518518518518523	0.2615384615384615	0.2857142857142857	0.2647058823529411	0.2727272727272727	0.28301886792452835	0.42307692307692313	0.2962962962962963	0.36363636363636365	0.2727272727272727	0.37254901960784315	0.3023255813953488	0.4358974358974359	0.21739130434782605	0.25	0.1636363636363637	0.34883720930232553	0.0	0.31818181818181823	0.44680851063829785	0.23333333333333328	0.3793103448275862	0.22388059701492535	0.2941176470588235	0.23076923076923073	0.3846153846153846	0.24137931034482762	0.24637681159420288	0.15384615384615385	0.4117647058823529	0.34615384615384615	0.2222222222222222	0.1578947368421053	0.34328358208955223	0.1333333333333333	0.276595744680851	0.1724137931034483	0.33333333333333337	0.19354838709677424	0.36363636363636365	0.4385964912280702	0.2068965517241379	0.3076923076923077	0.26086956521739135	0.36170212765957444
The New York Northern New Jersey Long Island Nonattainment Area Commercial Marine Vessel Emission Inventory Vol 1  Report	0.42307692307692313	0.27586206896551724	0.2666666666666667	0.23943661971830987	0.21052631578947367	0.2702702702702703	0.24590163934426235	0.3220338983050848	0.3793103448275862	0.30000000000000004	0.4	0.2777777777777778	0.4035087719298246	0.3877551020408163	0.5111111111111111	0.28	0.2564102564102564	0.24590163934426235	0.4693877551020408	0.30000000000000004	0.36	0.3584905660377359	0.24242424242424243	0.34375	0.26027397260273977	0.26315789473684215	0.31034482758620685	0.6	0.21875	0.28	0.27586206896551724	0.33333333333333337	0.27586206896551724	0.2666666666666667	0.2698412698412699	0.36986301369863017	0.24242424242424243	0.39622641509433965	0.25	0.2727272727272727	0.20588235294117652	0.36	0.39682539682539686	0.21875	0.31034482758620685	0.3846153846153846	0.39622641509433965
Transportation in Canada Annual Report 2004 	0.4358974358974359	0.4222222222222223	0.44680851063829785	0.3793103448275862	0.3650793650793651	0.4426229508196722	0.33333333333333337	0.3913043478260869	0.4222222222222223	0.44680851063829785	0.4054054054054054	0.423728813559322	0.36363636363636365	0.4444444444444444	0.4375	0.3870967741935484	0.41538461538461535	0.41666666666666663	0.5	0.4042553191489362	0.45945945945945943	0.5	0.4339622641509434	0.4117647058823529	0.3666666666666667	0.40909090909090906	0.4666666666666667	0.5	0.33333333333333337	0.3870967741935484	0.33333333333333337	0.36363636363636365	0.5111111111111111	0.36170212765957444	0.4	0.5	0.39622641509433965	0.44999999999999996	0.37254901960784315	0.3584905660377359	0.4181818181818182	0.08108108108108103	0.43999999999999995	0.37254901960784315	0.4222222222222223	0.3846153846153846	0.30000000000000004
Update To The Commercial Marine Inventory For Texas To Review Emissions Factors Consider A TonMile EI Method And Revise Emissions For The BeaumontPort Arthur NonAttainment Area Final Report	0.4117647058823529	0.22807017543859653	0.22033898305084743	0.17142857142857137	0.17333333333333334	0.23287671232876717	0.16666666666666663	0.27586206896551724	0.368421052631579	0.3220338983050848	0.4285714285714286	0.295774647887324	0.3928571428571429	0.375	0.5454545454545454	0.2432432432432432	0.2727272727272727	0.19999999999999996	0.45833333333333337	0.22033898305084743	0.34693877551020413	0.42307692307692313	0.16923076923076918	0.4285714285714286	0.25	0.3214285714285714	0.26315789473684215	0.5	0.1428571428571429	0.1351351351351351	0.19298245614035092	0.3928571428571429	0.368421052631579	0.22033898305084743	0.19354838709677424	0.2777777777777778	0.10769230769230764	0.3846153846153846	0.1428571428571429	0.32307692307692304	0.19402985074626866	0.30612244897959184	0.3870967741935484	0.2063492063492064	0.33333333333333337	0.37254901960784315	0.34615384615384615
Vessel Calls at US  World Ports 2005	0.5135135135135135	0.4418604651162791	0.4666666666666667	0.5357142857142857	0.5081967213114754	0.5593220338983051	0.5652173913043479	0.5909090909090908	0.4883720930232558	0.4666666666666667	0.5428571428571429	0.543859649122807	0.5238095238095238	0.5294117647058824	0.6	0.5	0.5238095238095238	0.4347826086956522	0.6470588235294117	0.5111111111111111	0.5428571428571429	0.5789473684210527	0.5686274509803921	0.5102040816326531	0.5172413793103448	0.47619047619047616	0.5348837209302326	0.6	0.5102040816326531	0.5	0.5348837209302326	0.4285714285714286	0.5348837209302326	0.4666666666666667	0.41666666666666663	0.5517241379310345	0.4901960784313726	0.4736842105263158	0.5102040816326531	0.5686274509803921	0.5094339622641509	0.4285714285714286	0.5833333333333333	0.5102040816326531	0.5813953488372092	0.45945945945945943	0.4736842105263158
 PM Emission Factors	0.4545454545454546	0.3846153846153846	0.41463414634146345	0.5	0.5087719298245614	0.49090909090909096	0.38095238095238093	0.44999999999999996	0.3846153846153846	0.5121951219512195	0.4193548387096774	0.5471698113207547	0.4736842105263158	0.4	0.46153846153846156	0.5357142857142857	0.5593220338983051	0.38095238095238093	0.5333333333333333	0.36585365853658536	0.29032258064516125	0.5294117647058824	0.4042553191489362	0.5555555555555556	0.4814814814814815	0.42105263157894735	0.28205128205128205	0.5384615384615384	0.4666666666666667	0.5	0.4358974358974359	0.368421052631579	0.3846153846153846	0.36585365853658536	0.40909090909090906	0.4814814814814815	0.4042553191489362	0.3529411764705882	0.37777777777777777	0.5319148936170213	0.4693877551020408	0.4838709677419355	0.5	0.4666666666666667	0.4871794871794872	0.33333333333333337	0.5294117647058824
Category 3 Marine Engine CO and HC Emission Factors	0.44999999999999996	0.30434782608695654	0.33333333333333337	0.35593220338983056	0.40625	0.3870967741935484	0.34693877551020413	0.36170212765957444	0.3913043478260869	0.45833333333333337	0.368421052631579	0.43333333333333335	0.4222222222222223	0.45945945945945943	0.3939393939393939	0.39682539682539686	0.4242424242424242	0.30612244897959184	0.4054054054054054	0.33333333333333337	0.3157894736842105	0.41463414634146345	0.33333333333333337	0.46153846153846156	0.34426229508196726	0.33333333333333337	0.26086956521739135	0.5757575757575757	0.3846153846153846	0.39682539682539686	0.34782608695652173	0.33333333333333337	0.26086956521739135	0.375	0.33333333333333337	0.3770491803278688	0.33333333333333337	0.2682926829268293	0.2692307692307693	0.40740740740740744	0.3571428571428571	0.42105263157894735	0.4509803921568627	0.3846153846153846	0.3913043478260869	0.25	0.46341463414634143
Estimation of Particulate Matter Emission Factors for Diesel Engines on OceanGoing Vessels	0.33333333333333337	0.375	0.31999999999999995	0.34426229508196726	0.36363636363636365	0.3125	0.2941176470588235	0.34693877551020413	0.375	0.4	0.35	0.3870967741935484	0.3191489361702128	0.4358974358974359	0.4285714285714286	0.3846153846153846	0.38235294117647056	0.2941176470588235	0.4358974358974359	0.36	0.30000000000000004	0.4418604651162791	0.3214285714285714	0.4444444444444444	0.3015873015873016	0.3191489361702128	0.25	0.48571428571428577	0.33333333333333337	0.41538461538461535	0.41666666666666663	0.3191489361702128	0.16666666666666663	0.31999999999999995	0.28301886792452835	0.3650793650793651	0.3214285714285714	0.3023255813953488	0.2962962962962963	0.3571428571428571	0.27586206896551724	0.44999999999999996	0.39622641509433965	0.33333333333333337	0.29166666666666663	0.2857142857142857	0.4883720930232558
Refinement of the Marine Emissions Inventory for the Corpus Christi Urban Airshed	0.40909090909090906	0.24	0.1923076923076923	0.2063492063492064	0.2647058823529411	0.2727272727272727	0.24528301886792447	0.2941176470588235	0.43999999999999995	0.3076923076923077	0.33333333333333337	0.3125	0.3877551020408163	0.36585365853658536	0.4054054054054054	0.25373134328358204	0.2857142857142857	0.16981132075471694	0.41463414634146345	0.15384615384615385	0.38095238095238093	0.33333333333333337	0.24137931034482762	0.3928571428571429	0.2615384615384615	0.26530612244897955	0.28	0.4054054054054054	0.2142857142857143	0.28358208955223885	0.0	0.3877551020408163	0.31999999999999995	0.23076923076923073	0.1636363636363637	0.3846153846153846	0.13793103448275867	0.28888888888888886	0.1785714285714286	0.27586206896551724	0.19999999999999996	0.2857142857142857	0.49090909090909096	0.25	0.28	0.31818181818181823	0.37777777777777777
