	What determines the value of a life? A Meta Analysis,	IX-17 $6.1 million. The range of this factor also shifts rightwards from 1 to 10 million to $1.6 to $10.6 million. Figure IX-4 Normal Distribution for Cost Per Fatalities (M)	Hyundai Accent 4-door Car	Sentra 4-door Car	Hyundai Azera 4-door Car	Versa 5-door Car	Volkswagen Jetta 4-door Car	Dodge Caliber 4-door Car	Hyundai Sonata 4-door Car	Carlo 2-door Car	Volkswagen New GTI 3-door Car	Five Hundred 4-door Car	Fit 5-door Car	Volkswagen New Beetle 3-door Car	Volvo S80 4-door Car	Toyota Prius 5-door Car	Pontiac G6 4-door Car	Focus 4-door Car	Accord 4-door Car	Mazda Mazda3 4-door Car	BMW 3-Series 4-door Car	Acura RL 4-door Car	Dodge Charger 4-door Car	Kia Spectra 4-door Car	Saturn Ion 4-door Car	BMW 5-Series 4-door Car	Chrysler 300 4-door Car	Buick Lucerne 4-door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4-door Car	Chevrolet Aveo 4-door Car	Subaru Legacy 4-door Car	Volkswagen Passat 4-door Car	Toyota Avalon 4-door Car	Cadillac STS 4-door Car	Fusion 4-door Car	Lexus ES 4-door Car	Matrix 5-door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX-9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E-250 Cargo Van
The Economic Impact of Motor Vehicle Crashes 2000	0.34883720930232553	0.3214285714285714	0.4871794871794872	0.5294117647058824	0.5789473684210527	0.5151515151515151	0.44999999999999996	0.5555555555555556	0.5675675675675675	0.5483870967741935	0.4285714285714286	0.5675675675675675	0.5757575757575757	0.46341463414634143	0.5555555555555556	0.5135135135135135	0.5135135135135135	0.5882352941176471	0.625	0.6363636363636364	0.5263157894736843	0.6571428571428571	0.5882352941176471	0.45945945945945943	0.5428571428571429	0.5263157894736843	0.45945945945945943	0.5263157894736843	0.44999999999999996	0.4736842105263158	0.5	0.631578947368421	0.44999999999999996	0.5135135135135135	0.48571428571428577	0.5428571428571429	0.5675675675675675	0.5294117647058824	0.6216216216216216	0.5	0.6571428571428571	0.5263157894736843	0.6428571428571428	0.5757575757575757	0.5294117647058824	0.4285714285714286	0.5428571428571429	0.7058823529411764	0.4444444444444444	0.5555555555555556	0.37777777777777777	0.45945945945945943
Light Vehicle Rear Visibility Assessment	0.33333333333333337	0.46153846153846156	0.4285714285714286	0.6	0.5294117647058824	0.5862068965517242	0.4444444444444444	0.5	0.5757575757575757	0.7037037037037037	0.5263157894736843	0.6363636363636364	0.6551724137931034	0.45945945945945943	0.6875	0.5757575757575757	0.5757575757575757	0.6666666666666667	0.6428571428571428	0.7931034482758621	0.6470588235294117	0.5483870967741935	0.6	0.5757575757575757	0.6774193548387097	0.6470588235294117	0.5151515151515151	0.5294117647058824	0.6111111111111112	0.5294117647058824	0.5	0.47058823529411764	0.4444444444444444	0.5151515151515151	0.6129032258064516	0.6129032258064516	0.6363636363636364	0.6666666666666667	0.5151515151515151	0.5	0.5483870967741935	0.47058823529411764	0.5833333333333333	0.5172413793103448	0.6	0.4736842105263158	0.4838709677419355	0.8	0.5	0.5625	0.46341463414634143	0.6363636363636364
NotinTraffic Surveillance	0.33333333333333337	0.4285714285714286	0.375	0.40740740740740744	0.4838709677419355	0.6153846153846154	0.5151515151515151	0.5172413793103448	0.4	0.5833333333333333	0.48571428571428577	0.4	0.5384615384615384	0.47058823529411764	0.5172413793103448	0.4666666666666667	0.4666666666666667	0.5555555555555556	0.6	0.6923076923076923	0.5483870967741935	0.5714285714285714	0.6296296296296297	0.4	0.4285714285714286	0.5483870967741935	0.6	0.4193548387096774	0.4545454545454546	0.4193548387096774	0.4482758620689655	0.4838709677419355	0.5151515151515151	0.4	0.3571428571428571	0.5	0.5333333333333333	0.5555555555555556	0.4666666666666667	0.4482758620689655	0.5714285714285714	0.3548387096774194	0.6190476190476191	0.3846153846153846	0.5555555555555556	0.37142857142857144	0.3571428571428571	0.7777777777777778	0.5172413793103448	0.3793103448275862	0.42105263157894735	0.6666666666666667
S REP 110275 and S Rep No 275	0.6756756756756757	0.56	0.6363636363636364	0.5	0.625	0.5555555555555556	0.6470588235294117	0.6666666666666667	0.6129032258064516	0.6	0.6111111111111112	0.6129032258064516	0.6296296296296297	0.6	0.6	0.6129032258064516	0.6129032258064516	0.7142857142857143	0.6923076923076923	0.7037037037037037	0.625	0.6551724137931034	0.6428571428571428	0.5483870967741935	0.5862068965517242	0.5625	0.6129032258064516	0.625	0.5882352941176471	0.625	0.6666666666666667	0.625	0.5882352941176471	0.6774193548387097	0.6551724137931034	0.6551724137931034	0.5483870967741935	0.6428571428571428	0.6129032258064516	0.6	0.6551724137931034	0.5625	0.9090909090909091	0.6296296296296297	0.5	0.5	0.7241379310344828	0.7142857142857143	0.6	0.6666666666666667	0.4871794871794872	0.4193548387096774
Vehicle Survivability and Travel Mileage Schedules Technical Report	0.2727272727272727	0.368421052631579	0.4	0.48571428571428577	0.4871794871794872	0.5294117647058824	0.41463414634146345	0.45945945945945943	0.42105263157894735	0.625	0.4418604651162791	0.4736842105263158	0.5882352941176471	0.4285714285714286	0.5135135135135135	0.42105263157894735	0.5263157894736843	0.5428571428571429	0.6363636363636364	0.6470588235294117	0.4871794871794872	0.5555555555555556	0.5428571428571429	0.42105263157894735	0.5	0.4871794871794872	0.4736842105263158	0.4871794871794872	0.5609756097560976	0.4358974358974359	0.45945945945945943	0.3846153846153846	0.41463414634146345	0.42105263157894735	0.4444444444444444	0.5	0.5263157894736843	0.5428571428571429	0.42105263157894735	0.4054054054054054	0.5	0.33333333333333337	0.6551724137931034	0.47058823529411764	0.5428571428571429	0.34883720930232553	0.38888888888888884	0.6571428571428571	0.45945945945945943	0.45945945945945943	0.4347826086956522	0.5789473684210527
A Suggested Approach for Discounting the Benefits and Costs of Environmental Regulation	0.26086956521739135	0.35593220338983056	0.38095238095238093	0.45945945945945943	0.46341463414634143	0.5555555555555556	0.4418604651162791	0.4358974358974359	0.44999999999999996	0.5882352941176471	0.5111111111111111	0.44999999999999996	0.5555555555555556	0.40909090909090906	0.5384615384615384	0.5	0.5	0.5135135135135135	0.5428571428571429	0.6666666666666667	0.46341463414634143	0.4736842105263158	0.45945945945945943	0.4	0.4736842105263158	0.46341463414634143	0.5	0.41463414634146345	0.4418604651162791	0.41463414634146345	0.3846153846153846	0.46341463414634143	0.4418604651162791	0.44999999999999996	0.4736842105263158	0.4736842105263158	0.44999999999999996	0.5675675675675675	0.55	0.4871794871794872	0.631578947368421	0.5121951219512195	0.7419354838709677	0.5555555555555556	0.5135135135135135	0.4222222222222223	0.5789473684210527	0.7297297297297297	0.4358974358974359	0.5384615384615384	0.41666666666666663	0.55
Driver Performance Evaluations of Two Rear Parking Aids	0.28888888888888886	0.31034482758620685	0.41463414634146345	0.5555555555555556	0.5	0.6	0.38095238095238093	0.4736842105263158	0.5384615384615384	0.6363636363636364	0.40909090909090906	0.4871794871794872	0.6	0.39534883720930236	0.631578947368421	0.4358974358974359	0.4871794871794872	0.5555555555555556	0.5882352941176471	0.7142857142857143	0.6	0.5135135135135135	0.5555555555555556	0.5384615384615384	0.5675675675675675	0.6	0.5897435897435898	0.44999999999999996	0.47619047619047616	0.44999999999999996	0.4736842105263158	0.55	0.33333333333333337	0.4358974358974359	0.5135135135135135	0.5135135135135135	0.5384615384615384	0.6111111111111112	0.5897435897435898	0.5789473684210527	0.6216216216216216	0.5	0.7333333333333334	0.6	0.5555555555555556	0.5454545454545454	0.5675675675675675	0.8333333333333334	0.5263157894736843	0.5263157894736843	0.5319148936170213	0.5897435897435898
The  Danger to Young Pedestrians from Reversing Motor Vehicles 18th  International Technical Conference on the Enhanced Safety of  Vehicles	0.3076923076923077	0.2615384615384615	0.45833333333333337	0.5348837209302326	0.5319148936170213	0.5714285714285714	0.4693877551020408	0.5111111111111111	0.4782608695652174	0.65	0.4509803921568627	0.5217391304347826	0.6190476190476191	0.48	0.5111111111111111	0.4347826086956522	0.5217391304347826	0.5813953488372092	0.6585365853658536	0.6666666666666667	0.5319148936170213	0.5909090909090908	0.5348837209302326	0.5217391304347826	0.5	0.5319148936170213	0.5217391304347826	0.5319148936170213	0.4693877551020408	0.44680851063829785	0.5111111111111111	0.4893617021276596	0.4285714285714286	0.4782608695652174	0.5	0.5454545454545454	0.5217391304347826	0.5813953488372092	0.5217391304347826	0.5555555555555556	0.5909090909090908	0.44680851063829785	0.7297297297297297	0.5714285714285714	0.627906976744186	0.4117647058823529	0.5454545454545454	0.6744186046511628	0.4666666666666667	0.5555555555555556	0.4444444444444444	0.5652173913043479
nan	0.8181818181818181	0.8857142857142857	0.7777777777777778	0.6923076923076923	0.7647058823529411	0.8333333333333334	0.7894736842105263	0.8666666666666667	0.75	0.8	0.8095238095238095	0.75	0.8333333333333334	0.8	0.8666666666666667	0.875	0.75	0.8461538461538461	0.8181818181818181	0.8333333333333334	0.8823529411764706	0.8571428571428572	0.8461538461538461	0.875	0.7142857142857143	0.8823529411764706	0.875	0.7647058823529411	0.7894736842105263	0.7647058823529411	0.8666666666666667	0.8823529411764706	0.7894736842105263	0.75	0.8571428571428572	0.7142857142857143	0.875	0.8461538461538461	0.75	0.8666666666666667	0.8571428571428572	0.7647058823529411	0.7142857142857143	0.6666666666666667	0.8461538461538461	0.8095238095238095	0.8571428571428572	0.8461538461538461	0.8666666666666667	0.7333333333333334	0.8333333333333334	0.75
Driver Performance Research into Systems for the Reduction of Backing Incidents at General Motors	0.25	0.3114754098360656	0.4545454545454546	0.5384615384615384	0.5348837209302326	0.631578947368421	0.4666666666666667	0.5121951219512195	0.47619047619047616	0.6666666666666667	0.44680851063829785	0.5238095238095238	0.631578947368421	0.4347826086956522	0.6097560975609756	0.47619047619047616	0.47619047619047616	0.5897435897435898	0.6756756756756757	0.6842105263157895	0.4883720930232558	0.6	0.5384615384615384	0.5238095238095238	0.5	0.4883720930232558	0.5238095238095238	0.4418604651162791	0.5111111111111111	0.4883720930232558	0.5121951219512195	0.4883720930232558	0.4222222222222223	0.5238095238095238	0.55	0.55	0.5714285714285714	0.5897435897435898	0.5238095238095238	0.5609756097560976	0.65	0.4883720930232558	0.7575757575757576	0.5789473684210527	0.641025641025641	0.4893617021276596	0.6	0.7435897435897436	0.5609756097560976	0.5121951219512195	0.52	0.6666666666666667
Driver Performance Research Regarding Systems for Use While Backing	0.26086956521739135	0.38983050847457623	0.47619047619047616	0.5135135135135135	0.5609756097560976	0.6111111111111112	0.4418604651162791	0.4871794871794872	0.5	0.6470588235294117	0.5111111111111111	0.55	0.6111111111111112	0.40909090909090906	0.5897435897435898	0.5	0.5	0.6216216216216216	0.6571428571428571	0.7222222222222222	0.46341463414634143	0.631578947368421	0.5135135135135135	0.5	0.5789473684210527	0.46341463414634143	0.5	0.46341463414634143	0.5348837209302326	0.5121951219512195	0.4871794871794872	0.5121951219512195	0.39534883720930236	0.5	0.5263157894736843	0.5789473684210527	0.6	0.6216216216216216	0.5	0.4871794871794872	0.5789473684210527	0.46341463414634143	0.7419354838709677	0.5555555555555556	0.6216216216216216	0.4666666666666667	0.5789473684210527	0.7297297297297297	0.4871794871794872	0.4871794871794872	0.45833333333333337	0.65
Revised Departmental Guidance Treatment of Value of Preventing Fatalities and Injuries in Preparing Economic Analyse	0.31999999999999995	0.33333333333333337	0.4347826086956522	0.6097560975609756	0.5111111111111111	0.6	0.4893617021276596	0.5348837209302326	0.5454545454545454	0.6842105263157895	0.4285714285714286	0.5	0.6	0.5	0.627906976744186	0.4545454545454546	0.5	0.5609756097560976	0.641025641025641	0.75	0.6444444444444444	0.5714285714285714	0.6097560975609756	0.5454545454545454	0.5714285714285714	0.6444444444444444	0.5909090909090908	0.5555555555555556	0.5319148936170213	0.4666666666666667	0.5348837209302326	0.5555555555555556	0.44680851063829785	0.4545454545454546	0.5714285714285714	0.5238095238095238	0.5909090909090908	0.6585365853658536	0.5	0.5348837209302326	0.5714285714285714	0.4666666666666667	0.7142857142857143	0.6	0.5609756097560976	0.5510204081632653	0.5714285714285714	0.8048780487804879	0.5348837209302326	0.5813953488372092	0.5384615384615384	0.5454545454545454
65 FR 70681	0.9310344827586207	0.7142857142857143	0.92	0.9	0.9166666666666666	0.7894736842105263	0.9230769230769231	0.9090909090909091	0.9130434782608696	0.8823529411764706	0.9285714285714286	0.8260869565217391	0.6842105263157895	0.9259259259259259	0.7272727272727273	0.8260869565217391	0.8260869565217391	0.8	0.8888888888888888	0.8947368421052632	0.9166666666666666	0.8095238095238095	0.9	0.9130434782608696	0.9047619047619048	0.8333333333333334	0.8260869565217391	0.9166666666666666	0.8461538461538461	0.9166666666666666	0.9090909090909091	0.9166666666666666	0.9230769230769231	0.9130434782608696	0.9047619047619048	0.8095238095238095	0.9130434782608696	0.8	0.8260869565217391	0.9090909090909091	0.8095238095238095	0.8333333333333334	1.0	0.8947368421052632	0.9	0.7142857142857143	0.9047619047619048	0.9	0.9090909090909091	0.9090909090909091	0.7419354838709677	0.6521739130434783
74 FR 9480	0.9285714285714286	0.7560975609756098	0.8333333333333334	0.7894736842105263	0.8260869565217391	0.8888888888888888	0.84	0.8095238095238095	0.8181818181818181	0.875	0.9259259259259259	0.7272727272727273	0.7777777777777778	0.9230769230769231	0.6190476190476191	0.9090909090909091	0.8181818181818181	0.6842105263157895	0.7647058823529411	0.7777777777777778	0.8260869565217391	0.7	0.7894736842105263	0.8181818181818181	0.8	0.8260869565217391	0.7272727272727273	0.8260869565217391	0.92	0.8260869565217391	0.8095238095238095	0.8260869565217391	0.84	0.8181818181818181	0.8	0.7	0.8181818181818181	0.8947368421052632	0.8181818181818181	0.9047619047619048	0.7	0.7391304347826086	1.0	0.8888888888888888	0.8947368421052632	0.8518518518518519	0.9	0.7894736842105263	0.9047619047619048	0.9047619047619048	0.8	0.7272727272727273
70 FR 53753	0.9259259259259259	0.8	0.9130434782608696	0.8888888888888888	0.9090909090909091	0.7647058823529411	0.9166666666666666	0.9	0.9047619047619048	0.8666666666666667	0.8461538461538461	0.8095238095238095	0.6470588235294117	0.84	0.8	0.8095238095238095	0.9047619047619048	0.7777777777777778	0.875	0.7647058823529411	0.8181818181818181	0.7894736842105263	0.8888888888888888	0.9047619047619048	0.8947368421052632	0.8181818181818181	0.7142857142857143	0.9090909090909091	0.75	0.9090909090909091	0.9	0.9090909090909091	0.9166666666666666	0.9047619047619048	0.8947368421052632	0.7894736842105263	0.9047619047619048	0.7777777777777778	0.8095238095238095	0.9	0.7894736842105263	0.8181818181818181	1.0	0.8823529411764706	0.8888888888888888	0.7692307692307692	0.8947368421052632	0.8888888888888888	0.9	0.9	0.7241379310344828	0.6190476190476191
docket 2006255792	0.696969696969697	0.6086956521739131	0.5862068965517242	0.5833333333333333	0.7142857142857143	0.5652173913043479	0.6	0.6923076923076923	0.7037037037037037	0.6190476190476191	0.6875	0.7037037037037037	0.5652173913043479	0.6129032258064516	0.6923076923076923	0.6296296296296297	0.5555555555555556	0.6666666666666667	0.6363636363636364	0.7391304347826086	0.7142857142857143	0.6799999999999999	0.6666666666666667	0.5555555555555556	0.6799999999999999	0.6428571428571428	0.6296296296296297	0.5714285714285714	0.7333333333333334	0.7142857142857143	0.6153846153846154	0.6428571428571428	0.6	0.7037037037037037	0.6799999999999999	0.76	0.7037037037037037	0.5833333333333333	0.7037037037037037	0.6923076923076923	0.76	0.7142857142857143	0.8888888888888888	0.7391304347826086	0.5833333333333333	0.625	0.76	0.75	0.6923076923076923	0.6923076923076923	0.48571428571428577	0.5555555555555556
NPRM to Require a Rear Detection System for SingleUnit Trucks	0.34782608695652173	0.3220338983050848	0.47619047619047616	0.5675675675675675	0.5609756097560976	0.6666666666666667	0.4883720930232558	0.5384615384615384	0.5	0.7058823529411764	0.4666666666666667	0.6	0.6666666666666667	0.4545454545454546	0.6923076923076923	0.44999999999999996	0.55	0.6216216216216216	0.7142857142857143	0.7222222222222222	0.5609756097560976	0.631578947368421	0.6216216216216216	0.55	0.5789473684210527	0.5609756097560976	0.6	0.5121951219512195	0.5348837209302326	0.5121951219512195	0.641025641025641	0.5121951219512195	0.4418604651162791	0.55	0.5263157894736843	0.5789473684210527	0.6	0.6216216216216216	0.5	0.4871794871794872	0.5263157894736843	0.36585365853658536	0.7419354838709677	0.5	0.6756756756756757	0.5111111111111111	0.4736842105263158	0.7297297297297297	0.5384615384615384	0.4358974358974359	0.5416666666666667	0.7
