	Pacific South (naut mi) Longitude Latitude Philadelphia,	vessels only) Chapter 3: Emission Inventory the U.S. Environmental Protection Agency,	Commercial Marine Port Inventory Development, prepared for the U.S. Environmental Protection Agency,	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Tasks 1 and 2: Baseline Inventory and Ports Comparison, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation in North America, Contract Number 113.111,	Global Trade and Fuels Assessment â€“ Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector: Task Order No. 1, Draft Report, prepared for the U.S. Environmental Protection Agency,	RTI Estimates of Growth in Bunker Fuel Consumption, Memorandum with spreadsheet from Michael Gallaher and	National Oceanic and Atmospheric Administration, Exclusive Economic Zone, Available online at http://nauticalcharts.noaa.gov/csdl/eez.htm.	ICF International, 2/16/2009 Email to Penny Carey, EPA, Docket ID	U.S. Water Transportation Statistical Snapshot, available from www.marad.dot.gov, Docket ID	Corps of Engineers Navigation Data Center	Port-Wide Baseline Air Emissions Inventory, prepared for the Port of Los Angeles, Docket ID EPA-HQ-OAR-2007-0121-0171. Deleted: Deleted: www.marad.dot.gov Deleted: http://www.iwr.usace.army.mi l/ndc/db/pport/dbf/pport02.dbf. Regulatory Impact Analysis	The Motor Shipâ€™s Guide to Marine Diesel Engines	available at http://www.motorship.com/,	Corps of Engineers	Commercial Marine Activity for Deep Sea Ports in the United States, prepared for the U.S. Environmental Protection Agency, EPA Report Number: EPA420-R-99-020, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r99020.pdf, Docket ID EPA-HQ-OAR-	Commercial Marine Activity for Great Lake and Inland River Ports in the United States, prepared for the U.S. Environmental Protection Agency, EPA Report Number: EPA420-R-99-019, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r99019.pdf, Docket ID EPA-HQ-OAR-	Commercial Marine Emission Inventory Development, prepared for the U.S. Environmental Protection Agency,	Oceangoing Ship Survey,	Quantification of Emissions from Ships Associated with Ship Movements between Ports in the European Community, prepared for the European Commission,	Environmental Protection Agency	Chris Lindhjem of ENVIRON	Environmental Protection Agency, Exhaust and Crankcase Emission Factors for Nonroad Engine Modeling â€“ Compression Ignition	153 available online at http://www.epa.gov/otaq/models/nonrdmdl/nonrdmdl2004/420p04009.pdf, Docket ID	Analysis of Commercial Marine Vessels Emissions and Fuel Consumption Data, EPA420-R-00-002, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r00002.pdf, Docket ID EPA-HQ-OAR-	Draft Port of Los Angeles Air Emissions Inventory for Calendar Year	Puget Sound Maritime Air Forum Maritime Air Emissions Inventory, Docket ID	for the Port Authority of	Houston-Galveston Area Vessel Emissions Inventory, Prepared for the Port of Houston Authority and the Texas Natural Resource Conservation Commission,	Update To The Commercial Marine Inventory For Texas To Review Emissions Factors, Consider A Ton-Mile EI Method, And Revise Emissions For The Beaumont-Port Arthur Non-Attainment Area Final Report, Submitted to the Houston Advanced Research Center, Docket ID EPA-HQ-OAR-2007-	Refinement of the Marine Emissions Inventory for the Corpus Christi Urban Airshed,	LADCO 2005 Commercial Marine Emissions, Docket ID	Emissions Estimation Methodology for Ocean-Going Vessels, Docket ID	Commercial Marine Inventories for Select Alaskan Ports, Final Report, Prepared for the Alaska Department of Conservation,	Inventory Contribution of U.S. Flagged Vessels, prepared for the U.S. Environmental Protection Agency,	Lloydâ€™s Register and International Maritime Organization, Marine Exhaust Emission Quantification Study â€“ Baltic Sea, in MEPC 45/INF.7.	Current Methodologies and Best Practices in Preparing Port Emission Inventories, Final Report, prepared for the U.S. Environmental Protection Agency, available online at http://www.epa.gov/sectors/ports/bp_portemissionsfinal.pdf,	Updated Emissions from Ocean Shipping,	Considering Alternative Input Parameters in an Activity-Based Ship Fuel Consumption and Emissions Model: Reply to Comment by Oyvind Endresen et al.	Marine Emission Inventory Study Eastern Canada and Great Lakes â€“ Interim Report 4: Gridding Results, prepared for Transportation Development Centre, Transport Canada,	Revision of MARPOL Annex VI and the NOx technical code. Input from the four subgroups and individual experts to the final report of the Informal Cross Government/Industry Scientific Group of Experts.	Transportation in Canada Annual Report	http://www.tc.gc.ca/pol/en/report/anre2004/8F_e.htm, Docket ID EPA-HQ-OAR-2007-	Emission Inventory Review SECA Inventory Progress Discussion, p 11, memorandum to California Air Resources Board, Docket ID	Oceangoing Ship Survey, Summary of Results, Docket ID	Administration, Office of Statistical and Economic Analysis	County Air Quality News, Issue 62,
HoustonGalveston Area Vessel Emissions Inventory	0.6551724137931034	0.4482758620689655	0.53125	0.55	0.6	0.6136363636363636	0.5454545454545454	0.5161290322580645	0.5483870967741935	0.6176470588235294	0.5769230769230769	0.5609756097560976	0.5806451612903225	0.56	0.6666666666666667	0.5909090909090908	0.5869565217391304	0.5	0.6153846153846154	0.53125	0.3913043478260869	0.6206896551724138	0.5277777777777778	0.6578947368421053	0.5365853658536586	0.4285714285714286	0.4482758620689655	0.6086956521739131	0.3548387096774194	0.5909090909090908	0.4482758620689655	0.5333333333333333	0.4482758620689655	0.5757575757575757	0.4375	0.6666666666666667	0.5277777777777778	0.6206896551724138	0.5	0.5277777777777778	0.4722222222222222	0.52	0.6486486486486487	0.5	0.5	0.43999999999999995	0.46153846153846156
Marine Emission Inventory Study Eastern Canada and Great Lakes Ð Interim Report 4 Gridding Results	0.53125	0.4411764705882353	0.4285714285714286	0.4651162790697675	0.4893617021276596	0.4666666666666667	0.4	0.5405405405405406	0.6052631578947368	0.5135135135135135	0.5483870967741935	0.5111111111111111	0.47058823529411764	0.625	0.6206896551724138	0.4444444444444444	0.4130434782608695	0.4	0.5806451612903225	0.4722222222222222	0.5483870967741935	0.5882352941176471	0.4358974358974359	0.5609756097560976	0.4545454545454546	0.4242424242424242	0.3939393939393939	0.75	0.4473684210526315	0.5106382978723405	0.3939393939393939	0.5142857142857142	0.4411764705882353	0.4285714285714286	0.43243243243243246	0.48888888888888893	0.39473684210526316	0.5454545454545454	0.36111111111111116	0.20588235294117652	0.3421052631578947	0.5	0.6190476190476191	0.36111111111111116	0.3939393939393939	0.53125	0.5882352941176471
PortWide Baseline Air Emissions Inventory	0.6071428571428572	0.3928571428571429	0.43333333333333335	0.55	0.5681818181818181	0.6136363636363636	0.5454545454545454	0.5161290322580645	0.5	0.53125	0.5769230769230769	0.4871794871794872	0.625	0.56	0.6666666666666667	0.5909090909090908	0.6170212765957447	0.4	0.6666666666666667	0.4838709677419355	0.31818181818181823	0.6206896551724138	0.48571428571428577	0.6216216216216216	0.5714285714285714	0.3076923076923077	0.3928571428571429	0.6086956521739131	0.4545454545454546	0.5581395348837209	0.4482758620689655	0.5333333333333333	0.5	0.4838709677419355	0.4375	0.6046511627906976	0.4411764705882353	0.5714285714285714	0.40625	0.5675675675675675	0.5135135135135135	0.52	0.6486486486486487	0.40625	0.5483870967741935	0.375	0.5185185185185186
Puget Sound Maritime Air Forum Maritime Air Emissions Inventory	0.5357142857142857	0.3793103448275862	0.3666666666666667	0.5	0.5227272727272727	0.5	0.5294117647058824	0.5	0.53125	0.5588235294117647	0.5555555555555556	0.5476190476190477	0.5161290322580645	0.6428571428571428	0.64	0.5116279069767442	0.5434782608695652	0.33333333333333337	0.5384615384615384	0.3666666666666667	0.375	0.6451612903225806	0.38235294117647056	0.641025641025641	0.4878048780487805	0.3571428571428571	0.12	0.5833333333333333	0.48571428571428577	0.5116279069767442	0.3793103448275862	0.5625	0.4838709677419355	0.4193548387096774	0.32258064516129037	0.5238095238095238	0.33333333333333337	0.5	0.29032258064516125	0.4722222222222222	0.41666666666666663	0.5555555555555556	0.631578947368421	0.3939393939393939	0.4838709677419355	0.42307692307692313	0.5517241379310345
Quantification of Emissions from Ships Associated with Ship Movements between Ports in the European Community	0.4666666666666667	0.375	0.3125	0.41463414634146345	0.4444444444444444	0.41860465116279066	0.4285714285714286	0.4411764705882353	0.5945945945945945	0.4571428571428572	0.5333333333333333	0.4285714285714286	0.5428571428571429	0.4642857142857143	0.6071428571428572	0.3571428571428571	0.4	0.28125	0.5172413793103448	0.0	0.48275862068965514	0.6176470588235294	0.3783783783783784	0.55	0.36585365853658536	0.4545454545454546	0.375	0.5555555555555556	0.38888888888888884	0.39534883720930236	0.2666666666666667	0.5833333333333333	0.5142857142857142	0.36363636363636365	0.2727272727272727	0.5111111111111111	0.23529411764705888	0.43333333333333335	0.2941176470588235	0.5	0.32432432432432434	0.5333333333333333	0.6097560975609756	0.34285714285714286	0.47058823529411764	0.4137931034482759	0.53125
The New York Northern New Jersey Long Island Nonattainment Area Commercial Marine Vessel Emission Inventory Vol 1  Report	0.5945945945945945	0.43243243243243246	0.42105263157894735	0.38636363636363635	0.34782608695652173	0.42553191489361697	0.39473684210526316	0.4871794871794872	0.55	0.46153846153846156	0.5714285714285714	0.4347826086956522	0.575	0.5588235294117647	0.6764705882352942	0.4375	0.40816326530612246	0.39473684210526316	0.6388888888888888	0.46153846153846156	0.5294117647058824	0.5277777777777778	0.3902439024390244	0.5116279069767442	0.4130434782608695	0.41666666666666663	0.4736842105263158	0.75	0.3589743589743589	0.4375	0.43243243243243246	0.5	0.43243243243243246	0.42105263157894735	0.42500000000000004	0.54	0.3902439024390244	0.5675675675675675	0.4	0.4285714285714286	0.3414634146341463	0.5294117647058824	0.5681818181818181	0.3589743589743589	0.4736842105263158	0.5555555555555556	0.5675675675675675
Transportation in Canada Annual Report 2004 	0.6071428571428572	0.59375	0.6176470588235294	0.55	0.5348837209302326	0.6136363636363636	0.5	0.5625	0.59375	0.6176470588235294	0.5769230769230769	0.5952380952380952	0.5333333333333333	0.6153846153846154	0.6086956521739131	0.5581395348837209	0.5869565217391304	0.5882352941176471	0.6666666666666667	0.5757575757575757	0.6296296296296297	0.6666666666666667	0.6052631578947368	0.5833333333333333	0.5365853658536586	0.5806451612903225	0.6363636363636364	0.6666666666666667	0.5	0.5581395348837209	0.5	0.5333333333333333	0.6764705882352942	0.53125	0.5714285714285714	0.6666666666666667	0.5675675675675675	0.6206896551724138	0.5428571428571429	0.5277777777777778	0.5897435897435898	0.15000000000000002	0.6111111111111112	0.5428571428571429	0.59375	0.5555555555555556	0.46153846153846156
Update To The Commercial Marine Inventory For Texas To Review Emissions Factors Consider A TonMile EI Method And Revise Emissions For The BeaumontPort Arthur NonAttainment Area Final Report	0.5833333333333333	0.37142857142857144	0.36111111111111116	0.29268292682926833	0.2954545454545454	0.37777777777777777	0.2857142857142857	0.43243243243243246	0.5384615384615384	0.4871794871794872	0.6	0.4565217391304348	0.5641025641025641	0.5454545454545454	0.7058823529411764	0.3913043478260869	0.4285714285714286	0.33333333333333337	0.6285714285714286	0.36111111111111116	0.5151515151515151	0.5945945945945945	0.2894736842105263	0.6	0.4	0.4864864864864865	0.41666666666666663	0.6666666666666667	0.25	0.23809523809523814	0.32352941176470584	0.5641025641025641	0.5384615384615384	0.36111111111111116	0.32432432432432434	0.4347826086956522	0.19444444444444442	0.5555555555555556	0.25	0.4883720930232558	0.32499999999999996	0.46875	0.5581395348837209	0.3421052631578947	0.5	0.5428571428571429	0.5142857142857142
Vessel Calls at US  World Ports 2005	0.6785714285714286	0.6129032258064516	0.6363636363636364	0.6976744186046512	0.6739130434782609	0.7173913043478262	0.7222222222222222	0.7428571428571429	0.65625	0.6363636363636364	0.7037037037037037	0.7045454545454546	0.6875	0.6923076923076923	0.75	0.6666666666666667	0.6875	0.6060606060606061	0.7857142857142857	0.6764705882352942	0.7037037037037037	0.7333333333333334	0.725	0.6756756756756757	0.6818181818181819	0.6451612903225806	0.696969696969697	0.75	0.6756756756756757	0.6666666666666667	0.696969696969697	0.6	0.696969696969697	0.6363636363636364	0.5882352941176471	0.7111111111111111	0.6578947368421053	0.6428571428571428	0.6756756756756757	0.725	0.675	0.6	0.736842105263158	0.6756756756756757	0.7352941176470589	0.6296296296296297	0.6428571428571428
 PM Emission Factors	0.625	0.5555555555555556	0.5862068965517242	0.6666666666666667	0.6744186046511628	0.6585365853658536	0.5517241379310345	0.6206896551724138	0.5555555555555556	0.6774193548387097	0.5909090909090908	0.7073170731707317	0.6428571428571428	0.5714285714285714	0.631578947368421	0.6976744186046512	0.7173913043478262	0.5517241379310345	0.6956521739130435	0.5357142857142857	0.44999999999999996	0.6923076923076923	0.5757575757575757	0.7142857142857143	0.65	0.5925925925925926	0.43999999999999995	0.7	0.6363636363636364	0.6666666666666667	0.6071428571428572	0.5384615384615384	0.5555555555555556	0.5357142857142857	0.5806451612903225	0.65	0.5757575757575757	0.5217391304347826	0.5483870967741935	0.6944444444444444	0.6388888888888888	0.6521739130434783	0.6666666666666667	0.6363636363636364	0.6551724137931034	0.5	0.6923076923076923
