	Pacific South (naut mi) Longitude Latitude Philadelphia,	vessels only) Chapter 3: Emission Inventory the U.S. Environmental Protection Agency,	Commercial Marine Port Inventory Development, prepared for the U.S. Environmental Protection Agency,	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation	Estimation, Validation and Forecasts of Regional Commercial Marine Vessel Inventories, Tasks 1 and 2: Baseline Inventory and Ports Comparison, Final Report, prepared by University of Delaware for the California Air Resource Board, Contract Number 04-346, and the Commission for Environmental Cooperation in North America, Contract Number 113.111,	Global Trade and Fuels Assessment â€“ Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector: Task Order No. 1, Draft Report, prepared for the U.S. Environmental Protection Agency,	RTI Estimates of Growth in Bunker Fuel Consumption, Memorandum with spreadsheet from Michael Gallaher and	National Oceanic and Atmospheric Administration, Exclusive Economic Zone, Available online at http://nauticalcharts.noaa.gov/csdl/eez.htm.	ICF International, 2/16/2009 Email to Penny Carey, EPA, Docket ID	U.S. Water Transportation Statistical Snapshot, available from www.marad.dot.gov, Docket ID	Corps of Engineers Navigation Data Center	Port-Wide Baseline Air Emissions Inventory, prepared for the Port of Los Angeles, Docket ID EPA-HQ-OAR-2007-0121-0171. Deleted: Deleted: www.marad.dot.gov Deleted: http://www.iwr.usace.army.mi l/ndc/db/pport/dbf/pport02.dbf. Regulatory Impact Analysis	The Motor Shipâ€™s Guide to Marine Diesel Engines	available at http://www.motorship.com/,	Corps of Engineers	Commercial Marine Activity for Deep Sea Ports in the United States, prepared for the U.S. Environmental Protection Agency, EPA Report Number: EPA420-R-99-020, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r99020.pdf, Docket ID EPA-HQ-OAR-	Commercial Marine Activity for Great Lake and Inland River Ports in the United States, prepared for the U.S. Environmental Protection Agency, EPA Report Number: EPA420-R-99-019, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r99019.pdf, Docket ID EPA-HQ-OAR-	Commercial Marine Emission Inventory Development, prepared for the U.S. Environmental Protection Agency,	Oceangoing Ship Survey,	Quantification of Emissions from Ships Associated with Ship Movements between Ports in the European Community, prepared for the European Commission,	Environmental Protection Agency	Chris Lindhjem of ENVIRON	Environmental Protection Agency, Exhaust and Crankcase Emission Factors for Nonroad Engine Modeling â€“ Compression Ignition	153 available online at http://www.epa.gov/otaq/models/nonrdmdl/nonrdmdl2004/420p04009.pdf, Docket ID	Analysis of Commercial Marine Vessels Emissions and Fuel Consumption Data, EPA420-R-00-002, available online at http://www.epa.gov/otaq/models/nonrdmdl/c-marine/r00002.pdf, Docket ID EPA-HQ-OAR-	Draft Port of Los Angeles Air Emissions Inventory for Calendar Year	Puget Sound Maritime Air Forum Maritime Air Emissions Inventory, Docket ID	for the Port Authority of	Houston-Galveston Area Vessel Emissions Inventory, Prepared for the Port of Houston Authority and the Texas Natural Resource Conservation Commission,	Update To The Commercial Marine Inventory For Texas To Review Emissions Factors, Consider A Ton-Mile EI Method, And Revise Emissions For The Beaumont-Port Arthur Non-Attainment Area Final Report, Submitted to the Houston Advanced Research Center, Docket ID EPA-HQ-OAR-2007-	Refinement of the Marine Emissions Inventory for the Corpus Christi Urban Airshed,	LADCO 2005 Commercial Marine Emissions, Docket ID	Emissions Estimation Methodology for Ocean-Going Vessels, Docket ID	Commercial Marine Inventories for Select Alaskan Ports, Final Report, Prepared for the Alaska Department of Conservation,	Inventory Contribution of U.S. Flagged Vessels, prepared for the U.S. Environmental Protection Agency,	Lloydâ€™s Register and International Maritime Organization, Marine Exhaust Emission Quantification Study â€“ Baltic Sea, in MEPC 45/INF.7.	Current Methodologies and Best Practices in Preparing Port Emission Inventories, Final Report, prepared for the U.S. Environmental Protection Agency, available online at http://www.epa.gov/sectors/ports/bp_portemissionsfinal.pdf,	Updated Emissions from Ocean Shipping,	Considering Alternative Input Parameters in an Activity-Based Ship Fuel Consumption and Emissions Model: Reply to Comment by Oyvind Endresen et al.	Marine Emission Inventory Study Eastern Canada and Great Lakes â€“ Interim Report 4: Gridding Results, prepared for Transportation Development Centre, Transport Canada,	Revision of MARPOL Annex VI and the NOx technical code. Input from the four subgroups and individual experts to the final report of the Informal Cross Government/Industry Scientific Group of Experts.	Transportation in Canada Annual Report	http://www.tc.gc.ca/pol/en/report/anre2004/8F_e.htm, Docket ID EPA-HQ-OAR-2007-	Emission Inventory Review SECA Inventory Progress Discussion, p 11, memorandum to California Air Resources Board, Docket ID	Oceangoing Ship Survey, Summary of Results, Docket ID	Administration, Office of Statistical and Economic Analysis	County Air Quality News, Issue 62,
Commercial Marine Port Inventory Development	0.8301886792452831	0.7125	0.5416666666666666	0.8423236514522822	0.8746268656716418	0.8465346534653465	0.8076923076923077	0.8267716535433071	0.7333333333333333	0.8095238095238095	0.7272727272727273	0.8783783783783784	0.8163265306122449	0.7954545454545454	0.7727272727272727	0.8305084745762712	0.8392156862745098	0.6	0.7954545454545454	0.815068493150685	0.7954545454545454	0.7954545454545454	0.7886178861788617	0.8089887640449438	0.8034682080924855	0.7164179104477612	0.6986301369863014	0.7045454545454546	0.815068493150685	0.851145038167939	0.6790123456790124	0.7083333333333334	0.7538461538461538	0.7033898305084746	0.78125	0.8045112781954887	0.8403755868544601	0.8409090909090909	0.8055555555555556	0.8109756097560976	0.8469387755102041	0.8181818181818182	0.8360655737704918	0.8083333333333333	0.803921568627451	0.7931034482758621	0.7954545454545454
Current Methodologies and Best Practices in Preparing Port Emission Inventories Final Report	0.8152173913043478	0.7934782608695652	0.7604166666666666	0.7717842323651453	0.808955223880597	0.7574257425742574	0.7980769230769231	0.7952755905511811	0.782608695652174	0.8478260869565217	0.7391304347826086	0.8198198198198198	0.7391304347826086	0.8260869565217391	0.8586956521739131	0.8008474576271186	0.8	0.74	0.8804347826086957	0.773972602739726	0.8152173913043478	0.8478260869565217	0.7479674796747967	0.9130434782608695	0.791907514450867	0.6521739130434783	0.6304347826086957	0.8260869565217391	0.7397260273972602	0.7938931297709924	0.782608695652174	0.75	0.7934782608695652	0.711864406779661	0.7604166666666666	0.7443609022556391	0.568075117370892	0.8152173913043478	0.7291666666666666	0.7317073170731707	0.7602040816326531	0.7282608695652174	0.8260869565217391	0.7416666666666667	0.8043478260869565	0.75	0.8478260869565217
Draft Port of Los Angeles Air Emissions Inventory for Calendar Year 2005	0.8194444444444444	0.7	0.78125	0.8132780082987552	0.8477611940298507	0.806930693069307	0.7596153846153846	0.7952755905511811	0.8055555555555556	0.8214285714285714	0.7222222222222222	0.8018018018018018	0.8194444444444444	0.8888888888888888	0.8333333333333334	0.826271186440678	0.8392156862745098	0.79	0.8888888888888888	0.7602739726027398	0.8194444444444444	0.8611111111111112	0.7398373983739838	0.8764044943820225	0.7861271676300579	0.06944444444444445	0.6712328767123288	0.8333333333333334	0.7465753424657534	0.7977099236641222	0.6049382716049383	0.7638888888888888	0.8611111111111112	0.7542372881355932	0.7708333333333334	0.7669172932330827	0.7887323943661971	0.7361111111111112	0.75	0.7865853658536586	0.8163265306122449	0.7638888888888888	0.8333333333333334	0.7333333333333333	0.8333333333333334	0.8055555555555556	0.8055555555555556
Emission Inventory Review SECA Inventory Progress Discussion	0.8666666666666667	0.675	0.6979166666666666	0.8257261410788381	0.8597014925373134	0.8465346534653465	0.8076923076923077	0.8267716535433071	0.8333333333333334	0.8333333333333334	0.7833333333333333	0.8243243243243243	0.8	0.8166666666666667	0.85	0.864406779661017	0.8588235294117647	0.67	0.85	0.7671232876712328	0.7833333333333333	0.8833333333333333	0.7804878048780488	0.8539325842696629	0.838150289017341	0.7761194029850746	0.8082191780821918	0.8	0.726027397260274	0.8358778625954199	0.7160493827160493	0.8166666666666667	0.6923076923076923	0.7372881355932204	0.7916666666666666	0.8120300751879699	0.8075117370892019	0.85	0.8125	0.7621951219512195	0.8316326530612245	0.8333333333333334	0.9344262295081968	0.5	0.8	0.8333333333333334	0.75
Emissions Estimation Methodology for OceanGoing Vessels	0.8727272727272727	0.7625	0.78125	0.8423236514522822	0.8805970149253731	0.8366336633663366	0.7692307692307693	0.7874015748031497	0.8833333333333333	0.7738095238095238	0.7454545454545455	0.8513513513513513	0.8363636363636363	0.8363636363636363	0.7818181818181819	0.8601694915254238	0.8666666666666667	0.76	0.8545454545454545	0.773972602739726	0.7636363636363637	0.8181818181818182	0.7642276422764228	0.8314606741573034	0.8208092485549133	0.8059701492537313	0.7808219178082192	0.8181818181818182	0.7945205479452054	0.8587786259541985	0.7654320987654321	0.8727272727272727	0.15384615384615385	0.7966101694915254	0.7604166666666666	0.7969924812030075	0.8403755868544601	0.7454545454545455	0.8194444444444444	0.7987804878048781	0.8418367346938775	0.7636363636363637	0.9344262295081968	0.7583333333333333	0.8363636363636363	0.7758620689655172	0.8181818181818182
Estimation Validation and Forecasts of Regional Commercial Marine Vessel Inventories Final Report	0.7835051546391752	0.7938144329896907	0.8144329896907216	0.5975103734439834	0.7104477611940299	0.7475247524752475	0.7692307692307693	0.7559055118110236	0.7628865979381443	0.8041237113402062	0.7835051546391752	0.8063063063063063	0.7422680412371134	0.845360824742268	0.8556701030927835	0.7966101694915254	0.8	0.81	0.8865979381443299	0.7534246575342466	0.8247422680412371	0.865979381443299	0.7317073170731707	0.865979381443299	0.7803468208092486	0.7422680412371134	0.7010309278350515	0.8556701030927835	0.7397260273972602	0.7900763358778626	0.7835051546391752	0.7422680412371134	0.6701030927835051	0.7457627118644068	0.8144329896907216	0.7744360902255639	0.7605633802816901	0.8041237113402062	0.7430555555555556	0.7439024390243902	0.7653061224489796	0.7319587628865979	0.845360824742268	0.7666666666666667	0.7938144329896907	0.7010309278350515	0.8350515463917526
Estimation Validation and Forecasts of Regional Commercial Marine Vessel Inventories Tasks 1 and 2 Baseline Inventory and Ports Comparison Final Report	0.8278145695364238	0.7417218543046358	0.7350993377483444	0.49377593360995853	0.5492537313432836	0.7277227722772277	0.7748344370860927	0.7417218543046358	0.8145695364238411	0.7814569536423841	0.8211920529801324	0.7882882882882883	0.8211920529801324	0.8807947019867549	0.9072847682119205	0.7796610169491526	0.7725490196078432	0.7350993377483444	0.9205298013245033	0.7814569536423841	0.8609271523178808	0.9139072847682119	0.7284768211920529	0.8278145695364238	0.8323699421965318	0.7152317880794702	0.7483443708609272	0.8940397350993378	0.7880794701986755	0.7557251908396947	0.7417218543046358	0.8013245033112583	0.7682119205298014	0.7549668874172185	0.7284768211920529	0.7549668874172185	0.7323943661971831	0.8609271523178808	0.8079470198675497	0.7804878048780488	0.7653061224489796	0.8079470198675497	0.847682119205298	0.7615894039735099	0.847682119205298	0.7748344370860927	0.8807947019867549
Exhaust and Crankcase Emission Factors for Nonroad Engine Modeling Ð Compression Ignition	0.8089887640449438	0.6629213483146067	0.7916666666666666	0.7634854771784232	0.8119402985074626	0.7821782178217822	0.7980769230769231	0.7559055118110236	0.7640449438202247	0.8202247191011236	0.797752808988764	0.8108108108108109	0.7752808988764045	0.8426966292134831	0.8314606741573034	0.8220338983050848	0.8196078431372549	0.71	0.8651685393258427	0.7602739726027398	0.8089887640449438	0.8651685393258427	0.2845528455284553	0.8651685393258427	0.7630057803468208	0.797752808988764	0.7752808988764045	0.8651685393258427	0.684931506849315	0.7824427480916031	0.7528089887640449	0.797752808988764	0.7191011235955056	0.7288135593220338	0.8020833333333334	0.7669172932330827	0.7417840375586855	0.7191011235955056	0.7361111111111112	0.7865853658536586	0.7755102040816326	0.7865168539325843	0.8651685393258427	0.7583333333333333	0.8202247191011236	0.797752808988764	0.8426966292134831
Global Trade and Fuels Assessment Ð Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report	0.8378378378378378	0.7702702702702703	0.777027027027027	0.7468879668049793	0.764179104477612	0.2722772277227723	0.7702702702702703	0.7837837837837838	0.8108108108108109	0.7837837837837838	0.8243243243243243	0.7837837837837838	0.831081081081081	0.8851351351351351	0.8986486486486487	0.7669491525423728	0.7686274509803922	0.7702702702702703	0.8986486486486487	0.831081081081081	0.8716216216216216	0.9121621621621622	0.7702702702702703	0.8243243243243243	0.8092485549132948	0.7702702702702703	0.7972972972972973	0.8783783783783784	0.7837837837837838	0.7633587786259542	0.7635135135135135	0.8445945945945946	0.8108108108108109	0.7432432432432432	0.7972972972972973	0.777027027027027	0.7699530516431925	0.8581081081081081	0.831081081081081	0.7682926829268293	0.7704081632653061	0.7972972972972973	0.8581081081081081	0.777027027027027	0.8378378378378378	0.8108108108108109	0.8783783783783784
Global Trade and Fuels Assessment Ð Future Trends and Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report Effects of Designation Requiring Clean Fuels in the Marine Sector Task Order No 1 Draft Report	0.8724279835390947	0.8148148148148148	0.7983539094650206	0.8148148148148148	0.746268656716418	0.32098765432098764	0.7901234567901234	0.7983539094650206	0.8559670781893004	0.8148148148148148	0.8600823045267489	0.8106995884773662	0.8683127572016461	0.9094650205761317	0.9300411522633745	0.831275720164609	0.8117647058823529	0.7942386831275721	0.934156378600823	0.7695473251028807	0.9012345679012346	0.9382716049382716	0.7654320987654321	0.8518518518518519	0.7901234567901234	0.823045267489712	0.8189300411522634	0.9135802469135802	0.7613168724279835	0.7862595419847328	0.8024691358024691	0.8765432098765432	0.823045267489712	0.7613168724279835	0.8024691358024691	0.7448559670781894	0.7695473251028807	0.8930041152263375	0.7654320987654321	0.7407407407407407	0.7736625514403292	0.8559670781893004	0.8888888888888888	0.7901234567901234	0.8641975308641975	0.8518518518518519	0.9135802469135802
