	Industrywide Uses of Chlorine by Industry 27 22 Use of Caustic Soda by Industry 27 23 Use of Caustic Potash by Industry  28 24 Income or Loss as Net a Percentage of Sales Basic Chemicals Resins and Synthetics NAICS 3251 and 3252 2000–2005  214 31 Capital Cost Factor ton Cl2 produced vs Capacity  35 41 Price Trends Alkalis and Chlorine Manufacturing	Oxychem Completes Taft	Chlorine Ensuring Rail Transportation Safety”	Potassium Carbonate Handbook” httpwwwarmandproductscompdfsk2so3P112pdf Accessed	ASHTA Chemicals Inc 2009a About ASHTA httpwwwashtachemicalscomaboutfshtm	Inc 2009b Potassium Hydroxide	Investment under Uncertainty	Energy Information Administration	Potassium Hydroxide” httpwwwercoworldwidecom productspotassiumhydroxideasp Accessed	Distributional Effects of Environmental and Energy Policy An Introduction	Potassium Carbonate Faces Pressures from the Video Glass” Chemical Market Reporter	Site Fact Sheet Ashtabula Complex” httpwwwmillenniumchemcomNRrdonlyres6AE8BF59D7CD4768951F37AE6F1C73210SiteFactSheetAshtabulapdf Accessed	Occidental Chemical Corporation 2008a “OxyChem Caustic Potash Handbook” httpwwwoxycomOurBusinesseschemicalsPageschemproductsbasicalkaliaspx alkkoh Accessed	Occidental Chemical Corporation 2008b “OxyChem Caustic Soda Handbook” httpwwwoxycomOurBusinesseschemicalsDocumentscausticsodacausticpdf	Form 10K405 Filed	Form 10K Filed	BBT Capital Markets Presentation Manufacturing and Materials Conference” httpwwwolincom Accessed	Bill Would End Mercury Use at Chlorine Plants” httpchronicleaugustacomstories031308met190792shtml Accessed	Accessed	Chlorine Product Bulletin” httpcorporateportalppgcomNAChemicalsCADProductInformationBull EnglishEN Accessed	PPG Reaches Agreement with State of Maryland” PPG News Release httpcorporateportalppgcomPPGNewsroomNews20090811htm	The Effects of Environmental Regulation on Technology Diffusion The Case of	Special Focus on Chlorine”	The Innovation Group TIG	of Labor Statistics	of Labor Statistics 2009b LAU Local Area Unemployment Statistics Series Id	413 US Bureau of Labor Statistics	Quarterly Financial Report for Manufacturing Mining and Trade Corporations 1st Quarter reports httpwwwcensusgovprodwwwabsqfrmmhtml Accessed	Economic Census	httpfactfindercensusgovservletDatasetMainPageServletprogramECNtabIdE CN1submenuIddatasets4langents24636668839 Accessed	Bureau generated by RTI International using American FactFinder “Sector 31 Manufacturing Industry Series Industry Statistics by Employment Size	Department of Transportation	Environmental Protection Agency EPA	Federal Trade Commission FTC	Soda Ash httpmineralsusgsgovmineralspubs commoditysodaashmcs2009sodaapdf Accessed August 4	Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US” Environ Sci Technol	Environmental Protection Agency—Science Advisory Board US	The Value of a Statistical Life A Critical Review of Market Estimates throughout the World”	Environmental Protection Agency RE Docket No EPAHQOAR20020017—National Emission Standards for Hazardous Air Pollutants	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act	EPAHQOAR20020017—National Emission Standards for Hazardous Air Pollutants Mercury Emissions from Mercury Cell ChlorAlkali Plants—Memo “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell ChlorAlkali Technology to Membrane Cell Technology” from	B4 Table B3 Power Company Emission Factors FuelCoal Short tons per kWh	Available on the internet at httpwwwepagovCAIRpdfsfinaltech01pdf US Environmental Protection Agency	Available on the internet at httpwwwepagovcleanenergydocumentsegridzipseGRID2007TechnicalSupportDoc umentpdf US Environmental Protection Agency
Chlorine Product Bulletin	0.6808510638297872	0.6666666666666667	0.6071428571428572	0.5806451612903225	0.6333333333333333	0.5769230769230769	0.5909090909090908	0.6666666666666667	0.5555555555555556	0.5555555555555556	0.5333333333333333	0.6818181818181819	0.5714285714285714	0.6111111111111112	0.6818181818181819	0.65	0.48275862068965514	0.5833333333333333	0.8235294117647058	0.48275862068965514	0.6756756756756757	0.5384615384615384	0.5217391304347826	0.5714285714285714	0.7142857142857143	0.6666666666666667	0.64	0.6060606060606061	0.5555555555555556	0.6216216216216216	0.6756756756756757	0.6818181818181819	0.5454545454545454	0.55	0.6	0.5666666666666667	0.6216216216216216	0.5714285714285714	0.6571428571428571	0.7	0.46153846153846156	0.7083333333333333	0.5333333333333333	0.6060606060606061	0.6578947368421053
Chlorine Ensuring Rail Transportation Safety	0.5833333333333333	0.48	0.125	0.6111111111111112	0.4838709677419355	0.65625	0.6296296296296297	0.48	0.59375	0.5	0.5294117647058824	0.5777777777777777	0.6	0.5641025641025641	0.7931034482758621	0.7777777777777778	0.48484848484848486	0.575	0.9166666666666666	0.48484848484848486	0.5526315789473684	0.24	0.46153846153846156	0.5	0.625	0.5625	0.6206896551724138	0.4242424242424242	0.6086956521739131	0.5384615384615384	0.4722222222222222	0.4782608695652174	0.5384615384615384	0.5416666666666667	0.4516129032258065	0.5151515151515151	0.45945945945945943	0.5625	0.48571428571428577	0.5853658536585367	0.4137931034482759	0.5531914893617021	0.4375	0.4242424242424242	0.45945945945945943
Olin Transportation of KOH	0.76	0.5454545454545454	0.5555555555555556	0.6666666666666667	0.5862068965517242	0.6785714285714286	0.7083333333333333	0.6086956521739131	0.6551724137931034	0.6551724137931034	0.6666666666666667	0.7659574468085106	0.6842105263157895	0.6486486486486487	0.7391304347826086	0.7142857142857143	0.625	0.7560975609756098	0.9473684210526316	0.6666666666666667	0.7105263157894737	0.5925925925925926	0.64	0.5714285714285714	0.5789473684210527	0.6206896551724138	0.6923076923076923	0.6470588235294117	0.7619047619047619	0.725	0.6756756756756757	0.38888888888888884	0.6666666666666667	0.55	0.6451612903225806	0.696969696969697	0.6923076923076923	0.7096774193548387	0.7297297297297297	0.7	0.6666666666666667	0.7083333333333333	0.6666666666666667	0.6857142857142857	0.6923076923076923
PPG Industries Invests Nearly 6 milion in Marshall County Plant	0.5714285714285714	0.6206896551724138	0.5757575757575757	0.5945945945945945	0.6	0.5	0.43999999999999995	0.5185185185185186	0.53125	0.43333333333333335	0.47058823529411764	0.625	0.5853658536585367	0.6190476190476191	0.7241379310344828	0.7037037037037037	0.5142857142857142	0.5609756097560976	0.88	0.47058823529411764	0.5384615384615384	0.4666666666666667	0.6	0.48	0.75	0.5882352941176471	0.7272727272727273	0.5	0.64	0.4473684210526315	0.6097560975609756	0.6296296296296297	0.5185185185185186	0.52	0.5294117647058824	0.5	0.4871794871794872	0.5454545454545454	0.5897435897435898	0.6046511627906976	0.4516129032258065	0.5714285714285714	0.5555555555555556	0.5	0.525
Sector 31 Manufacturing Industry Series Industry Statistics by Employment Size 2002	0.4693877551020408	0.6363636363636364	0.5142857142857142	0.5	0.4571428571428572	0.4375	0.5333333333333333	0.4482758620689655	0.5945945945945945	0.375	0.5384615384615384	0.4893617021276596	0.5348837209302326	0.5	0.6875	0.6666666666666667	0.5384615384615384	0.4390243902439024	0.8620689655172413	0.5	0.44999999999999996	0.5	0.6176470588235294	0.65625	0.6206896551724138	0.34375	0.53125	0.4473684210526315	0.6551724137931034	0.3589743589743589	0.2777777777777778	0.6	0.5483870967741935	0.6451612903225806	0.33333333333333337	0.4864864864864865	0.4390243902439024	0.5277777777777778	0.5714285714285714	0.45238095238095233	0.4411764705882353	0.4375	0.5	0.36111111111111116	0.3589743589743589
2009b Potassium Hydroxide Liquid 	0.6666666666666667	0.6896551724137931	0.7142857142857143	0.5714285714285714	0.5757575757575757	0.20833333333333337	0.5769230769230769	0.5925925925925926	0.5	0.5483870967741935	0.6486486486486487	0.6382978723404256	0.5263157894736843	0.5641025641025641	0.7037037037037037	0.6799999999999999	0.6842105263157895	0.6097560975609756	0.8695652173913043	0.6842105263157895	0.625	0.6666666666666667	0.75	0.7142857142857143	0.625	0.4666666666666667	0.6206896551724138	0.631578947368421	0.72	0.6428571428571428	0.6904761904761905	0.6538461538461539	0.6428571428571428	0.6538461538461539	0.5	0.5588235294117647	0.6428571428571428	0.6470588235294117	0.7073170731707317	0.6190476190476191	0.5625	0.6666666666666667	0.6486486486486487	0.631578947368421	0.6097560975609756
Form 10K405	0.8125	0.875	0.9032258064516129	0.8529411764705882	0.875	0.8148148148148149	0.8695652173913043	0.8260869565217391	0.8666666666666667	0.8666666666666667	0.8529411764705882	0.7954545454545454	0.875	0.875	0.2857142857142857	0.4285714285714286	0.8857142857142857	0.85	1.0	0.8857142857142857	0.8421052631578947	0.8620689655172413	0.84	0.8636363636363636	0.8421052631578947	0.8333333333333334	0.7916666666666666	0.8285714285714285	0.8333333333333334	0.85	0.8421052631578947	0.8	0.8260869565217391	0.736842105263158	0.8064516129032258	0.8484848484848485	0.8780487804878049	0.8709677419354839	0.8947368421052632	0.8536585365853658	0.7931034482758621	0.8823529411764706	0.8181818181818181	0.8285714285714285	0.8780487804878049
Toxicological Effects of Methylmercury	0.6326530612244898	0.3913043478260869	0.4285714285714286	0.6388888888888888	0.5625	0.5517241379310345	0.56	0.45833333333333337	0.48275862068965514	0.4285714285714286	0.5588235294117647	0.6304347826086957	0.5897435897435898	0.5897435897435898	0.7407407407407407	0.72	0.46875	0.5641025641025641	0.8636363636363636	0.5151515151515151	0.5789473684210527	0.28	0.6071428571428572	0.6	0.6086956521739131	0.59375	0.6071428571428572	0.4545454545454546	0.5909090909090908	0.5641025641025641	0.5	0.5217391304347826	0.45833333333333337	0.5833333333333333	0.4838709677419355	0.4516129032258065	0.4444444444444444	0.5483870967741935	0.47058823529411764	0.6097560975609756	0.3928571428571429	0.6041666666666667	0.5151515151515151	0.5428571428571429	0.5263157894736843
nan	0.9574468085106383	0.9444444444444444	0.9166666666666666	0.9310344827586207	0.9230769230769231	0.9090909090909091	0.875	0.8823529411764706	0.96	0.9166666666666666	0.9310344827586207	0.9534883720930233	0.9428571428571428	0.9428571428571428	1.0	1.0	0.9310344827586207	0.9444444444444444	1.0	0.9310344827586207	0.9411764705882353	0.9130434782608696	0.8947368421052632	0.8666666666666667	0.9230769230769231	0.92	0.95	0.935483870967742	0.9166666666666666	0.9444444444444444	0.9411764705882353	0.8571428571428572	0.8823529411764706	0.8571428571428572	0.9259259259259259	0.9285714285714286	0.9444444444444444	0.92	0.9696969696969697	0.9459459459459459	0.92	0.9574468085106383	0.9310344827586207	0.935483870967742	0.9444444444444444
Annual Report 2008	0.6808510638297872	0.72	0.6071428571428572	0.6666666666666667	0.5862068965517242	0.6296296296296297	0.7083333333333333	0.6666666666666667	0.6551724137931034	0.6551724137931034	0.6666666666666667	0.6511627906976745	0.6111111111111112	0.6486486486486487	0.7391304347826086	0.7142857142857143	0.6666666666666667	0.6216216216216216	0.8888888888888888	0.6666666666666667	0.6	0.6428571428571428	0.64	0.5714285714285714	0.7727272727272727	0.5714285714285714	0.7407407407407407	0.6470588235294117	0.7619047619047619	0.6578947368421053	0.6756756756756757	0.6190476190476191	0.6086956521739131	0.6818181818181819	0.5517241379310345	0.65625	0.725	0.7096774193548387	0.7297297297297297	0.6666666666666667	0.6666666666666667	0.7083333333333333	0.7058823529411764	0.6470588235294117	0.6216216216216216
