	Industrywide Uses of Chlorine by Industry 27 22 Use of Caustic Soda by Industry 27 23 Use of Caustic Potash by Industry  28 24 Income or Loss as Net a Percentage of Sales Basic Chemicals Resins and Synthetics NAICS 3251 and 3252 2000–2005  214 31 Capital Cost Factor ton Cl2 produced vs Capacity  35 41 Price Trends Alkalis and Chlorine Manufacturing	Oxychem Completes Taft	Chlorine Ensuring Rail Transportation Safety”	Potassium Carbonate Handbook” httpwwwarmandproductscompdfsk2so3P112pdf Accessed	ASHTA Chemicals Inc 2009a About ASHTA httpwwwashtachemicalscomaboutfshtm	Inc 2009b Potassium Hydroxide	Investment under Uncertainty	Energy Information Administration	Potassium Hydroxide” httpwwwercoworldwidecom productspotassiumhydroxideasp Accessed	Distributional Effects of Environmental and Energy Policy An Introduction	Potassium Carbonate Faces Pressures from the Video Glass” Chemical Market Reporter	Site Fact Sheet Ashtabula Complex” httpwwwmillenniumchemcomNRrdonlyres6AE8BF59D7CD4768951F37AE6F1C73210SiteFactSheetAshtabulapdf Accessed	Occidental Chemical Corporation 2008a “OxyChem Caustic Potash Handbook” httpwwwoxycomOurBusinesseschemicalsPageschemproductsbasicalkaliaspx alkkoh Accessed	Occidental Chemical Corporation 2008b “OxyChem Caustic Soda Handbook” httpwwwoxycomOurBusinesseschemicalsDocumentscausticsodacausticpdf	Form 10K405 Filed	Form 10K Filed	BBT Capital Markets Presentation Manufacturing and Materials Conference” httpwwwolincom Accessed	Bill Would End Mercury Use at Chlorine Plants” httpchronicleaugustacomstories031308met190792shtml Accessed	Accessed	Chlorine Product Bulletin” httpcorporateportalppgcomNAChemicalsCADProductInformationBull EnglishEN Accessed	PPG Reaches Agreement with State of Maryland” PPG News Release httpcorporateportalppgcomPPGNewsroomNews20090811htm	The Effects of Environmental Regulation on Technology Diffusion The Case of	Special Focus on Chlorine”	The Innovation Group TIG	of Labor Statistics	of Labor Statistics 2009b LAU Local Area Unemployment Statistics Series Id	413 US Bureau of Labor Statistics	Quarterly Financial Report for Manufacturing Mining and Trade Corporations 1st Quarter reports httpwwwcensusgovprodwwwabsqfrmmhtml Accessed	Economic Census	httpfactfindercensusgovservletDatasetMainPageServletprogramECNtabIdE CN1submenuIddatasets4langents24636668839 Accessed	Bureau generated by RTI International using American FactFinder “Sector 31 Manufacturing Industry Series Industry Statistics by Employment Size	Department of Transportation	Environmental Protection Agency EPA	Federal Trade Commission FTC	Soda Ash httpmineralsusgsgovmineralspubs commoditysodaashmcs2009sodaapdf Accessed August 4	Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US” Environ Sci Technol	Environmental Protection Agency—Science Advisory Board US	The Value of a Statistical Life A Critical Review of Market Estimates throughout the World”	Environmental Protection Agency RE Docket No EPAHQOAR20020017—National Emission Standards for Hazardous Air Pollutants	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act	EPAHQOAR20020017—National Emission Standards for Hazardous Air Pollutants Mercury Emissions from Mercury Cell ChlorAlkali Plants—Memo “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell ChlorAlkali Technology to Membrane Cell Technology” from	B4 Table B3 Power Company Emission Factors FuelCoal Short tons per kWh	Available on the internet at httpwwwepagovCAIRpdfsfinaltech01pdf US Environmental Protection Agency	Available on the internet at httpwwwepagovcleanenergydocumentsegridzipseGRID2007TechnicalSupportDoc umentpdf US Environmental Protection Agency
Potassium Hydroxide	0.7346938775510203	0.6086956521739131	0.6551724137931034	0.5806451612903225	0.6774193548387097	0.31818181818181823	0.44999999999999996	0.47619047619047616	0.375	0.5	0.625	0.7111111111111111	0.5714285714285714	0.6111111111111112	0.6818181818181819	0.65	0.625	0.6578947368421053	0.8235294117647058	0.625	0.6756756756756757	0.5925925925925926	0.6923076923076923	0.6363636363636364	0.65	0.6206896551724138	0.64	0.6470588235294117	0.631578947368421	0.6923076923076923	0.6756756756756757	0.55	0.5454545454545454	0.55	0.6	0.5172413793103448	0.6216216216216216	0.5714285714285714	0.6944444444444444	0.631578947368421	0.5185185185185186	0.7083333333333333	0.625	0.6470588235294117	0.6578947368421053
Potassium Carbonate Handbook	0.6666666666666667	0.6923076923076923	0.6333333333333333	0.4137931034482759	0.5666666666666667	0.375	0.5	0.5217391304347826	0.5357142857142857	0.4814814814814815	0.4666666666666667	0.6956521739130435	0.5142857142857142	0.5555555555555556	0.7083333333333333	0.6818181818181819	0.5161290322580645	0.641025641025641	0.8421052631578947	0.5625	0.6923076923076923	0.5714285714285714	0.6153846153846154	0.6086956521739131	0.6190476190476191	0.6	0.6153846153846154	0.5882352941176471	0.5263157894736843	0.6052631578947368	0.6578947368421053	0.5238095238095238	0.5833333333333333	0.44999999999999996	0.5806451612903225	0.5483870967741935	0.6052631578947368	0.6	0.6388888888888888	0.6153846153846154	0.5	0.6382978723404256	0.5161290322580645	0.5882352941176471	0.641025641025641
Causatic Potash Chemical Profile	0.6595744680851063	0.4285714285714286	0.5185185185185186	0.5	0.5	0.5384615384615384	0.5454545454545454	0.5652173913043479	0.46153846153846156	0.46153846153846156	0.4482758620689655	0.6590909090909092	0.5833333333333333	0.5833333333333333	0.6956521739130435	0.6666666666666667	0.4482758620689655	0.5945945945945945	0.8333333333333334	0.4482758620689655	0.6111111111111112	0.375	0.4782608695652174	0.5909090909090908	0.5263157894736843	0.5862068965517242	0.5416666666666667	0.53125	0.5	0.5555555555555556	0.6486486486486487	0.5	0.5	0.5	0.5172413793103448	0.5333333333333333	0.5555555555555556	0.5862068965517242	0.5454545454545454	0.641025641025641	0.36	0.6595744680851063	0.5	0.53125	0.5945945945945945
2009 Industrial Directory	0.653061224489796	0.6666666666666667	0.6129032258064516	0.6285714285714286	0.5	0.29166666666666663	0.40909090909090906	0.5	0.5666666666666667	0.40740740740740744	0.6285714285714286	0.5909090909090908	0.5789473684210527	0.5405405405405406	0.6799999999999999	0.6521739130434783	0.6285714285714286	0.5526315789473684	0.8	0.5454545454545454	0.5675675675675675	0.5	0.5925925925925926	0.5833333333333333	0.6521739130434783	0.37037037037037035	0.6428571428571428	0.6111111111111112	0.6363636363636364	0.5526315789473684	0.6052631578947368	0.5652173913043479	0.56	0.5652173913043479	0.4137931034482759	0.5757575757575757	0.625	0.5806451612903225	0.6923076923076923	0.5641025641025641	0.5333333333333333	0.653061224489796	0.6285714285714286	0.5714285714285714	0.5135135135135135
Letter to DL Jones 	0.8367346938775511	0.7727272727272727	0.7407407407407407	0.78125	0.8	0.72	0.7	0.65	0.7857142857142857	0.6923076923076923	0.78125	0.8222222222222222	0.8157894736842105	0.7837837837837838	0.8	0.7777777777777778	0.78125	0.8205128205128205	0.8461538461538461	0.7419354838709677	0.8108108108108107	0.6799999999999999	0.7391304347826086	0.6842105263157895	0.625	0.7037037037037037	0.6818181818181819	0.7941176470588236	0.6875	0.7894736842105263	0.8108108108108107	0.5	0.7142857142857143	0.6666666666666667	0.7666666666666666	0.7333333333333334	0.7894736842105263	0.75	0.8	0.7948717948717949	0.75	0.86	0.78125	0.7941176470588236	0.7894736842105263
Letter to DL Jones RE Dcoket Response to USEPA Questions	0.6470588235294117	0.78125	0.6060606060606061	0.6216216216216216	0.6666666666666667	0.6666666666666667	0.6428571428571428	0.6551724137931034	0.6470588235294117	0.5625	0.6216216216216216	0.6734693877551021	0.6744186046511628	0.6744186046511628	0.8387096774193549	0.8275862068965517	0.6216216216216216	0.6511627906976745	0.8260869565217391	0.5833333333333333	0.6666666666666667	0.59375	0.6333333333333333	0.6785714285714286	0.64	0.5757575757575757	0.5862068965517242	0.641025641025641	0.625	0.6190476190476191	0.6341463414634146	0.6153846153846154	0.6071428571428572	0.7586206896551724	0.6388888888888888	0.5714285714285714	0.5853658536585367	0.5757575757575757	0.6153846153846154	0.5609756097560976	0.6176470588235294	0.62	0.5833333333333333	0.5675675675675675	0.55
Letter to DL Jones RE Information requested pursuant to section 114 of the Clean Air Act 	0.5294117647058824	0.59375	0.5142857142857142	0.5	0.5	0.6111111111111112	0.5806451612903225	0.5	0.5555555555555556	0.4242424242424242	0.5	0.4893617021276596	0.6	0.5681818181818181	0.6875	0.7096774193548387	0.5	0.5454545454545454	0.8214285714285714	0.37142857142857144	0.5581395348837209	0.40625	0.5757575757575757	0.6129032258064516	0.6666666666666667	0.48571428571428577	0.5757575757575757	0.4054054054054054	0.6071428571428572	0.4	0.4878048780487805	0.5517241379310345	0.59375	0.6	0.4722222222222222	0.4864864864864865	0.47619047619047616	0.6052631578947368	0.5	0.5555555555555556	0.29032258064516125	0.5576923076923077	0.5384615384615384	0.4054054054054054	0.47619047619047616
Letter to DL Jones RE Response to Request for Information under Section 114 of the Clean Air Act 42 � 7414	0.4807692307692307	0.6388888888888888	0.5263157894736843	0.5121951219512195	0.4736842105263158	0.6153846153846154	0.6285714285714286	0.5588235294117647	0.6	0.4864864864864865	0.5476190476190477	0.4375	0.6041666666666667	0.5434782608695652	0.7222222222222222	0.7428571428571429	0.5476190476190477	0.5217391304347826	0.84375	0.4358974358974359	0.5333333333333333	0.4722222222222222	0.5833333333333333	0.6571428571428571	0.6666666666666667	0.45945945945945943	0.5833333333333333	0.46341463414634143	0.65625	0.38095238095238093	0.5	0.6060606060606061	0.6388888888888888	0.6470588235294117	0.4473684210526315	0.5365853658536586	0.48888888888888893	0.6097560975609756	0.5116279069767442	0.5	0.37142857142857144	0.5094339622641509	0.5476190476190477	0.42500000000000004	0.41860465116279066
RE Docket No EPAHQOAR20020017National Emission Standards for Hazardous Air Pollutants Mercury Emissions from Mercury Cell ChlorAlkali Plants 	0.4528301886792453	0.631578947368421	0.5609756097560976	0.47619047619047616	0.5121951219512195	0.5384615384615384	0.6578947368421053	0.5945945945945945	0.5609756097560976	0.4871794871794872	0.5116279069767442	0.43999999999999995	0.4782608695652174	0.4444444444444444	0.7435897435897436	0.7297297297297297	0.5116279069767442	0.4565217391304348	0.8571428571428572	0.47619047619047616	0.43181818181818177	0.4736842105263158	0.65	0.75	0.7297297297297297	0.5365853658536586	0.6829268292682926	0.4651162790697675	0.6857142857142857	0.4222222222222223	0.5	0.6756756756756757	0.5945945945945945	0.6756756756756757	0.4878048780487805	0.5348837209302326	0.5208333333333333	0.5714285714285714	0.5111111111111111	0.19999999999999996	0.42105263157894735	0.29166666666666663	0.5454545454545454	0.4285714285714286	0.38636363636363635
Memo Updated Cost Impacts Associated with the Conversion from Chlorine Producation Utilizing Mercury Cell ChlorAlkali Technology to Membrane Cell Technology	0.375	0.5454545454545454	0.5135135135135135	0.42105263157894735	0.41666666666666663	0.5277777777777778	0.4838709677419355	0.5	0.4722222222222222	0.33333333333333337	0.42105263157894735	0.5769230769230769	0.4285714285714286	0.5	0.7837837837837838	0.7714285714285715	0.2857142857142857	0.4772727272727273	0.8387096774193549	0.42105263157894735	0.4883720930232558	0.4117647058823529	0.6111111111111112	0.5625	0.696969696969697	0.4444444444444444	0.6486486486486487	0.2777777777777778	0.6875	0.40476190476190477	0.41463414634146345	0.59375	0.5	0.59375	0.38888888888888884	0.4473684210526315	0.28205128205128205	0.4864864864864865	0.42500000000000004	0.5217391304347826	0.4	0.34042553191489366	0.42105263157894735	0.2777777777777778	0.28205128205128205
Capital and Annual Costs References Cited by Oceana in Their Comments on EPAs Cost Analysis of the Conversion of Mercury Cells to Membrane Cells	0.4693877551020408	0.4482758620689655	0.4242424242424242	0.45945945945945943	0.4571428571428572	0.5294117647058824	0.5333333333333333	0.5	0.47058823529411764	0.32258064516129037	0.37142857142857144	0.5208333333333333	0.46341463414634143	0.5	0.7647058823529411	0.75	0.37142857142857144	0.47619047619047616	0.8214285714285714	0.41666666666666663	0.4878048780487805	0.30000000000000004	0.5757575757575757	0.5666666666666667	0.6666666666666667	0.48571428571428577	0.6571428571428571	0.2647058823529411	0.6071428571428572	0.4	0.41025641025641024	0.5517241379310345	0.4482758620689655	0.5517241379310345	0.38235294117647056	0.4	0.3157894736842105	0.48571428571428577	0.42105263157894735	0.4883720930232558	0.34375	0.4042553191489362	0.41666666666666663	0.3142857142857143	0.3589743589743589
Documentation of Building Replacement Cost Estimates	0.6122448979591837	0.5384615384615384	0.4482758620689655	0.5714285714285714	0.53125	0.6129032258064516	0.5769230769230769	0.48	0.59375	0.3928571428571429	0.48484848484848486	0.5454545454545454	0.5641025641025641	0.5263157894736843	0.75	0.7307692307692308	0.4375	0.5384615384615384	0.8181818181818181	0.33333333333333337	0.5897435897435898	0.3076923076923077	0.5714285714285714	0.6666666666666667	0.6799999999999999	0.5625	0.6206896551724138	0.47058823529411764	0.47619047619047616	0.5	0.4722222222222222	0.4782608695652174	0.5384615384615384	0.5416666666666667	0.5	0.46875	0.5384615384615384	0.5161290322580645	0.5277777777777778	0.55	0.4137931034482759	0.6122448979591837	0.5294117647058824	0.47058823529411764	0.5
Testimony of Richard Jackson Executive Vice President of Operation ASHTA Chemicals Inc	0.49056603773584906	0.48484848484848486	0.45945945945945943	0.4878048780487805	0.4473684210526315	0.5135135135135135	0.5588235294117647	0.5294117647058824	0.45945945945945943	0.41666666666666663	0.44999999999999996	0.5384615384615384	0.4545454545454546	0.4545454545454546	0.7948717948717949	0.7837837837837838	0.44999999999999996	0.5625	0.8484848484848485	0.44999999999999996	0.5434782608695652	0.4	0.5945945945945945	0.5882352941176471	0.7142857142857143	0.5128205128205128	0.7	0.4390243902439024	0.6666666666666667	0.4666666666666667	0.4772727272727273	0.6176470588235294	0.5294117647058824	0.6176470588235294	0.46153846153846156	0.475	0.31707317073170727	0.5128205128205128	0.41463414634146345	0.4444444444444444	0.43243243243243246	0.4	0.44999999999999996	0.3589743589743589	0.39534883720930236
Asia Mercury Storage Project Inception Workshop	0.5714285714285714	0.6666666666666667	0.53125	0.5555555555555556	0.5588235294117647	0.5483870967741935	0.5555555555555556	0.5185185185185186	0.53125	0.4838709677419355	0.5555555555555556	0.6799999999999999	0.55	0.6190476190476191	0.84375	0.8333333333333334	0.47058823529411764	0.525	0.8333333333333334	0.5142857142857142	0.5384615384615384	0.5625	0.5517241379310345	0.5384615384615384	0.6538461538461539	0.5454545454545454	0.6451612903225806	0.5405405405405406	0.6923076923076923	0.525	0.5384615384615384	0.6296296296296297	0.5185185185185186	0.7241379310344828	0.48484848484848486	0.5	0.4871794871794872	0.5454545454545454	0.5526315789473684	0.6046511627906976	0.5	0.5714285714285714	0.47058823529411764	0.5	0.525
OxyChem Caustic Potash Handbook	0.64	0.48	0.6363636363636364	0.4375	0.53125	0.34615384615384615	0.52	0.5925925925925926	0.4482758620689655	0.5	0.48484848484848486	0.6382978723404256	0.4	0.4444444444444444	0.7931034482758621	0.7777777777777778	0.5294117647058824	0.6097560975609756	0.8181818181818181	0.5714285714285714	0.6585365853658536	0.5333333333333333	0.6206896551724138	0.6666666666666667	0.6799999999999999	0.6060606060606061	0.6666666666666667	0.5555555555555556	0.5454545454545454	0.6097560975609756	0.6585365853658536	0.6538461538461539	0.5925925925925926	0.6	0.5454545454545454	0.5151515151515151	0.5384615384615384	0.6060606060606061	0.641025641025641	0.5853658536585367	0.4666666666666667	0.5833333333333333	0.48484848484848486	0.5555555555555556	0.6097560975609756
OxyChem Caustic Soda Handbook	0.64	0.48	0.59375	0.48484848484848486	0.4838709677419355	0.40740740740740744	0.52	0.5925925925925926	0.5	0.5483870967741935	0.5294117647058824	0.6086956521739131	0.4444444444444444	0.4	0.7931034482758621	0.7777777777777778	0.5714285714285714	0.6428571428571428	0.8181818181818181	0.6111111111111112	0.6585365853658536	0.5333333333333333	0.5714285714285714	0.6666666666666667	0.625	0.5625	0.6206896551724138	0.5555555555555556	0.5454545454545454	0.6097560975609756	0.625	0.6538461538461539	0.6428571428571428	0.6	0.5	0.5588235294117647	0.5384615384615384	0.6060606060606061	0.6052631578947368	0.5853658536585367	0.5161290322580645	0.5833333333333333	0.48484848484848486	0.5555555555555556	0.6097560975609756
Interim Guidance	0.75	0.75	0.7241379310344828	0.6451612903225806	0.6551724137931034	0.4782608695652174	0.2941176470588235	0.5	0.6296296296296297	0.52	0.6	0.7555555555555555	0.7027027027027026	0.7027027027027026	0.7142857142857143	0.6842105263157895	0.6451612903225806	0.7105263157894737	0.8	0.6	0.6944444444444444	0.6153846153846154	0.6666666666666667	0.4444444444444444	0.6842105263157895	0.5925925925925926	0.6666666666666667	0.6666666666666667	0.5882352941176471	0.6756756756756757	0.6571428571428571	0.5789473684210527	0.5714285714285714	0.5789473684210527	0.6206896551724138	0.6333333333333333	0.6756756756756757	0.6428571428571428	0.7142857142857143	0.717948717948718	0.5925925925925926	0.75	0.6875	0.6666666666666667	0.6388888888888888
Integrated Pollution Prevention and Control IPPC Reference Document on Best Available Techniques in the ChlorAlkali Manufacturing Industry	0.40816326530612246	0.5882352941176471	0.5135135135135135	0.5	0.5	0.5277777777777778	0.53125	0.5	0.5526315789473684	0.28125	0.42105263157894735	0.5490196078431373	0.4651162790697675	0.5	0.7837837837837838	0.7714285714285715	0.33333333333333337	0.5111111111111111	0.8387096774193549	0.3783783783783784	0.5227272727272727	0.3125	0.6486486486486487	0.6060606060606061	0.696969696969697	0.5263157894736843	0.6486486486486487	0.2777777777777778	0.6875	0.40476190476190477	0.41463414634146345	0.59375	0.5	0.59375	0.43243243243243246	0.4871794871794872	0.36585365853658536	0.4864864864864865	0.42500000000000004	0.48888888888888893	0.3529411764705882	0.43999999999999995	0.46153846153846156	0.368421052631579	0.36585365853658536
Final Regulatory Impact Analysis for the NO2 National Ambient Air Quality Standards NAAQS	0.44897959183673475	0.5625	0.48571428571428577	0.5128205128205128	0.4285714285714286	0.5	0.5483870967741935	0.4666666666666667	0.5277777777777778	0.3939393939393939	0.4736842105263158	0.46808510638297873	0.47619047619047616	0.47619047619047616	0.7352941176470589	0.71875	0.5128205128205128	0.5555555555555556	0.8275862068965517	0.43243243243243246	0.42500000000000004	0.47058823529411764	0.5454545454545454	0.625	0.6333333333333333	0.36363636363636365	0.6285714285714286	0.33333333333333337	0.7096774193548387	0.41463414634146345	0.3846153846153846	0.6129032258064516	0.5625	0.6129032258064516	0.303030303030303	0.5	0.41463414634146345	0.5405405405405406	0.5476190476190477	0.4285714285714286	0.4571428571428572	0.41666666666666663	0.5128205128205128	0.3783783783783784	0.375
Final Rulemaking to Establish LightDuty Vehicle Greenhouse Gas Emission Standards and Corporate Average Fuel Economy Standards Regulatory Impact Analysis	0.4509803921568627	0.6388888888888888	0.4864864864864865	0.5476190476190477	0.5128205128205128	0.5789473684210527	0.5454545454545454	0.5151515151515151	0.5641025641025641	0.3529411764705882	0.39473684210526316	0.5	0.5111111111111111	0.5111111111111111	0.7567567567567568	0.7428571428571429	0.5121951219512195	0.5531914893617021	0.84375	0.4358974358974359	0.5333333333333333	0.38235294117647056	0.5428571428571429	0.5757575757575757	0.6666666666666667	0.45945945945945943	0.6578947368421053	0.3846153846153846	0.65625	0.41860465116279066	0.4285714285714286	0.6470588235294117	0.5151515151515151	0.6060606060606061	0.4054054054054054	0.42105263157894735	0.38095238095238093	0.5	0.4	0.5	0.45945945945945943	0.4807692307692307	0.4358974358974359	0.3421052631578947	0.3414634146341463
Integrated Science Assessment for Particulate Matter	0.5531914893617021	0.6428571428571428	0.5483870967741935	0.5294117647058824	0.4838709677419355	0.4642857142857143	0.45833333333333337	0.34782608695652173	0.5	0.2692307692307693	0.48484848484848486	0.6382978723404256	0.5641025641025641	0.6	0.7037037037037037	0.6799999999999999	0.3870967741935484	0.5384615384615384	0.7619047619047619	0.3870967741935484	0.4722222222222222	0.48275862068965514	0.5714285714285714	0.6153846153846154	0.5652173913043479	0.4137931034482759	0.5714285714285714	0.47058823529411764	0.6086956521739131	0.41666666666666663	0.4285714285714286	0.5416666666666667	0.41666666666666663	0.5416666666666667	0.4	0.4193548387096774	0.41666666666666663	0.4137931034482759	0.48571428571428577	0.5128205128205128	0.3571428571428571	0.5531914893617021	0.5714285714285714	0.4242424242424242	0.45945945945945943
Regulatory Impact Analysis for the Final Clean Air Interstate Rule	0.5106382978723405	0.46153846153846156	0.3793103448275862	0.5142857142857142	0.4193548387096774	0.5483870967741935	0.5	0.4	0.4838709677419355	0.3793103448275862	0.4242424242424242	0.5333333333333333	0.5128205128205128	0.55	0.7241379310344828	0.7037037037037037	0.4242424242424242	0.525	0.8333333333333334	0.375	0.5	0.2962962962962963	0.4444444444444444	0.5384615384615384	0.6538461538461539	0.4516129032258065	0.6451612903225806	0.3125	0.5833333333333333	0.4871794871794872	0.41666666666666663	0.52	0.46153846153846156	0.52	0.3870967741935484	0.40625	0.4054054054054054	0.5454545454545454	0.5135135135135135	0.5714285714285714	0.3448275862068966	0.5416666666666667	0.47058823529411764	0.36363636363636365	0.4473684210526315
Regulatory Impact Analysis for the Proposed Federal Trust Transport Rule	0.46808510638297873	0.5	0.4193548387096774	0.5	0.4545454545454546	0.4838709677419355	0.4814814814814815	0.3846153846153846	0.4193548387096774	0.31034482758620685	0.4117647058823529	0.5531914893617021	0.5	0.5714285714285714	0.7	0.6785714285714286	0.36363636363636365	0.5121951219512195	0.8	0.36363636363636365	0.4473684210526315	0.3448275862068966	0.5333333333333333	0.5185185185185186	0.6785714285714286	0.4375	0.6666666666666667	0.303030303030303	0.6666666666666667	0.475	0.36111111111111116	0.5	0.4444444444444444	0.5	0.375	0.3939393939393939	0.3513513513513513	0.48484848484848486	0.5	0.5238095238095238	0.33333333333333337	0.5	0.4571428571428572	0.3529411764705882	0.3513513513513513
Regulatory Impact Analysis 2006 National Ambient Air Quality Standards for Particulate Matter	0.4285714285714286	0.6571428571428571	0.5405405405405406	0.525	0.4444444444444444	0.4242424242424242	0.5625	0.4838709677419355	0.5405405405405406	0.36363636363636365	0.4871794871794872	0.47916666666666663	0.4883720930232558	0.5227272727272727	0.7428571428571429	0.7272727272727273	0.4871794871794872	0.5	0.8333333333333334	0.4473684210526315	0.3589743589743589	0.5277777777777778	0.6388888888888888	0.6764705882352942	0.6451612903225806	0.33333333333333337	0.6388888888888888	0.39473684210526316	0.71875	0.35	0.4	0.625	0.53125	0.6666666666666667	0.32352941176470584	0.4736842105263158	0.4285714285714286	0.5135135135135135	0.5581395348837209	0.40476190476190477	0.4722222222222222	0.39583333333333337	0.5609756097560976	0.3513513513513513	0.35
Regulatory Impact Analysis Amendments to the National Emission Standards for Hazardous Air Pollutants and New Source Performance Standards NSPS for the Portland Cement Manufacturing Industry	0.43999999999999995	0.5882352941176471	0.4285714285714286	0.46153846153846156	0.41666666666666663	0.5277777777777778	0.5757575757575757	0.4516129032258065	0.4285714285714286	0.38235294117647056	0.46153846153846156	0.4897959183673469	0.4651162790697675	0.5	0.7837837837837838	0.7714285714285715	0.3783783783783784	0.4772727272727273	0.8387096774193549	0.33333333333333337	0.375	0.4117647058823529	0.5714285714285714	0.6470588235294117	0.696969696969697	0.4864864864864865	0.6842105263157895	0.368421052631579	0.6451612903225806	0.36585365853658536	0.375	0.6363636363636364	0.5	0.6363636363636364	0.43243243243243246	0.4054054054054054	0.36585365853658536	0.4864864864864865	0.42500000000000004	0.41860465116279066	0.3529411764705882	0.34042553191489366	0.46153846153846156	0.2777777777777778	0.32499999999999996
Regulatory Impact Analysis Control of Emissions of Air Pollution from Locomotive Engines and Marine Compression Ignition Engines Less than 30 Liters Per Cylinder	0.39583333333333337	0.5757575757575757	0.4571428571428572	0.4871794871794872	0.4864864864864865	0.5142857142857142	0.5161290322580645	0.43333333333333335	0.5	0.3125	0.4473684210526315	0.5102040816326531	0.4883720930232558	0.5555555555555556	0.7428571428571429	0.7272727272727273	0.4054054054054054	0.3902439024390244	0.8333333333333334	0.36111111111111116	0.4390243902439024	0.34375	0.6	0.59375	0.6875	0.4285714285714286	0.6388888888888888	0.3513513513513513	0.6333333333333333	0.35	0.4	0.625	0.43333333333333335	0.625	0.37142857142857144	0.34285714285714286	0.35	0.4722222222222222	0.41025641025641024	0.4772727272727273	0.33333333333333337	0.4285714285714286	0.4871794871794872	0.2571428571428571	0.35
Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry	0.45999999999999996	0.5757575757575757	0.4117647058823529	0.4871794871794872	0.4444444444444444	0.5142857142857142	0.5625	0.43333333333333335	0.4571428571428572	0.36363636363636365	0.4473684210526315	0.5102040816326531	0.4883720930232558	0.5227272727272727	0.7777777777777778	0.7647058823529411	0.4054054054054054	0.4651162790697675	0.8333333333333334	0.3142857142857143	0.4	0.3939393939393939	0.5588235294117647	0.6363636363636364	0.6875	0.4722222222222222	0.6756756756756757	0.39473684210526316	0.6333333333333333	0.35	0.3589743589743589	0.625	0.4838709677419355	0.625	0.41666666666666663	0.38888888888888884	0.35	0.4722222222222222	0.44999999999999996	0.40476190476190477	0.33333333333333337	0.36170212765957444	0.4871794871794872	0.3055555555555556	0.35
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.5306122448979591	0.5517241379310345	0.5151515151515151	0.5405405405405406	0.5833333333333333	0.4838709677419355	0.5357142857142857	0.4444444444444444	0.4193548387096774	0.3666666666666667	0.4571428571428572	0.5531914893617021	0.46153846153846156	0.5714285714285714	0.7	0.6785714285714286	0.4117647058823529	0.4358974358974359	0.8	0.4117647058823529	0.525	0.4516129032258065	0.5333333333333333	0.6666666666666667	0.6785714285714286	0.48484848484848486	0.6666666666666667	0.4	0.56	0.475	0.4473684210526315	0.6071428571428572	0.3846153846153846	0.5	0.47058823529411764	0.1071428571428571	0.3513513513513513	0.4375	0.5	0.5581395348837209	0.33333333333333337	0.56	0.4571428571428572	0.4444444444444444	0.5121951219512195
What Determines the Value of Life A MetaAnalysis	0.64	0.5925925925925926	0.5483870967741935	0.6111111111111112	0.5757575757575757	0.6129032258064516	0.5769230769230769	0.48	0.5483870967741935	0.4482758620689655	0.5294117647058824	0.6382978723404256	0.6341463414634146	0.6	0.75	0.7307692307692308	0.5294117647058824	0.575	0.8695652173913043	0.5294117647058824	0.5897435897435898	0.4285714285714286	0.6206896551724138	0.6153846153846154	0.625	0.5161290322580645	0.6206896551724138	0.5142857142857142	0.6666666666666667	0.575	0.5897435897435898	0.4782608695652174	0.5384615384615384	0.6	0.5	0.5151515151515151	0.575	0.6060606060606061	0.48571428571428577	0.6190476190476191	0.4666666666666667	0.6666666666666667	0.5714285714285714	0.5945945945945945	0.575
Modern ChlorAlkali Technology Volume 2	0.5625	0.6071428571428572	0.5625	0.5428571428571429	0.5454545454545454	0.5806451612903225	0.5925925925925926	0.5555555555555556	0.5625	0.5161290322580645	0.5	0.6458333333333333	0.5	0.575	0.7142857142857143	0.6923076923076923	0.40625	0.5128205128205128	0.8260869565217391	0.5428571428571429	0.5641025641025641	0.4482758620689655	0.5862068965517242	0.6296296296296297	0.7857142857142857	0.5757575757575757	0.7575757575757576	0.4411764705882353	0.625	0.55	0.5641025641025641	0.6666666666666667	0.5	0.5	0.46875	0.48484848484848486	0.5128205128205128	0.5757575757575757	0.4571428571428572	0.5952380952380952	0.43333333333333335	0.5625	0.5428571428571429	0.5675675675675675	0.55
