	Clash in Alabama Over Tennessee Coal Ash‚Äù The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of ‚ÄúAttachment A Guidance for Implementing the Federalism 1 Test‚Äù to EPA‚Äôs Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Coal Ash Disposal Varies From Company to Company	0.8064516129032258	0.7727272727272727	0.782608695652174	0.9157667386609071	0.9411764705882353	0.7840909090909091	0.881578947368421	0.8679245283018868	0.8333333333333334	0.8135593220338984	0.7934782608695652	0.8714859437751004
Shocking Electricity Prices Follow Deregulation	0.7903225806451613	0.803030303030303	0.8115942028985508	0.9157667386609071	0.9411764705882353	0.7954545454545454	0.881578947368421	0.7735849056603774	0.75	0.847457627118644	0.7934782608695652	0.8755020080321285
Coal Plant OM Retrofit FlyashHandling System Pays Dividends	0.8064516129032258	0.7575757575757576	0.7971014492753623	0.9071274298056156	0.9294117647058824	0.7613636363636364	0.8552631578947368	0.8305084745762712	0.85	0.864406779661017	0.7717391304347826	0.8674698795180723
Arsenic in Drinking Water 2001 Update	0.8225806451612904	0.8333333333333334	0.8260869565217391	0.9395248380129589	0.9529411764705882	0.8181818181818182	0.8947368421052632	0.7547169811320755	0.7666666666666667	0.8305084745762712	0.8369565217391305	0.8995983935742972
Definitions of “inactive” and “abandoned” coal waste impoundments	0.8153846153846154	0.7575757575757576	0.7681159420289855	0.896328293736501	0.9161764705882353	0.7272727272727273	0.8289473684210527	0.7538461538461538	0.8	0.8	0.7717391304347826	0.8273092369477911
2007 Economic Census	0.8870967741935484	0.8484848484848485	0.855072463768116	0.9676025917926566	0.9735294117647059	0.8636363636363636	0.9385964912280702	0.8301886792452831	0.85	0.864406779661017	0.8695652173913043	0.927710843373494
EIA767	0.9838709677419355	1.0	1.0	0.9935205183585313	0.9955882352941177	0.9886363636363636	0.9912280701754386	1.0	1.0	0.9661016949152542	1.0	0.9919678714859438
EIA860 	0.967741935483871	0.9848484848484849	0.9855072463768116	0.9935205183585313	0.9926470588235294	0.9772727272727273	0.9868421052631579	0.9622641509433962	0.9666666666666667	0.9830508474576272	0.9891304347826086	0.9879518072289156
EIA923	0.9838709677419355	1.0	1.0	0.9956803455723542	0.9926470588235294	0.9886363636363636	0.9912280701754386	1.0	1.0	0.9830508474576272	1.0	0.9919678714859438
Electric Power Monthly 	0.8548387096774194	0.8333333333333334	0.855072463768116	0.9546436285097192	0.9676470588235294	0.8295454545454546	0.9210526315789473	0.7547169811320755	0.8	0.8305084745762712	0.8478260869565217	0.927710843373494
EngineeringNews Record Construction Cost Index	0.8064516129032258	0.7727272727272727	0.7681159420289855	0.91792656587473	0.9426470588235294	0.7840909090909091	0.8728070175438597	0.8113207547169812	0.8	0.7966101694915254	0.782608695652174	0.8795180722891566
RCRA	0.967741935483871	1.0	1.0	0.9956803455723542	0.9941176470588236	0.9886363636363636	0.9956140350877193	1.0	1.0	1.0	1.0	0.9839357429718876
RCRA Biennial Hazardous Waste Reports	0.7741935483870968	0.7575757575757576	0.7681159420289855	0.937365010799136	0.9514705882352941	0.7840909090909091	0.8903508771929824	0.8113207547169812	0.7833333333333333	0.8135593220338984	0.8478260869565217	0.8955823293172691
RCRA National Analysis Biennial Hazardous Waste Report	0.8225806451612904	0.803030303030303	0.7971014492753623	0.9114470842332614	0.9308823529411765	0.7386363636363636	0.8596491228070176	0.8888888888888888	0.8166666666666667	0.8135593220338984	0.8152173913043478	0.8714859437751004
US Geological Survey 2006 “Quarternary Fault and Fold Database for the United States”	0.8235294117647058	0.8	0.788235294117647	0.8704103671706264	0.9088235294117647	0.8522727272727273	0.793859649122807	0.7647058823529411	0.7176470588235294	0.7529411764705882	0.782608695652174	0.8232931726907631
“Steam Electric Power Generating Point Source Category 20072008 Detailed Study Report	0.8117647058823529	0.8117647058823529	0.7647058823529411	0.8768898488120951	0.9073529411764706	0.8522727272727273	0.8157894736842105	0.7294117647058823	0.7058823529411765	0.8235294117647058	0.7934782608695652	0.8232931726907631
2008 3rd quarter estimate of 2008 US GDP	0.8064516129032258	0.8181818181818182	0.8260869565217391	0.9438444924406048	0.9558823529411765	0.8068181818181818	0.8947368421052632	0.8490566037735849	0.8333333333333334	0.7627118644067796	0.8369565217391305	0.8875502008032129
2020 Corrective Action Universe	0.8387096774193549	0.8181818181818182	0.8115942028985508	0.9481641468682506	0.961764705882353	0.7954545454545454	0.8991228070175439	0.7735849056603774	0.7666666666666667	0.8305084745762712	0.8260869565217391	0.8995983935742972
Analysis of NonUtility Coal Combustion Waste Generation and Management Based on the 2001 CIBO Voluntary Survey	0.7818181818181819	0.7818181818181819	0.7818181818181819	0.8509719222462203	0.8823529411764706	0.8181818181818182	0.7763157894736842	0.8	0.7818181818181819	0.7909090909090909	0.7636363636363637	0.7831325301204819
Annual Energy Outlook 2010 Early Release	0.8225806451612904	0.803030303030303	0.8115942028985508	0.9330453563714903	0.9514705882352941	0.8068181818181818	0.8771929824561403	0.7924528301886793	0.7833333333333333	0.847457627118644	0.8043478260869565	0.8995983935742972
Approaches to Assessing the Benefits Costs and Impacts of the RCRA Subtitle C Program	0.7647058823529411	0.7647058823529411	0.7647058823529411	0.8725701943844493	0.8955882352941177	0.8409090909090909	0.8070175438596491	0.7764705882352941	0.8	0.7764705882352941	0.8369565217391305	0.8192771084337349
azardous Waste Progress Under the Corrective Action Program is Limited But New Initiatives May Accelerate Cleanups	0.7894736842105263	0.7719298245614035	0.7368421052631579	0.8293736501079914	0.8735294117647059	0.7456140350877193	0.7850877192982456	0.7807017543859649	0.7807017543859649	0.7982456140350878	0.7280701754385965	0.7911646586345381
Characterization of Coal Combustion Residues from Electric Utilities – Leaching and Characterization Data	0.8095238095238095	0.8	0.7904761904761904	0.8509719222462203	0.8779411764705882	0.8	0.7982456140350878	0.7428571428571429	0.7714285714285715	0.780952380952381	0.780952380952381	0.7831325301204819
Characterization of Coal Combustion Residues from Electric Utilities Using Wet Scrubbers for Multipollutant Control	0.808695652173913	0.808695652173913	0.808695652173913	0.8466522678185745	0.8705882352941177	0.7565217391304347	0.7850877192982456	0.7565217391304347	0.7652173913043478	0.7913043478260869	0.7913043478260869	0.7871485943775101
Characterization of MercuryEnriched Coal Combustion Residues from Electric Utilities Using Enhanced Sorbents for Mercury Control	0.8046875	0.78125	0.78125	0.8250539956803455	0.861764705882353	0.765625	0.7719298245614035	0.765625	0.765625	0.7890625	0.7265625	0.7670682730923695
Coal Combustion Residuals 	0.8225806451612904	0.8181818181818182	0.8260869565217391	0.9503239740820735	0.9632352941176471	0.8409090909090909	0.9122807017543859	0.7924528301886793	0.7666666666666667	0.8135593220338984	0.8369565217391305	0.9116465863453815
Coal Combustion Waste Management at Landfills and Surface Impoundments 19942004	0.8227848101265823	0.8227848101265823	0.7974683544303798	0.8790496760259179	0.913235294117647	0.7954545454545454	0.8026315789473685	0.7721518987341772	0.7468354430379747	0.7721518987341772	0.782608695652174	0.8273092369477911
Cost Analyses for Selected Groundwater Cleanup Projects Pump and Treat Systems and Permeable Reactive Barriers	0.7727272727272727	0.7545454545454545	0.7181818181818181	0.838012958963283	0.8779411764705882	0.7454545454545455	0.7675438596491229	0.7818181818181819	0.7636363636363637	0.7818181818181819	0.7818181818181819	0.7871485943775101
Current Population Survey CPS  Definitions and Explanations	0.8387096774193549	0.803030303030303	0.8115942028985508	0.896328293736501	0.9235294117647059	0.7727272727272727	0.8464912280701754	0.8305084745762712	0.8666666666666667	0.8983050847457628	0.782608695652174	0.8514056224899599
Demand Responsiveness in Electricity Markets	0.7903225806451613	0.7878787878787878	0.7971014492753623	0.9157667386609071	0.9411764705882353	0.75	0.8640350877192983	0.7358490566037735	0.7666666666666667	0.8135593220338984	0.717391304347826	0.8634538152610441
Energy  Water Emerging Issues and Trands	0.7903225806451613	0.7878787878787878	0.782608695652174	0.9244060475161987	0.9514705882352941	0.7840909090909091	0.881578947368421	0.7735849056603774	0.7833333333333333	0.847457627118644	0.782608695652174	0.8795180722891566
EPA’s Action Development Process Final Guidance for EPA Rulewriters Regulatory Flexibility Act	0.7872340425531915	0.8085106382978723	0.8191489361702128	0.8660907127429806	0.8926470588235295	0.7659574468085106	0.7894736842105263	0.776595744680851	0.7446808510638298	0.7872340425531915	0.8404255319148937	0.8192771084337349
EPA’s Action Development Process Final Guidance for EPA Rulewriters Regulatory Flexibility Act as amended by the Small Business Regulatory Enforcement Fairness Act	0.8098159509202454	0.7975460122699386	0.803680981595092	0.8099352051835853	0.8426470588235294	0.7668711656441718	0.7587719298245614	0.8098159509202454	0.7975460122699386	0.803680981595092	0.7668711656441718	0.7751004016064257
Estimation of Costs for Regulating Fossil Fuel Combustion Ash Management at Large Electric Utilities Under Part 258	0.782608695652174	0.782608695652174	0.7565217391304347	0.8401727861771058	0.8735294117647059	0.7478260869565218	0.7543859649122807	0.7652173913043478	0.7739130434782608	0.782608695652174	0.6869565217391305	0.7991967871485943
Estimation of the Marginal Greenhouse Gas Abatement Curve for the Beneficial Use of Fly Ash as a Substitute for Portland Cement in ReadyMix Concrete Production	0.7861635220125787	0.8176100628930818	0.7861635220125787	0.7948164146868251	0.8338235294117647	0.7672955974842768	0.7456140350877193	0.8238993710691824	0.8050314465408805	0.7924528301886793	0.7421383647798742	0.751004016064257
Form EIA860 Annual Electric Generator Report Existing Electric Generating Units in the United States 2005	0.8	0.7904761904761904	0.7904761904761904	0.857451403887689	0.8867647058823529	0.8	0.793859649122807	0.7523809523809524	0.7619047619047619	0.8	0.7904761904761904	0.7831325301204819
GDP Calculator	0.9032258064516129	0.8939393939393939	0.8840579710144928	0.9740820734341252	0.9838235294117647	0.8977272727272727	0.956140350877193	0.9056603773584906	0.9	0.8813559322033898	0.9130434782608695	0.9558232931726908
Guidelines and Discount Rates for BenefitCost Analysis of Federal Programs	0.7837837837837838	0.7837837837837838	0.8243243243243243	0.8855291576673866	0.9088235294117647	0.7272727272727273	0.7894736842105263	0.7972972972972973	0.7972972972972973	0.7972972972972973	0.782608695652174	0.8273092369477911
Human and Ecological Risk Assessment of Coal Combustion Wastes	0.8064516129032258	0.8333333333333334	0.8405797101449275	0.896328293736501	0.925	0.7954545454545454	0.8421052631578947	0.7741935483870968	0.8548387096774194	0.8387096774193549	0.7608695652173914	0.8514056224899599
Industrial Production Capacity Utilization	0.8548387096774194	0.7878787878787878	0.7971014492753623	0.9265658747300216	0.9455882352941176	0.7727272727272727	0.8859649122807017	0.8301886792452831	0.8	0.8135593220338984	0.8043478260869565	0.8875502008032129
Introduction to the Hazard Ranking System	0.8709677419354839	0.7878787878787878	0.8115942028985508	0.9308855291576674	0.9470588235294117	0.8181818181818182	0.8859649122807017	0.8301886792452831	0.8166666666666667	0.7796610169491526	0.8152173913043478	0.8875502008032129
NAICS  North American Industrial Classification System	0.8225806451612904	0.8484848484848485	0.7971014492753623	0.9136069114470843	0.9308823529411765	0.8068181818181818	0.8771929824561403	0.8518518518518519	0.8333333333333334	0.7627118644067796	0.7934782608695652	0.8634538152610441
National Seismic Hazard Maps	0.8225806451612904	0.803030303030303	0.8115942028985508	0.9460043196544277	0.9647058823529412	0.8295454545454546	0.9122807017543859	0.7924528301886793	0.7666666666666667	0.8135593220338984	0.8260869565217391	0.9236947791164659
OMB Circular A4	0.9032258064516129	0.8939393939393939	0.9130434782608695	0.9762419006479481	0.9823529411764705	0.9090909090909091	0.956140350877193	0.8867924528301887	0.9	0.8983050847457628	0.9239130434782609	0.9598393574297188
Plant managers conference slide presentation	0.7419354838709677	0.6818181818181818	0.7681159420289855	0.9114470842332614	0.9397058823529412	0.7159090909090909	0.8552631578947368	0.7547169811320755	0.75	0.8305084745762712	0.7717391304347826	0.8634538152610441
Report to Congress Study on Increasing the Usage of Recovered Mineral Components in Federal Funded Projects Involving Procurement of Cement or Concrete to Address the Safe Accountable Flexible Efficient Transportation Equity Act A Legacy for Uses by the EPA the Department of Transportation DOT and the Department of Energy DOE	0.8715596330275229	0.8654434250764526	0.8532110091743119	0.7494600431965442	0.7617647058823529	0.8256880733944955	0.746177370030581	0.8746177370030581	0.8593272171253823	0.8868501529051988	0.8226299694189603	0.7614678899082569
Section 4B3 of OMB’s 31 March 1995 guidance for implementing the UMRA	0.8840579710144928	0.8695652173913043	0.8695652173913043	0.9049676025917927	0.925	0.7840909090909091	0.7894736842105263	0.8115942028985508	0.8115942028985508	0.855072463768116	0.7934782608695652	0.8473895582329317
Shaping Our Environmental Future Foresight in the Office of Research  Development	0.7901234567901234	0.8271604938271605	0.8271604938271605	0.8790496760259179	0.9014705882352941	0.7386363636363636	0.8026315789473685	0.7901234567901234	0.7160493827160493	0.8024691358024691	0.782608695652174	0.8192771084337349
special wastes	0.8709677419354839	0.8636363636363636	0.855072463768116	0.9697624190064795	0.9794117647058823	0.8863636363636364	0.9429824561403509	0.8301886792452831	0.85	0.864406779661017	0.8913043478260869	0.9437751004016064
Status of State Electric Industry Restructuring Activity as of February 2003	0.8157894736842105	0.8421052631578947	0.7631578947368421	0.8833693304535637	0.913235294117647	0.8181818181818182	0.8333333333333334	0.7894736842105263	0.7763157894736842	0.8026315789473685	0.7608695652173914	0.8433734939759037
Supporting Statement” for Information Collection Request ICR 12190015 “Refuse Piles and impoundment Structures Recordkeeping and Reporting Requirements	0.8079470198675497	0.8211920529801324	0.7947019867549668	0.8185745140388769	0.85	0.7417218543046358	0.7719298245614035	0.7814569536423841	0.7682119205298014	0.8145695364238411	0.7417218543046358	0.7710843373493976
Table 23 Existing Capacity by Producer Type 2007	0.8548387096774194	0.803030303030303	0.7971014492753623	0.9222462203023758	0.9470588235294117	0.8181818181818182	0.8947368421052632	0.8679245283018868	0.8	0.8305084745762712	0.8260869565217391	0.8795180722891566
TVA Coal Combustion Products Remediation Plan Proposed	0.8709677419354839	0.8333333333333334	0.8405797101449275	0.9114470842332614	0.9323529411764706	0.7954545454545454	0.8640350877192983	0.9074074074074074	0.8166666666666667	0.847457627118644	0.7608695652173914	0.8554216867469879
Unit Cost Compendium	0.8709677419354839	0.8181818181818182	0.855072463768116	0.9632829373650108	0.9720588235294118	0.8409090909090909	0.9298245614035088	0.8301886792452831	0.85	0.864406779661017	0.8804347826086957	0.927710843373494
US Census Bureau ZIP Code Tabulation Area ZCTA Frequently Asked Questions	0.8082191780821918	0.863013698630137	0.8356164383561644	0.8941684665226782	0.9235294117647059	0.7954545454545454	0.8333333333333334	0.7534246575342466	0.7534246575342466	0.7945205479452054	0.7934782608695652	0.8393574297188755
User’s Manual for the Subtitle D Municipal Landfill Cost Model	0.8387096774193549	0.8787878787878788	0.8260869565217391	0.8941684665226782	0.9235294117647059	0.7727272727272727	0.8464912280701754	0.8225806451612904	0.8709677419354839	0.7580645161290323	0.8043478260869565	0.8554216867469879
Waste and MaterialsFlow Benchmark Sector Report Beneficial Use of Secondary Materials – Coal Combustion Products	0.7767857142857143	0.7946428571428571	0.7767857142857143	0.8250539956803455	0.8764705882352941	0.7678571428571429	0.7894736842105263	0.7857142857142857	0.7678571428571429	0.7589285714285714	0.7767857142857143	0.7951807228915663
Wastes from the Combustion of Coal by Electric Utility Power Plants	0.8059701492537313	0.835820895522388	0.8405797101449275	0.8898488120950324	0.9147058823529411	0.75	0.8289473684210527	0.7611940298507462	0.7761194029850746	0.7611940298507462	0.6304347826086957	0.8192771084337349
1992 OMB Circular A94	0.9032258064516129	0.8939393939393939	0.9130434782608695	0.9740820734341252	0.9779411764705882	0.8977272727272727	0.9473684210526315	0.8679245283018868	0.8833333333333333	0.8813559322033898	0.9130434782608695	0.9477911646586346
Corrective Measures Study Scope of Work	0.7903225806451613	0.803030303030303	0.7681159420289855	0.9352051835853131	0.95	0.7954545454545454	0.8903508771929824	0.8113207547169812	0.8	0.7627118644067796	0.8152173913043478	0.8955823293172691
Economic Analysis of Wet Versus Dry Ash Disposal Systems Interagency EnergyEnvironment RD Program Report	0.7788461538461539	0.8076923076923077	0.8461538461538461	0.8596112311015118	0.888235294117647	0.7980769230769231	0.793859649122807	0.7980769230769231	0.7980769230769231	0.75	0.8076923076923077	0.8032128514056225
Engineering aspects of karst	0.8064516129032258	0.803030303030303	0.8115942028985508	0.9438444924406048	0.9632352941176471	0.7954545454545454	0.9078947368421053	0.7547169811320755	0.7833333333333333	0.8135593220338984	0.8369565217391305	0.9036144578313253
EPA’s Action Development Process  Guidance on Executive Order 13132 Federalism	0.7948717948717948	0.8076923076923077	0.8076923076923077	0.8876889848812095	0.9102941176470588	0.7613636363636364	0.7894736842105263	0.782051282051282	0.7435897435897436	0.8076923076923077	0.8043478260869565	0.8353413654618473
Memoranda 0127 Guidance for Implementing EO 13211	0.8387096774193549	0.8333333333333334	0.8260869565217391	0.9308855291576674	0.9411764705882353	0.8068181818181818	0.8333333333333334	0.8867924528301887	0.85	0.847457627118644	0.8043478260869565	0.8755020080321285
