	Clash in Alabama Over Tennessee Coal Ash” The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the “direct cost” scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA’s 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to “substantial direct compliance costs”	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of “Attachment A Guidance for Implementing the Federalism 1 Test” to EPA’s Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA’s
Biographical Directory of the US Congress	0.7903225806451613	0.7878787878787878	0.7971014492753623	0.9222462203023758	0.9455882352941176	0.7386363636363636	0.868421052631579	0.7735849056603774	0.7666666666666667	0.8135593220338984	0.7934782608695652	0.8835341365461847
CalStar Gives Sneak Peek of LowCarbon Brick Factory	0.8064516129032258	0.7575757575757576	0.7536231884057971	0.9200863930885529	0.9426470588235294	0.7954545454545454	0.868421052631579	0.8679245283018868	0.7666666666666667	0.8305084745762712	0.75	0.8795180722891566
Coal Combustion Products  Production  Use Statistics	0.8064516129032258	0.7727272727272727	0.782608695652174	0.9071274298056156	0.9323529411764706	0.7954545454545454	0.8552631578947368	0.8679245283018868	0.7833333333333333	0.7966101694915254	0.782608695652174	0.8554216867469879
Electric Utility Regulation	0.8870967741935484	0.8333333333333334	0.8405797101449275	0.9481641468682506	0.9632352941176471	0.8295454545454546	0.9078947368421053	0.7735849056603774	0.8	0.8135593220338984	0.8043478260869565	0.9116465863453815
Hazardous Waste Industry Review 20082009	0.8064516129032258	0.8333333333333334	0.8260869565217391	0.9460043196544277	0.9544117647058824	0.8295454545454546	0.9035087719298246	0.8867924528301887	0.85	0.8305084745762712	0.8369565217391305	0.9156626506024096
Historical CCR beneficial use data for 19662008	0.7903225806451613	0.8333333333333334	0.8260869565217391	0.9265658747300216	0.9411764705882353	0.7954545454545454	0.868421052631579	0.8301886792452831	0.7666666666666667	0.8135593220338984	0.8043478260869565	0.8835341365461847
May 2004 Incinerator and Landfill Cost Data	0.8387096774193549	0.7575757575757576	0.7536231884057971	0.9244060475161987	0.9485294117647058	0.7840909090909091	0.8947368421052632	0.8113207547169812	0.7833333333333333	0.7966101694915254	0.8260869565217391	0.8835341365461847
Part 2 CCT Overview Environmental Protection Technologies Technologies to Effectively Use Coal Ash5C1 Coal Ash Generation Process and Application Fields	0.7763157894736842	0.8289473684210527	0.8157894736842105	0.816414686825054	0.8411764705882353	0.7697368421052632	0.793859649122807	0.8026315789473685	0.7894736842105263	0.7894736842105263	0.756578947368421	0.7710843373493976
Recent Examples of Rate Increases in Vertically Integrated States	0.8153846153846154	0.8333333333333334	0.8115942028985508	0.8876889848812095	0.9176470588235294	0.7954545454545454	0.8245614035087719	0.7692307692307693	0.8	0.8153846153846154	0.717391304347826	0.8313253012048193
Recommended Practice	0.8709677419354839	0.8484848484848485	0.855072463768116	0.958963282937365	0.9705882352941176	0.8522727272727273	0.9254385964912281	0.8113207547169812	0.8	0.847457627118644	0.8586956521739131	0.927710843373494
