	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Historical CCR beneficial use data for 19662008	0.5416666666666667	0.4222222222222223	0.4222222222222223	0.48484848484848486	0.37142857142857144	0.3913043478260869	0.4461538461538461	0.33333333333333337	0.34883720930232553	0.30612244897959184	0.40909090909090906	0.3650793650793651
May 2004 Incinerator and Landfill Cost Data	0.5652173913043479	0.39534883720930236	0.39534883720930236	0.4375	0.4117647058823529	0.40909090909090906	0.4920634920634921	0.35	0.36585365853658536	0.4042553191489362	0.33333333333333337	0.4426229508196722
Part 2 CCT Overview Environmental Protection Technologies Technologies to Effectively Use Coal Ash5C1 Coal Ash Generation Process and Application Fields	0.3928571428571429	0.28301886792452835	0.3207547169811321	0.2702702702702703	0.3076923076923077	0.2962962962962963	0.26027397260273977	0.31999999999999995	0.33333333333333337	0.368421052631579	0.34615384615384615	0.21126760563380287
Recent Examples of Rate Increases in Vertically Integrated States	0.574468085106383	0.2727272727272727	0.2272727272727273	0.29230769230769227	0.3623188405797102	0.28888888888888886	0.375	0.36585365853658536	0.2857142857142857	0.375	0.2093023255813954	0.3548387096774194
Recommended Practice	0.5675675675675675	0.2941176470588235	0.3529411764705882	0.5272727272727273	0.5593220338983051	0.37142857142857144	0.5555555555555556	0.22580645161290325	0.3125	0.42105263157894735	0.3939393939393939	0.5
State RCRA Subtitle C Core Hazardous Waste Management Program Implementation Costs Final Report	0.4901960784313726	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.36986301369863017	0.30612244897959184	0.38235294117647056	0.4222222222222223	0.3913043478260869	0.3846153846153846	0.36170212765957444	0.33333333333333337
Status of Coal Ash Production	0.47619047619047616	0.33333333333333337	0.33333333333333337	0.4	0.4375	0.35	0.4576271186440678	0.2777777777777778	0.29729729729729726	0.34883720930232553	0.3157894736842105	0.368421052631579
nan	0.8461538461538461	0.8260869565217391	0.8260869565217391	0.9090909090909091	0.9166666666666666	0.8333333333333334	0.9069767441860466	0.8	0.8095238095238095	0.8518518518518519	0.8181818181818181	0.9024390243902439
slide number TVA00007496 of “Kingston Fossil Plant Decision Matrix Pond or Peninsula	0.5357142857142857	0.39622641509433965	0.4339622641509434	0.29729729729729726	0.3846153846153846	0.37037037037037035	0.36986301369863017	0.4	0.4117647058823529	0.33333333333333337	0.42307692307692313	0.3802816901408451
2007 Directory of US Commercial Hazardous Waste Management Facilities	0.5849056603773585	0.4	0.36	0.3802816901408451	0.3866666666666667	0.33333333333333337	0.4285714285714286	0.4042553191489362	0.33333333333333337	0.33333333333333337	0.30612244897959184	0.32352941176470584
Dry Fish Ash Systerm Conversion for an Existing 480MW Power Plant Justification Design and Construction	0.48275862068965514	0.34545454545454546	0.34545454545454546	0.21052631578947367	0.275	0.3571428571428571	0.36	0.34615384615384615	0.3207547169811321	0.38983050847457623	0.33333333333333337	0.31506849315068497
Kingston Fossil Plant Decision Matrix Pond or Peninsula	0.5909090909090908	0.31707317073170727	0.36585365853658536	0.4193548387096774	0.5151515151515151	0.2857142857142857	0.4426229508196722	0.3157894736842105	0.33333333333333337	0.37777777777777777	0.35	0.4915254237288136
Production and Utilisation of CCPs in 2007 in Europe EU 15	0.5833333333333333	0.37777777777777777	0.4222222222222223	0.4242424242424242	0.37142857142857144	0.30434782608695654	0.41538461538461535	0.2857142857142857	0.34883720930232553	0.34693877551020413	0.36363636363636365	0.2698412698412699
Public Health Issues Surrounding Coal as an Energy Source	0.4893617021276596	0.2272727272727273	0.2272727272727273	0.32307692307692304	0.3623188405797102	0.37777777777777777	0.375	0.31707317073170727	0.2857142857142857	0.29166666666666663	0.3023255813953488	0.32258064516129037
Toxic Wastes and Race at Twenty 19872007	0.6086956521739131	0.4418604651162791	0.4418604651162791	0.5	0.4117647058823529	0.4545454545454546	0.4920634920634921	0.4	0.41463414634146345	0.44680851063829785	0.5238095238095238	0.4098360655737705
Actions Concerning Regulations That Significantly Affect Energy Supply Distribution or Use	0.43999999999999995	0.3191489361702128	0.276595744680851	0.2647058823529411	0.36111111111111116	0.375	0.3731343283582089	0.4545454545454546	0.37777777777777777	0.37254901960784315	0.26086956521739135	0.2615384615384615
Executive Order 12866	0.7	0.6216216216216216	0.6216216216216216	0.5862068965517242	0.5161290322580645	0.42105263157894735	0.543859649122807	0.47058823529411764	0.48571428571428577	0.46341463414634143	0.5555555555555556	0.5636363636363637
Federal Actions to Address Environmental Justice in Minority Populations and LowIncome Populations	0.48	0.276595744680851	0.3191489361702128	0.2941176470588235	0.36111111111111116	0.29166666666666663	0.34328358208955223	0.31818181818181823	0.37777777777777777	0.37254901960784315	0.26086956521739135	0.3846153846153846
Overview of LifeCycle Stages and Costs Considered by Software Systems and Tools	0.33333333333333337	0.24444444444444446	0.19999999999999996	0.303030303030303	0.34285714285714286	0.34782608695652173	0.41538461538461535	0.33333333333333337	0.2558139534883721	0.26530612244897955	0.18181818181818177	0.3015873015873016
Text of the 14 January 2009 HR 493 bill	0.5510204081632653	0.4782608695652174	0.4782608695652174	0.4029850746268657	0.3802816901408451	0.4893617021276596	0.4242424242424242	0.4418604651162791	0.4545454545454546	0.43999999999999995	0.4666666666666667	0.375
TVA Widow’s Creek Clean Up Info	0.3913043478260869	0.39534883720930236	0.39534883720930236	0.40625	0.5294117647058824	0.4545454545454546	0.4920634920634921	0.5	0.5121951219512195	0.574468085106383	0.47619047619047616	0.47540983606557374
US Dept of Energy DOE Energy Information Administration EIA website	0.45833333333333337	0.28888888888888886	0.24444444444444446	0.303030303030303	0.37142857142857144	0.3913043478260869	0.41538461538461535	0.47619047619047616	0.39534883720930236	0.4285714285714286	0.31818181818181823	0.33333333333333337
US Senate Resolution 64	0.5897435897435898	0.5	0.4444444444444444	0.543859649122807	0.5737704918032787	0.45945945945945943	0.6428571428571428	0.4545454545454546	0.4117647058823529	0.4	0.37142857142857144	0.5555555555555556
RCRA Practice Manual	0.5384615384615384	0.4444444444444444	0.5	0.5087719298245614	0.540983606557377	0.4054054054054054	0.5714285714285714	0.3939393939393939	0.47058823529411764	0.5	0.4285714285714286	0.4814814814814815
2009 Hazardous Waste Report	0.7073170731707317	0.5263157894736843	0.5263157894736843	0.6271186440677966	0.5238095238095238	0.3846153846153846	0.5517241379310345	0.48571428571428577	0.5	0.47619047619047616	0.5135135135135135	0.5
CKD proposed rule	0.6111111111111112	0.5151515151515151	0.5151515151515151	0.5925925925925926	0.6551724137931034	0.47058823529411764	0.6603773584905661	0.5333333333333333	0.5483870967741935	0.5675675675675675	0.5	0.607843137254902
EPA ICR 095913 Federal Register Vol73 No103 page 30617	0.5769230769230769	0.4693877551020408	0.5102040816326531	0.34285714285714286	0.3783783783783784	0.43999999999999995	0.42028985507246375	0.4347826086956522	0.44680851063829785	0.4339622641509434	0.5416666666666667	0.34328358208955223
Federal Register Vol 43 No 243	0.5714285714285714	0.4358974358974359	0.4358974358974359	0.43333333333333335	0.53125	0.4	0.5254237288135593	0.4444444444444444	0.4054054054054054	0.4418604651162791	0.4736842105263158	0.5087719298245614
Federal Register Vol64 No161 20 Aug 1999 pp4563245697	0.607843137254902	0.5	0.5	0.3913043478260869	0.3972602739726028	0.34693877551020413	0.4411764705882353	0.4666666666666667	0.4347826086956522	0.34615384615384615	0.4893617021276596	0.36363636363636365
General Hazardous Waste Facility Standards	0.5909090909090908	0.36585365853658536	0.31707317073170727	0.4838709677419355	0.5151515151515151	0.33333333333333337	0.4426229508196722	0.368421052631579	0.33333333333333337	0.37777777777777777	0.30000000000000004	0.4576271186440678
Notification of Episodic Releases of Oil and Hazardous Substances Renewal	0.45833333333333337	0.33333333333333337	0.28888888888888886	0.33333333333333337	0.37142857142857144	0.34782608695652173	0.41538461538461535	0.4285714285714286	0.39534883720930236	0.3877551020408163	0.31818181818181823	0.3015873015873016
Notification of Regulated Waste Activity Renewal	0.4666666666666667	0.33333333333333337	0.33333333333333337	0.3650793650793651	0.4328358208955224	0.3023255813953488	0.4193548387096774	0.3846153846153846	0.35	0.3913043478260869	0.2682926829268293	0.4
Part B Permit Application	0.4871794871794872	0.2777777777777778	0.33333333333333337	0.5087719298245614	0.540983606557377	0.29729729729729726	0.5	0.2727272727272727	0.3529411764705882	0.44999999999999996	0.3142857142857143	0.4814814814814815
RCRA Hazardous Waste Permit Application and Modification part A	0.5	0.33333333333333337	0.37777777777777777	0.3939393939393939	0.4	0.26086956521739135	0.41538461538461535	0.33333333333333337	0.39534883720930236	0.4285714285714286	0.31818181818181823	0.33333333333333337
Small Electric Motors Final Rule Technical Support Document Chapter 16 	0.4693877551020408	0.3913043478260869	0.34782608695652173	0.34328358208955223	0.43661971830985913	0.4042553191489362	0.4242424242424242	0.34883720930232553	0.31818181818181823	0.36	0.33333333333333337	0.34375
A Reference Lottery Metric for Valuing Health	0.5555555555555556	0.38095238095238093	0.38095238095238093	0.4285714285714286	0.4626865671641791	0.39534883720930236	0.4838709677419355	0.4358974358974359	0.4	0.3913043478260869	0.2682926829268293	0.43333333333333335
Oxidation State of Arsenic in Coal Ash Leachate	0.40909090909090906	0.36585365853658536	0.31707317073170727	0.3870967741935484	0.3939393939393939	0.33333333333333337	0.47540983606557374	0.3157894736842105	0.28205128205128205	0.33333333333333337	0.30000000000000004	0.38983050847457623
Procedures for Calculating Cessation Lag	0.5238095238095238	0.28205128205128205	0.33333333333333337	0.43333333333333335	0.4375	0.30000000000000004	0.4576271186440678	0.2777777777777778	0.29729729729729726	0.3023255813953488	0.21052631578947367	0.4035087719298246
The Influence of Location Source and Emission Type in Estimates of the Human Health Benefits of Reducing a Ton of Air Pollution	0.5094339622641509	0.28	0.28	0.2676056338028169	0.30666666666666664	0.33333333333333337	0.3142857142857143	0.36170212765957444	0.33333333333333337	0.33333333333333337	0.22448979591836737	0.2647058823529411
