	Industrial Production Index NAICS 2211 32 32 Internal Combustion Generators by State	Electric Power Sector Energy Consumption Quadrillion BTUs	Surgical Hospitals Industry NAICS 6221 2002 Source US Census Bureau generated by RTI International using American FactFinder “Sector 62 Health Care and Social Assistance Subject Series—Estab  Firm Size Legal Form of Organization for the United States	Reduction in Fine Particulate Air Pollution and Mortality	Electric Holdings	Estimating the Public Health Benefits of Proposed Air Pollution Regulations	AlphaGamma Technologies	Microeconomic Theory	Circular A4 Regulatory Analysis	Memorandum “Impacts Associated with NESHAP for Existing Stationary	Expert Judgment Assessment of the Troy	and	of Economic Analysis BEA	of the Census 2002 generated by RTI International using American FactFinder “Sector 21 Mining Industry Series	of the Census 2002 generated by RTI International using American FactFinder “Sector 22 Utilities	of the Census 2002 generated by RTI International using American FactFinder “Sector 62 Health Care and Social Assistance Geographic Area Series	Industry Series” Crude Petroleum  Natural Gas	Industry Series” Electric Power Generation Transmission and Distribution	Industry Series” Hospitals	Industry Series” Natural Gas Liquid Extraction	Industry Series” Pipeline Transportation	Census of Governments Volume 4 Number 3 Finances of County Governments 2002 GC0243 US Government Printing Office	Census of Governments Volume 4 Number 4 Finances of Municipal and Township Governments 2002 GC0244 US Government Printing Office	US Census Bureau 2008a Firm Size Data from the Statistics of US Businesses US Detail Employment Sizes	Firm Size Data from the Statistics of	Farm and Ranch Irrigation Survey”	Department of Agriculture USDA	Department of Energy Energy Information Administration	Information Administration	Environmental Protection Agency EPA	Environmental Protection Agency	Available on the 31 Industrial Production Index NAICS 2211 32 32 Internal Combustion Generators by State	Deleted associated Deleted existing stationary 447 or Fullerton and Metcalf	Review Draft –	Formatted No bullets or numbering Tabs Not at 675 pt Higher unit costs and lower production level reduce producer surplus because the net price change p – t is negative However these losses are mitigated because market prices tend to rise	Formatted Indent Left 18 pt No bullets or numbering Tabs Not at 675 pt Figure 55 Electricity Restructuring by State Source US Energy Information Administration	a Statement of Energy Effects for certain actions identified as “significant energy actions” Section 4b of Executive Order 13211 defines “significant energy Deleted	The Regulatory Flexibility Act as amended by the Small Business Regulatory Enforcement Fairness Act SBREFA generally requires an agency to prepare a regulatory flexibility analysis of any rule subject to notice and comment rulemaking requirements under the Administrative Procedure Act or any other statute unless the agency certifies that the rule will farms Since most national security installations are owned by the federal government eg military bases EPA assumes these entities would not be considered small For irrigated farms we relied on receipt data provided in the 2003 Farm and Irrigation Survey USDA	Deleted Nelson and Parise	Office of Advocacy A Guide for Government Agencies How to Comply with the Regulatory Flexibility Act Implementing the President’s Small Business Agenda and Executive Order 13272	reducing one ton of PM25 or PM25 precursor emissions from a specified source	Regulatory Impact Analysis	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between PM25 Exposure and Mortality Prepared for the US EPA Office of Air Quality Planning and Standards September Available on the Internet at httpwwwepagovttnecasregdataUncertaintypmeereportpdf	Expert Judgment Assessment of the Mortality Impact of Changes in	entitled Impacts Associated with NESHAP for Existing Stationary RICE by EcR	greater than costs Net Benefits are quantified in terms of PM25 benefits at a 3 discount This graph shows all of the benefits estimates combined with the cost estimate specifically identifying the estimates based on Pope et al and Laden et al with dark green bars and the expert elicitation with translucent green bars	Review Draft	Tax Incidence”	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Interstate Oil  Gas Compact Commission	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US Environ Sci	The Federal Reserve Board “Industrial Production and Capacity Utilization	Firm Size Data from the Statistics of US Businesses US All Industries Tabulated by Receipt Size	Bureau generated by RTI International using American FactFinder “Sector 21 Mining Industry Series Historical Statistics for the Industry	Bureau generated by RTI International using American FactFinder “Sector 22 Utilities Subject Series—Estab  Firm Size Concentration by Largest Firms for the United States	Bureau generated by RTI International using American FactFinder “Sector 22 Utilities Geographic Area Series Summary Statistics	Bureau generated by RTI International using American FactFinder “Sector 62 Health Care and Social Assistance Subject Series—Estab  Firm Size Legal Form of Organization for the United States	Bureau generated by RTI International using American FactFinder “Sector 31 Manufacturing Industry Series Historical Statistics for the Industry	Bureau generated by RTI International using American FactFinder “Sector 48 Transportation and Warehousing Industry Series Comparative Statistics for the United States	Bureau generated by RTI International using American FactFinder “Sector 48 Transportation and Warehousing Subject Series—Estab  Firm Size Concentration by Largest Firms for the United States	Bureau generated by RTI International using American FactFinder “Sector 4849 Geographic Distribution—Pipeline transportation of natural gas	Bureau generated by RTI International using American FactFinder “Sector 4849 Transportation and Warehousing Subject Series—Estab  Firm Size Legal Form of Organization for the United States	US Census Bureau generated by RTI International using American FactFinder “Sector 00 All sectors Geographic Area Series EconomyWide Key Statistics	Integrated Science Assessment for Particulate Matter External Review Draft	Table of Small Business Size Standards Matched to North American Industry Classification System Codes Effective	Price Responsiveness in the AEO2003 NEMS Residential and Commercial Buildings Sector Models”
Almanac of Business and Industrial Financial Ratios 2009 Edition	0.7857142857142857	0.828125	0.8307086614173228	0.78125	0.84375	0.7733333333333333	0.84375	0.875	0.828125	0.8235294117647058	0.8125	0.953125	0.796875	0.7567567567567568	0.7346938775510204	0.7931034482758621	0.84375	0.7972972972972973	0.796875	0.734375	0.78125	0.75	0.7578125	0.8217821782178217	0.78125	0.796875	0.84375	0.75	0.78125	0.796875	0.796875	0.7596153846153846	0.8133333333333334	0.890625	0.8416666666666667	0.7924528301886793	0.8058823529411765	0.9084967320261438	0.828125	0.8324022346368715	0.8421052631578947	0.828125	0.8608058608058609	0.859375	0.8133333333333334	0.8679245283018868	0.90625	0.890625	0.7529411764705882	0.78125	0.7711864406779662	0.64	0.7052631578947368	0.7391304347826086	0.7976878612716763	0.7734375	0.8031088082901554	0.7517241379310344	0.7857142857142857	0.8041237113402062	0.7972027972027972	0.8020833333333334	0.7972972972972973	0.8243243243243243	0.7027027027027027	0.7553191489361702
Estimating the Public Health Benefits of Proposed Air  Pollution Regulations	0.7976190476190477	0.75	0.8307086614173228	0.6973684210526315	0.8289473684210527	0.013157894736842105	0.8552631578947368	0.881578947368421	0.8026315789473685	0.7894736842105263	0.8026315789473685	0.9605263157894737	0.868421052631579	0.8108108108108109	0.7959183673469388	0.8	0.7763157894736842	0.7763157894736842	0.8289473684210527	0.7631578947368421	0.7631578947368421	0.8035714285714286	0.8125	0.7821782178217822	0.7894736842105263	0.8157894736842105	0.8026315789473685	0.7631578947368421	0.8157894736842105	0.7763157894736842	0.7763157894736842	0.7307692307692307	0.8026315789473685	0.9078947368421053	0.8333333333333334	0.779874213836478	0.788235294117647	0.9019607843137255	0.8289473684210527	0.8044692737430168	0.868421052631579	0.8289473684210527	0.8278388278388278	0.7763157894736842	0.8289473684210527	0.8364779874213837	0.9210526315789473	0.9078947368421053	0.7764705882352941	0.7763157894736842	0.7542372881355932	0.8157894736842105	0.7368421052631579	0.8115942028985508	0.791907514450867	0.796875	0.7823834196891192	0.8068965517241379	0.8035714285714286	0.8092783505154639	0.7972027972027972	0.8125	0.7905405405405406	0.8552631578947368	0.8018018018018018	0.7978723404255319
Microeconomic Theory	0.8333333333333334	0.7894736842105263	0.9409448818897638	0.8245614035087719	0.85	0.88	0.9130434782608695	0.0	0.8387096774193549	0.8529411764705882	0.7894736842105263	0.95	0.75	0.8918918918918919	0.8877551020408163	0.903448275862069	0.8723404255319149	0.8513513513513513	0.8928571428571429	0.9166666666666666	0.8333333333333334	0.9017857142857143	0.8984375	0.900990099009901	0.8648648648648649	0.8571428571428571	0.8	0.8333333333333334	0.8076923076923077	0.7714285714285715	0.7419354838709677	0.8653846153846154	0.8933333333333333	0.9	0.9333333333333333	0.9245283018867925	0.9176470588235294	0.9705882352941176	0.84	0.9106145251396648	0.8289473684210527	0.8461538461538461	0.9413919413919414	0.859375	0.8666666666666667	0.9433962264150944	0.9	0.85	0.8823529411764706	0.8421052631578947	0.8898305084745762	0.8933333333333333	0.8736842105263158	0.8913043478260869	0.9248554913294798	0.8984375	0.927461139896373	0.896551724137931	0.9166666666666666	0.9226804123711341	0.9090909090909091	0.9270833333333334	0.9054054054054054	0.8648648648648649	0.9009009009009009	0.8723404255319149
 2002 Census of Governments Volume 4 Number 4 Finances of  Municipal and Township Governments 2002 GC0244	0.780952380952381	0.7904761904761904	0.8031496062992126	0.8	0.8952380952380953	0.8	0.8857142857142857	0.8857142857142857	0.8476190476190476	0.8380952380952381	0.8285714285714286	0.9714285714285714	0.8476190476190476	0.7837837837837838	0.7619047619047619	0.7241379310344828	0.8095238095238095	0.7714285714285715	0.8571428571428571	0.8	0.780952380952381	0.45535714285714285	0.2890625	0.7904761904761904	0.8571428571428571	0.8571428571428571	0.8380952380952381	0.780952380952381	0.8476190476190476	0.8285714285714286	0.8380952380952381	0.8380952380952381	0.8095238095238095	0.9142857142857143	0.8041666666666667	0.7924528301886793	0.7823529411764706	0.8856209150326797	0.8380952380952381	0.776536312849162	0.819047619047619	0.8571428571428571	0.7985347985347986	0.7904761904761904	0.8285714285714286	0.8301886792452831	0.9238095238095239	0.9142857142857143	0.7904761904761904	0.8285714285714286	0.7966101694915254	0.7904761904761904	0.8476190476190476	0.7753623188405797	0.7803468208092486	0.78125	0.7979274611398963	0.7655172413793103	0.7619047619047619	0.7835051546391752	0.7832167832167832	0.7916666666666666	0.777027027027027	0.7904761904761904	0.8468468468468469	0.7714285714285715
2002 Census of Governments Volume 4 Number 3 Finances of  County Governments 2002	0.8333333333333334	0.7654320987654321	0.8188976377952756	0.8024691358024691	0.8888888888888888	0.8641975308641975	0.8765432098765432	0.8765432098765432	0.8395061728395061	0.8518518518518519	0.7777777777777778	0.9753086419753086	0.8518518518518519	0.7387387387387387	0.7653061224489796	0.7655172413793103	0.7777777777777778	0.8518518518518519	0.8395061728395061	0.7654320987654321	0.7777777777777778	0.38392857142857145	0.484375	0.7425742574257426	0.8395061728395061	0.8395061728395061	0.7901234567901234	0.7901234567901234	0.8148148148148148	0.7901234567901234	0.8024691358024691	0.7788461538461539	0.8395061728395061	0.8888888888888888	0.8166666666666667	0.7735849056603774	0.7941176470588235	0.9019607843137255	0.8271604938271605	0.7877094972067039	0.8148148148148148	0.8518518518518519	0.8278388278388278	0.7530864197530864	0.8765432098765432	0.8584905660377359	0.9012345679012346	0.9259259259259259	0.8235294117647058	0.8024691358024691	0.7627118644067796	0.8518518518518519	0.8	0.782608695652174	0.7803468208092486	0.7734375	0.8134715025906736	0.7793103448275862	0.7738095238095238	0.788659793814433	0.7902097902097902	0.8072916666666666	0.7635135135135135	0.8271604938271605	0.8018018018018018	0.8191489361702128
2003 Farm and Ranch Irrigation Survey	0.8095238095238095	0.8070175438596491	0.889763779527559	0.7543859649122807	0.8648648648648649	0.8133333333333334	0.7567567567567568	0.8378378378378378	0.8108108108108109	0.8088235294117647	0.868421052631579	0.918918918918919	0.8378378378378378	0.8018018018018018	0.7959183673469388	0.8344827586206897	0.8297872340425532	0.8108108108108109	0.8918918918918919	0.8541666666666666	0.8809523809523809	0.8571428571428571	0.859375	0.801980198019802	0.8378378378378378	0.21621621621621623	0.7837837837837838	0.7777777777777778	0.7567567567567568	0.8108108108108109	0.7027027027027027	0.8269230769230769	0.7866666666666666	0.8918918918918919	0.9041666666666667	0.8742138364779874	0.8705882352941177	0.9477124183006536	0.8378378378378378	0.8770949720670391	0.8421052631578947	0.8648648648648649	0.9047619047619048	0.78125	0.7733333333333333	0.9182389937106918	0.8918918918918919	0.8378378378378378	0.8	0.868421052631579	0.8559322033898306	0.7866666666666666	0.8315789473684211	0.8405797101449275	0.8728323699421965	0.84375	0.8704663212435233	0.8344827586206897	0.8511904761904762	0.8762886597938144	0.8461538461538461	0.8697916666666666	0.8581081081081081	0.8108108108108109	0.8018018018018018	0.8191489361702128
2006 EIA906920  Monthly Time Series	0.8333333333333334	0.8245614035087719	0.9094488188976378	0.8596491228070176	0.8285714285714286	0.84	0.8571428571428571	0.8285714285714286	0.8571428571428571	0.8529411764705882	0.8947368421052632	0.9714285714285714	0.7714285714285715	0.8288288288288288	0.8061224489795918	0.8482758620689655	0.8723404255319149	0.8378378378378378	0.9142857142857143	0.8333333333333334	0.8571428571428571	0.8839285714285714	0.875	0.8217821782178217	0.8378378378378378	0.8857142857142857	0.8857142857142857	0.8333333333333334	0.8571428571428571	0.9142857142857143	0.8571428571428571	0.8653846153846154	0.8533333333333334	0.9142857142857143	0.925	0.8930817610062893	0.9	0.9656862745098039	0.8285714285714286	0.888268156424581	0.8289473684210527	0.8857142857142857	0.9230769230769231	0.796875	0.8666666666666667	0.9371069182389937	0.9142857142857143	0.8285714285714286	0.8470588235294118	0.868421052631579	0.847457627118644	0.88	0.8526315789473684	0.8840579710144928	0.8959537572254336	0.859375	0.9015544041450777	0.8896551724137931	0.8809523809523809	0.9020618556701031	0.8881118881118881	0.9010416666666666	0.8851351351351351	0.8243243243243243	0.8648648648648649	0.8191489361702128
Agricultural Projections to 2017	0.8095238095238095	0.7719298245614035	0.9133858267716536	0.7543859649122807	0.78125	0.8	0.78125	0.78125	0.78125	0.8382352941176471	0.7894736842105263	0.9375	0.84375	0.8468468468468469	0.8367346938775511	0.8827586206896552	0.8297872340425532	0.7972972972972973	0.84375	0.7916666666666666	0.8571428571428571	0.875	0.8828125	0.8316831683168316	0.7837837837837838	0.7714285714285715	0.90625	0.7962962962962963	0.84375	0.6285714285714286	0.59375	0.7884615384615384	0.84	0.84375	0.9125	0.8805031446540881	0.8823529411764706	0.954248366013072	0.875	0.888268156424581	0.8157894736842105	0.78125	0.9157509157509157	0.84375	0.84	0.9339622641509434	0.875	0.875	0.8235294117647058	0.868421052631579	0.8813559322033898	0.7733333333333333	0.8526315789473684	0.8623188405797102	0.8786127167630058	0.8671875	0.8911917098445595	0.8689655172413793	0.8809523809523809	0.8917525773195877	0.8601398601398601	0.8958333333333334	0.8783783783783784	0.8108108108108109	0.8558558558558559	0.8297872340425532
Crude Petroleum  Natural Gas	0.8095238095238095	0.7543859649122807	0.9094488188976378	0.7894736842105263	0.8214285714285714	0.8266666666666667	0.8928571428571429	0.8571428571428571	0.7741935483870968	0.8382352941176471	0.8157894736842105	0.9642857142857143	0.8214285714285714	0.8558558558558559	0.8367346938775511	0.8551724137931035	0.40425531914893614	0.8108108108108109	0.8571428571428571	0.6875	0.8333333333333334	0.8482142857142857	0.8515625	0.8415841584158416	0.7567567567567568	0.8571428571428571	0.8	0.8148148148148148	0.8214285714285714	0.8285714285714286	0.9032258064516129	0.8269230769230769	0.8133333333333334	0.8214285714285714	0.9125	0.8616352201257862	0.9117647058823529	0.9591503267973857	0.8214285714285714	0.8994413407821229	0.8421052631578947	0.8214285714285714	0.9157509157509157	0.765625	0.8533333333333334	0.9276729559748428	0.8214285714285714	0.9285714285714286	0.8352941176470589	0.8421052631578947	0.8389830508474576	0.8133333333333334	0.8421052631578947	0.855072463768116	0.8786127167630058	0.8515625	0.8911917098445595	0.8551724137931035	0.8809523809523809	0.8969072164948454	0.8461538461538461	0.890625	0.8648648648648649	0.7837837837837838	0.8648648648648649	0.8404255319148937
Electric Power Generation Transmission and  Distribution	0.7619047619047619	0.5964912280701754	0.84251968503937	0.7543859649122807	0.7678571428571429	0.72	0.875	0.8214285714285714	0.7857142857142857	0.8088235294117647	0.75	0.9464285714285714	0.8214285714285714	0.7477477477477478	0.7244897959183674	0.7862068965517242	0.8035714285714286	0.2702702702702703	0.8214285714285714	0.7142857142857143	0.75	0.8035714285714286	0.8046875	0.7722772277227723	0.7321428571428571	0.8035714285714286	0.8392857142857143	0.6785714285714286	0.6607142857142857	0.7857142857142857	0.7857142857142857	0.7884615384615384	0.7866666666666666	0.875	0.8458333333333333	0.8176100628930818	0.8117647058823529	0.9199346405228758	0.7321428571428571	0.8268156424581006	0.7368421052631579	0.8214285714285714	0.8644688644688645	0.796875	0.8	0.8584905660377359	0.875	0.9107142857142857	0.7529411764705882	0.7321428571428571	0.7457627118644068	0.68	0.7578947368421053	0.7681159420289855	0.8208092485549133	0.78125	0.8290155440414507	0.7793103448275862	0.7857142857142857	0.8041237113402062	0.7692307692307693	0.8072916666666666	0.7905405405405406	0.8108108108108109	0.7657657657657657	0.7978723404255319
